village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
221471,0.22696614,0.012249978,0.16947831,0.012249978,0.15145029,0.25782582,0.012249978,0.14527953,0.012249978,8.657478e-06,8.657478e-06,8.657478e-06,0.79922307,0.20074223,8.657478e-06,0.0021509184,0.14238672,0.072685584,0.0021509184,0.7428511,0.0021509184,0.0021509184,0.0021509184,0.0021509184,0.029171135
221472,0.20956391,0.014567295,0.22690503,0.014567295,0.14755493,0.22948411,0.014567295,0.12822281,0.014567295,0.0037009388,0.0037009388,0.0037009388,0.77001274,0.21518354,0.0037009388,0.0011999526,0.13571464,0.067992285,0.0011999526,0.7702126,0.0011999526,0.0011999526,0.0011999526,0.0011999526,0.018880744
221474,0.22251369,0.012798771,0.1879495,0.012798771,0.1485606,0.25243682,0.012798771,0.13734427,0.012798771,0.0037090718,0.0037090718,0.0037090718,0.75975776,0.22540599,0.0037090718,0.0012521142,0.13580617,0.06869286,0.0012521142,0.76783526,0.0012521142,0.0012521142,0.0012521142,0.0012521142,0.020153187
221477,0.25487068,0.011965935,0.20445733,0.011965935,0.10030125,0.31072843,0.011965935,0.081778534,0.011965935,0.00197289,0.00197289,0.00197289,0.7155281,0.27658045,0.00197289,0.0011074494,0.13550936,0.06512089,0.0011074494,0.7774182,0.0011074494,0.0011074494,0.0011074494,0.0011074494,0.015306796
221478,0.22426699,0.012604706,0.18939276,0.012604706,0.14134352,0.26415244,0.012604706,0.13042545,0.012604706,0.003810222,0.003810222,0.003810222,0.74477553,0.23998354,0.003810222,0.0012792064,0.1361688,0.06878465,0.0012792064,0.7670387,0.0012792064,0.0012792064,0.0012792064,0.0012792064,0.020332683
221479,0.22462459,0.012552857,0.18129988,0.012552857,0.1460696,0.2597728,0.012552857,0.13802171,0.012552857,0.003707202,0.003707202,0.003707202,0.7612284,0.22394282,0.003707202,0.0013803331,0.13698147,0.0694686,0.0013803331,0.7636345,0.0013803331,0.0013803331,0.0013803331,0.0013803331,0.021633575
221480,0.2888595,0.011271041,0.117585726,0.011271041,0.048366543,0.40657228,0.011271041,0.09353187,0.011271041,9.543664e-05,9.543664e-05,9.543664e-05,0.7771223,0.22249591,9.543664e-05,0.0021481637,0.14244202,0.072609685,0.0021481637,0.74303013,0.0021481637,0.0021481637,0.0021481637,0.0021481637,0.02902926
221481,0.3590891,0.009898524,0.096169256,0.009898524,0.032419734,0.4230008,0.009898524,0.04972691,0.009898524,2.8530217e-06,2.8530217e-06,2.8530217e-06,0.8186332,0.18135542,2.8530217e-06,0.0015643515,0.1387782,0.06936783,0.0015643515,0.76082474,0.0015643515,0.0015643515,0.0015643515,0.0015643515,0.021643154
221482,0.22773734,0.012417049,0.19222903,0.012417049,0.12067749,0.29249945,0.012417049,0.11718839,0.012417049,2.0723055e-05,2.0723055e-05,2.0723055e-05,0.8178318,0.1820852,2.0723055e-05,0.0013222352,0.1366924,0.06889812,0.0013222352,0.7658819,0.0013222352,0.0013222352,0.0013222352,0.0013222352,0.020594213
221483,0.22300363,0.012724044,0.1787779,0.012724044,0.155083,0.24561587,0.012724044,0.14662348,0.012724044,0.0037848444,0.0037848444,0.0037848444,0.75703424,0.22782648,0.0037848444,0.0012633706,0.1358642,0.068736464,0.0012633706,0.7675526,0.0012633706,0.0012633706,0.0012633706,0.0012633706,0.020266693
