village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
260609,0.23896834,0.012038524,0.19922943,0.012038524,0.117563866,0.29504466,0.012038524,0.10103967,0.012038524,1.447956e-06,1.447956e-06,1.447956e-06,0.81798923,0.18200496,1.447956e-06,0.0018892474,0.14171161,0.07069722,0.0018892474,0.7516116,0.0018892474,0.0018892474,0.0018892474,0.0018892474,0.024643853
260610,0.31992075,0.010631347,0.11194183,0.010631347,0.04119413,0.41300467,0.010631347,0.07141321,0.010631347,0.0002762213,0.0002762213,0.0002762213,0.8174254,0.18146965,0.0002762213,0.0017333528,0.13957646,0.070996776,0.0017333528,0.75401455,0.0017333528,0.0017333528,0.0017333528,0.0017333528,0.025012055
260611,0.22777095,0.012230138,0.14461036,0.012230138,0.16984002,0.22891448,0.012230138,0.17994356,0.012230138,6.733286e-07,6.733286e-07,6.733286e-07,0.8181592,0.18183804,6.733286e-07,0.0019164708,0.14055414,0.07201691,0.0019164708,0.7482533,0.0019164708,0.0019164708,0.0019164708,0.0019164708,0.027676897
260612,0.23344645,0.011635588,0.14205201,0.011635588,0.1499179,0.2679072,0.011635588,0.16013397,0.011635588,5.692534e-07,5.692534e-07,5.692534e-07,0.8176428,0.18235484,5.692534e-07,0.0022486714,0.14188606,0.07329893,0.0022486714,0.7403478,0.0022486714,0.0022486714,0.0022486714,0.0022486714,0.030975161
260613,0.2111346,0.014317117,0.21890512,0.014317117,0.15083161,0.22908348,0.014317117,0.13277672,0.014317117,0.00020613597,0.00020613597,0.00020613597,0.8043047,0.19487067,0.00020613597,0.0015406174,0.1388495,0.069632605,0.0015406174,0.76014024,0.0015406174,0.0015406174,0.0015406174,0.0015406174,0.02213385
260614,0.25020364,0.012748081,0.22492819,0.012748081,0.090639554,0.30838028,0.012748081,0.07485598,0.012748081,0.0028129932,0.0028129932,0.0028129932,0.66238225,0.3263657,0.0028129932,0.0013314337,0.13831411,0.064471826,0.0013314337,0.77326435,0.0013314337,0.0013314337,0.0013314337,0.0013314337,0.01596111
260615,0.23570529,0.011318431,0.1541631,0.011318431,0.13295272,0.29768836,0.011318431,0.1342168,0.011318431,0.0004450495,0.0004450495,0.0004450495,0.7901175,0.20810232,0.0004450495,0.0017437538,0.13925992,0.07138258,0.0017437538,0.7528765,0.0017437538,0.0017437538,0.0017437538,0.0017437538,0.026018461
260619,0.22541296,0.0124440435,0.14736935,0.0124440435,0.17595963,0.21802045,0.0124440435,0.18346146,0.0124440435,6.686082e-07,6.686082e-07,6.686082e-07,0.81636274,0.18363458,6.686082e-07,0.00216067,0.14181614,0.072946526,0.00216067,0.74226946,0.00216067,0.00216067,0.00216067,0.00216067,0.030003985
260620,0.22785257,0.012213033,0.14449935,0.012213033,0.17049907,0.22833036,0.012213033,0.17996658,0.012213033,8.4060724e-07,8.4060724e-07,8.4060724e-07,0.81597555,0.18402109,8.4060724e-07,0.0021090785,0.14149809,0.07265513,0.0021090785,0.7437772,0.0021090785,0.0021090785,0.0021090785,0.0021090785,0.029415064
260621,0.23833454,0.011766556,0.16403241,0.011766556,0.108421914,0.32066646,0.011766556,0.1214785,0.011766556,5.7503125e-06,5.7503125e-06,5.7503125e-06,0.79036623,0.20961083,5.7503125e-06,0.0013986775,0.13755026,0.06858794,0.0013986775,0.76511544,0.0013986775,0.0013986775,0.0013986775,0.0013986775,0.020354208
