village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
252696,0.36121705,0.009922888,0.08475341,0.009922888,0.025192784,0.44127747,0.009922888,0.04786775,0.009922888,0.0032322325,0.0032322325,0.0032322325,0.82309836,0.16397272,0.0032322325,0.0013858523,0.13799454,0.06782117,0.0013858523,0.7673005,0.0013858523,0.0013858523,0.0013858523,0.0013858523,0.0185686
252697,0.23447205,0.011833219,0.182823,0.011833219,0.12768789,0.29155907,0.011833219,0.116125144,0.011833219,2.5058682e-06,2.5058682e-06,2.5058682e-06,0.81906915,0.18092082,2.5058682e-06,0.0014861193,0.13803193,0.06963225,0.0014861193,0.7612085,0.0014861193,0.0014861193,0.0014861193,0.0014861193,0.022210777
252698,0.23518614,0.011470701,0.15425108,0.011470701,0.12705036,0.30303735,0.011470701,0.13459219,0.011470701,6.997682e-07,6.997682e-07,6.997682e-07,0.818795,0.18120213,6.997682e-07,0.0018434597,0.14008242,0.07184675,0.0018434597,0.7499849,0.0018434597,0.0018434597,0.0018434597,0.0018434597,0.02702522
252699,0.21918118,0.013179572,0.19094095,0.013179572,0.15476274,0.23960687,0.013179572,0.14278992,0.013179572,4.962598e-06,4.962598e-06,4.962598e-06,0.8091484,0.19083185,4.962598e-06,0.002323673,0.1432358,0.07318044,0.002323673,0.7392475,0.002323673,0.002323673,0.002323673,0.002323673,0.030394213
252700,0.22312753,0.012639672,0.16151924,0.012639672,0.17134492,0.22495647,0.012639672,0.1684932,0.012639672,1.3712995e-06,1.3712995e-06,1.3712995e-06,0.81424993,0.1857446,1.3712995e-06,0.0020197118,0.14082304,0.07229639,0.0020197118,0.7460014,0.0020197118,0.0020197118,0.0020197118,0.0020197118,0.028760862
252702,0.21638153,0.0135775525,0.20324077,0.0135775525,0.15400368,0.23523265,0.0135775525,0.13683116,0.0135775525,4.9054586e-05,4.9054586e-05,4.9054586e-05,0.7937282,0.20607571,4.9054586e-05,0.0034835536,0.1420358,0.07511028,0.0034835536,0.7227952,0.0034835536,0.0034835536,0.0034835536,0.0034835536,0.03915757
252703,0.2203724,0.013073243,0.19236897,0.013073243,0.14725396,0.24992923,0.013073243,0.13778247,0.013073243,5.8193473e-05,5.8193473e-05,5.8193473e-05,0.7900505,0.2097166,5.8193473e-05,0.0034968741,0.14202455,0.07645145,0.0034968741,0.7184559,0.0034968741,0.0034968741,0.0034968741,0.0034968741,0.04208691
252704,0.24600197,0.011641608,0.17012328,0.011641608,0.10463818,0.32253063,0.011641608,0.11013946,0.011641608,3.0007848e-06,3.0007848e-06,3.0007848e-06,0.8190081,0.18097983,3.0007848e-06,0.0032802816,0.14314574,0.07450932,0.0032802816,0.7258607,0.0032802816,0.0032802816,0.0032802816,0.0032802816,0.036802646
252705,0.3941458,0.00911004,0.08005137,0.00911004,0.02624359,0.42920065,0.00911004,0.033918373,0.00911004,0.000102955746,0.000102955746,0.000102955746,0.8064307,0.19315752,0.000102955746,0.003105028,0.1446631,0.07343343,0.003105028,0.73032707,0.003105028,0.003105028,0.003105028,0.003105028,0.03294611
252706,0.20881064,0.014691817,0.24889027,0.014691817,0.12008392,0.25569823,0.014691817,0.1077496,0.014691817,0.0009831075,0.0009831075,0.0009831075,0.8116287,0.18443881,0.0009831075,0.0015068625,0.13838671,0.06956268,0.0015068625,0.76099014,0.0015068625,0.0015068625,0.0015068625,0.0015068625,0.022019107
