village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
240365,0.39778468,0.009042371,0.0808243,0.009042371,0.027260868,0.42541087,0.009042371,0.032549653,0.009042371,4.257474e-05,4.257474e-05,4.257474e-05,0.81453514,0.1852947,4.257474e-05,0.0013210509,0.1374226,0.06715194,0.0013210509,0.769964,0.0013210509,0.0013210509,0.0013210509,0.0013210509,0.01753502
240366,0.24282825,0.012297794,0.18951999,0.012297794,0.091185406,0.32727134,0.012297794,0.10000387,0.012297794,4.928567e-05,4.928567e-05,4.928567e-05,0.77825433,0.22154857,4.928567e-05,0.0030562484,0.14317517,0.072962664,0.0030562484,0.73205656,0.0030562484,0.0030562484,0.0030562484,0.0030562484,0.03346828
240367,0.32472578,0.010169221,0.0980458,0.010169221,0.04170124,0.42497614,0.010169221,0.069874346,0.010169221,4.982154e-06,4.982154e-06,4.982154e-06,0.820143,0.17983708,4.982154e-06,0.0034574268,0.14161481,0.075538345,0.0034574268,0.72173756,0.0034574268,0.0034574268,0.0034574268,0.0034574268,0.04036461
240374,0.21595502,0.0136277815,0.20156576,0.0136277815,0.14704497,0.24217626,0.0136277815,0.13874683,0.0136277815,0.00012711326,0.00012711326,0.00012711326,0.79021627,0.20927528,0.00012711326,0.0028829277,0.1448952,0.07423283,0.0028829277,0.72966254,0.0028829277,0.0028829277,0.0028829277,0.0028829277,0.03391167
240375,0.2263327,0.012407819,0.19221534,0.012407819,0.14721541,0.25909433,0.012407819,0.12551099,0.012407819,8.904365e-06,8.904365e-06,8.904365e-06,0.77225405,0.22771035,8.904365e-06,0.001125808,0.1351919,0.06671134,0.001125808,0.77425194,0.001125808,0.001125808,0.001125808,0.001125808,0.017089833
240376,0.20704615,0.014801551,0.222267,0.014801551,0.1575568,0.21655014,0.014801551,0.13737369,0.014801551,0.0036813663,0.0036813663,0.0036813663,0.75899845,0.22627611,0.0036813663,0.0011977854,0.1357151,0.06794215,0.0011977854,0.77033013,0.0011977854,0.0011977854,0.0011977854,0.0011977854,0.018826058
240377,0.34174505,0.009816101,0.0794302,0.009816101,0.029825795,0.4512305,0.009816101,0.05850404,0.009816101,2.06316e-05,2.06316e-05,2.06316e-05,0.8040546,0.19586287,2.06316e-05,0.003976468,0.13340461,0.065322585,0.003976468,0.74816346,0.003976468,0.003976468,0.003976468,0.003976468,0.029250551
240378,0.23286647,0.012085292,0.18708666,0.012085292,0.1172691,0.30089787,0.012085292,0.113538824,0.012085292,2.5340158e-05,2.5340158e-05,2.5340158e-05,0.77649593,0.22340274,2.5340158e-05,0.0011584499,0.1355344,0.066996664,0.0011584499,0.7730262,0.0011584499,0.0011584499,0.0011584499,0.0011584499,0.017492022
240379,0.22960672,0.011953832,0.17584415,0.011953832,0.14388905,0.27169433,0.011953832,0.13115041,0.011953832,4.5773636e-06,4.5773636e-06,4.5773636e-06,0.78471774,0.21526399,4.5773636e-06,0.0011406387,0.13530405,0.06711131,0.0011406387,0.773112,0.0011406387,0.0011406387,0.0011406387,0.0011406387,0.01762886
240381,0.23597383,0.011972718,0.17627497,0.011972718,0.108422905,0.31570095,0.011972718,0.11573643,0.011972718,1.4999018e-05,1.4999018e-05,1.4999018e-05,0.78254414,0.21739586,1.4999018e-05,0.0012268733,0.13628331,0.06741568,0.0012268733,0.7707527,0.0012268733,0.0012268733,0.0012268733,0.0012268733,0.01818701
