village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
238842,0.2869831,0.011213948,0.1183331,0.011213948,0.05158973,0.40257174,0.011213948,0.09566644,0.011213948,1.31939505e-05,1.31939505e-05,1.31939505e-05,0.82151765,0.17842957,1.31939505e-05,0.0017161014,0.13958573,0.07097867,0.0017161014,0.7541786,0.0017161014,0.0017161014,0.0017161014,0.0017161014,0.024960311
238843,0.2998077,0.0112423785,0.12999238,0.0112423785,0.046335876,0.39837846,0.0112423785,0.08051609,0.0112423785,0.0002243097,0.0002243097,0.0002243097,0.8183875,0.18071519,0.0002243097,0.0013826448,0.13745067,0.068624645,0.0013826448,0.76561433,0.0013826448,0.0013826448,0.0013826448,0.0013826448,0.020014623
238844,0.27973264,0.012055439,0.14208247,0.012055439,0.04721804,0.39426482,0.012055439,0.08848031,0.012055439,0.00022559986,0.00022559986,0.00022559986,0.7912733,0.2078243,0.00022559986,0.0024731162,0.14298753,0.07402249,0.0024731162,0.7354222,0.0024731162,0.0024731162,0.0024731162,0.0024731162,0.032728937
238846,0.27373496,0.010972472,0.12648028,0.010972472,0.07727022,0.3696047,0.010972472,0.109020114,0.010972472,1.6913156e-05,1.6913156e-05,1.6913156e-05,0.7941752,0.20575708,1.6913156e-05,0.0016663169,0.13952473,0.07025432,0.0016663169,0.7567013,0.0016663169,0.0016663169,0.0016663169,0.0016663169,0.023521934
238847,0.31053653,0.010659282,0.090554394,0.010659282,0.036047824,0.43958253,0.010659282,0.080641605,0.010659282,9.1608706e-07,9.1608706e-07,9.1608706e-07,0.81908625,0.18091013,9.1608706e-07,0.0018735887,0.14093776,0.0711741,0.0018735887,0.7511514,0.0018735887,0.0018735887,0.0018735887,0.0018735887,0.025495015
238848,0.20324318,0.0154701825,0.24298702,0.0154701825,0.14691852,0.21864943,0.0154701825,0.12632103,0.0154701825,0.0004404263,0.0004404263,0.0004404263,0.80865353,0.18958476,0.0004404263,0.0043889526,0.118376695,0.0656623,0.0043889526,0.73952526,0.0043889526,0.0043889526,0.0043889526,0.0043889526,0.05010199
238852,0.21738939,0.01332256,0.17827535,0.01332256,0.17224306,0.21672232,0.01332256,0.16207957,0.01332256,0.0035492498,0.0035492498,0.0035492498,0.76734316,0.21845983,0.0035492498,0.0012400714,0.1357565,0.068607874,0.0012400714,0.7682091,0.0012400714,0.0012400714,0.0012400714,0.0012400714,0.019986214
238855,0.33120567,0.010641449,0.10161078,0.010641449,0.031660154,0.4292892,0.010641449,0.063668385,0.010641449,6.4960346e-05,6.4960346e-05,6.4960346e-05,0.80445004,0.19529018,6.4960346e-05,0.0014203052,0.13781446,0.069013,0.0014203052,0.7638258,0.0014203052,0.0014203052,0.0014203052,0.0014203052,0.02082508
238856,0.22047658,0.012993314,0.18212673,0.012993314,0.17089985,0.22388415,0.012993314,0.15063944,0.012993314,0.003827963,0.003827963,0.003827963,0.7478224,0.23686574,0.003827963,0.0012112262,0.13570997,0.068042554,0.0012112262,0.76991695,0.0012112262,0.0012112262,0.0012112262,0.0012112262,0.019063042
238857,0.3908187,0.009019558,0.07815589,0.009019558,0.027100937,0.4326827,0.009019558,0.03516363,0.009019558,4.1674077e-05,4.1674077e-05,4.1674077e-05,0.807167,0.19266638,4.1674077e-05,0.0021719106,0.14153394,0.06623529,0.0021719106,0.7580518,0.0021719106,0.0021719106,0.0021719106,0.0021719106,0.021147616
238865,0.22444844,0.012518987,0.17018303,0.012518987,0.16052042,0.24175622,0.012518987,0.15301588,0.012518987,0.0038102132,0.0038102132,0.0038102132,0.7551111,0.22964801,0.0038102132,0.0014924324,0.1378333,0.07001636,0.0014924324,0.76040524,0.0014924324,0.0014924324,0.0014924324,0.0014924324,0.022790559
238866,0.26903886,0.010969446,0.060900625,0.010969446,0.03395883,0.46791688,0.010969446,0.124307044,0.010969446,0.0002474851,0.0002474851,0.0002474851,0.7923063,0.20670378,0.0002474851,0.0050672614,0.09833135,0.04736995,0.0050672614,0.7899654,0.0050672614,0.0050672614,0.0050672614,0.0050672614,0.033929683
238869,0.3801606,0.009260316,0.07982898,0.009260316,0.026884519,0.43653083,0.009260316,0.039553765,0.009260316,0.000109623994,0.000109623994,0.000109623994,0.78291273,0.21664865,0.000109623994,0.0037026822,0.14123066,0.076185316,0.0037026822,0.7190444,0.0037026822,0.0037026822,0.0037026822,0.0037026822,0.04132341
238874,0.30756515,0.010519274,0.1660971,0.010519274,0.07441647,0.34767014,0.010519274,0.062173985,0.010519274,0.0022476972,0.0022476972,0.0022476972,0.62464714,0.36636215,0.0022476972,0.0016945817,0.14045061,0.06552054,0.0016945817,0.76514137,0.0016945817,0.0016945817,0.0016945817,0.0016945817,0.018719899
238876,0.2254224,0.012396317,0.15930827,0.012396317,0.16690314,0.23403466,0.012396317,0.1647463,0.012396317,3.7465106e-05,3.7465106e-05,3.7465106e-05,0.80257446,0.19727556,3.7465106e-05,0.0012751957,0.13595754,0.06891405,0.0012751957,0.7669113,0.0012751957,0.0012751957,0.0012751957,0.0012751957,0.020566078
238877,0.2176687,0.013337858,0.1852886,0.013337858,0.16414665,0.22643657,0.013337858,0.15310813,0.013337858,2.348764e-06,2.348764e-06,2.348764e-06,0.81923693,0.18075368,2.348764e-06,0.0019256133,0.1409837,0.07184691,0.0019256133,0.74841005,0.0019256133,0.0019256133,0.0019256133,0.0019256133,0.027205799
238878,0.2176687,0.013337858,0.1852886,0.013337858,0.16414665,0.22643657,0.013337858,0.15310813,0.013337858,2.348764e-06,2.348764e-06,2.348764e-06,0.81923693,0.18075368,2.348764e-06,0.0019256133,0.1409837,0.07184691,0.0019256133,0.74841005,0.0019256133,0.0019256133,0.0019256133,0.0019256133,0.027205799
238885,0.23326443,0.011545301,0.15315051,0.011545301,0.14439458,0.2782833,0.011545301,0.14472589,0.011545301,6.61634e-07,6.61634e-07,6.61634e-07,0.81770825,0.18228911,6.61634e-07,0.0013381921,0.13668506,0.06898755,0.0013381921,0.7654979,0.0013381921,0.0013381921,0.0013381921,0.0013381921,0.020800414
238886,0.2841479,0.011521473,0.16738825,0.011521473,0.06409404,0.36136162,0.011521473,0.07692237,0.011521473,4.7549933e-05,4.7549933e-05,4.7549933e-05,0.8204086,0.1794012,4.7549933e-05,0.001616449,0.13969103,0.06890404,0.001616449,0.76060647,0.001616449,0.001616449,0.001616449,0.001616449,0.02109958
238889,0.23397078,0.011489148,0.1484899,0.011489148,0.15124387,0.26919568,0.011489148,0.15114322,0.011489148,9.448179e-07,9.448179e-07,9.448179e-07,0.8176664,0.18232985,9.448179e-07,0.0015294901,0.13813742,0.07004834,0.0015294901,0.759637,0.0015294901,0.0015294901,0.0015294901,0.0015294901,0.023000346
238890,0.32285312,0.010509116,0.10623423,0.010509116,0.039889086,0.41863775,0.010509116,0.070349425,0.010509116,1.2235009e-05,1.2235009e-05,1.2235009e-05,0.8209613,0.17898972,1.2235009e-05,0.0013910298,0.13766003,0.068109825,0.0013910298,0.7665502,0.0013910298,0.0013910298,0.0013910298,0.0013910298,0.019333886
238893,0.22462264,0.012485826,0.16294266,0.012485826,0.16492799,0.2357956,0.012485826,0.16176784,0.012485826,5.913034e-07,5.913034e-07,5.913034e-07,0.8175083,0.18248941,5.913034e-07,0.001354864,0.13664597,0.06936568,0.001354864,0.7643752,0.001354864,0.001354864,0.001354864,0.001354864,0.021483967
238894,0.23419367,0.0115396585,0.14409837,0.0115396585,0.13527754,0.2918997,0.0115396585,0.14837217,0.0115396585,7.137572e-07,7.137572e-07,7.137572e-07,0.81939274,0.18060435,7.137572e-07,0.0013917846,0.13700372,0.06954973,0.0013917846,0.7632609,0.0013917846,0.0013917846,0.0013917846,0.0013917846,0.021835042
238896,0.23030731,0.011915258,0.15892364,0.011915258,0.14278947,0.27464277,0.011915258,0.14567584,0.011915258,1.4626321e-06,1.4626321e-06,1.4626321e-06,0.81732374,0.18267035,1.4626321e-06,0.0015592809,0.13839103,0.07032404,0.0015592809,0.7583948,0.0015592809,0.0015592809,0.0015592809,0.0015592809,0.023534523
238897,0.22854686,0.012093126,0.16160256,0.012093126,0.15043022,0.26149067,0.012093126,0.14955717,0.012093126,6.884377e-07,6.884377e-07,6.884377e-07,0.8177156,0.1822817,6.884377e-07,0.0012618466,0.13591413,0.068787485,0.0012618466,0.76740575,0.0012618466,0.0012618466,0.0012618466,0.0012618466,0.020321675
238898,0.26972404,0.0112603335,0.106890894,0.0112603335,0.06342836,0.39355162,0.0112603335,0.12136372,0.0112603335,3.5781028e-05,3.5781028e-05,3.5781028e-05,0.8175259,0.18233103,3.5781028e-05,0.002411712,0.14254515,0.073999844,0.002411712,0.73640066,0.002411712,0.002411712,0.002411712,0.002411712,0.032583974
238900,0.21746422,0.013399831,0.19537002,0.013399831,0.1548516,0.23660845,0.013399831,0.14210641,0.013399831,1.8151668e-06,1.8151668e-06,1.8151668e-06,0.8188664,0.18112634,1.8151668e-06,0.001597067,0.13880397,0.07038322,0.001597067,0.7575708,0.001597067,0.001597067,0.001597067,0.001597067,0.023659732
238901,0.21076308,0.014430629,0.226112,0.014430629,0.146947,0.23168987,0.014430629,0.12676544,0.014430629,2.503306e-06,2.503306e-06,2.503306e-06,0.8183736,0.18161632,2.503306e-06,0.0036259259,0.1414596,0.07644925,0.0036259259,0.7181193,0.0036259259,0.0036259259,0.0036259259,0.0036259259,0.042216256
238902,0.21946897,0.013351902,0.2187717,0.013351902,0.11839065,0.2784402,0.013351902,0.111520894,0.013351902,1.344468e-06,1.344468e-06,1.344468e-06,0.8185506,0.18144402,1.344468e-06,0.0036343813,0.14118285,0.0778264,0.0036343813,0.713773,0.0036343813,0.0036343813,0.0036343813,0.0036343813,0.045411427
238903,0.34690243,0.0099113425,0.085227534,0.0099113425,0.03001081,0.44244993,0.0099113425,0.05576389,0.0099113425,5.2092723e-06,5.2092723e-06,5.2092723e-06,0.8154209,0.18455818,5.2092723e-06,0.0027427948,0.14397608,0.07383257,0.0027427948,0.73258966,0.0027427948,0.0027427948,0.0027427948,0.0027427948,0.033144876
238904,0.23256136,0.011726182,0.14562304,0.011726182,0.14989105,0.26679525,0.011726182,0.15822452,0.011726182,3.9373153e-06,3.9373153e-06,3.9373153e-06,0.8254291,0.1745552,3.9373153e-06,0.0015785533,0.13833734,0.07065655,0.0015785533,0.7574058,0.0015785533,0.0015785533,0.0015785533,0.0015785533,0.024129074
238905,0.25116798,0.012507745,0.2211796,0.012507745,0.098085165,0.30385903,0.012507745,0.07567729,0.012507745,0.002716802,0.002716802,0.002716802,0.71770555,0.2714272,0.002716802,0.0011312063,0.13617063,0.06501323,0.0011312063,0.77688605,0.0011312063,0.0011312063,0.0011312063,0.0011312063,0.0151431225
238906,0.21325517,0.014051126,0.2205026,0.014051126,0.13864453,0.24529414,0.014051126,0.12609899,0.014051126,0.0027382607,0.0027382607,0.0027382607,0.80869883,0.18034807,0.0027382607,0.0012370562,0.13580059,0.06848723,0.0012370562,0.7684897,0.0012370562,0.0012370562,0.0012370562,0.0012370562,0.019800246
238907,0.21325517,0.014051126,0.2205026,0.014051126,0.13864453,0.24529414,0.014051126,0.12609899,0.014051126,0.0027382607,0.0027382607,0.0027382607,0.80869883,0.18034807,0.0027382607,0.0012370562,0.13580059,0.06848723,0.0012370562,0.7684897,0.0012370562,0.0012370562,0.0012370562,0.0012370562,0.019800246
238908,0.215789,0.013723907,0.21591057,0.013723907,0.13657083,0.25222704,0.013723907,0.12460697,0.013723907,3.575314e-06,3.575314e-06,3.575314e-06,0.8203093,0.17967637,3.575314e-06,0.0025625362,0.14337444,0.07435852,0.0025625362,0.7332263,0.0025625362,0.0025625362,0.0025625362,0.0025625362,0.033665583
238914,0.22534385,0.012404001,0.1607945,0.012404001,0.16610685,0.2352345,0.012404001,0.16290426,0.012404001,0.00062994775,0.00062994775,0.00062994775,0.77277577,0.22470438,0.00062994775,0.001263653,0.13591078,0.06879187,0.001263653,0.7673919,0.001263653,0.001263653,0.001263653,0.001263653,0.02032359
238916,0.22139154,0.012867229,0.17638451,0.012867229,0.164705,0.2316995,0.012867229,0.15435055,0.012867229,0.0035095976,0.0035095976,0.0035095976,0.77516603,0.21079557,0.0035095976,0.0012384208,0.13580117,0.068498075,0.0012384208,0.76845896,0.0012384208,0.0012384208,0.0012384208,0.0012384208,0.019811187
238917,0.22309412,0.012648354,0.16420674,0.012648354,0.17122103,0.22554712,0.012648354,0.16533758,0.012648354,0.0034932971,0.0034932971,0.0034932971,0.7746739,0.21135299,0.0034932971,0.0012590539,0.13589078,0.068733856,0.0012590539,0.76758933,0.0012590539,0.0012590539,0.0012590539,0.0012590539,0.020231444
