subdistrict_code,0_0,0_1,0_2
1421,0.79996896,0.14694877,0.053082332
1422,0.6095642,0.26403272,0.12640302
1423,0.7075883,0.21943706,0.0729747
1424,0.7779411,0.15988438,0.062174577
1425,0.7936742,0.15285131,0.053474505
1426,0.7385399,0.18496688,0.0764932
1427,0.78299636,0.15669581,0.06030777
1428,0.82077616,0.13754474,0.04167911
1429,0.7473389,0.18019234,0.0724687
1430,0.8181073,0.13879839,0.04309431
1431,0.8295381,0.13644505,0.034016784
1432,0.75824064,0.17323962,0.06851971
1433,0.76580095,0.16837093,0.06582816
1434,0.7480696,0.17767932,0.07425103
