village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
246572,0.21929795,0.013883355,0.24575421,0.013883355,0.10181964,0.28565833,0.013883355,0.091936566,0.013883355,0.00040746527,0.00040746527,0.00040746527,0.7961917,0.20217843,0.00040746527,0.0039275354,0.13781574,0.07415459,0.0039275354,0.7247357,0.0039275354,0.0039275354,0.0039275354,0.0039275354,0.039728865
246573,0.22436018,0.013139588,0.22437479,0.013139588,0.11138971,0.28702447,0.013139588,0.100292504,0.013139588,0.00011462432,0.00011462432,0.00011462432,0.7785276,0.22101384,0.00011462432,0.0026446052,0.14441279,0.07367764,0.0026446052,0.733897,0.0026446052,0.0026446052,0.0026446052,0.0026446052,0.032145128
246575,0.22331086,0.012730751,0.1909203,0.012730751,0.13740957,0.2674314,0.012730751,0.1300048,0.012730751,1.1170295e-05,1.1170295e-05,1.1170295e-05,0.798141,0.20181435,1.1170295e-05,0.0027214943,0.14333034,0.074450426,0.0027214943,0.730888,0.0027214943,0.0027214943,0.0027214943,0.0027214943,0.03500238
246576,0.22500397,0.012506829,0.17996728,0.012506829,0.1468144,0.25950155,0.012506829,0.13868542,0.012506829,3.6812191e-06,3.6812191e-06,3.6812191e-06,0.81509,0.18489525,3.6812191e-06,0.0015317934,0.13829207,0.070248425,0.0015317934,0.75903726,0.0015317934,0.0015317934,0.0015317934,0.0015317934,0.0232315
246577,0.22844732,0.012323793,0.18867028,0.012323793,0.122384325,0.29211187,0.012323793,0.11909097,0.012323793,6.6579414e-06,6.6579414e-06,6.6579414e-06,0.8119276,0.1880458,6.6579414e-06,0.003736072,0.14033167,0.07824169,0.003736072,0.7121679,0.003736072,0.003736072,0.003736072,0.003736072,0.046842366
246578,0.22597928,0.01239949,0.17355977,0.01239949,0.14708629,0.26111507,0.01239949,0.1426616,0.01239949,2.0453604e-06,2.0453604e-06,2.0453604e-06,0.81383276,0.18615915,2.0453604e-06,0.002279673,0.14218923,0.07349679,0.002279673,0.7393841,0.002279673,0.002279673,0.002279673,0.002279673,0.031251702
246579,0.32472578,0.010169221,0.0980458,0.010169221,0.04170124,0.42497614,0.010169221,0.069874346,0.010169221,4.982154e-06,4.982154e-06,4.982154e-06,0.820143,0.17983708,4.982154e-06,0.0034574268,0.14161481,0.075538345,0.0034574268,0.72173756,0.0034574268,0.0034574268,0.0034574268,0.0034574268,0.04036461
246580,0.21266979,0.0146814305,0.25848377,0.0146814305,0.13292487,0.2408711,0.0146814305,0.096324846,0.0146814305,4.0651154e-05,4.0651154e-05,4.0651154e-05,0.80348873,0.19634871,4.0651154e-05,0.0026655518,0.14452988,0.07216905,0.0026655518,0.7374773,0.0026655518,0.0026655518,0.0026655518,0.0026655518,0.029830497
246581,0.21328352,0.014538942,0.25117183,0.014538942,0.1426516,0.23407283,0.014538942,0.100664385,0.014538942,2.0609872e-05,2.0609872e-05,2.0609872e-05,0.807522,0.19239557,2.0609872e-05,0.0033817217,0.14213537,0.07370411,0.0033817217,0.72783494,0.0033817217,0.0033817217,0.0033817217,0.0033817217,0.036035087
246583,0.2196931,0.013319142,0.21877483,0.013319142,0.12685686,0.2683895,0.013319142,0.113009095,0.013319142,0.000105448154,0.000105448154,0.000105448154,0.77877796,0.22080025,0.000105448154,0.0018948587,0.14168304,0.07103915,0.0018948587,0.7505677,0.0018948587,0.0018948587,0.0018948587,0.0018948587,0.025340797
246584,0.23030956,0.011886971,0.16060841,0.011886971,0.14513296,0.27200767,0.011886971,0.14439349,0.011886971,9.681384e-07,9.681384e-07,9.681384e-07,0.8039595,0.19603665,9.681384e-07,0.0012980294,0.13624682,0.068899214,0.0012980294,0.7663957,0.0012980294,0.0012980294,0.0012980294,0.0012980294,0.020669913
246585,0.22875196,0.012076566,0.17461228,0.012076566,0.13639592,0.28008792,0.012076566,0.13184565,0.012076566,6.0764787e-06,6.0764787e-06,6.0764787e-06,0.8088956,0.19108014,6.0764787e-06,0.0014086505,0.13717158,0.06964795,0.0014086505,0.76271546,0.0014086505,0.0014086505,0.0014086505,0.0014086505,0.022012994
246586,0.24421993,0.011938018,0.16111508,0.011938018,0.09149638,0.34043223,0.011938018,0.11498431,0.011938018,2.97848e-05,2.97848e-05,2.97848e-05,0.7950602,0.20482065,2.97848e-05,0.0025678596,0.14335477,0.073854946,0.0025678596,0.7344248,0.0025678596,0.0025678596,0.0025678596,0.0025678596,0.03295826
246590,0.25895977,0.011560712,0.09989065,0.011560712,0.061386418,0.39713734,0.011560712,0.13638285,0.011560712,0.00012970823,0.00012970823,0.00012970823,0.8217739,0.17770725,0.00012970823,0.0035930872,0.1419563,0.076731846,0.0035930872,0.71725875,0.0035930872,0.0035930872,0.0035930872,0.0035930872,0.042494714
