village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
247790,0.22506109,0.012441431,0.15788232,0.012441431,0.16999502,0.22904244,0.012441431,0.16825339,0.012441431,1.3052538e-06,1.3052538e-06,1.3052538e-06,0.82157975,0.17841499,1.3052538e-06,0.0012516527,0.13572565,0.068817705,0.0012516527,0.76757646,0.0012516527,0.0012516527,0.0012516527,0.0012516527,0.020370256
247792,0.3590891,0.009898524,0.096169256,0.009898524,0.032419734,0.4230008,0.009898524,0.04972691,0.009898524,2.8530217e-06,2.8530217e-06,2.8530217e-06,0.8186332,0.18135542,2.8530217e-06,0.0015643515,0.1387782,0.06936783,0.0015643515,0.76082474,0.0015643515,0.0015643515,0.0015643515,0.0015643515,0.021643154
247793,0.27982455,0.012424263,0.16140112,0.012424263,0.046274778,0.3835048,0.012424263,0.0792977,0.012424263,3.0757154e-05,3.0757154e-05,3.0757154e-05,0.8218037,0.17807327,3.0757154e-05,0.0025211987,0.14356641,0.074114524,0.0025211987,0.7344094,0.0025211987,0.0025211987,0.0025211987,0.0025211987,0.032782327
247794,0.35174665,0.010158197,0.102384835,0.010158197,0.033393294,0.41905293,0.010158197,0.052789606,0.010158197,0.0020720297,0.0020720297,0.0020720297,0.7619259,0.22978589,0.0020720297,0.001688008,0.14065567,0.06939298,0.001688008,0.75800836,0.001688008,0.001688008,0.001688008,0.001688008,0.0218148
247795,0.22391969,0.01355435,0.2335808,0.01355435,0.09433105,0.3001906,0.01355435,0.093760505,0.01355435,0.0034166211,0.0034166211,0.0034166211,0.7874306,0.1989029,0.0034166211,0.0030529774,0.14395045,0.07515499,0.0030529774,0.7255193,0.0030529774,0.0030529774,0.0030529774,0.0030529774,0.03705742
247796,0.33914742,0.010123196,0.09272367,0.010123196,0.033318415,0.43379757,0.010123196,0.060520213,0.010123196,1.158383e-05,1.158383e-05,1.158383e-05,0.8203868,0.17956692,1.158383e-05,0.001820847,0.14118484,0.069714054,0.001820847,0.7556204,0.001820847,0.001820847,0.001820847,0.001820847,0.02255572
247797,0.32341167,0.010299475,0.10587862,0.010299475,0.04373727,0.41529942,0.010299475,0.070475176,0.010299475,6.330065e-05,6.330065e-05,6.330065e-05,0.797862,0.20188469,6.330065e-05,0.0033413423,0.14247862,0.0723987,0.0033413423,0.732078,0.0033413423,0.0033413423,0.0033413423,0.0033413423,0.03299671
247800,0.38539004,0.009217322,0.081060275,0.009217322,0.027172567,0.43207353,0.009217322,0.037434272,0.009217322,1.4731766e-06,1.4731766e-06,1.4731766e-06,0.822596,0.17739807,1.4731766e-06,0.0016482337,0.13962264,0.0691858,0.0016482337,0.7598467,0.0016482337,0.0016482337,0.0016482337,0.0016482337,0.021455593
247801,0.25464016,0.011850464,0.12888233,0.011850464,0.071411885,0.374,0.011850464,0.12366374,0.011850464,0.0020861013,0.0020861013,0.0020861013,0.8181325,0.17352302,0.0020861013,0.00280207,0.14368173,0.075113684,0.00280207,0.7283834,0.00280207,0.00280207,0.00280207,0.00280207,0.03600871
247805,0.33558002,0.010185739,0.08953822,0.010185739,0.031991597,0.43952787,0.010185739,0.062619425,0.010185739,3.8892285e-05,3.8892285e-05,3.8892285e-05,0.8155895,0.18425494,3.8892285e-05,0.0033708003,0.14331949,0.075419016,0.0033708003,0.7226325,0.0033708003,0.0033708003,0.0033708003,0.0033708003,0.038404096
