village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
226706,0.22283381,0.012680077,0.16883583,0.012680077,0.16708986,0.23095335,0.012680077,0.15956688,0.012680077,0.0005742317,0.0005742317,0.0005742317,0.7932908,0.20441227,0.0005742317,0.0012402332,0.13566428,0.06865103,0.0012402332,0.7681409,0.0012402332,0.0012402332,0.0012402332,0.0012402332,0.020102454
226708,0.22122864,0.012960086,0.1915246,0.012960086,0.14869925,0.24976288,0.012960086,0.13694428,0.012960086,0.00097490626,0.00097490626,0.00097490626,0.8003626,0.19573787,0.00097490626,0.0012067206,0.13557787,0.068205155,0.0012067206,0.76971817,0.0012067206,0.0012067206,0.0012067206,0.0012067206,0.019258544
226709,0.21797846,0.013480185,0.2175413,0.013480185,0.13408154,0.25810134,0.013480185,0.11837664,0.013480185,0.0034933577,0.0034933577,0.0034933577,0.7795453,0.20648125,0.0034933577,0.0012106457,0.13567941,0.06807632,0.0012106457,0.7699076,0.0012106457,0.0012106457,0.0012106457,0.0012106457,0.019072767
226711,0.22716258,0.012260698,0.18186034,0.012260698,0.13671015,0.2762041,0.012260698,0.12902014,0.012260698,0.0025013136,0.0025013136,0.0025013136,0.80411196,0.18588273,0.0025013136,0.0012147216,0.13573834,0.06815297,0.0012147216,0.76966053,0.0012147216,0.0012147216,0.0012147216,0.0012147216,0.019159917
226712,0.22345927,0.012731946,0.19676305,0.012731946,0.13655347,0.26717728,0.012731946,0.12511925,0.012731946,0.003390317,0.003390317,0.003390317,0.7934952,0.19294368,0.003390317,0.0012339797,0.1358327,0.06830253,0.0012339797,0.7690219,0.0012339797,0.0012339797,0.0012339797,0.0012339797,0.019439163
226713,0.23366958,0.013272566,0.24121912,0.013272566,0.13553518,0.2605272,0.013272566,0.075958684,0.013272566,0.0014116692,0.0014116692,0.0014116692,0.5168029,0.4775504,0.0014116692,0.00422092,0.12301882,0.056129616,0.00422092,0.7718521,0.00422092,0.00422092,0.00422092,0.00422092,0.023673803
226714,0.22752982,0.012199291,0.17564934,0.012199291,0.14154728,0.2714569,0.012199291,0.13501948,0.012199291,0.003176595,0.003176595,0.003176595,0.7951704,0.19212328,0.003176595,0.0012312332,0.13568026,0.06842899,0.0012312332,0.7687756,0.0012312332,0.0012312332,0.0012312332,0.0012312332,0.019727603
226715,0.22144638,0.012863414,0.17521852,0.012863414,0.16404396,0.23244466,0.012863414,0.15539283,0.012863414,0.003450043,0.003450043,0.003450043,0.78092057,0.20527929,0.003450043,0.0012528583,0.13576984,0.06874516,0.0012528583,0.7677111,0.0012528583,0.0012528583,0.0012528583,0.0012528583,0.020256702
226716,0.21612883,0.013687636,0.21888101,0.013687636,0.13210991,0.25766608,0.013687636,0.12046366,0.013687636,0.003566912,0.003566912,0.003566912,0.788626,0.1971063,0.003566912,0.0012312018,0.13580844,0.068309166,0.0012312018,0.7690181,0.0012312018,0.0012312018,0.0012312018,0.0012312018,0.019477038
226717,0.22430092,0.012544399,0.17125061,0.012544399,0.1592521,0.24303152,0.012544399,0.15198733,0.012544399,0.00021953166,0.00021953166,0.00021953166,0.8138949,0.18522696,0.00021953166,0.0012494342,0.13571577,0.06879748,0.0012494342,0.76766264,0.0012494342,0.0012494342,0.0012494342,0.0012494342,0.020327605
