village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
254545,0.20876199,0.014546656,0.21621728,0.014546656,0.16253564,0.21475036,0.014546656,0.13954806,0.014546656,4.317953e-05,4.317953e-05,4.317953e-05,0.7872976,0.2125297,4.317953e-05,0.0012552951,0.13645211,0.06778625,0.0012552951,0.7694314,0.0012552951,0.0012552951,0.0012552951,0.0012552951,0.018798307
254547,0.20967014,0.014629281,0.2237771,0.014629281,0.16332458,0.21360761,0.014629281,0.13110337,0.014629281,1.82537e-05,1.82537e-05,1.82537e-05,0.7800292,0.21989778,1.82537e-05,0.0011843793,0.13579184,0.067184374,0.0011843793,0.77205133,0.0011843793,0.0011843793,0.0011843793,0.0011843793,0.017866075
254548,0.39044458,0.009145072,0.07886651,0.009145072,0.025631933,0.43323195,0.009145072,0.035244767,0.009145072,5.192383e-05,5.192383e-05,5.192383e-05,0.8190406,0.18075174,5.192383e-05,0.0018774488,0.14155842,0.06962238,0.0018774488,0.7550096,0.0018774488,0.0018774488,0.0018774488,0.0018774488,0.022544775
254549,0.31761652,0.010385056,0.14303152,0.010385056,0.060822472,0.37053347,0.010385056,0.06645587,0.010385056,4.118443e-05,4.118443e-05,4.118443e-05,0.78603864,0.21379657,4.118443e-05,0.0014627106,0.1382556,0.067993954,0.0014627106,0.7659029,0.0014627106,0.0014627106,0.0014627106,0.0014627106,0.019071503
254555,0.21099374,0.014222966,0.20487025,0.014222966,0.15978011,0.22045302,0.014222966,0.14701095,0.014222966,1.850726e-06,1.850726e-06,1.850726e-06,0.8113766,0.18861607,1.850726e-06,0.001457659,0.13761503,0.06978476,0.001457659,0.76147795,0.001457659,0.001457659,0.001457659,0.001457659,0.022376304
254556,0.2107973,0.014594012,0.24692081,0.014594012,0.13768706,0.23862919,0.014594012,0.10758962,0.014594012,0.0003791838,0.0003791838,0.0003791838,0.7346357,0.26384762,0.0003791838,0.0016332213,0.14098838,0.0675373,0.0016332213,0.7620081,0.0016332213,0.0016332213,0.0016332213,0.0016332213,0.019666934
254557,0.21156743,0.014318938,0.23424432,0.014318938,0.13496616,0.2455093,0.014318938,0.11643705,0.014318938,8.540367e-05,8.540367e-05,8.540367e-05,0.763665,0.2359934,8.540367e-05,0.001469818,0.13883321,0.06837443,0.001469818,0.7639473,0.001469818,0.001469818,0.001469818,0.001469818,0.020026302
254558,0.21816054,0.01342122,0.21030594,0.01342122,0.13885039,0.2539235,0.01342122,0.12507477,0.01342122,1.360922e-05,1.360922e-05,1.360922e-05,0.7986252,0.2013203,1.360922e-05,0.001276912,0.1365078,0.06798358,0.001276912,0.7686246,0.001276912,0.001276912,0.001276912,0.001276912,0.019222602
254560,0.22045162,0.013138226,0.20697302,0.013138226,0.13996403,0.25664657,0.013138226,0.123411946,0.013138226,3.6055953e-05,3.6055953e-05,3.6055953e-05,0.77687037,0.22298543,3.6055953e-05,0.001361459,0.13728191,0.06838959,0.001361459,0.7661503,0.001361459,0.001361459,0.001361459,0.001361459,0.020009343
254565,0.3085274,0.010574105,0.14768246,0.010574105,0.063214466,0.36741653,0.010574105,0.07086283,0.010574105,2.9819386e-05,2.9819386e-05,2.9819386e-05,0.78899485,0.21088587,2.9819386e-05,0.001546095,0.13884428,0.06814088,0.001546095,0.76430005,0.001546095,0.001546095,0.001546095,0.001546095,0.019438324
254568,0.38168108,0.009362286,0.08243464,0.009362286,0.026772987,0.4325697,0.009362286,0.039092463,0.009362286,2.9981995e-05,2.9981995e-05,2.9981995e-05,0.8232381,0.17664194,2.9981995e-05,0.0017081152,0.14054245,0.0685829,0.0017081152,0.7602027,0.0017081152,0.0017081152,0.0017081152,0.0017081152,0.020423103
254569,0.26409885,0.011125712,0.06530512,0.011125712,0.039421096,0.4527496,0.011125712,0.13392252,0.011125712,8.6550506e-05,8.6550506e-05,8.6550506e-05,0.78156686,0.21808687,8.6550506e-05,0.0046603433,0.11532948,0.059089743,0.0046603433,0.7626475,0.0046603433,0.0046603433,0.0046603433,0.0046603433,0.034971092
254571,0.26982224,0.011186904,0.1676396,0.011186904,0.09344248,0.33202016,0.011186904,0.092327885,0.011186904,0.0036226544,0.0036226544,0.0036226544,0.7575309,0.22797845,0.0036226544,0.0012877742,0.13626984,0.067731336,0.0012877742,0.7698754,0.0012877742,0.0012877742,0.0012877742,0.0012877742,0.018396664
254572,0.2349711,0.011996252,0.19028404,0.011996252,0.12083606,0.2954426,0.011996252,0.1104812,0.011996252,0.0037320429,0.0037320429,0.0037320429,0.7573463,0.2277256,0.0037320429,0.0012714444,0.13633774,0.068092756,0.0012714444,0.76881623,0.0012714444,0.0012714444,0.0012714444,0.0012714444,0.019124495
254574,0.26431105,0.011207523,0.14770769,0.011207523,0.08845259,0.3478617,0.011207523,0.106836945,0.011207523,0.003565259,0.003565259,0.003565259,0.7594934,0.2262455,0.003565259,0.0013035506,0.13660084,0.067426294,0.0013035506,0.7701959,0.0013035506,0.0013035506,0.0013035506,0.0013035506,0.017955555
254577,0.3744627,0.009465449,0.091121435,0.009465449,0.03256806,0.4214152,0.009465449,0.042570822,0.009465449,7.298966e-05,7.298966e-05,7.298966e-05,0.8100714,0.18963656,7.298966e-05,0.001861863,0.14094743,0.069141135,0.001861863,0.7574099,0.001861863,0.001861863,0.001861863,0.001861863,0.021330353
254578,0.34895864,0.010092298,0.09029634,0.010092298,0.029214954,0.4367232,0.010092298,0.054437686,0.010092298,0.00013519726,0.00013519726,0.00013519726,0.80755854,0.19190072,0.00013519726,0.0013379287,0.13678229,0.06883819,0.0013379287,0.7658561,0.0013379287,0.0013379287,0.0013379287,0.0013379287,0.020495735
254579,0.38894683,0.009092804,0.07868832,0.009092804,0.026626036,0.43350366,0.009092804,0.035863936,0.009092804,7.324856e-06,7.324856e-06,7.324856e-06,0.82036895,0.17960171,7.324856e-06,0.003315417,0.1420257,0.07217619,0.003315417,0.73325527,0.003315417,0.003315417,0.003315417,0.003315417,0.032650422
254580,0.23829767,0.011355442,0.12923223,0.011355442,0.11789446,0.31964913,0.011355442,0.14950478,0.011355442,0.003334572,0.003334572,0.003334572,0.7991247,0.18753704,0.003334572,0.004490853,0.10925908,0.060631778,0.004490853,0.74318826,0.004490853,0.004490853,0.004490853,0.004490853,0.0599757
