village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
229746,0.3629207,0.009835731,0.08983769,0.009835731,0.028817877,0.43141383,0.009835731,0.047667045,0.009835731,0.0021637874,0.0021637874,0.0021637874,0.7824297,0.2089152,0.0021637874,0.0014210407,0.1381392,0.067402676,0.0014210407,0.7678295,0.0014210407,0.0014210407,0.0014210407,0.0014210407,0.018102376
229747,0.38222697,0.009373215,0.083644316,0.009373215,0.027264755,0.43050277,0.009373215,0.03886849,0.009373215,0.0035173302,0.0035173302,0.0035173302,0.7805976,0.205333,0.0035173302,0.0014494197,0.13863605,0.06658017,0.0014494197,0.7686568,0.0014494197,0.0014494197,0.0014494197,0.0014494197,0.017430505
229749,0.3128776,0.010699065,0.10820895,0.010699065,0.041988615,0.4170693,0.010699065,0.07705932,0.010699065,0.00023323609,0.00023323609,0.00023323609,0.7626626,0.23640452,0.00023323609,0.0014712039,0.1384866,0.068464875,0.0014712039,0.7639595,0.0014712039,0.0014712039,0.0014712039,0.0014712039,0.020261956
229752,0.31088063,0.010528949,0.091575205,0.010528949,0.03930195,0.43543056,0.010528949,0.08069577,0.010528949,0.0005170152,0.0005170152,0.0005170152,0.7923063,0.20562556,0.0005170152,0.004144819,0.13173603,0.06735477,0.004144819,0.74307877,0.004144819,0.004144819,0.004144819,0.004144819,0.0329615
229755,0.2998077,0.0112423785,0.12999238,0.0112423785,0.046335876,0.39837846,0.0112423785,0.08051609,0.0112423785,0.0002243097,0.0002243097,0.0002243097,0.8183875,0.18071519,0.0002243097,0.0013826448,0.13745067,0.068624645,0.0013826448,0.76561433,0.0013826448,0.0013826448,0.0013826448,0.0013826448,0.020014623
229756,0.2803197,0.011348876,0.12330644,0.011348876,0.05598985,0.39471683,0.011348876,0.100271806,0.011348876,1.3541099e-05,1.3541099e-05,1.3541099e-05,0.78948736,0.21045838,1.3541099e-05,0.001699012,0.14001927,0.070173904,0.001699012,0.7561628,0.001699012,0.001699012,0.001699012,0.001699012,0.023450099
229757,0.30652636,0.011052416,0.12490927,0.011052416,0.04464318,0.40260065,0.011052416,0.077111,0.011052416,0.00016329995,0.00016329995,0.00016329995,0.76101476,0.23833206,0.00016329995,0.0016011215,0.13974462,0.06894733,0.0016011215,0.76058096,0.0016011215,0.0016011215,0.0016011215,0.0016011215,0.021120349
229759,0.24764748,0.011621649,0.14475365,0.011621649,0.092078105,0.3461603,0.011621649,0.12287399,0.011621649,6.9426137e-06,6.9426137e-06,6.9426137e-06,0.79375935,0.20621297,6.9426137e-06,0.0012937706,0.13654475,0.068210594,0.0012937706,0.767965,0.0012937706,0.0012937706,0.0012937706,0.0012937706,0.019517036
229762,0.23432122,0.012050032,0.18346484,0.012050032,0.112901226,0.30737084,0.012050032,0.113741666,0.012050032,1.2822074e-05,1.2822074e-05,1.2822074e-05,0.78155893,0.21838978,1.2822074e-05,0.0013323983,0.1371166,0.06816036,0.0013323983,0.7672145,0.0013323983,0.0013323983,0.0013323983,0.0013323983,0.019514294
229765,0.23441808,0.011961807,0.17030253,0.011961807,0.1104162,0.31546852,0.011961807,0.121547446,0.011961807,2.1017306e-06,2.1017306e-06,2.1017306e-06,0.80974185,0.1902498,2.1017306e-06,0.0012245369,0.13562858,0.068381436,0.0012245369,0.76899964,0.0012245369,0.0012245369,0.0012245369,0.0012245369,0.0196431
229766,0.24097936,0.011967981,0.17999819,0.011967981,0.10139107,0.32154858,0.011967981,0.10821085,0.011967981,4.1811672e-06,4.1811672e-06,4.1811672e-06,0.7956911,0.2042923,4.1811672e-06,0.0012466916,0.13617727,0.0679412,0.0012466916,0.76941633,0.0012466916,0.0012466916,0.0012466916,0.0012466916,0.018985128
229767,0.3192495,0.010439582,0.084846415,0.010439582,0.03219444,0.44828996,0.010439582,0.07366129,0.010439582,0.0038194798,0.0038194798,0.0038194798,0.7501465,0.23457554,0.0038194798,0.004074592,0.13336489,0.068153314,0.004074592,0.74095863,0.004074592,0.004074592,0.004074592,0.004074592,0.03307546
229769,0.23084784,0.012230053,0.19036248,0.012230053,0.11749403,0.2986413,0.012230053,0.11373415,0.012230053,1.0765973e-05,1.0765973e-05,1.0765973e-05,0.78348744,0.21646948,1.0765973e-05,0.0012407545,0.1360979,0.06800288,0.0012407545,0.76935035,0.0012407545,0.0012407545,0.0012407545,0.0012407545,0.019104145
