village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
260026,0.21015315,0.013436951,0.13537851,0.013436951,0.20210852,0.16372102,0.013436951,0.23489098,0.013436951,0.0032895536,0.0032895536,0.0032895536,0.79035693,0.1964849,0.0032895536,0.0051656715,0.07323232,0.03509365,0.0051656715,0.7877565,0.0051656715,0.0051656715,0.0051656715,0.0051656715,0.072923385
260029,0.22834952,0.012143602,0.1537404,0.012143602,0.15569672,0.25250626,0.012143602,0.16113274,0.012143602,0.0028631825,0.0028631825,0.0028631825,0.80761856,0.18092877,0.0028631825,0.0046040476,0.102715425,0.05601732,0.0046040476,0.75059557,0.0046040476,0.0046040476,0.0046040476,0.0046040476,0.06304729
260030,0.22121474,0.013282332,0.21765423,0.013282332,0.113039,0.28583422,0.013282332,0.10912845,0.013282332,0.0025778918,0.0025778918,0.0025778918,0.81464714,0.17504139,0.0025778918,0.0046944623,0.10103219,0.054001126,0.0046944623,0.7581954,0.0046944623,0.0046944623,0.0046944623,0.0046944623,0.058604542
260031,0.3125655,0.010547859,0.08601486,0.010547859,0.03446894,0.44559476,0.010547859,0.0791646,0.010547859,0.0027470205,0.0027470205,0.0027470205,0.81325,0.17576188,0.0027470205,0.0036329753,0.13982938,0.07064549,0.0036329753,0.7354966,0.0036329753,0.0036329753,0.0036329753,0.0036329753,0.032230794
260034,0.23285957,0.01195856,0.18234454,0.01195856,0.12186057,0.29807842,0.01195856,0.11702258,0.01195856,1.3046264e-05,1.3046264e-05,1.3046264e-05,0.7796677,0.22028017,1.3046264e-05,0.0012497809,0.13672,0.06740256,0.0012497809,0.77021116,0.0012497809,0.0012497809,0.0012497809,0.0012497809,0.018167485
260038,0.24171516,0.011723303,0.16373292,0.011723303,0.10292494,0.32746693,0.011723303,0.11726679,0.011723303,4.486362e-06,4.486362e-06,4.486362e-06,0.79334515,0.20663697,4.486362e-06,0.0012312685,0.1359498,0.06817613,0.0012312685,0.7691863,0.0012312685,0.0012312685,0.0012312685,0.0012312685,0.01930018
260039,0.23049599,0.011877275,0.165313,0.011877275,0.13761745,0.282194,0.011877275,0.13687049,0.011877275,9.472966e-06,9.472966e-06,9.472966e-06,0.79327905,0.20668301,9.472966e-06,0.001243693,0.13612892,0.06822728,0.001243693,0.76877457,0.001243693,0.001243693,0.001243693,0.001243693,0.019407019
260040,0.22901173,0.012039033,0.17104782,0.012039033,0.13882506,0.2777409,0.012039033,0.13521844,0.012039033,1.4903825e-06,1.4903825e-06,1.4903825e-06,0.803398,0.19659595,1.4903825e-06,0.001284138,0.13634054,0.068566106,0.001284138,0.76733774,0.001284138,0.001284138,0.001284138,0.001284138,0.02005096
260042,0.24833824,0.01146753,0.09328951,0.01146753,0.07459804,0.37898445,0.01146753,0.15891948,0.01146753,0.001704469,0.001704469,0.001704469,0.8112884,0.1818937,0.001704469,0.0047327783,0.10699844,0.055859867,0.0047327783,0.7642668,0.0047327783,0.0047327783,0.0047327783,0.0047327783,0.044478312
260043,0.2948376,0.010898397,0.085376345,0.010898397,0.037528254,0.44374847,0.010898397,0.094915845,0.010898397,0.0017723101,0.0017723101,0.0017723101,0.81099695,0.18191378,0.0017723101,0.0043128002,0.12620991,0.06854055,0.0043128002,0.7379156,0.0043128002,0.0043128002,0.0043128002,0.0043128002,0.041457064
260044,0.24997121,0.011481041,0.097439095,0.011481041,0.0744646,0.37876645,0.011481041,0.1534345,0.011481041,0.0003609161,0.0003609161,0.0003609161,0.8200301,0.17852627,0.0003609161,0.004718492,0.10697711,0.05599861,0.004718492,0.7634286,0.004718492,0.004718492,0.004718492,0.004718492,0.045284778
260046,0.22360006,0.012590122,0.16569811,0.012590122,0.16653536,0.2326028,0.012590122,0.16120313,0.012590122,0.0036584046,0.0036584046,0.0036584046,0.7608325,0.22453389,0.0036584046,0.0012649968,0.13582817,0.06889654,0.0012649968,0.7671617,0.0012649968,0.0012649968,0.0012649968,0.0012649968,0.020523699
260047,0.39024773,0.009116062,0.07865137,0.009116062,0.025940204,0.4334177,0.009116062,0.035278726,0.009116062,5.2513137e-06,5.2513137e-06,5.2513137e-06,0.813243,0.18673593,5.2513137e-06,0.0030855676,0.14401092,0.07397625,0.0030855676,0.72892845,0.0030855676,0.0030855676,0.0030855676,0.0030855676,0.03457105
260050,0.2865761,0.011106378,0.12406582,0.011106378,0.056667246,0.3934495,0.011106378,0.09481586,0.011106378,0.00020669038,0.00020669038,0.00020669038,0.76244396,0.23672937,0.00020669038,0.001346518,0.13742588,0.067871585,0.001346518,0.7675801,0.001346518,0.001346518,0.001346518,0.001346518,0.019043187
260052,0.22558323,0.013989013,0.24500254,0.013989013,0.08208271,0.30632547,0.013989013,0.08505006,0.013989013,0.00020598093,0.00020598093,0.00020598093,0.8035419,0.19563422,0.00020598093,0.0031259686,0.14361845,0.075540036,0.0031259686,0.7238686,0.0031259686,0.0031259686,0.0031259686,0.0031259686,0.03821697
260054,0.2326092,0.012005253,0.16965736,0.012005253,0.11454471,0.3102819,0.012005253,0.1248857,0.012005253,4.54874e-06,4.54874e-06,4.54874e-06,0.8180923,0.18188941,4.54874e-06,0.0012350826,0.13584803,0.06844207,0.0012350826,0.76861125,0.0012350826,0.0012350826,0.0012350826,0.0012350826,0.019687934
260056,0.3328507,0.010550501,0.10072866,0.010550501,0.03222184,0.42892772,0.010550501,0.06306908,0.010550501,0.00010325859,0.00010325859,0.00010325859,0.8065275,0.19305943,0.00010325859,0.0015011813,0.13855869,0.06948264,0.0015011813,0.7611997,0.0015011813,0.0015011813,0.0015011813,0.0015011813,0.021751994
260061,0.25463733,0.011516112,0.114000924,0.011516112,0.07682146,0.37244773,0.011516112,0.13602816,0.011516112,0.00043931897,0.00043931897,0.00043931897,0.80661887,0.19162385,0.00043931897,0.0040633674,0.13369755,0.074379735,0.0040633674,0.7224522,0.0040633674,0.0040633674,0.0040633674,0.0040633674,0.045090266
260062,0.35760233,0.009629543,0.07854526,0.009629543,0.026863167,0.44865724,0.009629543,0.04981395,0.009629543,1.3783165e-05,1.3783165e-05,1.3783165e-05,0.7963749,0.20356995,1.3783165e-05,0.0031429776,0.14244775,0.07002045,0.0031429776,0.73925066,0.0031429776,0.0031429776,0.0031429776,0.0031429776,0.02942322
260064,0.22917765,0.012097603,0.1815671,0.012097603,0.13041441,0.28638917,0.012097603,0.12406131,0.012097603,5.8412843e-06,5.8412843e-06,5.8412843e-06,0.8035196,0.19645701,5.8412843e-06,0.0015393046,0.1386443,0.069685295,0.0015393046,0.7600918,0.0015393046,0.0015393046,0.0015393046,0.0015393046,0.022342917
260065,0.27502978,0.01147799,0.14894073,0.01147799,0.06695857,0.3700895,0.01147799,0.09306935,0.01147799,0.00024766423,0.00024766423,0.00024766423,0.7665026,0.23250677,0.00024766423,0.0014175143,0.13794793,0.06831001,0.0014175143,0.76534027,0.0014175143,0.0014175143,0.0014175143,0.0014175143,0.019896613
260066,0.25508863,0.0115434,0.112505674,0.0115434,0.073823445,0.37681717,0.0115434,0.13559155,0.0115434,1.1047735e-05,1.1047735e-05,1.1047735e-05,0.8147617,0.18519412,1.1047735e-05,0.0021613368,0.14218135,0.07238034,0.0021613368,0.7436029,0.0021613368,0.0021613368,0.0021613368,0.0021613368,0.02886741
260067,0.26409885,0.011125712,0.06530512,0.011125712,0.039421096,0.4527496,0.011125712,0.13392252,0.011125712,8.6550506e-05,8.6550506e-05,8.6550506e-05,0.78156686,0.21808687,8.6550506e-05,0.0046603433,0.11532948,0.059089743,0.0046603433,0.7626475,0.0046603433,0.0046603433,0.0046603433,0.0046603433,0.034971092
260068,0.27383542,0.01073095,0.17697582,0.01073095,0.18932423,0.27522635,0.01073095,0.041714367,0.01073095,0.0008612751,0.0008612751,0.0008612751,0.4948461,0.50170875,0.0008612751,0.0010177976,0.13413091,0.05842174,0.0010177976,0.79016536,0.0010177976,0.0010177976,0.0010177976,0.0010177976,0.0111753205
260069,0.27138075,0.010958256,0.07260248,0.010958256,0.044497263,0.44299212,0.010958256,0.12469439,0.010958256,0.00047495117,0.00047495117,0.00047495117,0.79591984,0.20218045,0.00047495117,0.004806778,0.111459695,0.05462924,0.004806778,0.7746166,0.004806778,0.004806778,0.004806778,0.004806778,0.030453902
260072,0.24710546,0.011925443,0.13487358,0.011925443,0.079330064,0.3632559,0.011925443,0.12773325,0.011925443,2.2926954e-05,2.2926954e-05,2.2926954e-05,0.8174987,0.18240966,2.2926954e-05,0.0024075462,0.14341834,0.073425926,0.0024075462,0.7376143,0.0024075462,0.0024075462,0.0024075462,0.0024075462,0.031096233
260073,0.23252758,0.011987236,0.10178854,0.011987236,0.14222448,0.26159716,0.011987236,0.21391328,0.011987236,0.0025943695,0.0025943695,0.0025943695,0.7974301,0.19219238,0.0025943695,0.0047446163,0.099978015,0.052917834,0.0047446163,0.7617596,0.0047446163,0.0047446163,0.0047446163,0.0047446163,0.056877043
260074,0.26903886,0.010969446,0.060900625,0.010969446,0.03395883,0.46791688,0.010969446,0.124307044,0.010969446,0.0002474851,0.0002474851,0.0002474851,0.7923063,0.20670378,0.0002474851,0.0050672614,0.09833135,0.04736995,0.0050672614,0.7899654,0.0050672614,0.0050672614,0.0050672614,0.0050672614,0.033929683
260079,0.23509929,0.011486762,0.12867953,0.011486762,0.15068963,0.26850396,0.011486762,0.17108057,0.011486762,0.0034022466,0.0034022466,0.0034022466,0.7890028,0.19738825,0.0034022466,0.004892359,0.09504003,0.048668295,0.004892359,0.7732278,0.004892359,0.004892359,0.004892359,0.004892359,0.053709846
260080,0.3024109,0.010849292,0.09663213,0.010849292,0.040198587,0.43003127,0.010849292,0.08732998,0.010849292,0.00055573334,0.00055573334,0.00055573334,0.8166056,0.18117152,0.00055573334,0.0038972013,0.13821523,0.07447603,0.0038972013,0.72390604,0.0038972013,0.0038972013,0.0038972013,0.0038972013,0.040019352
260083,0.2355123,0.011374644,0.13389674,0.011374644,0.14618744,0.27851328,0.011374644,0.16039167,0.011374644,0.0023055435,0.0023055435,0.0023055435,0.7834054,0.20737253,0.0023055435,0.0047343746,0.10335664,0.054505058,0.0047343746,0.7624763,0.0047343746,0.0047343746,0.0047343746,0.0047343746,0.05125562
260084,0.24478707,0.011903628,0.15816154,0.011903628,0.09119161,0.34173602,0.011903628,0.116509326,0.011903628,0.0028111849,0.0028111849,0.0028111849,0.8001332,0.18862194,0.0028111849,0.0031475036,0.1429769,0.07568642,0.0031475036,0.72315615,0.0031475036,0.0031475036,0.0031475036,0.0031475036,0.039295483
260085,0.23092204,0.0119143445,0.12298697,0.0119143445,0.16789345,0.22992548,0.0119143445,0.20061474,0.0119143445,0.0023079934,0.0023079934,0.0023079934,0.7948837,0.19588435,0.0023079934,0.0047947583,0.09422739,0.04942786,0.0047947583,0.76415956,0.0047947583,0.0047947583,0.0047947583,0.0047947583,0.06341658
260087,0.22316962,0.012675351,0.16423222,0.012675351,0.16294426,0.23543866,0.012675351,0.16351376,0.012675351,0.001251218,0.001251218,0.001251218,0.82200533,0.17298982,0.001251218,0.004683855,0.10174577,0.054447137,0.004683855,0.75773674,0.004683855,0.004683855,0.004683855,0.004683855,0.057967257
260088,0.28804475,0.010929474,0.07409199,0.010929474,0.033103347,0.45996672,0.010929474,0.10107532,0.010929474,4.969419e-05,4.969419e-05,4.969419e-05,0.8075739,0.19222729,4.969419e-05,0.003559748,0.14168008,0.076807685,0.003559748,0.7170909,0.003559748,0.003559748,0.003559748,0.003559748,0.043062992
