village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
248923,0.32014573,0.010158728,0.093331575,0.010158728,0.04171169,0.43101028,0.010158728,0.073165886,0.010158728,0.00067742245,0.00067742245,0.00067742245,0.79924655,0.19804372,0.00067742245,0.003461033,0.14038205,0.070595786,0.003461033,0.73714995,0.003461033,0.003461033,0.003461033,0.003461033,0.031105975
248924,0.39671656,0.008941859,0.077911995,0.008941859,0.027060864,0.42949095,0.008941859,0.033052083,0.008941859,2.3764385e-05,2.3764385e-05,2.3764385e-05,0.81856084,0.18134406,2.3764385e-05,0.001446551,0.1370879,0.06518792,0.001446551,0.7731636,0.001446551,0.001446551,0.001446551,0.001446551,0.015881138
248925,0.30947742,0.010199374,0.11435486,0.010199374,0.059102703,0.39693344,0.010199374,0.0793341,0.010199374,0.00013369843,0.00013369843,0.00013369843,0.81048757,0.18897769,0.00013369843,0.0023925453,0.14202589,0.067552164,0.0023925453,0.7528565,0.0023925453,0.0023925453,0.0023925453,0.0023925453,0.023210065
248926,0.21803088,0.013321485,0.19218045,0.013321485,0.15858704,0.2334282,0.013321485,0.14448757,0.013321485,0.0037763913,0.0037763913,0.0037763913,0.75895023,0.22594422,0.0037763913,0.0012117996,0.13562384,0.0681701,0.0012117996,0.76968366,0.0012117996,0.0012117996,0.0012117996,0.0012117996,0.019251663
248928,0.19428971,0.016685264,0.2729816,0.016685264,0.13282382,0.21661049,0.016685264,0.11655318,0.016685264,2.113897e-05,2.113897e-05,2.113897e-05,0.81067973,0.1892357,2.113897e-05,0.004843354,0.09321447,0.048345886,0.004843354,0.7683054,0.004843354,0.004843354,0.004843354,0.004843354,0.061074257
248929,0.22319089,0.012630806,0.16711913,0.012630806,0.16737361,0.23117071,0.012630806,0.16062254,0.012630806,0.00382725,0.00382725,0.00382725,0.7518349,0.23285607,0.00382725,0.0012565176,0.13580275,0.06880564,0.0012565176,0.76750517,0.0012565176,0.0012565176,0.0012565176,0.0012565176,0.020347483
248933,0.21767655,0.014653146,0.27110773,0.014653146,0.09219176,0.2809705,0.014653146,0.07944082,0.014653146,0.0035415727,0.0035415727,0.0035415727,0.707001,0.27883276,0.0035415727,0.0014596534,0.13911206,0.067631945,0.0014596534,0.7656627,0.0014596534,0.0014596534,0.0014596534,0.0014596534,0.018835368
248934,0.22676256,0.012266479,0.16762984,0.012266479,0.1549345,0.2529537,0.012266479,0.14865348,0.012266479,0.003807996,0.003807996,0.003807996,0.75464976,0.2301183,0.003807996,0.0012659435,0.13584533,0.06889205,0.0012659435,0.76715225,0.0012659435,0.0012659435,0.0012659435,0.0012659435,0.020514611
248935,0.22666536,0.012290297,0.16992947,0.012290297,0.15185073,0.25667858,0.012290297,0.14571463,0.012290297,0.0038160265,0.0038160265,0.0038160265,0.74501467,0.23972131,0.0038160265,0.0012600296,0.13576782,0.068871565,0.0012600296,0.7673209,0.0012600296,0.0012600296,0.0012600296,0.0012600296,0.020479659
248936,0.22389969,0.012555666,0.1656044,0.012555666,0.16621271,0.23354429,0.012555666,0.16051632,0.012555666,0.0038117461,0.0038117461,0.0038117461,0.74485177,0.23990123,0.0038117461,0.0012559384,0.135801,0.06879984,0.0012559384,0.7675213,0.0012559384,0.0012559384,0.0012559384,0.0012559384,0.020342179
248938,0.35767323,0.009611957,0.11249928,0.009611957,0.049627528,0.39396197,0.009611957,0.047790185,0.009611957,0.001908878,0.001908878,0.001908878,0.5674932,0.42487127,0.001908878,0.0015607665,0.13872164,0.06175835,0.0015607665,0.7748241,0.0015607665,0.0015607665,0.0015607665,0.0015607665,0.015331226
248942,0.27836356,0.011460909,0.12725656,0.011460909,0.056311667,0.39229962,0.011460909,0.099925004,0.011460909,0.00011583805,0.00011583805,0.00011583805,0.8007616,0.1987751,0.00011583805,0.0015373981,0.13815407,0.07024123,0.0015373981,0.759105,0.0015373981,0.0015373981,0.0015373981,0.0015373981,0.023275405
248945,0.2685858,0.011285414,0.08920447,0.011285414,0.051940255,0.41772866,0.011285414,0.12739913,0.011285414,0.0027371412,0.0027371412,0.0027371412,0.78347874,0.20557272,0.0027371412,0.0042635906,0.12926002,0.06888148,0.0042635906,0.73818076,0.0042635906,0.0042635906,0.0042635906,0.0042635906,0.03809614
248947,0.22769314,0.012178878,0.1758328,0.012178878,0.1420955,0.2709905,0.012178878,0.13467252,0.012178878,0.0038002718,0.0038002718,0.0038002718,0.7417015,0.2430974,0.0038002718,0.0012404037,0.13584626,0.06840473,0.0012404037,0.7686404,0.0012404037,0.0012404037,0.0012404037,0.0012404037,0.019666297
248948,0.3167452,0.010174408,0.07321001,0.010174408,0.030032108,0.46504757,0.010174408,0.07426751,0.010174408,0.00039986748,0.00039986748,0.00039986748,0.8042794,0.19412112,0.00039986748,0.0046555228,0.11221108,0.0588193,0.0046555228,0.7601676,0.0046555228,0.0046555228,0.0046555228,0.0046555228,0.04086882
248950,0.3810916,0.009176867,0.08000433,0.009176867,0.027998423,0.43508196,0.009176867,0.03911641,0.009176867,6.678923e-05,6.678923e-05,6.678923e-05,0.80759513,0.19213767,6.678923e-05,0.0020600152,0.14182448,0.06852607,0.0020600152,0.75507396,0.0020600152,0.0020600152,0.0020600152,0.0020600152,0.022215493
248952,0.3506983,0.009660796,0.08221107,0.009660796,0.03070997,0.4440412,0.009660796,0.053696036,0.009660796,0.00013122706,0.00013122706,0.00013122706,0.807988,0.19148718,0.00013122706,0.0032998628,0.13695316,0.06453768,0.0032998628,0.75358695,0.0032998628,0.0032998628,0.0032998628,0.0032998628,0.02512293
