village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
224257,0.2365604,0.01248762,0.21292001,0.01248762,0.107279435,0.29910335,0.01248762,0.094186336,0.01248762,0.0036670768,0.0036670768,0.0036670768,0.76067346,0.2246583,0.0036670768,0.0018541954,0.1419668,0.06968528,0.0018541954,0.754299,0.0018541954,0.0018541954,0.0018541954,0.0018541954,0.022923656
224258,0.23696291,0.012395296,0.19267792,0.012395296,0.09702455,0.31973654,0.012395296,0.10401676,0.012395296,0.0017504462,0.0017504462,0.0017504462,0.76308334,0.2299149,0.0017504462,0.0019650585,0.14204684,0.070934154,0.0019650585,0.7497027,0.0019650585,0.0019650585,0.0019650585,0.0019650585,0.025525764
224260,0.23174131,0.012914752,0.21128409,0.012914752,0.09401858,0.3131016,0.012914752,0.0981955,0.012914752,0.0037999365,0.0037999365,0.0037999365,0.75400984,0.23079038,0.0037999365,0.004142973,0.132557,0.071454555,0.004142973,0.73133373,0.004142973,0.004142973,0.004142973,0.004142973,0.039796922
224264,0.2834729,0.010924951,0.09473562,0.010924951,0.052360423,0.4167687,0.010924951,0.10896262,0.010924951,1.6972426e-05,1.6972426e-05,1.6972426e-05,0.8236896,0.17624246,1.6972426e-05,0.004267742,0.12883094,0.06876163,0.004267742,0.73832405,0.004267742,0.004267742,0.004267742,0.004267742,0.03847689
224265,0.2295474,0.012229289,0.1936992,0.012229289,0.12776783,0.28518006,0.012229289,0.114888355,0.012229289,4.459857e-05,4.459857e-05,4.459857e-05,0.7669476,0.23287395,4.459857e-05,0.0017474465,0.1402575,0.070382096,0.0017474465,0.75480837,0.0017474465,0.0017474465,0.0017474465,0.0017474465,0.024067547
224268,0.25361392,0.012910024,0.21922296,0.012910024,0.075169064,0.32554772,0.012910024,0.07480631,0.012910024,0.0002524225,0.0002524225,0.0002524225,0.8161103,0.1828799,0.0002524225,0.0011741872,0.1359733,0.06689918,0.0011741872,0.7729058,0.0011741872,0.0011741872,0.0011741872,0.0011741872,0.017176589
224270,0.25170532,0.012413108,0.1811558,0.012413108,0.075006604,0.34778348,0.012413108,0.09469634,0.012413108,0.0016047298,0.0016047298,0.0016047298,0.7581548,0.23542616,0.0016047298,0.0025051043,0.14450216,0.07133998,0.0025051043,0.741049,0.0025051043,0.0025051043,0.0025051043,0.0025051043,0.028078021
224272,0.22273731,0.013904811,0.2515985,0.013904811,0.117967196,0.26622692,0.013904811,0.08585081,0.013904811,0.0003049922,0.0003049922,0.0003049922,0.75474745,0.24403262,0.0003049922,0.0012358569,0.13707341,0.06631745,0.0012358569,0.7723937,0.0012358569,0.0012358569,0.0012358569,0.0012358569,0.016800294
224275,0.21131836,0.0145071205,0.244355,0.0145071205,0.13614163,0.24113816,0.0145071205,0.10901841,0.0145071205,0.003820844,0.003820844,0.003820844,0.7449709,0.23974565,0.003820844,0.002089432,0.14332362,0.07005419,0.002089432,0.74949354,0.002089432,0.002089432,0.002089432,0.002089432,0.024592012
224281,0.23419367,0.0115396585,0.14409837,0.0115396585,0.13527754,0.2918997,0.0115396585,0.14837217,0.0115396585,7.137572e-07,7.137572e-07,7.137572e-07,0.81939274,0.18060435,7.137572e-07,0.0013917846,0.13700372,0.06954973,0.0013917846,0.7632609,0.0013917846,0.0013917846,0.0013917846,0.0013917846,0.021835042
224283,0.23419367,0.0115396585,0.14409837,0.0115396585,0.13527754,0.2918997,0.0115396585,0.14837217,0.0115396585,7.137572e-07,7.137572e-07,7.137572e-07,0.81939274,0.18060435,7.137572e-07,0.0013917846,0.13700372,0.06954973,0.0013917846,0.7632609,0.0013917846,0.0013917846,0.0013917846,0.0013917846,0.021835042
224285,0.32930887,0.010451393,0.10722434,0.010451393,0.03849626,0.41733772,0.010451393,0.06582733,0.010451393,2.7114454e-05,2.7114454e-05,2.7114454e-05,0.81703544,0.18285617,2.7114454e-05,0.002425505,0.14381802,0.07301083,0.002425505,0.73847455,0.002425505,0.002425505,0.002425505,0.002425505,0.030143684
224288,0.23040192,0.012546201,0.21294728,0.012546201,0.1190806,0.286904,0.012546201,0.10048152,0.012546201,0.0033590843,0.0033590843,0.0033590843,0.7079433,0.27862027,0.0033590843,0.0022136474,0.14387195,0.07011218,0.0022136474,0.7474471,0.0022136474,0.0022136474,0.0022136474,0.0022136474,0.025286915
224293,0.22602849,0.012633774,0.19979943,0.012633774,0.11888257,0.29037985,0.012633774,0.11437451,0.012633774,5.1725274e-06,5.1725274e-06,5.1725274e-06,0.81773955,0.18223976,5.1725274e-06,0.0012846839,0.13616015,0.068700954,0.0012846839,0.767328,0.0012846839,0.0012846839,0.0012846839,0.0012846839,0.020102914
224294,0.25125805,0.011758246,0.17262125,0.011758246,0.09303033,0.33359572,0.011758246,0.10246164,0.011758246,0.0038160475,0.0038160475,0.0038160475,0.7435796,0.2411562,0.0038160475,0.0017561715,0.14074825,0.06978842,0.0017561715,0.7558283,0.0017561715,0.0017561715,0.0017561715,0.0017561715,0.023098001
224296,0.2324844,0.012193741,0.18917988,0.012193741,0.113512255,0.30379954,0.012193741,0.11224901,0.012193741,6.0818536e-05,6.0818536e-05,6.0818536e-05,0.773484,0.22627269,6.0818536e-05,0.0012432821,0.13624923,0.06773827,0.0012432821,0.7698302,0.0012432821,0.0012432821,0.0012432821,0.0012432821,0.018722482
224297,0.29906493,0.011171495,0.13044955,0.011171495,0.048461948,0.39583102,0.011171495,0.08150658,0.011171495,0.0014338163,0.0014338163,0.0014338163,0.801652,0.19261265,0.0014338163,0.0039818627,0.1367126,0.07460785,0.0039818627,0.72295773,0.0039818627,0.0039818627,0.0039818627,0.0039818627,0.04183065
224298,0.26135418,0.01221469,0.19066316,0.01221469,0.07378021,0.34311295,0.01221469,0.082230695,0.01221469,0.002534544,0.002534544,0.002534544,0.72541815,0.26444367,0.002534544,0.0015749885,0.14035034,0.06711191,0.0015749885,0.7639906,0.0015749885,0.0015749885,0.0015749885,0.0015749885,0.019097364
224299,0.21832302,0.01381991,0.239863,0.01381991,0.101026796,0.28936055,0.01381991,0.096146934,0.01381991,0.00080506556,0.00080506556,0.00080506556,0.7876221,0.20915766,0.00080506556,0.0013357177,0.13744299,0.06797619,0.0013357177,0.7674725,0.0013357177,0.0013357177,0.0013357177,0.0013357177,0.019093823
224301,0.23955896,0.013499749,0.20979476,0.013499749,0.066022426,0.3428709,0.013499751,0.08775392,0.013499751,0.000682089,0.000682089,0.000682089,0.82771105,0.16956064,0.000682089,0.0024280814,0.14405085,0.07314801,0.0024280814,0.7380438,0.0024280814,0.0024280814,0.0024280814,0.0024280814,0.030188713
224302,0.3047846,0.011206602,0.13884868,0.011206602,0.0472338,0.3904072,0.011206602,0.07389933,0.011206602,0.00020766338,0.00020766338,0.00020766338,0.7660163,0.23315303,0.00020766338,0.0013880397,0.1379226,0.067887194,0.0013880397,0.7665458,0.0013880397,0.0013880397,0.0013880397,0.0013880397,0.019316183
224304,0.29776144,0.0113636665,0.13334212,0.0113636665,0.046281524,0.39657933,0.0113636665,0.08058092,0.0113636665,1.3078161e-05,1.3078161e-05,1.3078161e-05,0.82159215,0.17835543,1.3078161e-05,0.0035216566,0.14179073,0.07674371,0.0035216566,0.71747994,0.0035216566,0.0035216566,0.0035216566,0.0035216566,0.04285587
224305,0.3833851,0.009304691,0.07943925,0.009304691,0.02534402,0.4364905,0.009304691,0.038122524,0.009304691,1.1023537e-06,1.1023537e-06,1.1023537e-06,0.8223787,0.17761694,1.1023537e-06,0.0011926319,0.13610351,0.06604574,0.0011926319,0.7748513,0.0011926319,0.0011926319,0.0011926319,0.0011926319,0.015843485
