village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
238540,0.23399994,0.011479783,0.14923961,0.011479783,0.13797009,0.28893998,0.011479783,0.14393115,0.011479783,8.4559025e-07,8.4559025e-07,8.4559025e-07,0.81942815,0.18056843,8.4559025e-07,0.0012483076,0.13574891,0.06872286,0.0012483076,0.7678355,0.0012483076,0.0012483076,0.0012483076,0.0012483076,0.02020283
238541,0.23503727,0.011596245,0.15627947,0.011596245,0.12123574,0.30905262,0.011596245,0.13200988,0.011596245,1.6464676e-06,1.6464676e-06,1.6464676e-06,0.8226175,0.17737596,1.6464676e-06,0.0014000211,0.13716003,0.06947943,0.0014000211,0.7632257,0.0014000211,0.0014000211,0.0014000211,0.0014000211,0.021734593
238542,0.22766374,0.012156253,0.16177976,0.012156253,0.1601664,0.24734098,0.012156253,0.15442412,0.012156253,1.6681765e-06,1.6681765e-06,1.6681765e-06,0.8205023,0.179491,1.6681765e-06,0.0013337369,0.13650551,0.06923832,0.0013337369,0.76505214,0.0013337369,0.0013337369,0.0013337369,0.0013337369,0.02120168
238543,0.2998077,0.0112423785,0.12999238,0.0112423785,0.046335876,0.39837846,0.0112423785,0.08051609,0.0112423785,0.0002243097,0.0002243097,0.0002243097,0.8183875,0.18071519,0.0002243097,0.0013826448,0.13745067,0.068624645,0.0013826448,0.76561433,0.0013826448,0.0013826448,0.0013826448,0.0013826448,0.020014623
238544,0.24967742,0.011433925,0.13433857,0.011433925,0.09253956,0.34946567,0.011433925,0.12824306,0.011433925,3.9947486e-06,3.9947486e-06,3.9947486e-06,0.82173204,0.17825195,3.9947486e-06,0.0019503013,0.140934,0.07182077,0.0019503013,0.74820656,0.0019503013,0.0019503013,0.0019503013,0.0019503013,0.027336901
238545,0.27981734,0.011334559,0.10486126,0.011334559,0.048955888,0.41388157,0.011334559,0.10714574,0.011334559,0.00012136452,0.00012136452,0.00012136452,0.8165275,0.18298699,0.00012136452,0.0017804615,0.13997926,0.07121294,0.0017804615,0.7524953,0.0017804615,0.0017804615,0.0017804615,0.0017804615,0.025629804
238546,0.23586275,0.011343285,0.14856726,0.011343285,0.12981102,0.30209512,0.011343285,0.13829066,0.011343285,1.2722227e-05,1.2722227e-05,1.2722227e-05,0.8251174,0.17483176,1.2722227e-05,0.0012573798,0.13577597,0.06881368,0.0012573798,0.76748735,0.0012573798,0.0012573798,0.0012573798,0.0012573798,0.020378742
238547,0.27999264,0.011242083,0.08428838,0.011242083,0.039065592,0.44125673,0.011242083,0.11042844,0.011242083,0.00016273471,0.00016273471,0.00016273471,0.77997476,0.2193743,0.00016273471,0.0035082893,0.1425314,0.075924896,0.0035082893,0.7200689,0.0035082893,0.0035082893,0.0035082893,0.0035082893,0.040424958
238548,0.368097,0.009678286,0.08669819,0.009678286,0.028073259,0.43309942,0.009678286,0.045319006,0.009678286,0.0014051555,0.0014051555,0.0014051555,0.7892465,0.20513289,0.0014051555,0.0021054908,0.14292373,0.0708826,0.0021054908,0.7484302,0.0021054908,0.0021054908,0.0021054908,0.0021054908,0.025130494
238550,0.30263385,0.01159999,0.1511473,0.01159999,0.045138303,0.3847667,0.01159999,0.06991403,0.01159999,0.0026878312,0.0026878312,0.0026878312,0.6341171,0.3551316,0.0026878312,0.002312508,0.14315264,0.06796494,0.002312508,0.7513972,0.002312508,0.002312508,0.002312508,0.002312508,0.023610115
238551,0.23023295,0.011878369,0.16200599,0.011878369,0.14764097,0.26890424,0.011878369,0.14370228,0.011878369,1.8663025e-06,1.8663025e-06,1.8663025e-06,0.82139605,0.17859656,1.8663025e-06,0.0013875263,0.13700683,0.06937462,0.0013875263,0.7637249,0.0013875263,0.0013875263,0.0013875263,0.0013875263,0.021568595
238552,0.25123832,0.011288047,0.13251342,0.011288047,0.095424764,0.3468891,0.011288047,0.12878218,0.011288047,1.0212302e-05,1.0212302e-05,1.0212302e-05,0.8214417,0.17851742,1.0212302e-05,0.0020260385,0.14086442,0.07251976,0.0020260385,0.74542576,0.0020260385,0.0020260385,0.0020260385,0.0020260385,0.0290338
238553,0.23556906,0.011385491,0.16177252,0.011385491,0.13246928,0.29627454,0.011385491,0.12837261,0.011385491,4.519944e-05,4.519944e-05,4.519944e-05,0.82318115,0.17663799,4.519944e-05,0.0012563744,0.13583818,0.06873366,0.0012563744,0.76766366,0.0012563744,0.0012563744,0.0012563744,0.0012563744,0.02022624
238554,0.22592534,0.012680287,0.20710559,0.012680287,0.12979095,0.27413815,0.012680287,0.11231881,0.012680287,7.904061e-06,7.904061e-06,7.904061e-06,0.81132036,0.18864799,7.904061e-06,0.0011961854,0.13570414,0.06771112,0.0011961854,0.77090657,0.0011961854,0.0011961854,0.0011961854,0.0011961854,0.018501244
238555,0.29283512,0.010884028,0.10460297,0.010884028,0.049726747,0.4137396,0.010884028,0.09555959,0.010884028,1.5487683e-05,1.5487683e-05,1.5487683e-05,0.81213003,0.18780804,1.5487683e-05,0.0018488289,0.14061595,0.07113776,0.0018488289,0.7515025,0.0018488289,0.0018488289,0.0018488289,0.0018488289,0.02565089
238556,0.28179845,0.011070503,0.12860589,0.011070503,0.064351805,0.38225192,0.011070503,0.098709986,0.011070503,1.168283e-05,1.168283e-05,1.168283e-05,0.8196942,0.18025896,1.168283e-05,0.0014048613,0.13738376,0.06906354,0.0014048613,0.7640945,0.0014048613,0.0014048613,0.0014048613,0.0014048613,0.021029197
238557,0.25588205,0.01146964,0.10994454,0.01146964,0.074251615,0.37719595,0.01146964,0.13684714,0.01146964,1.587708e-05,1.587708e-05,1.587708e-05,0.8165705,0.18336594,1.587708e-05,0.0021825926,0.14183323,0.07325538,0.0021825926,0.7413699,0.0021825926,0.0021825926,0.0021825926,0.0021825926,0.030445896
238558,0.25481567,0.011415125,0.1277827,0.011415125,0.08474446,0.36032343,0.011415125,0.12667336,0.011415125,7.5215357e-06,7.5215357e-06,7.5215357e-06,0.82326716,0.17670277,7.5215357e-06,0.001475164,0.13773999,0.07001391,0.001475164,0.7606725,0.001475164,0.001475164,0.001475164,0.001475164,0.022722542
238559,0.22991623,0.011942067,0.15650047,0.011942067,0.15457733,0.25780466,0.011942067,0.15343305,0.011942067,1.5510888e-06,1.5510888e-06,1.5510888e-06,0.82318425,0.17680955,1.5510888e-06,0.0012946458,0.13614634,0.069073655,0.0012946458,0.7661607,0.0012946458,0.0012946458,0.0012946458,0.0012946458,0.020851387
238560,0.22132283,0.012908549,0.18108088,0.012908549,0.15873304,0.23836355,0.01290855,0.1488656,0.01290855,0.0034886457,0.0034886457,0.0034886457,0.7752713,0.21077415,0.0034886457,0.0012384814,0.13567363,0.06863525,0.0012384814,0.76820415,0.0012384814,0.0012384814,0.0012384814,0.0012384814,0.020056073
238561,0.33849978,0.010307483,0.09600391,0.010307483,0.032120664,0.4318406,0.010307483,0.06030503,0.010307483,4.9725015e-05,4.9725015e-05,4.9725015e-05,0.7801551,0.2196459,4.9725015e-05,0.0013104164,0.1368827,0.06818231,0.0013104164,0.76763076,0.0013104164,0.0013104164,0.0013104164,0.0013104164,0.01944184
238562,0.27094322,0.011568808,0.15468588,0.011568808,0.071817584,0.3621622,0.011568808,0.09411579,0.011568808,1.7717226e-05,1.7717226e-05,1.7717226e-05,0.8080812,0.1918479,1.7717226e-05,0.0035951303,0.1415845,0.07472417,0.0035951303,0.72394264,0.0035951303,0.0035951303,0.0035951303,0.0035951303,0.038177956
238563,0.28903192,0.011338429,0.13485874,0.011338429,0.05299064,0.39036897,0.011338429,0.087396085,0.011338429,0.00042057192,0.00042057192,0.00042057192,0.7496462,0.24867156,0.00042057192,0.00385361,0.13868941,0.073222145,0.00385361,0.7273663,0.00385361,0.00385361,0.00385361,0.00385361,0.037600473
238564,0.23921645,0.011335667,0.1283716,0.011335667,0.11396374,0.32535118,0.011335667,0.14775439,0.011335667,2.7373414e-06,2.7373414e-06,2.7373414e-06,0.8192204,0.18076865,2.7373414e-06,0.0014555397,0.13752738,0.06986058,0.0014555397,0.76139474,0.0014555397,0.0014555397,0.0014555397,0.0014555397,0.022484168
238565,0.22149855,0.012818142,0.15937902,0.012818142,0.17745255,0.21383828,0.012818142,0.17655902,0.012818142,0.003621175,0.003621175,0.003621175,0.76263016,0.2228851,0.003621175,0.0012554689,0.13574992,0.0688618,0.0012554689,0.7674137,0.0012554689,0.0012554689,0.0012554689,0.0012554689,0.020441703
238566,0.283063,0.010761907,0.06260355,0.010761907,0.030076783,0.47602975,0.010761907,0.10517923,0.010761907,0.00011729421,0.00011729421,0.00011729421,0.7867795,0.2127512,0.00011729421,0.0041366043,0.13234526,0.06759744,0.0041366043,0.74238366,0.0041366043,0.0041366043,0.0041366043,0.0041366043,0.03285398
238567,0.24922734,0.012356262,0.1869651,0.012356262,0.07983773,0.3407786,0.012356262,0.09376616,0.012356262,0.00029391504,0.00029391504,0.00029391504,0.7447087,0.2541156,0.00029391504,0.0015284873,0.13921158,0.06817355,0.0015284873,0.76330084,0.0015284873,0.0015284873,0.0015284873,0.0015284873,0.020143071
238568,0.21807946,0.013247036,0.17876266,0.013247036,0.16992654,0.22054504,0.013247036,0.1596982,0.013247036,9.448284e-05,9.448284e-05,9.448284e-05,0.80715334,0.19246873,9.448284e-05,0.0011996987,0.13557948,0.06819446,0.0011996987,0.76976734,0.0011996987,0.0011996987,0.0011996987,0.0011996987,0.019260496
238569,0.37562087,0.0094224885,0.07915672,0.0094224885,0.025327124,0.44076002,0.0094224885,0.041445374,0.0094224885,1.2128959e-05,1.2128959e-05,1.2128959e-05,0.8196654,0.18028615,1.2128959e-05,0.0015745495,0.1389641,0.0693239,0.0015745495,0.760706,0.0015745495,0.0015745495,0.0015745495,0.0015745495,0.021558741
238570,0.41279972,0.008743997,0.0737298,0.008743997,0.024000125,0.4270656,0.008743997,0.02742872,0.008743997,2.2751623e-05,2.2751623e-05,2.2751623e-05,0.8198131,0.18009591,2.2751623e-05,0.0012643115,0.1366124,0.06690393,0.0012643115,0.77197903,0.0012643115,0.0012643115,0.0012643115,0.0012643115,0.016918955
238571,0.35289598,0.010099549,0.09324509,0.010099549,0.029337086,0.43173543,0.010099549,0.052388214,0.010099549,0.003244997,0.003244997,0.003244997,0.8078077,0.17921236,0.003244997,0.0014108047,0.13832983,0.06719058,0.0014108047,0.7681939,0.0014108047,0.0014108047,0.0014108047,0.0014108047,0.01782084
238572,0.3425802,0.010181196,0.09145272,0.010181196,0.030479653,0.43668738,0.010181196,0.058075238,0.010181196,0.00011076518,0.00011076518,0.00011076518,0.776898,0.2226589,0.00011076518,0.0015091377,0.13872623,0.06888511,0.0015091377,0.76252085,0.0015091377,0.0015091377,0.0015091377,0.0015091377,0.020813124
238573,0.3616423,0.009887641,0.093335226,0.009887641,0.030252857,0.42696744,0.009887641,0.048251715,0.009887641,2.6139647e-05,2.6139647e-05,2.6139647e-05,0.80616444,0.19373094,2.6139647e-05,0.0015566106,0.13901004,0.069113635,0.0015566106,0.7614943,0.0015566106,0.0015566106,0.0015566106,0.0015566106,0.02104222
238574,0.20117941,0.015783153,0.2849979,0.015783153,0.102468416,0.25660357,0.015783153,0.09161809,0.015783153,2.0024378e-05,2.0024378e-05,2.0024378e-05,0.8195312,0.1803887,2.0024378e-05,0.0018536347,0.1407306,0.0714736,0.0018536347,0.75049484,0.0018536347,0.0018536347,0.0018536347,0.0018536347,0.026179047
238575,0.23618053,0.011640936,0.15954797,0.011640936,0.11597496,0.3146793,0.011640936,0.12705344,0.011640936,4.657576e-05,4.657576e-05,4.657576e-05,0.8007913,0.19902234,4.657576e-05,0.0014348044,0.1374819,0.06925801,0.0014348044,0.76309013,0.0014348044,0.0014348044,0.0014348044,0.0014348044,0.021560976
238576,0.22421403,0.012604491,0.1902825,0.012604491,0.1454575,0.258582,0.012604491,0.13104604,0.012604491,0.0021972419,0.0021972419,0.0021972419,0.7884032,0.20280781,0.0021972419,0.0012175896,0.13579704,0.068077445,0.0012175896,0.7697276,0.0012175896,0.0012175896,0.0012175896,0.0012175896,0.019092586
238577,0.37535253,0.009484611,0.08566792,0.009484611,0.028512325,0.43056476,0.009484611,0.04196414,0.009484611,6.260361e-06,6.260361e-06,6.260361e-06,0.8189753,0.18099968,6.260361e-06,0.0015346657,0.1384085,0.06934108,0.0015346657,0.7616752,0.0015346657,0.0015346657,0.0015346657,0.0015346657,0.021367224
238578,0.37730902,0.009477048,0.085482314,0.009477048,0.02798258,0.4302342,0.009477048,0.0410837,0.009477048,6.977106e-05,6.977106e-05,6.977106e-05,0.8092968,0.19042413,6.977106e-05,0.001791522,0.14064842,0.070228025,0.001791522,0.75498766,0.001791522,0.001791522,0.001791522,0.001791522,0.023386953
238579,0.27694777,0.011191313,0.09005986,0.011191313,0.04694257,0.4256674,0.011191313,0.11561717,0.011191313,4.055832e-06,4.055832e-06,4.055832e-06,0.81800824,0.18197551,4.055832e-06,0.0020406805,0.14120796,0.07249239,0.0020406805,0.74515265,0.0020406805,0.0020406805,0.0020406805,0.0020406805,0.028902996
238580,0.2302693,0.011918602,0.1532765,0.011918602,0.15473002,0.25764707,0.011918602,0.15640277,0.011918602,4.7552358e-06,4.7552358e-06,4.7552358e-06,0.82328504,0.176696,4.7552358e-06,0.0012515882,0.13574368,0.06878745,0.0012515882,0.7676364,0.0012515882,0.0012515882,0.0012515882,0.0012515882,0.020322917
238581,0.22204521,0.012762726,0.16156694,0.012762726,0.17461073,0.2188583,0.012762726,0.17186792,0.012762726,1.157104e-06,1.157104e-06,1.157104e-06,0.8179572,0.1820381,1.157104e-06,0.0012395164,0.13563463,0.06873583,0.0012395164,0.7679811,0.0012395164,0.0012395164,0.0012395164,0.0012395164,0.02021134
238582,0.32743445,0.010419765,0.08683821,0.010419765,0.029891344,0.4468374,0.010419765,0.06731934,0.010419765,2.460609e-06,2.460609e-06,2.460609e-06,0.82312244,0.17686777,2.460609e-06,0.0013246652,0.13649276,0.068982854,0.0013246652,0.7657718,0.0013246652,0.0013246652,0.0013246652,0.0013246652,0.020804582
238583,0.28120136,0.01120869,0.12040299,0.01120869,0.0579764,0.39399692,0.01120869,0.10158763,0.01120869,2.7345575e-06,2.7345575e-06,2.7345575e-06,0.8225688,0.17742027,2.7345575e-06,0.0012866205,0.13610797,0.068905644,0.0012866205,0.7666708,0.0012866205,0.0012866205,0.0012866205,0.0012866205,0.020595718
238584,0.24387497,0.0113326,0.14232951,0.0113326,0.10653331,0.3321315,0.0113326,0.12980032,0.0113326,8.602908e-06,8.602908e-06,8.602908e-06,0.82161,0.17835554,8.602908e-06,0.0015046982,0.13790561,0.07013383,0.0015046982,0.759891,0.0015046982,0.0015046982,0.0015046982,0.0015046982,0.023041314
238585,0.22081192,0.01291275,0.17195667,0.01291275,0.17142735,0.22263573,0.01291275,0.16151737,0.01291275,0.003778874,0.003778874,0.003778874,0.7377655,0.24711905,0.003778874,0.0012385625,0.13584043,0.06846375,0.0012385625,0.7685161,0.0012385625,0.0012385625,0.0012385625,0.0012385625,0.01974847
238587,0.32539478,0.0106256455,0.13314855,0.0106256455,0.046901274,0.38899288,0.0106256455,0.06305996,0.0106256455,0.00078440126,0.00078440126,0.00078440126,0.75899535,0.23786709,0.00078440126,0.0020031864,0.14284524,0.070920385,0.0020031864,0.7491361,0.0020031864,0.0020031864,0.0020031864,0.0020031864,0.025079116
238588,0.32888037,0.010423782,0.10411212,0.010423782,0.0376182,0.42144898,0.010423782,0.066245146,0.010423782,7.001657e-05,7.001657e-05,7.001657e-05,0.7806394,0.21908058,7.001657e-05,0.0019070692,0.14159977,0.07099621,0.0019070692,0.7507488,0.0019070692,0.0019070692,0.0019070692,0.0019070692,0.025212778
238589,0.32539478,0.0106256455,0.13314855,0.0106256455,0.046901274,0.38899288,0.0106256455,0.06305996,0.0106256455,0.00078440126,0.00078440126,0.00078440126,0.75899535,0.23786709,0.00078440126,0.0020031864,0.14284524,0.070920385,0.0020031864,0.7491361,0.0020031864,0.0020031864,0.0020031864,0.0020031864,0.025079116
