village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
222213,0.26343352,0.01149072,0.14405464,0.01149072,0.078038186,0.36110044,0.01149072,0.10741032,0.01149072,0.00024880725,0.00024880725,0.00024880725,0.7977151,0.20128967,0.00024880725,0.0016236497,0.13872287,0.07067888,0.0016236497,0.7565056,0.0016236497,0.0016236497,0.0016236497,0.0016236497,0.024350712
222214,0.23540702,0.011406983,0.14976233,0.011406983,0.12893894,0.30229735,0.011406983,0.13796657,0.011406983,7.9389554e-07,7.9389554e-07,7.9389554e-07,0.82141757,0.17857926,7.9389554e-07,0.0012650591,0.13588922,0.06884202,0.0012650591,0.76725733,0.0012650591,0.0012650591,0.0012650591,0.0012650591,0.020421134
222215,0.22441384,0.012521938,0.16849837,0.012521938,0.16117008,0.2407298,0.012521938,0.15510008,0.012521938,1.2624588e-06,1.2624588e-06,1.2624588e-06,0.81847376,0.18152115,1.2624588e-06,0.00126707,0.13643095,0.068269655,0.00126707,0.7682281,0.00126707,0.00126707,0.00126707,0.00126707,0.019468747
222217,0.23000157,0.012920965,0.2175596,0.012920965,0.100258924,0.30333707,0.012920965,0.097158946,0.012920965,7.277199e-05,7.277199e-05,7.277199e-05,0.81213003,0.18757883,7.277199e-05,0.0012029944,0.13604414,0.06730991,0.0012029944,0.7715581,0.0012029944,0.0012029944,0.0012029944,0.0012029944,0.017870001
222218,0.22441384,0.012521938,0.16849837,0.012521938,0.16117008,0.2407298,0.012521938,0.15510008,0.012521938,1.2624588e-06,1.2624588e-06,1.2624588e-06,0.81847376,0.18152115,1.2624588e-06,0.00126707,0.13643095,0.068269655,0.00126707,0.7682281,0.00126707,0.00126707,0.00126707,0.00126707,0.019468747
222219,0.38625845,0.009296548,0.082201235,0.009296548,0.026489204,0.4307831,0.009296548,0.037081834,0.009296548,0.0013800205,0.0013800205,0.0013800205,0.8192598,0.17522009,0.0013800205,0.0016994512,0.13948376,0.069003545,0.0016994512,0.76124763,0.0016994512,0.0016994512,0.0016994512,0.0016994512,0.020068422
222220,0.22305222,0.012667246,0.1699851,0.012667246,0.16397133,0.23507805,0.012667246,0.15724428,0.012667246,5.2207577e-07,5.2207577e-07,5.2207577e-07,0.8175683,0.1824297,5.2207577e-07,0.00128916,0.13616478,0.06896612,0.00128916,0.7664808,0.00128916,0.00128916,0.00128916,0.00128916,0.020653289
222221,0.2186221,0.01316542,0.1747048,0.01316542,0.17152683,0.21918504,0.01316542,0.16329949,0.01316542,1.9398358e-06,1.9398358e-06,1.9398358e-06,0.81821895,0.18177329,1.9398358e-06,0.0012101348,0.1357985,0.06813458,0.0012101348,0.7696841,0.0012101348,0.0012101348,0.0012101348,0.0012101348,0.01912206
222223,0.22441384,0.012521938,0.16849837,0.012521938,0.16117008,0.2407298,0.012521938,0.15510008,0.012521938,1.2624588e-06,1.2624588e-06,1.2624588e-06,0.81847376,0.18152115,1.2624588e-06,0.00126707,0.13643095,0.068269655,0.00126707,0.7682281,0.00126707,0.00126707,0.00126707,0.00126707,0.019468747
222225,0.22576319,0.012615188,0.20148805,0.012615188,0.12497383,0.28224996,0.012615188,0.115064226,0.012615188,2.3210709e-05,2.3210709e-05,2.3210709e-05,0.80397,0.19593716,2.3210709e-05,0.0012764587,0.1365976,0.06814852,0.0012764587,0.76836413,0.0012764587,0.0012764587,0.0012764587,0.0012764587,0.019230915
222227,0.23000157,0.012920965,0.2175596,0.012920965,0.100258924,0.30333707,0.012920965,0.097158946,0.012920965,7.277199e-05,7.277199e-05,7.277199e-05,0.81213003,0.18757883,7.277199e-05,0.0012029944,0.13604414,0.06730991,0.0012029944,0.7715581,0.0012029944,0.0012029944,0.0012029944,0.0012029944,0.017870001
222228,0.22781692,0.012930552,0.21848446,0.012930552,0.105441056,0.29704294,0.012930552,0.099492386,0.012930552,4.677883e-05,4.677883e-05,4.677883e-05,0.8131234,0.18668942,4.677883e-05,0.0011754484,0.13564955,0.066942245,0.0011754484,0.7730328,0.0011754484,0.0011754484,0.0011754484,0.0011754484,0.017322883
222229,0.3629207,0.009835731,0.08983769,0.009835731,0.028817877,0.43141383,0.009835731,0.047667045,0.009835731,0.0021637874,0.0021637874,0.0021637874,0.7824297,0.2089152,0.0021637874,0.0014210407,0.1381392,0.067402676,0.0014210407,0.7678295,0.0014210407,0.0014210407,0.0014210407,0.0014210407,0.018102376
222230,0.22633494,0.012306649,0.16977306,0.012306649,0.15719552,0.2494315,0.012306649,0.14803834,0.012306649,2.2101394e-06,2.2101394e-06,2.2101394e-06,0.8218266,0.17816454,2.2101394e-06,0.0013236618,0.13657224,0.06895005,0.0013236618,0.7658036,0.0013236618,0.0013236618,0.0013236618,0.0013236618,0.020732235
222233,0.22318393,0.012714605,0.1815073,0.012714605,0.15102266,0.25091335,0.012714605,0.14251432,0.012714605,2.2089034e-05,2.2089034e-05,2.2089034e-05,0.80895567,0.19095606,2.2089034e-05,0.0013492075,0.13693486,0.06894069,0.0013492075,0.7652724,0.0013492075,0.0013492075,0.0013492075,0.0013492075,0.020757042
222234,0.2269706,0.012843323,0.20966746,0.012843323,0.106994785,0.299556,0.012843323,0.10543785,0.012843323,0.00011093217,0.00011093217,0.00011093217,0.7967553,0.20280091,0.00011093217,0.001277117,0.13671876,0.06796335,0.001277117,0.76868486,0.001277117,0.001277117,0.001277117,0.001277117,0.0189703
222235,0.23050794,0.011901556,0.15240568,0.011901556,0.15389442,0.25891882,0.011901556,0.15666685,0.011901556,8.069729e-07,8.069729e-07,8.069729e-07,0.82062036,0.17937633,8.069729e-07,0.0014113549,0.13718016,0.069744974,0.0014113549,0.7624363,0.0014113549,0.0014113549,0.0014113549,0.0014113549,0.022170592
222236,0.23104367,0.011814276,0.16062416,0.011814276,0.14171194,0.27778098,0.011814276,0.14158209,0.011814276,1.2699561e-06,1.2699561e-06,1.2699561e-06,0.8217906,0.1782043,1.2699561e-06,0.0012604945,0.13581462,0.068852276,0.0012604945,0.7673255,0.0012604945,0.0012604945,0.0012604945,0.0012604945,0.020444589
222237,0.23056112,0.011919147,0.1504982,0.011919147,0.15580681,0.25556403,0.011919147,0.15989332,0.011919147,6.372301e-07,6.372301e-07,6.372301e-07,0.81914496,0.18085237,6.372301e-07,0.001538777,0.13817294,0.07023045,0.001538777,0.75897056,0.001538777,0.001538777,0.001538777,0.001538777,0.023393193
222238,0.23104367,0.011814276,0.16062416,0.011814276,0.14171194,0.27778098,0.011814276,0.14158209,0.011814276,1.2699561e-06,1.2699561e-06,1.2699561e-06,0.8217906,0.1782043,1.2699561e-06,0.0012604945,0.13581462,0.068852276,0.0012604945,0.7673255,0.0012604945,0.0012604945,0.0012604945,0.0012604945,0.020444589
222239,0.38625845,0.009296548,0.082201235,0.009296548,0.026489204,0.4307831,0.009296548,0.037081834,0.009296548,0.0013800205,0.0013800205,0.0013800205,0.8192598,0.17522009,0.0013800205,0.0016994512,0.13948376,0.069003545,0.0016994512,0.76124763,0.0016994512,0.0016994512,0.0016994512,0.0016994512,0.020068422
222240,0.21767655,0.014653146,0.27110773,0.014653146,0.09219176,0.2809705,0.014653146,0.07944082,0.014653146,0.0035415727,0.0035415727,0.0035415727,0.707001,0.27883276,0.0035415727,0.0014596534,0.13911206,0.067631945,0.0014596534,0.7656627,0.0014596534,0.0014596534,0.0014596534,0.0014596534,0.018835368
222241,0.35633495,0.009809475,0.092539124,0.009809475,0.03272163,0.4278628,0.009809475,0.05130369,0.009809475,0.0001989242,0.0001989242,0.0001989242,0.80547297,0.19373134,0.0001989242,0.00325881,0.14289081,0.072282575,0.00325881,0.7330005,0.00325881,0.00325881,0.00325881,0.00325881,0.032273483
222242,0.23271686,0.011989292,0.10483935,0.011989292,0.14149907,0.2639395,0.011989292,0.20904796,0.011989292,7.218847e-05,7.218847e-05,7.218847e-05,0.82448125,0.17523009,7.218847e-05,0.0044883504,0.114173934,0.06246584,0.0044883504,0.74603087,0.0044883504,0.0044883504,0.0044883504,0.0044883504,0.050399434
222243,0.23371327,0.011901724,0.083600484,0.011901724,0.09231665,0.33683938,0.011901724,0.2059233,0.011901724,6.5887925e-06,6.5887925e-06,6.5887925e-06,0.82482976,0.1751439,6.5887925e-06,0.0046171444,0.110299185,0.058847625,0.0046171444,0.7558599,0.0046171444,0.0046171444,0.0046171444,0.0046171444,0.04729024
222244,0.24336484,0.013074968,0.21400104,0.013074968,0.07517994,0.33042842,0.013074968,0.08472593,0.013074968,0.0011457328,0.0011457328,0.0011457328,0.75270325,0.24271388,0.0011457328,0.0012347655,0.13678584,0.06673353,0.0012347655,0.771864,0.0012347655,0.0012347655,0.0012347655,0.0012347655,0.01720819
222245,0.2661527,0.011675873,0.18621947,0.011675873,0.09105845,0.325882,0.011675873,0.08398385,0.011675873,4.417941e-05,4.417941e-05,4.417941e-05,0.81798595,0.18183732,4.417941e-05,0.0018935245,0.14207762,0.069299795,0.0018935245,0.75493747,0.0018935245,0.0018935245,0.0018935245,0.0018935245,0.022324067
222246,0.2210142,0.013005873,0.19461857,0.013005873,0.1435303,0.25529194,0.013005873,0.1335215,0.013005873,5.794582e-06,5.794582e-06,5.794582e-06,0.8141883,0.18578847,5.794582e-06,0.0013385555,0.13693233,0.068823814,0.0013385555,0.76570976,0.0013385555,0.0013385555,0.0013385555,0.0013385555,0.020502929
222247,0.21743459,0.013294358,0.1748853,0.013294358,0.17439486,0.21407007,0.013294358,0.16603783,0.013294358,0.00019784713,0.00019784713,0.00019784713,0.79676795,0.20244066,0.00019784713,0.0011922441,0.13559435,0.06804867,0.0011922441,0.77022195,0.0011922441,0.0011922441,0.0011922441,0.0011922441,0.018981572
222248,0.21623796,0.013492375,0.18530947,0.013492375,0.16887583,0.2190391,0.013492375,0.1565681,0.013492375,1.820472e-05,1.820472e-05,1.820472e-05,0.81352335,0.18640381,1.820472e-05,0.001263058,0.13632698,0.06845276,0.001263058,0.7679133,0.001263058,0.001263058,0.001263058,0.001263058,0.019728482
222249,0.21951903,0.013086218,0.17764758,0.013086218,0.16652524,0.22651838,0.013086218,0.1574448,0.013086218,0.003492984,0.003492984,0.003492984,0.7660642,0.21996385,0.003492984,0.001215152,0.1357228,0.0682447,0.001215152,0.76937866,0.001215152,0.001215152,0.001215152,0.001215152,0.019362865
222251,0.21435931,0.013697385,0.18630762,0.013697385,0.17257345,0.21232753,0.013697385,0.15964264,0.013697385,0.0036049173,0.0036049173,0.0036049173,0.76213956,0.22344083,0.0036049173,0.0012330456,0.13573352,0.06849255,0.0012330456,0.7685611,0.0012330456,0.0012330456,0.0012330456,0.0012330456,0.019814622
222253,0.21721366,0.013383364,0.18600664,0.013383364,0.16630206,0.22358789,0.013383364,0.1533563,0.013383364,0.0032825083,0.0032825083,0.0032825083,0.7750297,0.21184012,0.0032825083,0.0012032252,0.13561152,0.06809813,0.0012032252,0.7699783,0.0012032252,0.0012032252,0.0012032252,0.0012032252,0.019092567
222254,0.23456037,0.012234796,0.1870749,0.012234796,0.10538233,0.3136355,0.012234796,0.1104078,0.012234796,6.5794575e-06,6.5794575e-06,6.5794575e-06,0.8130999,0.18687373,6.5794575e-06,0.0013403543,0.13701412,0.068734325,0.0013403543,0.76589465,0.0013403543,0.0013403543,0.0013403543,0.0013403543,0.020314975
222255,0.21264532,0.014037107,0.20908684,0.014037107,0.15465194,0.22850028,0.014037107,0.13896725,0.014037107,0.0010657631,0.0010657631,0.0010657631,0.7947018,0.20103502,0.0010657631,0.0012183735,0.13591628,0.06805331,0.0012183735,0.76969147,0.0012183735,0.0012183735,0.0012183735,0.0012183735,0.019028557
222256,0.35575974,0.01000122,0.089780346,0.01000122,0.028210713,0.4353358,0.01000122,0.050908625,0.01000122,0.003634939,0.003634939,0.003634939,0.767593,0.21786727,0.003634939,0.0016015595,0.13972181,0.06799937,0.0016015595,0.7634047,0.0016015595,0.0016015595,0.0016015595,0.0016015595,0.019264562
222257,0.22230221,0.012836083,0.1900575,0.012836083,0.14632268,0.25445786,0.012836083,0.13551539,0.012836083,0.0015263886,0.0015263886,0.0015263886,0.80631876,0.18757567,0.0015263886,0.001193387,0.13563286,0.06801116,0.001193387,0.7703055,0.001193387,0.001193387,0.001193387,0.001193387,0.018890083
222258,0.37056184,0.009430916,0.078623086,0.009430916,0.026073406,0.4432593,0.009430916,0.043758772,0.009430916,0.00028664357,0.00028664357,0.00028664357,0.8207008,0.1781525,0.00028664357,0.0031276073,0.14276686,0.07037929,0.0031276073,0.7386259,0.0031276073,0.0031276073,0.0031276073,0.0031276073,0.029462444
222259,0.35575974,0.01000122,0.089780346,0.01000122,0.028210713,0.4353358,0.01000122,0.050908625,0.01000122,0.003634939,0.003634939,0.003634939,0.767593,0.21786727,0.003634939,0.0016015595,0.13972181,0.06799937,0.0016015595,0.7634047,0.0016015595,0.0016015595,0.0016015595,0.0016015595,0.019264562
222260,0.22490947,0.012501868,0.17574364,0.012501868,0.15283488,0.25190613,0.012501868,0.14459848,0.012501868,0.00052538747,0.00052538747,0.00052538747,0.79650605,0.2013924,0.00052538747,0.0012804312,0.1362012,0.068798095,0.0012804312,0.76696485,0.0012804312,0.0012804312,0.0012804312,0.0012804312,0.020353215
222261,0.22254501,0.012793867,0.1863219,0.012793867,0.1488968,0.2522021,0.012793867,0.13885884,0.012793867,0.00029084046,0.00029084046,0.00029084046,0.8185208,0.18031576,0.00029084046,0.0012701387,0.13592398,0.06887934,0.0012701387,0.76708454,0.0012701387,0.0012701387,0.0012701387,0.0012701387,0.020491209
222262,0.23808612,0.011483088,0.13675673,0.011483088,0.11257333,0.32466933,0.011483088,0.1419821,0.011483088,7.1439135e-05,7.1439135e-05,7.1439135e-05,0.7991379,0.20057636,7.1439135e-05,0.0028213682,0.14232619,0.07542579,0.0028213682,0.7274011,0.0028213682,0.0028213682,0.0028213682,0.0028213682,0.037918735
222263,0.21584749,0.013686907,0.21068111,0.013686907,0.14314122,0.24554032,0.013686907,0.13004228,0.013686907,0.0020706037,0.0020706037,0.0020706037,0.81052417,0.18119343,0.0020706037,0.0012748039,0.13608916,0.068720855,0.0012748039,0.7672941,0.0012748039,0.0012748039,0.0012748039,0.0012748039,0.020247042
222264,0.22140756,0.012997632,0.20398165,0.012997632,0.13406105,0.26592058,0.012997632,0.12263849,0.012997632,1.0860446e-05,1.0860446e-05,1.0860446e-05,0.8159229,0.1840336,1.0860446e-05,0.0012264982,0.13593219,0.06816076,0.0012264982,0.7693401,0.0012264982,0.0012264982,0.0012264982,0.0012264982,0.019208042
222265,0.22328487,0.012629131,0.16807756,0.012629131,0.16607912,0.2328473,0.012629131,0.15919465,0.012629131,0.003790737,0.003790737,0.003790737,0.7555483,0.22928877,0.003790737,0.001247415,0.13573778,0.06873157,0.001247415,0.76782227,0.001247415,0.001247415,0.001247415,0.001247415,0.02022403
222266,0.22613543,0.012346398,0.17090684,0.012346398,0.15365472,0.25343907,0.012346398,0.14647834,0.012346398,0.003771294,0.003771294,0.003771294,0.7580697,0.22684516,0.003771294,0.001240071,0.13577227,0.06849695,0.001240071,0.7684724,0.001240071,0.001240071,0.001240071,0.001240071,0.019817868
222267,0.22077557,0.012928217,0.17386194,0.012928217,0.16714838,0.22765958,0.012928217,0.1588417,0.012928217,0.0038301758,0.0038301758,0.0038301758,0.75373334,0.23094591,0.0038301758,0.0012536829,0.1357917,0.06874767,0.0012536829,0.7676697,0.0012536829,0.0012536829,0.0012536829,0.0012536829,0.020269
222268,0.23256136,0.011726182,0.14562304,0.011726182,0.14989105,0.26679525,0.011726182,0.15822452,0.011726182,3.9373153e-06,3.9373153e-06,3.9373153e-06,0.8254291,0.1745552,3.9373153e-06,0.0015785533,0.13833734,0.07065655,0.0015785533,0.7574058,0.0015785533,0.0015785533,0.0015785533,0.0015785533,0.024129074
222270,0.33028495,0.010240596,0.09140059,0.010240596,0.034124218,0.43714207,0.010240596,0.06608571,0.010240596,2.5039928e-05,2.5039928e-05,2.5039928e-05,0.82230973,0.17759019,2.5039928e-05,0.0034647123,0.14143187,0.07744232,0.0034647123,0.71565545,0.0034647123,0.0034647123,0.0034647123,0.0034647123,0.04468209
222271,0.22074178,0.01294579,0.17613131,0.01294579,0.16469187,0.23049268,0.01294579,0.1561592,0.01294579,0.000102971826,0.000102971826,0.000102971826,0.8113947,0.18819337,0.000102971826,0.0011337926,0.13532805,0.06731659,0.0011337926,0.77283925,0.0011337926,0.0011337926,0.0011337926,0.0011337926,0.017713552
222272,0.23467515,0.011831091,0.105319306,0.011831091,0.13231343,0.2829179,0.011831091,0.19744976,0.011831091,2.9598248e-05,2.9598248e-05,2.9598248e-05,0.82195807,0.17792355,2.9598248e-05,0.0042641875,0.125804,0.069832034,0.0042641875,0.7328808,0.0042641875,0.0042641875,0.0042641875,0.0042641875,0.045898177
222273,0.23412204,0.011899056,0.105691895,0.011899056,0.13200499,0.28191024,0.011899056,0.19867468,0.011899056,5.2276002e-05,5.2276002e-05,5.2276002e-05,0.8255627,0.1742282,5.2276002e-05,0.0042756246,0.123266526,0.06958181,0.0042756246,0.73113877,0.0042756246,0.0042756246,0.0042756246,0.0042756246,0.050359044
