village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
243335,0.33001712,0.010309175,0.11535466,0.010309175,0.044273388,0.4043243,0.010309175,0.064794004,0.010309175,4.5161596e-05,4.5161596e-05,4.5161596e-05,0.82035255,0.17946681,4.5161596e-05,0.0015297257,0.13897464,0.0685384,0.0015297257,0.76321983,0.0015297257,0.0015297257,0.0015297257,0.0015297257,0.02008891
243336,0.33687025,0.010129518,0.08933965,0.010129518,0.032277558,0.43913218,0.010129518,0.061862215,0.010129518,0.00023531522,0.00023531522,0.00023531522,0.7869335,0.21212533,0.00023531522,0.003934152,0.13812856,0.076142125,0.003934152,0.7186556,0.003934152,0.003934152,0.003934152,0.003934152,0.04346879
243337,0.18765092,0.01764668,0.29637194,0.01764668,0.13218492,0.20449544,0.01764668,0.108710006,0.01764668,0.0012341283,0.0012341283,0.0012341283,0.8176355,0.17742795,0.0012341283,0.001106594,0.1353826,0.0666852,0.001106594,0.7745695,0.001106594,0.001106594,0.001106594,0.001106594,0.016723339
243338,0.23559064,0.012734043,0.21322551,0.012734043,0.096340045,0.30993065,0.012734043,0.09397706,0.012734043,0.00038010263,0.00038010263,0.00038010263,0.796661,0.20181856,0.00038010263,0.0013915614,0.13773707,0.06851571,0.0013915614,0.76540774,0.0013915614,0.0013915614,0.0013915614,0.0013915614,0.01999014
243340,0.35864925,0.009827727,0.09034773,0.009827727,0.030455802,0.43133333,0.009827727,0.049903035,0.009827727,2.8242974e-05,2.8242974e-05,2.8242974e-05,0.8093111,0.19057593,2.8242974e-05,0.0018676136,0.14073081,0.07148314,0.0018676136,0.7503095,0.0018676136,0.0018676136,0.0018676136,0.0018676136,0.02627101
243341,0.25041285,0.012243754,0.16105814,0.012243754,0.07515739,0.35762098,0.012243754,0.106775604,0.012243754,0.002050558,0.002050558,0.002050558,0.7936526,0.1981451,0.002050558,0.0014092405,0.1375946,0.06905785,0.0014092405,0.7639054,0.0014092405,0.0014092405,0.0014092405,0.0014092405,0.020986725
243342,0.26334316,0.011163341,0.15497923,0.011163341,0.09503051,0.33727705,0.011163341,0.104716614,0.011163341,2.9028547e-06,2.9028547e-06,2.9028547e-06,0.8194214,0.18056694,2.9028547e-06,0.004152835,0.12666143,0.0725709,0.004152835,0.7229423,0.004152835,0.004152835,0.004152835,0.004152835,0.052908402
243343,0.27131635,0.011282752,0.08982219,0.011282752,0.049618207,0.4206832,0.011282752,0.123428926,0.011282752,0.0018371363,0.0018371363,0.0018371363,0.8238407,0.16881074,0.0018371363,0.0026685034,0.14450675,0.07343037,0.0026685034,0.73442453,0.0026685034,0.0026685034,0.0026685034,0.0026685034,0.03162724
243344,0.35330722,0.009760365,0.08477982,0.009760365,0.030084824,0.4401859,0.009760365,0.05260081,0.009760365,2.8716317e-05,2.8716317e-05,2.8716317e-05,0.80755955,0.19232564,2.8716317e-05,0.00247396,0.14133486,0.06636681,0.00247396,0.7547041,0.00247396,0.00247396,0.00247396,0.00247396,0.02275061
243345,0.27549532,0.0115136495,0.123676054,0.0115136495,0.05635829,0.39431074,0.0115136495,0.10410496,0.0115136495,0.0014606981,0.0014606981,0.0014606981,0.80964375,0.18451348,0.0014606981,0.0013849762,0.13708971,0.069067866,0.0013849762,0.7644879,0.0013849762,0.0013849762,0.0013849762,0.0013849762,0.02104467
243347,0.23865274,0.011794674,0.16904221,0.011794674,0.10829633,0.31916943,0.011794674,0.1176606,0.011794674,0.003123131,0.003123131,0.003123131,0.8005047,0.18700281,0.003123131,0.0012710214,0.13630283,0.06823419,0.0012710214,0.76837903,0.0012710214,0.0012710214,0.0012710214,0.0012710214,0.019457845
243350,0.26065168,0.011470233,0.14609645,0.011470233,0.083383486,0.35480216,0.011470233,0.109185286,0.011470233,0.0033003823,0.0033003823,0.0033003823,0.80485666,0.18194176,0.0033003823,0.0015881254,0.13892181,0.06982144,0.0015881254,0.7591064,0.0015881254,0.0015881254,0.0015881254,0.0015881254,0.022621501
243353,0.22591142,0.012352696,0.16881442,0.012352696,0.15957996,0.24541438,0.012352696,0.15086907,0.012352696,1.4311897e-05,1.4311897e-05,1.4311897e-05,0.8077202,0.19222249,1.4311897e-05,0.0012766502,0.13613611,0.06875354,0.0012766502,0.7671512,0.0012766502,0.0012766502,0.0012766502,0.0012766502,0.020299217
243354,0.3064931,0.010706098,0.14203306,0.010706098,0.05932042,0.37537158,0.010706098,0.07395746,0.010706098,6.13049e-05,6.13049e-05,6.13049e-05,0.79234487,0.20740993,6.13049e-05,0.0018681675,0.14135075,0.07057136,0.0018681675,0.7525134,0.0018681675,0.0018681675,0.0018681675,0.0018681675,0.024355626
243355,0.2130443,0.014053534,0.21363631,0.014053534,0.15861097,0.22505772,0.014053534,0.1334366,0.014053534,0.0036425798,0.0036425798,0.0036425798,0.7196012,0.26582837,0.0036425798,0.0012057305,0.13590877,0.06772468,0.0012057305,0.77058643,0.0012057305,0.0012057305,0.0012057305,0.0012057305,0.018545585
243356,0.29371944,0.010856416,0.1059469,0.010856416,0.050650634,0.41140363,0.010856416,0.09485381,0.010856416,5.5898554e-06,5.5898554e-06,5.5898554e-06,0.81321263,0.18676494,5.5898554e-06,0.002131692,0.14217469,0.07189002,0.002131692,0.7454072,0.002131692,0.002131692,0.002131692,0.002131692,0.027738085
243357,0.30860186,0.010706034,0.112563014,0.010706034,0.046245772,0.40970442,0.010706034,0.080060735,0.010706034,1.2964106e-06,1.2964106e-06,1.2964106e-06,0.818559,0.18143585,1.2964106e-06,0.0013285709,0.13668197,0.06861775,0.0013285709,0.7666923,0.0013285709,0.0013285709,0.0013285709,0.0013285709,0.02003667
243358,0.23363549,0.011727311,0.13172585,0.011727311,0.15165275,0.2623417,0.011727311,0.17373492,0.011727311,8.490643e-07,8.490643e-07,8.490643e-07,0.8183592,0.18163738,8.490643e-07,0.0016364958,0.13894431,0.0704742,0.0016364958,0.75680333,0.0016364958,0.0016364958,0.0016364958,0.0016364958,0.023959273
243359,0.22961828,0.011941977,0.16119847,0.011941977,0.15721847,0.2545254,0.011941977,0.14967144,0.011941977,0.0004041558,0.0004041558,0.0004041558,0.78994006,0.20844327,0.0004041558,0.0012530581,0.13573828,0.06881355,0.0012530581,0.76756227,0.0012530581,0.0012530581,0.0012530581,0.0012530581,0.020367455
243360,0.25662598,0.011416289,0.12622137,0.011416289,0.0819637,0.36377114,0.011416289,0.12575264,0.011416289,2.9083747e-06,2.9083747e-06,2.9083747e-06,0.8209655,0.17902274,2.9083747e-06,0.0014618053,0.13765891,0.069625296,0.0014618053,0.7618389,0.0014618053,0.0014618053,0.0014618053,0.0014618053,0.02210609
243362,0.28203312,0.011891569,0.14859551,0.011891569,0.050901167,0.38608742,0.011891569,0.08481658,0.011891569,0.0002340595,0.0002340595,0.0002340595,0.79569304,0.20337063,0.0002340595,0.0012557876,0.13627397,0.06811516,0.0012557876,0.7689317,0.0012557876,0.0012557876,0.0012557876,0.0012557876,0.01914444
243365,0.25306717,0.01243206,0.16947259,0.01243206,0.06908129,0.36014795,0.01243206,0.09850284,0.01243206,3.90837e-06,3.90837e-06,3.90837e-06,0.81663686,0.18334761,3.90837e-06,0.0014247727,0.13749847,0.069306105,0.0014247727,0.76312643,0.0014247727,0.0014247727,0.0014247727,0.0014247727,0.021520175
243366,0.33001712,0.010309175,0.11535466,0.010309175,0.044273388,0.4043243,0.010309175,0.064794004,0.010309175,4.5161596e-05,4.5161596e-05,4.5161596e-05,0.82035255,0.17946681,4.5161596e-05,0.0015297257,0.13897464,0.0685384,0.0015297257,0.76321983,0.0015297257,0.0015297257,0.0015297257,0.0015297257,0.02008891
243367,0.25075448,0.013203853,0.19909425,0.013203853,0.059963282,0.35379717,0.013203853,0.08357548,0.013203853,0.0003625328,0.0003625328,0.0003625328,0.8078655,0.19068444,0.0003625328,0.0013772782,0.1373697,0.06890577,0.0013772782,0.76485366,0.0013772782,0.0013772782,0.0013772782,0.0013772782,0.020607304
243368,0.31053653,0.010659282,0.090554394,0.010659282,0.036047824,0.43958253,0.010659282,0.080641605,0.010659282,9.1608706e-07,9.1608706e-07,9.1608706e-07,0.81908625,0.18091013,9.1608706e-07,0.0018735887,0.14093776,0.0711741,0.0018735887,0.7511514,0.0018735887,0.0018735887,0.0018735887,0.0018735887,0.025495015
243369,0.25361392,0.012910024,0.21922296,0.012910024,0.075169064,0.32554772,0.012910024,0.07480631,0.012910024,0.0002524225,0.0002524225,0.0002524225,0.8161103,0.1828799,0.0002524225,0.0011741872,0.1359733,0.06689918,0.0011741872,0.7729058,0.0011741872,0.0011741872,0.0011741872,0.0011741872,0.017176589
243370,0.21192624,0.014089153,0.20406477,0.014089153,0.16194585,0.22014508,0.014089153,0.14556146,0.014089153,4.156103e-06,4.156103e-06,4.156103e-06,0.8181356,0.1818477,4.156103e-06,0.0012746904,0.13618025,0.06873495,0.0012746904,0.7671983,0.0012746904,0.0012746904,0.0012746904,0.0012746904,0.02023815
243371,0.20117941,0.015783153,0.2849979,0.015783153,0.102468416,0.25660357,0.015783153,0.09161809,0.015783153,2.0024378e-05,2.0024378e-05,2.0024378e-05,0.8195312,0.1803887,2.0024378e-05,0.0018536347,0.1407306,0.0714736,0.0018536347,0.75049484,0.0018536347,0.0018536347,0.0018536347,0.0018536347,0.026179047
243372,0.21740597,0.013882161,0.23947008,0.013882161,0.1163694,0.27042404,0.013882161,0.10080185,0.013882161,0.0012531233,0.0012531233,0.0012531233,0.82387835,0.17110918,0.0012531233,0.002891918,0.14506641,0.073758096,0.002891918,0.73077387,0.002891918,0.002891918,0.002891918,0.002891918,0.033049986
