village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
225798,0.22985019,0.01193395,0.16731411,0.01193395,0.14150983,0.2760079,0.01193395,0.13758221,0.01193395,2.4716894e-06,2.4716894e-06,2.4716894e-06,0.801514,0.19847606,2.4716894e-06,0.0012407484,0.13586178,0.06832941,0.0012407484,0.768751,0.0012407484,0.0012407484,0.0012407484,0.0012407484,0.019613262
225799,0.22676542,0.012439977,0.19162834,0.012439977,0.12308788,0.2896607,0.012439977,0.119097754,0.012439977,4.499239e-05,4.499239e-05,4.499239e-05,0.7945891,0.20523095,4.499239e-05,0.0013833413,0.13739434,0.06892002,0.0013833413,0.764629,0.0013833413,0.0013833413,0.0013833413,0.0013833413,0.02075669
225800,0.22140756,0.012997632,0.20398165,0.012997632,0.13406105,0.26592058,0.012997632,0.12263849,0.012997632,1.0860446e-05,1.0860446e-05,1.0860446e-05,0.8159229,0.1840336,1.0860446e-05,0.0012264982,0.13593219,0.06816076,0.0012264982,0.7693401,0.0012264982,0.0012264982,0.0012264982,0.0012264982,0.019208042
225801,0.21523313,0.013817696,0.2223364,0.013817696,0.13619557,0.25112647,0.013817696,0.11983759,0.013817696,0.00041222156,0.00041222156,0.00041222156,0.76453716,0.23381399,0.00041222156,0.0013565823,0.1377504,0.06805328,0.0013565823,0.7668372,0.0013565823,0.0013565823,0.0013565823,0.0013565823,0.01921964
225802,0.20411803,0.015263871,0.23377109,0.015263871,0.15303656,0.2155068,0.015263871,0.13251197,0.015263871,0.0025019816,0.0025019816,0.0025019816,0.7806482,0.20934387,0.0025019816,0.0017035777,0.14040926,0.07003918,0.0017035777,0.7561643,0.0017035777,0.0017035777,0.0017035777,0.0017035777,0.023165757
225803,0.21302186,0.013925689,0.19570056,0.013925689,0.16621603,0.21709752,0.013925689,0.15226135,0.013925689,0.00032682257,0.00032682257,0.00032682257,0.7899496,0.20874308,0.00032682257,0.0012883865,0.13646081,0.068592004,0.0012883865,0.76714385,0.0012883865,0.0012883865,0.0012883865,0.0012883865,0.020073107
225804,0.21470502,0.013786633,0.20585805,0.013786633,0.15088958,0.23589225,0.013786633,0.1375086,0.013786633,8.71957e-05,8.71957e-05,8.71957e-05,0.8124884,0.18716286,8.71957e-05,0.0015233704,0.13852158,0.06977108,0.0015233704,0.7601559,0.0015233704,0.0015233704,0.0015233704,0.0015233704,0.022411184
225805,0.29910958,0.010845689,0.10517779,0.010845689,0.04620142,0.41682243,0.010845689,0.0893061,0.010845689,4.1462154e-05,4.1462154e-05,4.1462154e-05,0.81503767,0.18479648,4.1462154e-05,0.0025832388,0.14361471,0.073920615,0.0025832388,0.73408467,0.0025832388,0.0025832388,0.0025832388,0.0025832388,0.032880742
225806,0.23601098,0.013542488,0.23953262,0.013542488,0.08263258,0.30855826,0.013542488,0.0790956,0.013542488,0.003417686,0.003417686,0.003417686,0.78116584,0.20516348,0.003417686,0.0012129348,0.13656805,0.06680409,0.0012129348,0.77227026,0.0012129348,0.0012129348,0.0012129348,0.0012129348,0.017080069
225807,0.2692217,0.012431945,0.16229714,0.012431945,0.053173438,0.37835085,0.012431945,0.08722914,0.012431945,7.1197406e-05,7.1197406e-05,7.1197406e-05,0.7877469,0.21196826,7.1197406e-05,0.0013201874,0.1367746,0.06861293,0.0013201874,0.76660806,0.0013201874,0.0013201874,0.0013201874,0.0013201874,0.020083383
225808,0.3431489,0.01014572,0.107436016,0.01014572,0.038996078,0.41213176,0.01014572,0.05770439,0.01014572,5.086316e-06,5.086316e-06,5.086316e-06,0.80882937,0.19115034,5.086316e-06,0.0022508106,0.14299072,0.072596975,0.0022508106,0.7417002,0.0022508106,0.0022508106,0.0022508106,0.0022508106,0.02920714
225809,0.2224445,0.013392974,0.22986221,0.013392974,0.1261433,0.26641467,0.013392974,0.10156338,0.013392974,9.951598e-06,9.951598e-06,9.951598e-06,0.8105332,0.18942699,9.951598e-06,0.0011272032,0.1353111,0.06632973,0.0011272032,0.7750078,0.0011272032,0.0011272032,0.0011272032,0.0011272032,0.016588112
225810,0.21558245,0.013987132,0.23894161,0.013987132,0.12176483,0.26342127,0.013987132,0.10434122,0.013987132,0.00055587705,0.00055587705,0.00055587705,0.7582864,0.23949018,0.00055587705,0.0017211154,0.1411573,0.06911086,0.0017211154,0.75764304,0.0017211154,0.0017211154,0.0017211154,0.0017211154,0.021762185
225811,0.21558245,0.013987132,0.23894161,0.013987132,0.12176483,0.26342127,0.013987132,0.10434122,0.013987132,0.00055587705,0.00055587705,0.00055587705,0.7582864,0.23949018,0.00055587705,0.0017211154,0.1411573,0.06911086,0.0017211154,0.75764304,0.0017211154,0.0017211154,0.0017211154,0.0017211154,0.021762185
225812,0.21320622,0.014109329,0.23066317,0.014109329,0.13430107,0.24898362,0.014109329,0.11640864,0.014109329,0.00013486156,0.00013486156,0.00013486156,0.7980925,0.20136797,0.00013486156,0.0013478703,0.13733947,0.06839977,0.0013478703,0.7663776,0.0013478703,0.0013478703,0.0013478703,0.0013478703,0.01979567
225813,0.22447677,0.01253937,0.17375226,0.01253937,0.15656114,0.2466241,0.01253937,0.14842822,0.01253937,0.0004488078,0.0004488078,0.0004488078,0.81230366,0.18590109,0.0004488078,0.0012416148,0.13570489,0.06864494,0.0012416148,0.7681214,0.0012416148,0.0012416148,0.0012416148,0.0012416148,0.020078886
225814,0.21247347,0.014103067,0.20836325,0.014103067,0.16783158,0.21464667,0.014103067,0.14027274,0.014103067,9.371066e-05,9.371066e-05,9.371066e-05,0.8022465,0.19737859,9.371066e-05,0.0016849824,0.13963804,0.070219785,0.0016849824,0.7562732,0.0016849824,0.0016849824,0.0016849824,0.0016849824,0.023759061
225815,0.23590496,0.013299784,0.2428622,0.013299784,0.13453075,0.26139513,0.013299784,0.07210787,0.013299784,0.002123708,0.002123708,0.002123708,0.58043146,0.41107365,0.002123708,0.001219489,0.13753963,0.065083556,0.001219489,0.77461135,0.001219489,0.001219489,0.001219489,0.001219489,0.015448731
225816,0.33149403,0.010458516,0.113591895,0.010458516,0.039882567,0.40958944,0.010458516,0.06360791,0.010458516,0.002414538,0.002414538,0.002414538,0.8164699,0.17387187,0.002414538,0.0029779468,0.14446166,0.07221185,0.0029779468,0.7344987,0.0029779468,0.0029779468,0.0029779468,0.0029779468,0.030960022
225817,0.28804475,0.010929474,0.07409199,0.010929474,0.033103347,0.45996672,0.010929474,0.10107532,0.010929474,4.969419e-05,4.969419e-05,4.969419e-05,0.8075739,0.19222729,4.969419e-05,0.003559748,0.14168008,0.076807685,0.003559748,0.7170909,0.003559748,0.003559748,0.003559748,0.003559748,0.043062992
225818,0.21893999,0.013197541,0.18639858,0.013197541,0.16063054,0.23235573,0.013197541,0.14888489,0.013197541,2.263142e-06,2.263142e-06,2.263142e-06,0.8174974,0.18249357,2.263142e-06,0.0014790336,0.13780983,0.069817245,0.0014790336,0.76103026,0.0014790336,0.0014790336,0.0014790336,0.0014790336,0.022468464
