village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
219808,0.35708892,0.009941924,0.08792229,0.009941924,0.027829438,0.43704242,0.009941924,0.050349217,0.009941924,7.214302e-05,7.214302e-05,7.214302e-05,0.8225426,0.17716879,7.214302e-05,0.0022918943,0.14381193,0.071109556,0.0022918943,0.7456234,0.0022918943,0.0022918943,0.0022918943,0.0022918943,0.025703652
219809,0.22699894,0.012245727,0.1658712,0.012245727,0.1552726,0.25273693,0.012245727,0.15013745,0.012245727,6.9211444e-07,6.9211444e-07,6.9211444e-07,0.8170072,0.1829901,6.9211444e-07,0.0013690471,0.13677102,0.069440685,0.0013690471,0.76393193,0.0013690471,0.0013690471,0.0013690471,0.0013690471,0.021642156
219810,0.23317985,0.0116675785,0.1538334,0.0116675785,0.12849137,0.2989737,0.0116675785,0.13885127,0.0116675785,9.89471e-07,9.89471e-07,9.89471e-07,0.8200368,0.17995927,9.89471e-07,0.0012745429,0.13595578,0.06894617,0.0012745429,0.7668422,0.0012745429,0.0012745429,0.0012745429,0.0012745429,0.02060876
219811,0.37056184,0.009430916,0.078623086,0.009430916,0.026073406,0.4432593,0.009430916,0.043758772,0.009430916,0.00028664357,0.00028664357,0.00028664357,0.8207008,0.1781525,0.00028664357,0.0031276073,0.14276686,0.07037929,0.0031276073,0.7386259,0.0031276073,0.0031276073,0.0031276073,0.0031276073,0.029462444
219813,0.22387041,0.0125568835,0.16547823,0.0125568835,0.16638406,0.23327653,0.0125568835,0.16076337,0.0125568835,5.9044453e-07,5.9044453e-07,5.9044453e-07,0.8165405,0.18345715,5.9044453e-07,0.0012162428,0.13560666,0.0684071,0.0012162428,0.76907116,0.0012162428,0.0012162428,0.0012162428,0.0012162428,0.019617692
219814,0.23561628,0.011690099,0.15357266,0.011690099,0.11414382,0.3177109,0.011690099,0.13219605,0.011690099,4.3217565e-06,4.3217565e-06,4.3217565e-06,0.8166122,0.18337058,4.3217565e-06,0.0015694461,0.13840747,0.07037396,0.0015694461,0.7582209,0.0015694461,0.0015694461,0.0015694461,0.0015694461,0.023580873
219815,0.22715348,0.01223942,0.16149166,0.01223942,0.15736037,0.24968928,0.01223942,0.1553476,0.01223942,6.9599383e-07,6.9599383e-07,6.9599383e-07,0.8174834,0.18251379,6.9599383e-07,0.0013572267,0.13668077,0.06935772,0.0013572267,0.7643136,0.0013572267,0.0013572267,0.0013572267,0.0013572267,0.021504685
219816,0.35967484,0.009822274,0.08247531,0.009822274,0.025866497,0.44391978,0.009822274,0.048774537,0.009822274,0.002877368,0.002877368,0.002877368,0.6425976,0.3458929,0.002877368,0.004318281,0.12663193,0.06498353,0.004318281,0.74888736,0.004318281,0.004318281,0.004318281,0.004318281,0.03358737
219817,0.3851456,0.009276363,0.08026848,0.009276363,0.025862342,0.4341526,0.009276363,0.037465505,0.009276363,4.316469e-05,4.316469e-05,4.316469e-05,0.8219328,0.1778945,4.316469e-05,0.0013825306,0.13733274,0.06745561,0.0013825306,0.7692796,0.0013825306,0.0013825306,0.0013825306,0.0013825306,0.017636718
219818,0.22980766,0.011961353,0.15636864,0.011961353,0.15302582,0.2595804,0.011961353,0.15337197,0.011961353,9.462958e-07,9.462958e-07,9.462958e-07,0.8171075,0.18288869,9.462958e-07,0.0014873046,0.13773455,0.07011803,0.0014873046,0.7602066,0.0014873046,0.0014873046,0.0014873046,0.0014873046,0.023017032
219820,0.23243594,0.011661716,0.15561123,0.011661716,0.13872513,0.28464127,0.011661716,0.14193961,0.011661716,5.2808645e-07,5.2808645e-07,5.2808645e-07,0.81719214,0.18280579,5.2808645e-07,0.0013701172,0.13679081,0.06949425,0.0013701172,0.7637886,0.0013701172,0.0013701172,0.0013701172,0.0013701172,0.021705668
219821,0.26526088,0.0125926295,0.18580969,0.0125926295,0.05883977,0.3598074,0.0125926295,0.07991188,0.0125926295,0.0003117471,0.0003117471,0.0003117471,0.8153012,0.1834517,0.0003117471,0.0019141427,0.14124589,0.071569614,0.0019141427,0.74932146,0.0019141427,0.0019141427,0.0019141427,0.0019141427,0.02637804
219822,0.22891079,0.01209583,0.18194403,0.01209583,0.1337839,0.28221923,0.01209583,0.12475863,0.01209583,0.00021111408,0.00021111408,0.00021111408,0.75892216,0.24023332,0.00021111408,0.0023552047,0.14445144,0.07133843,0.0023552047,0.7426677,0.0023552047,0.0023552047,0.0023552047,0.0023552047,0.027411092
219823,0.3987651,0.008975126,0.07691493,0.008975126,0.025199795,0.43112427,0.008975126,0.032095473,0.008975126,2.4551898e-06,2.4551898e-06,2.4551898e-06,0.8221873,0.17780285,2.4551898e-06,0.001840875,0.14085026,0.0703866,0.001840875,0.75380313,0.001840875,0.001840875,0.001840875,0.001840875,0.023914719
219824,0.31921187,0.010742069,0.12114747,0.010742069,0.042785518,0.4044166,0.010742069,0.06947014,0.010742069,0.00081405026,0.00081405026,0.00081405026,0.75324947,0.24349429,0.00081405026,0.0014784874,0.13860199,0.06812678,0.0014784874,0.76459175,0.0014784874,0.0014784874,0.0014784874,0.0014784874,0.019808564
219825,0.23046204,0.011903967,0.1538289,0.011903967,0.15168439,0.26204544,0.011903967,0.15436332,0.011903967,6.135981e-07,6.135981e-07,6.135981e-07,0.81724393,0.18275358,6.135981e-07,0.0015648055,0.13822854,0.07064687,0.0015648055,0.75764483,0.0015648055,0.0015648055,0.0015648055,0.0015648055,0.02409101
219827,0.22912842,0.012028774,0.16669603,0.012028774,0.14245072,0.27336437,0.012028774,0.14024538,0.012028774,1.563178e-06,1.563178e-06,1.563178e-06,0.8165359,0.18345787,1.563178e-06,0.0019038866,0.14053316,0.07187846,0.0019038866,0.74880254,0.0019038866,0.0019038866,0.0019038866,0.0019038866,0.02736239
219829,0.23307511,0.01165535,0.14724052,0.01165535,0.136438,0.28833038,0.01165535,0.14829469,0.01165535,1.6219167e-06,1.6219167e-06,1.6219167e-06,0.8145422,0.18545136,1.6219167e-06,0.0019962285,0.14097297,0.07225998,0.0019962285,0.7463877,0.0019962285,0.0019962285,0.0019962285,0.0019962285,0.028402152
219830,0.22577026,0.012371555,0.15672836,0.012371555,0.16796523,0.2324991,0.012371555,0.16755083,0.012371555,5.0722616e-07,5.0722616e-07,5.0722616e-07,0.8166727,0.18332523,5.0722616e-07,0.0012776249,0.13596785,0.06899112,0.0012776249,0.76667625,0.0012776249,0.0012776249,0.0012776249,0.0012776249,0.020699147
219831,0.2336803,0.011886858,0.102467515,0.011886858,0.14597052,0.25848085,0.011886858,0.21185343,0.011886858,0.0007719881,0.0007719881,0.0007719881,0.76298296,0.233929,0.0007719881,0.0050454405,0.09607162,0.047092542,0.0050454405,0.7869297,0.0050454405,0.0050454405,0.0050454405,0.0050454405,0.039633553
219832,0.31992623,0.0106762275,0.10210691,0.0106762275,0.036213424,0.42681286,0.0106762275,0.072235614,0.0106762275,2.3379785e-06,2.3379785e-06,2.3379785e-06,0.818189,0.18180166,2.3379785e-06,0.0017527068,0.13966458,0.07116188,0.0017527068,0.7531781,0.0017527068,0.0017527068,0.0017527068,0.0017527068,0.025479192
219833,0.26090074,0.013098454,0.19845523,0.013098454,0.054973837,0.35689133,0.013098454,0.07638514,0.013098454,0.003594801,0.003594801,0.003594801,0.74056256,0.24505825,0.003594801,0.0013562413,0.13833939,0.06731323,0.0013562413,0.7680781,0.0013562413,0.0013562413,0.0013562413,0.0013562413,0.018131942
219834,0.23635936,0.011867283,0.16829008,0.011867283,0.111528724,0.3144221,0.011867283,0.12193067,0.011867283,0.0005345817,0.0005345817,0.0005345817,0.81691575,0.18094596,0.0005345817,0.0041488954,0.12756363,0.07299628,0.0041488954,0.72277814,0.0041488954,0.0041488954,0.0041488954,0.0041488954,0.051768765
219835,0.22779138,0.012162444,0.16024072,0.012162444,0.15797217,0.24999332,0.012162444,0.15535253,0.012162444,8.979564e-07,8.979564e-07,8.979564e-07,0.8178538,0.18214256,8.979564e-07,0.0014505561,0.13740501,0.06986982,0.0014505561,0.7614979,0.0014505561,0.0014505561,0.0014505561,0.0014505561,0.022523915
219836,0.26179972,0.011606442,0.13184641,0.011606442,0.07222456,0.37214458,0.011606442,0.11555893,0.011606442,3.790602e-05,3.790602e-05,3.790602e-05,0.82203186,0.17781654,3.790602e-05,0.0026758055,0.14471637,0.07348681,0.0026758055,0.7342564,0.0026758055,0.0026758055,0.0026758055,0.0026758055,0.03148564
219837,0.2594195,0.011561254,0.13467588,0.011561254,0.07723061,0.3655955,0.011561254,0.116833426,0.011561254,2.7357435e-05,2.7357435e-05,2.7357435e-05,0.81888705,0.18100347,2.7357435e-05,0.0023271353,0.1432749,0.07184409,0.0023271353,0.7427201,0.0023271353,0.0023271353,0.0023271353,0.0023271353,0.028197955
219838,0.24443837,0.011493456,0.108029895,0.011493456,0.08698861,0.36060825,0.011493456,0.15396103,0.011493456,2.2568038e-06,2.2568038e-06,2.2568038e-06,0.81557024,0.18442076,2.2568038e-06,0.0039139753,0.13560027,0.077196,0.0039139753,0.7131544,0.0039139753,0.0039139753,0.0039139753,0.0039139753,0.050565515
219839,0.222875,0.012672101,0.16233693,0.012672101,0.17204869,0.22373883,0.012672101,0.16831212,0.012672101,2.2414044e-05,2.2414044e-05,2.2414044e-05,0.809174,0.19073637,2.2414044e-05,0.0012345959,0.13562392,0.06866694,0.0012345959,0.76821524,0.0012345959,0.0012345959,0.0012345959,0.0012345959,0.02008641
