district_code,subdistrict_code,village_cod,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
207,1080,219808,Raima,1078,26.5402111,85.8869978,26.5558605,85.8940429,26.5248202,85.8762208
207,1080,219809,Rampur birt,449,26.5816738,85.8447846,26.5944922,85.857744,26.5685214,85.8295941
207,1080,219810,Madhwapur,1362,26.4098724,86.2349044,26.4134996,86.2415085,26.4049053,86.2313918
207,1080,219811,Rampur,273,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
207,1080,219813,Ram Nagar Kajra,186,26.5809272,85.8191842,26.5844782,85.8222885,26.5779742,85.8161621
207,1080,219814,Basuki Bihari,2913,26.5648509,85.8230251,26.5932216,85.8520433,26.5450763,85.8069305
207,1080,219815,Durgapatti,415,26.5516422,85.8243053,26.5559348,85.8282241,26.5469971,85.8192901
207,1080,219816,Hanuman Nagar,467,25.5875912,85.1627832,25.5913629,85.16782,25.5844609,85.157012
207,1080,219817,Aura,247,25.7844888,86.1802619,25.8068388,86.1894151,25.7509994,86.1499709
207,1080,219818,Balwa,883,26.550357,85.8307059,26.5553225,85.8458022,26.5348778,85.824028
207,1080,219820,Bairwa,851,26.5269553,85.8358259,26.5382098,85.853294,26.5193615,85.8223572
207,1080,219821,Mukhiapatti,1295,26.5393254,85.8563007,26.5554198,85.8751145,26.5213395,85.8379899
207,1080,219822,Sahar,2833,25.2527989,84.6230572,25.2578153,84.6324062,25.2454723,84.6121502
207,1080,219823,Baswaria,472,27.0247376,84.2673851,27.0361024,84.275757,27.0147686,84.2511595
207,1080,219824,Akaha,190,26.5398627,84.0405322,26.55494,84.0563099,26.5292801,84.0196799
207,1080,219825,Sobrauli,350,26.5086934,85.8153431,26.5214709,85.826233,26.4999408,85.8098908
207,1080,219827,Karahuan,508,26.4984259,85.8166235,26.5088272,85.832222,26.4906271,85.8039934
207,1080,219829,Baingra,586,26.4916244,85.8358259,26.5001317,85.842964,26.4754256,85.8259583
207,1080,219830,Pihwara,695,26.5091415,85.8307059,26.5233114,85.8432769,26.4998015,85.8139876
207,1080,219831,Utra,1343,25.3131764,85.4543186,25.3162528,85.459299,25.3096577,85.451467
207,1080,219832,Loma,440,25.7422705,85.525174,25.7577189,85.5530701,25.7267169,85.5095518
207,1080,219833,Mahua,498,25.8147343,85.3969353,0,0,0,0
207,1080,219834,Salempur,1353,25.0359363,84.8424571,25.0424901,84.8487777,25.0310668,84.8352661
207,1080,219835,Ratauli,167,26.4919216,85.8460643,26.4956969,85.8524701,26.4849967,85.8413772
207,1080,219836,Pokharauni,253,26.4856114,85.8569404,26.4887676,85.8625946,26.4798621,85.8510435
207,1080,219837,Pokharauni Birta,169,26.4789304,85.8550212,26.4848634,85.8601453,26.4752997,85.8513488
207,1080,219838,Dumra,310,25.0458808,83.9664886,25.0516756,83.9793013,25.0335827,83.9578323
207,1080,219839,Minti,504,26.4801434,85.8460643,26.4891319,85.8521954,26.4683285,85.8350523
207,1080,219840,Pakar Sam,341,26.4679187,85.8307059,26.4797288,85.8461378,26.4618549,85.8214036
207,1080,219841,Awari,657,25.9644159,84.8385466,25.9752349,84.8611297,25.9565162,84.8247225
207,1080,219842,Andauli,121,26.0922894,86.2107672,26.1051616,86.2247465,26.0722693,86.1992262
207,1080,219843,Patar,292,26.0451896,84.208117,26.0516553,84.2115784,26.037389,84.2026949
207,1080,219844,Pirokhar,1471,26.5047722,85.7820416,26.5173129,85.8023986,26.4801617,85.768219
207,1080,219845,Ekari,293,24.9428175,84.8437605,24.9499545,84.8530769,24.936655,84.8305893
207,1080,219846,Sujatpur,763,26.4855967,85.7807603,26.5012835,85.7917404,26.4802397,85.7666624
207,1080,219848,Taraia,689,26.0731695,84.8839295,0,0,0,0
207,1080,219849,Pakri,435,27.1330331,84.4828838,27.1416949,84.4900664,27.119379,84.4664457
207,1080,219850,Bishunpur,1357,25.7882434,85.3433404,25.7928504,85.34774,25.7821979,85.3364487
207,1081,219851,kamlapatpatti,1051,26.6495084,86.0045031,26.6560503,86.0228419,26.6390774,85.9897327
207,1081,219852,Kaurna,885,26.6094906,85.6909956,26.6138914,85.6943893,26.6065819,85.6855702
207,1081,219853,Bisaul,1693,26.6317076,85.9993997,26.6410577,86.0118717,26.6196848,85.9887242
207,1081,219854,Harlakhi,1633,26.6371637,85.9840865,26.6449512,85.9938848,26.6294582,85.9736823
207,1081,219855,Birta,496,26.6426177,85.9687688,26.6550914,85.9783603,26.6342728,85.9539735
207,1081,219856,Naharnia,707,26.6307016,85.9636618,26.6400338,85.9821688,26.6235598,85.9526967
207,1081,219857,kasera,392,26.6236683,85.9751517,26.6287773,85.9784139,26.6208549,85.9706568
207,1081,219858,Mahadeopatti,346,26.7093052,85.6357789,26.7169247,85.6481707,26.6970576,85.617134
207,1081,219859,Umgaon,1012,26.6128985,85.9585544,26.6250656,85.9752595,26.6068219,85.9454602
207,1081,219861,Hatwaria,559,26.1127445,86.6837705,26.1287306,86.6974028,26.0990197,86.6692504
207,1081,219862,Potgah,402,26.6031374,85.9777047,26.614438,85.9844818,26.5995674,85.9719772
207,1081,219863,Mohanpur,225,25.7195518,86.015984,25.7230034,86.0188138,25.7160339,86.0137023
207,1081,219865,Suhpur,447,25.5859834,84.4486628,25.5900137,84.4531911,25.5816881,84.4416972
207,1081,219866,Rampur,701,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
207,1081,219867,kundalmaria,185,26.5921509,86.0057789,26.6010075,86.0107345,26.5842762,85.9992673
207,1081,219869,kalna,712,26.5902145,85.9891914,26.5986994,86.0007171,26.5777894,85.979347
207,1081,219870,Bituhar,770,26.5838967,85.9738752,26.5964756,85.9841078,26.5697022,85.9617843
207,1081,219871,Sothgaon,2083,26.6009807,85.9534465,26.614889,85.9692513,26.5882009,85.9385187
207,1081,219872,Pipraun,1641,26.6031252,85.9253439,26.6167306,85.9420002,26.5815861,85.9021022
207,1081,219873,Phulhar,1177,26.5820102,85.9074526,26.5947078,85.9180525,26.5664024,85.8909682
