village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
242473,0.21956034,0.013890847,0.24780087,0.013890847,0.10696267,0.27930036,0.013890847,0.09081236,0.013890847,0.0037009185,0.0037009185,0.0037009185,0.75748926,0.22770712,0.0037009185,0.0016030469,0.13984165,0.06882692,0.0016030469,0.76063585,0.0016030469,0.0016030469,0.0016030469,0.0016030469,0.021077324
242486,0.32822296,0.010388652,0.08591762,0.010388652,0.029619304,0.44781584,0.010388652,0.06686962,0.010388652,9.085438e-06,9.085438e-06,9.085438e-06,0.8097007,0.19026299,9.085438e-06,0.0014940987,0.13791507,0.06996855,0.0014940987,0.7604879,0.0014940987,0.0014940987,0.0014940987,0.0014940987,0.022663817
242512,0.22570181,0.012411664,0.17318948,0.012411664,0.15110062,0.25574195,0.012411664,0.14461938,0.012411664,6.8630754e-05,6.8630754e-05,6.8630754e-05,0.8226099,0.17711553,6.8630754e-05,0.0014647805,0.1377159,0.06971591,0.0014647805,0.7616123,0.0014647805,0.0014647805,0.0014647805,0.0014647805,0.022167368
242524,0.28836438,0.011184102,0.11569001,0.011184102,0.050308704,0.4057512,0.011184102,0.095149264,0.011184102,0.0036615366,0.0036615366,0.0036615366,0.751415,0.23393889,0.0036615366,0.0043278574,0.12444946,0.067732945,0.0043278574,0.73928833,0.0043278574,0.0043278574,0.0043278574,0.0043278574,0.042561952
242525,0.20993826,0.014637966,0.24471077,0.014637966,0.13415807,0.24152318,0.014637966,0.11111792,0.014637966,7.42091e-05,7.42091e-05,7.42091e-05,0.81643105,0.18327221,7.42091e-05,0.0015398108,0.13878249,0.06950846,0.0015398108,0.76046824,0.0015398108,0.0015398108,0.0015398108,0.0015398108,0.02200216
242530,0.22308594,0.012655818,0.16999167,0.012655818,0.16593646,0.23290147,0.012655818,0.15746118,0.012655818,2.3571754e-05,2.3571754e-05,2.3571754e-05,0.8205944,0.1793113,2.3571754e-05,0.0012387855,0.13578656,0.06854834,0.0012387855,0.76836014,0.0012387855,0.0012387855,0.0012387855,0.0012387855,0.01987237
242537,0.22998545,0.011916788,0.1643166,0.011916788,0.14426082,0.272687,0.011916788,0.14108302,0.011916788,0.00032770893,0.00032770893,0.00032770893,0.82130754,0.17738162,0.00032770893,0.0012494354,0.13590227,0.0685354,0.0012494354,0.7682049,0.0012494354,0.0012494354,0.0012494354,0.0012494354,0.019860655
242538,0.30072498,0.010773666,0.12631764,0.010773666,0.05472868,0.39215246,0.010773666,0.08298145,0.010773666,8.503228e-07,8.503228e-07,8.503228e-07,0.8194518,0.18054472,8.503228e-07,0.0013133219,0.13653438,0.06871236,0.0013133219,0.76661193,0.0013133219,0.0013133219,0.0013133219,0.0013133219,0.020261357
242540,0.2994627,0.011189266,0.12056438,0.011189266,0.044444956,0.40718177,0.011189266,0.083588995,0.011189266,0.0038007582,0.0038007582,0.0038007582,0.75126845,0.2335285,0.0038007582,0.003913803,0.1377975,0.07238176,0.003913803,0.72968763,0.003913803,0.003913803,0.003913803,0.003913803,0.036650125
242545,0.32523853,0.010461552,0.0899995,0.010461552,0.03184661,0.4420353,0.010461552,0.069033824,0.010461552,0.00018506822,0.00018506822,0.00018506822,0.7841104,0.21514928,0.00018506822,0.00214981,0.14322975,0.07009341,0.00214981,0.7496494,0.00214981,0.00214981,0.00214981,0.00214981,0.024128756
