village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
227955,0.226486,0.012703368,0.20061721,0.012703368,0.11271088,0.29691944,0.012703368,0.11245286,0.012703368,7.517678e-06,7.517678e-06,7.517678e-06,0.81487954,0.18509041,7.517678e-06,0.001162139,0.13551061,0.06757362,0.001162139,0.7717879,0.001162139,0.001162139,0.001162139,0.001162139,0.018155226
227956,0.21648608,0.0138819115,0.23783034,0.0138819115,0.10543035,0.2841059,0.0138819115,0.10061974,0.0138819115,9.790786e-06,9.790786e-06,9.790786e-06,0.81120074,0.18876016,9.790786e-06,0.0017337194,0.14040382,0.070339516,0.0017337194,0.7550203,0.0017337194,0.0017337194,0.0017337194,0.0017337194,0.023834115
227957,0.23635936,0.011867283,0.16829008,0.011867283,0.111528724,0.3144221,0.011867283,0.12193067,0.011867283,0.0005345817,0.0005345817,0.0005345817,0.81691575,0.18094596,0.0005345817,0.0041488954,0.12756363,0.07299628,0.0041488954,0.72277814,0.0041488954,0.0041488954,0.0041488954,0.0041488954,0.051768765
227959,0.2125834,0.014320329,0.24786407,0.014320329,0.10973829,0.27203622,0.014320329,0.10049682,0.014320329,8.9519956e-05,8.9519956e-05,8.9519956e-05,0.79132146,0.20832047,8.9519956e-05,0.0011384698,0.1358141,0.066677965,0.0011384698,0.77387714,0.0011384698,0.0011384698,0.0011384698,0.0011384698,0.016799808
227960,0.2341289,0.011573236,0.14532685,0.011573236,0.13039833,0.2982692,0.011573236,0.1455838,0.011573236,6.563592e-07,6.563592e-07,6.563592e-07,0.81781346,0.18218394,6.563592e-07,0.0014105334,0.13716565,0.06967704,0.0014105334,0.7626541,0.0014105334,0.0014105334,0.0014105334,0.0014105334,0.02203987
227962,0.20347859,0.015480053,0.27435583,0.015480053,0.109884135,0.2537749,0.015480053,0.096586265,0.015480053,0.00011073534,0.00011073534,0.00011073534,0.79799396,0.2015632,0.00011073534,0.0010732838,0.13534902,0.065651715,0.0010732838,0.77714586,0.0010732838,0.0010732838,0.0010732838,0.0010732838,0.015413764
227963,0.20868164,0.0148303155,0.26088926,0.0148303155,0.107568234,0.26626042,0.0148303155,0.09727923,0.0148303155,0.00029699612,0.00029699612,0.00029699612,0.8103642,0.18844792,0.00029699612,0.0010868643,0.13525273,0.0660827,0.0010868643,0.77613574,0.0010868643,0.0010868643,0.0010868643,0.0010868643,0.016007582
227964,0.27728134,0.010999731,0.11207991,0.010999731,0.0660345,0.38866463,0.010999731,0.11194071,0.010999731,2.8146599e-06,2.8146599e-06,2.8146599e-06,0.81508654,0.18490222,2.8146599e-06,0.0022268456,0.14241873,0.07294674,0.0022268456,0.74141383,0.0022268456,0.0022268456,0.0022268456,0.0022268456,0.029859763
227965,0.20832407,0.014792238,0.25347093,0.014792238,0.11809062,0.25603488,0.014792238,0.10491044,0.014792238,7.295667e-05,7.295667e-05,7.295667e-05,0.80275154,0.19695672,7.295667e-05,0.0011481262,0.13578753,0.066910915,0.0011481262,0.7732452,0.0011481262,0.0011481262,0.0011481262,0.0011481262,0.017167453
227966,0.26644316,0.0115137445,0.10936732,0.0115137445,0.059920028,0.39618108,0.0115137445,0.12203349,0.0115137445,0.00017954544,0.00017954544,0.00017954544,0.7872966,0.21198522,0.00017954544,0.0018022686,0.14031343,0.07111685,0.0018022686,0.7522993,0.0018022686,0.0018022686,0.0018022686,0.0018022686,0.025456946
