village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
244121,0.23635936,0.011867283,0.16829008,0.011867283,0.111528724,0.3144221,0.011867283,0.12193067,0.011867283,0.0005345817,0.0005345817,0.0005345817,0.81691575,0.18094596,0.0005345817,0.0041488954,0.12756363,0.07299628,0.0041488954,0.72277814,0.0041488954,0.0041488954,0.0041488954,0.0041488954,0.051768765
244123,0.27527085,0.011147439,0.08308317,0.011147439,0.04570225,0.43178323,0.011147439,0.11957084,0.011147439,0.00044379107,0.00044379107,0.00044379107,0.76543456,0.23279019,0.00044379107,0.0050490242,0.098674566,0.04772028,0.0050490242,0.7888906,0.0050490242,0.0050490242,0.0050490242,0.0050490242,0.034420587
244124,0.26919886,0.0110282935,0.06309387,0.0110282935,0.034847114,0.4638658,0.0110282935,0.124881156,0.0110282935,0.00032918763,0.00032918763,0.00032918763,0.79271036,0.20597276,0.00032918763,0.0049451003,0.10095939,0.05015294,0.0049451003,0.7813078,0.0049451003,0.0049451003,0.0049451003,0.0049451003,0.037909098
244126,0.2174479,0.013468057,0.20475888,0.013468057,0.14924823,0.24188314,0.013468057,0.13278961,0.013468057,0.00015459102,0.00015459102,0.00015459102,0.81409776,0.1852839,0.00015459102,0.0011981389,0.13557518,0.06806851,0.0011981389,0.7701362,0.0011981389,0.0011981389,0.0011981389,0.0011981389,0.019031132
244127,0.32288715,0.010298866,0.10240873,0.010298866,0.042473923,0.41994664,0.010298866,0.07108805,0.010298866,0.003701088,0.003701088,0.003701088,0.742616,0.24257958,0.003701088,0.0048240465,0.10797974,0.054234285,0.0048240465,0.77349776,0.0048240465,0.0048240465,0.0048240465,0.0048240465,0.035343904
244129,0.32135084,0.010190785,0.08610544,0.010190785,0.036298774,0.44306064,0.010190785,0.07242106,0.010190785,0.0003780801,0.0003780801,0.0003780801,0.77476525,0.2237224,0.0003780801,0.0046877083,0.11481876,0.058649078,0.0046877083,0.7637699,0.0046877083,0.0046877083,0.0046877083,0.0046877083,0.03463589
244130,0.28288656,0.010639481,0.057333034,0.010639481,0.026933309,0.48770574,0.010639481,0.10258345,0.010639481,0.00011272312,0.00011272312,0.00011272312,0.79224074,0.20730832,0.00011272312,0.005054077,0.0990698,0.04777895,0.005054077,0.78915495,0.005054077,0.005054077,0.005054077,0.005054077,0.03367195
244133,0.29689467,0.01047849,0.06846865,0.01047849,0.03171877,0.46996325,0.01047849,0.091040626,0.01047849,0.00025481512,0.00025481512,0.00025481512,0.78965765,0.20932306,0.00025481512,0.005350559,0.08503357,0.039161306,0.005350559,0.806597,0.005350559,0.005350559,0.005350559,0.005350559,0.037104733
244135,0.23223941,0.012015882,0.09748137,0.012015882,0.13996156,0.26214957,0.012015882,0.22010456,0.012015882,0.0026842293,0.0026842293,0.0026842293,0.806116,0.18314703,0.0026842293,0.0048632817,0.09519757,0.04914901,0.0048632817,0.77039933,0.0048632817,0.0048632817,0.0048632817,0.0048632817,0.05607414
244136,0.22770235,0.012180258,0.17726117,0.012180258,0.14138395,0.27171883,0.012180258,0.13321267,0.012180258,6.9425632e-06,6.9425632e-06,6.9425632e-06,0.81254977,0.18742244,6.9425632e-06,0.0012239085,0.13566393,0.06838151,0.0012239085,0.7690251,0.0012239085,0.0012239085,0.0012239085,0.0012239085,0.019585883
