village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
257434,0.24769473,0.011127158,0.10826006,0.011127158,0.099725015,0.34655792,0.011127158,0.15325375,0.011127158,5.535345e-05,5.535345e-05,5.535345e-05,0.81378895,0.1859896,5.535345e-05,0.0047964915,0.1031585,0.053210996,0.0047964915,0.7693266,0.0047964915,0.0047964915,0.0047964915,0.0047964915,0.04552501
257436,0.33220017,0.010145073,0.082683705,0.010145073,0.030136079,0.44984823,0.010145073,0.06455147,0.010145073,2.6770698e-05,2.6770698e-05,2.6770698e-05,0.81664217,0.18325073,2.6770698e-05,0.0040073153,0.13542038,0.07179163,0.0040073153,0.73102486,0.0040073153,0.0040073153,0.0040073153,0.0040073153,0.037719496
257437,0.3211851,0.010360486,0.085861176,0.010360486,0.033231128,0.44581625,0.010360486,0.07246435,0.010360486,3.0766012e-05,3.0766012e-05,3.0766012e-05,0.81790376,0.1819731,3.0766012e-05,0.0041847304,0.13097101,0.07044617,0.0041847304,0.7339396,0.0041847304,0.0041847304,0.0041847304,0.0041847304,0.0395347
257438,0.37056184,0.009430916,0.078623086,0.009430916,0.026073406,0.4432593,0.009430916,0.043758772,0.009430916,0.00028664357,0.00028664357,0.00028664357,0.8207008,0.1781525,0.00028664357,0.0031276073,0.14276686,0.07037929,0.0031276073,0.7386259,0.0031276073,0.0031276073,0.0031276073,0.0031276073,0.029462444
257439,0.2376642,0.011649689,0.08256509,0.011649689,0.08159088,0.36256564,0.011649689,0.1890155,0.011649689,0.0003201523,0.0003201523,0.0003201523,0.80780303,0.19091634,0.0003201523,0.004413011,0.121606596,0.065789506,0.004413011,0.74390215,0.004413011,0.004413011,0.004413011,0.004413011,0.042223737
257440,0.2652666,0.012905639,0.18185079,0.012905639,0.051757853,0.36892706,0.012905639,0.080575265,0.012905639,0.0035890883,0.0035890883,0.0035890883,0.7675193,0.21812439,0.0035890883,0.0048695193,0.09225904,0.047678087,0.0048695193,0.7695024,0.0048695193,0.0048695193,0.0048695193,0.0048695193,0.06134345
257442,0.22731939,0.012341232,0.09566165,0.012341232,0.15118493,0.23155254,0.012341232,0.24491657,0.012341232,0.0011235361,0.0011235361,0.0011235361,0.79702157,0.19848435,0.0011235361,0.005012338,0.082230136,0.040986,0.005012338,0.7785857,0.005012338,0.005012338,0.005012338,0.005012338,0.06812411
257444,0.29570976,0.010726078,0.09871621,0.010726078,0.049357537,0.41847774,0.010726078,0.094834395,0.010726078,7.00424e-06,7.00424e-06,7.00424e-06,0.81515163,0.18482038,7.00424e-06,0.004117116,0.13076709,0.07300022,0.004117116,0.72525084,0.004117116,0.004117116,0.004117116,0.004117116,0.04627906
257445,0.24018955,0.011459394,0.09670686,0.011459394,0.09313957,0.3509447,0.011459394,0.17318165,0.011459394,3.589141e-05,3.589141e-05,3.589141e-05,0.82495916,0.17489728,3.589141e-05,0.0046581784,0.10614082,0.056762196,0.0046581784,0.7570332,0.0046581784,0.0046581784,0.0046581784,0.0046581784,0.052114677
257446,0.25952515,0.011369436,0.077403314,0.011369436,0.048459046,0.42654982,0.011369436,0.14258493,0.011369436,2.5450001e-05,2.5450001e-05,2.5450001e-05,0.8216317,0.17826639,2.5450001e-05,0.0041961465,0.13020511,0.0712167,0.0041961465,0.7311966,0.0041961465,0.0041961465,0.0041961465,0.0041961465,0.042204704
