village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
215990,0.2148301,0.013860804,0.21498811,0.013860804,0.14822856,0.2377458,0.013860804,0.1287642,0.013860804,8.410378e-06,8.410378e-06,8.410378e-06,0.8133576,0.18660878,8.410378e-06,0.0011511632,0.13540885,0.06714753,0.0011511632,0.7729279,0.0011511632,0.0011511632,0.0011511632,0.0011511632,0.017608663
215991,0.30948544,0.011434192,0.164351,0.011434192,0.05004979,0.36856103,0.011434192,0.06181587,0.011434192,0.0016184009,0.0016184009,0.0016184009,0.7559772,0.23754928,0.0016184009,0.0014119092,0.13841735,0.06796686,0.0014119092,0.7659296,0.0014119092,0.0014119092,0.0014119092,0.0014119092,0.019214556
215992,0.27043837,0.01160142,0.16241838,0.01160142,0.07254967,0.35830048,0.01160142,0.089887485,0.01160142,0.0011704342,0.0011704342,0.0011704342,0.7342312,0.2610871,0.0011704342,0.0014094833,0.13820685,0.06731301,0.0014094833,0.76729214,0.0014094833,0.0014094833,0.0014094833,0.0014094833,0.018730858
215993,0.22133502,0.012835477,0.15973872,0.012835477,0.1766606,0.21462722,0.012835477,0.1762965,0.012835477,5.8009215e-07,5.8009215e-07,5.8009215e-07,0.8177827,0.18221496,5.8009215e-07,0.0012456101,0.13566248,0.068787254,0.0012456101,0.76776385,0.0012456101,0.0012456101,0.0012456101,0.0012456101,0.020312557
215994,0.2232285,0.012670087,0.17107992,0.012670087,0.160206,0.23981868,0.012670087,0.1549865,0.012670087,9.771793e-06,9.771793e-06,9.771793e-06,0.8179935,0.18196738,9.771793e-06,0.0012584015,0.13578942,0.06880764,0.0012584015,0.7674872,0.0012584015,0.0012584015,0.0012584015,0.0012584015,0.020365397
215995,0.25361392,0.012910022,0.21922292,0.012910022,0.07516905,0.32554767,0.012910022,0.07480628,0.012910022,0.00025242256,0.00025242256,0.00025242256,0.8161105,0.18287976,0.00025242256,0.0011741872,0.1359733,0.06689918,0.0011741872,0.7729058,0.0011741872,0.0011741872,0.0011741872,0.0011741872,0.017176589
215996,0.30282366,0.010809095,0.10877369,0.010809095,0.046026547,0.41383657,0.010809095,0.08530312,0.010809095,5.16969e-07,5.16969e-07,5.16969e-07,0.8183677,0.18163025,5.16969e-07,0.0012720628,0.1358685,0.06890558,0.0012720628,0.7670288,0.0012720628,0.0012720628,0.0012720628,0.0012720628,0.020564692
215997,0.22258149,0.012811405,0.18993665,0.012811405,0.1438725,0.2580008,0.012811405,0.13436295,0.012811405,0.0035264846,0.0035264846,0.0035264846,0.78950536,0.19638881,0.0035264846,0.001259552,0.13584189,0.06881395,0.001259552,0.7674314,0.001259552,0.001259552,0.001259552,0.001259552,0.020355366
215998,0.33220258,0.01021991,0.090129904,0.01021991,0.033006284,0.43897846,0.01021991,0.064803176,0.01021991,1.0767881e-06,1.0767881e-06,1.0767881e-06,0.8200254,0.17997031,1.0767881e-06,0.0016540547,0.13904609,0.07069075,0.0016540547,0.75609916,0.0016540547,0.0016540547,0.0016540547,0.0016540547,0.0242397
215999,0.281307,0.012336851,0.16977665,0.012336851,0.049183212,0.37496692,0.012336851,0.07541866,0.012336851,4.9544866e-05,4.9544866e-05,4.9544866e-05,0.81741714,0.18238467,4.9544866e-05,0.0021916754,0.14311936,0.07188609,0.0021916754,0.74405617,0.0021916754,0.0021916754,0.0021916754,0.0021916754,0.027788496
