village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
245179,0.3637074,0.009696497,0.08922993,0.009696497,0.0306184,0.43004826,0.009696497,0.047610004,0.009696497,7.072685e-05,7.072685e-05,7.072685e-05,0.81559044,0.18412666,7.072685e-05,0.0013146977,0.13683346,0.06763552,0.0013146977,0.76925826,0.0013146977,0.0013146977,0.0013146977,0.0013146977,0.018384477
245182,0.3585906,0.00964449,0.11298153,0.00964449,0.04808372,0.3927429,0.00964449,0.04902341,0.00964449,6.5165173e-06,6.5165173e-06,6.5165173e-06,0.8214575,0.17851642,6.5165173e-06,0.0023767566,0.14085014,0.0683084,0.0023767566,0.7531372,0.0023767566,0.0023767566,0.0023767566,0.0023767566,0.023443652
245183,0.227915,0.012723229,0.20683385,0.012723229,0.108932264,0.2990379,0.012723229,0.106388,0.012723229,6.14082e-05,6.14082e-05,6.14082e-05,0.79168874,0.20806555,6.14082e-05,0.0015478946,0.13898635,0.069440946,0.0015478946,0.76050305,0.0015478946,0.0015478946,0.0015478946,0.0015478946,0.021782175
245184,0.30056885,0.010608139,0.078352205,0.010608139,0.035087455,0.45395198,0.010608139,0.089606866,0.010608139,3.0761466e-06,3.0761466e-06,3.0761466e-06,0.81837624,0.18161137,3.0761466e-06,0.0043540057,0.12223025,0.06760587,0.0043540057,0.7376308,0.0043540057,0.0043540057,0.0043540057,0.0043540057,0.046409123
245185,0.28506085,0.011346874,0.11803081,0.011346874,0.04992474,0.4046587,0.011346874,0.096937254,0.011346874,1.1805031e-05,1.1805031e-05,1.1805031e-05,0.81006813,0.18988462,1.1805031e-05,0.0030989065,0.14364602,0.07514617,0.0030989065,0.7252826,0.0030989065,0.0030989065,0.0030989065,0.0030989065,0.037331697
245186,0.22129802,0.013036639,0.20731807,0.013036639,0.12896252,0.27125815,0.013036639,0.11901657,0.013036639,2.7388154e-05,2.7388154e-05,2.7388154e-05,0.80855423,0.19133623,2.7388154e-05,0.0022945725,0.14340964,0.0724564,0.0022945725,0.7413632,0.0022945725,0.0022945725,0.0022945725,0.0022945725,0.029003419
245187,0.21581021,0.013714156,0.21061057,0.013714156,0.1519147,0.23563781,0.013714156,0.13117012,0.013714156,3.169333e-06,3.169333e-06,3.169333e-06,0.81772333,0.18226396,3.169333e-06,0.0020004315,0.14199384,0.07102623,0.0020004315,0.7490157,0.0020004315,0.0020004315,0.0020004315,0.0020004315,0.025961565
245188,0.27980632,0.010741888,0.07388053,0.010741888,0.043426108,0.44673082,0.010741888,0.113188714,0.010741888,1.5594405e-05,1.5594405e-05,1.5594405e-05,0.81922954,0.18070811,1.5594405e-05,0.0052378173,0.06927509,0.03242352,0.0052378173,0.793558,0.0052378173,0.0052378173,0.0052378173,0.0052378173,0.07331658
245189,0.3551171,0.009824695,0.08237189,0.009824695,0.027101176,0.44490772,0.009824695,0.051203266,0.009824695,3.0428112e-06,3.0428112e-06,3.0428112e-06,0.8177013,0.1822865,3.0428112e-06,0.0026906012,0.1432371,0.07450668,0.0026906012,0.7314008,0.0026906012,0.0026906012,0.0026906012,0.0026906012,0.034711882
245190,0.22059515,0.012518211,0.107177965,0.012518211,0.18451561,0.18067238,0.012518211,0.25696605,0.012518211,0.0013480105,0.0013480105,0.0013480105,0.7972449,0.197363,0.0013480105,0.0049216263,0.09192976,0.0469932,0.0049216263,0.7733928,0.0049216263,0.0049216263,0.0049216263,0.0049216263,0.05815459
245191,0.25761452,0.013190498,0.19636062,0.013190498,0.054867692,0.35907197,0.013190498,0.0793231,0.013190498,0.00246792,0.00246792,0.00246792,0.761569,0.2285593,0.00246792,0.0012057469,0.13616206,0.06749687,0.0012057469,0.77098405,0.0012057469,0.0012057469,0.0012057469,0.0012057469,0.018122518
245192,0.38894683,0.009092804,0.07868832,0.009092804,0.026626036,0.43350366,0.009092804,0.035863936,0.009092804,7.324856e-06,7.324856e-06,7.324856e-06,0.82036895,0.17960171,7.324856e-06,0.003315417,0.1420257,0.07217619,0.003315417,0.73325527,0.003315417,0.003315417,0.003315417,0.003315417,0.032650422
245194,0.3334431,0.010269965,0.08001011,0.010269965,0.026323348,0.4561781,0.010269965,0.06296542,0.010269965,1.4127563e-05,1.4127563e-05,1.4127563e-05,0.82413256,0.175811,1.4127563e-05,0.0020937405,0.14266345,0.071011245,0.0020937405,0.7481888,0.0020937405,0.0020937405,0.0020937405,0.0020937405,0.025574032
245195,0.39101982,0.009135334,0.08311756,0.009135334,0.028768115,0.42533723,0.009135334,0.035215873,0.009135334,0.00077146577,0.00077146577,0.00077146577,0.7767721,0.2201421,0.00077146577,0.0019865213,0.14248781,0.06854515,0.0019865213,0.7552946,0.0019865213,0.0019865213,0.0019865213,0.0019865213,0.021753266
245196,0.34840643,0.009871519,0.09397059,0.009871519,0.035102062,0.427505,0.009871519,0.05552988,0.009871519,1.597171e-05,1.597171e-05,1.597171e-05,0.82050407,0.179432,1.597171e-05,0.003901768,0.13721155,0.07129388,0.003901768,0.7330178,0.003901768,0.003901768,0.003901768,0.003901768,0.035066
245197,0.30997634,0.010901501,0.10451753,0.010901501,0.03805944,0.4248268,0.010901501,0.079013884,0.010901501,9.336957e-05,9.336957e-05,9.336957e-05,0.8186707,0.18095583,9.336957e-05,0.0021792704,0.1429649,0.07184353,0.0021792704,0.74451166,0.0021792704,0.0021792704,0.0021792704,0.0021792704,0.027604394
245198,0.27627677,0.01152482,0.1339647,0.01152482,0.05941121,0.38552424,0.01152482,0.09872383,0.01152482,0.00040535573,0.00040535573,0.00040535573,0.8089492,0.18942948,0.00040535573,0.001681043,0.1397548,0.07015617,0.001681043,0.75672954,0.001681043,0.001681043,0.001681043,0.001681043,0.023273125
245199,0.29088005,0.011235714,0.13478503,0.011235714,0.053871755,0.38905144,0.011235714,0.08646884,0.011235714,0.0003807933,0.0003807933,0.0003807933,0.8085602,0.18991663,0.0003807933,0.0017548928,0.14047204,0.070563726,0.0017548928,0.7543994,0.0017548928,0.0017548928,0.0017548928,0.0017548928,0.024035206
245200,0.3194426,0.010593396,0.11512915,0.010593396,0.04350747,0.4080201,0.010593396,0.07152714,0.010593396,3.5908506e-05,3.5908506e-05,3.5908506e-05,0.81204027,0.18781611,3.5908506e-05,0.0029319928,0.14298697,0.075095005,0.0029319928,0.7269307,0.0029319928,0.0029319928,0.0029319928,0.0029319928,0.037395176
245201,0.23390001,0.012094362,0.17571473,0.012094362,0.10970057,0.31341165,0.012094362,0.11889555,0.012094362,6.123948e-05,6.123948e-05,6.123948e-05,0.7980952,0.20165983,6.123948e-05,0.0037821364,0.13995689,0.077365,0.0037821364,0.7149724,0.0037821364,0.0037821364,0.0037821364,0.0037821364,0.045012902
245202,0.27126002,0.011386341,0.111666426,0.011386341,0.059320968,0.3965688,0.011386341,0.1156385,0.011386341,4.9663096e-05,4.9663096e-05,4.9663096e-05,0.8228328,0.1769685,4.9663096e-05,0.0018893171,0.1404959,0.07187664,0.0018893171,0.7491564,0.0018893171,0.0018893171,0.0018893171,0.0018893171,0.027135266
245203,0.40279916,0.008911403,0.0757712,0.008911403,0.024608098,0.43052515,0.008911403,0.030650686,0.008911403,1.4701486e-06,1.4701486e-06,1.4701486e-06,0.8228978,0.17709626,1.4701486e-06,0.0012111642,0.13599686,0.06647702,0.0012111642,0.7739134,0.0012111642,0.0012111642,0.0012111642,0.0012111642,0.016345825
245204,0.22844721,0.012139744,0.15444946,0.012139744,0.15659046,0.2513412,0.012139744,0.16061267,0.012139744,5.565369e-07,5.565369e-07,5.565369e-07,0.8172891,0.18270862,5.565369e-07,0.0016227704,0.13863352,0.070848174,0.0016227704,0.75613344,0.0016227704,0.0016227704,0.0016227704,0.0016227704,0.024648232
245205,0.34068716,0.010114484,0.08993522,0.010114484,0.03138341,0.43816668,0.010114484,0.059369534,0.010114484,1.2303614e-05,1.2303614e-05,1.2303614e-05,0.8165848,0.183366,1.2303614e-05,0.0014238732,0.13754614,0.06874461,0.0014238732,0.76469123,0.0014238732,0.0014238732,0.0014238732,0.0014238732,0.020474669
245207,0.22844498,0.01208052,0.1645552,0.01208052,0.15216239,0.25949928,0.01208052,0.14701608,0.01208052,6.296116e-07,6.296116e-07,6.296116e-07,0.81708837,0.18290919,6.296116e-07,0.0012925597,0.13623862,0.06888638,0.0012925597,0.7665587,0.0012925597,0.0012925597,0.0012925597,0.0012925597,0.020560902
245208,0.35555956,0.009684015,0.088260494,0.009684015,0.032629497,0.43326113,0.009684015,0.051553115,0.009684015,0.0037260691,0.0037260691,0.0037260691,0.74849665,0.23659912,0.0037260691,0.005596927,0.072573334,0.031918075,0.005596927,0.8178387,0.005596927,0.005596927,0.005596927,0.005596927,0.044088207
245209,0.36216927,0.009874595,0.09172611,0.009874595,0.029454889,0.42913744,0.009874595,0.04801398,0.009874595,0.0037634003,0.0037634003,0.0037634003,0.7554178,0.22952864,0.0037634003,0.0020074905,0.14262016,0.070720166,0.0020074905,0.7498691,0.0020074905,0.0020074905,0.0020074905,0.0020074905,0.024745757
245210,0.38894683,0.009092804,0.07868832,0.009092804,0.026626036,0.43350366,0.009092804,0.035863936,0.009092804,7.324856e-06,7.324856e-06,7.324856e-06,0.82036895,0.17960171,7.324856e-06,0.003315417,0.1420257,0.07217619,0.003315417,0.73325527,0.003315417,0.003315417,0.003315417,0.003315417,0.032650422
245211,0.23913413,0.011613489,0.12778169,0.011613489,0.1021733,0.33765692,0.011613489,0.14680007,0.011613489,0.0034750581,0.0034750581,0.0034750581,0.76126873,0.224831,0.0034750581,0.005012803,0.08126854,0.040500373,0.005012803,0.7781628,0.005012803,0.005012803,0.005012803,0.005012803,0.06999153
245212,0.2551034,0.011528261,0.12217221,0.011528261,0.07918503,0.36755112,0.011528261,0.12987517,0.011528261,0.00020733796,0.00020733796,0.00020733796,0.7899062,0.2092644,0.00020733796,0.0041517937,0.12849662,0.07279038,0.0041517937,0.72469574,0.0041517937,0.0041517937,0.0041517937,0.0041517937,0.049106672
245214,0.24106377,0.01139,0.1149578,0.01139,0.102249846,0.3407909,0.01139,0.15537773,0.01139,0.00021161187,0.00021161187,0.00021161187,0.79529697,0.20385663,0.00021161187,0.004461081,0.113410145,0.062588945,0.004461081,0.7435564,0.004461081,0.004461081,0.004461081,0.004461081,0.05367803
