village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
217475,0.36536324,0.009562737,0.07897189,0.009562737,0.025933186,0.44535127,0.009562737,0.046129398,0.009562737,1.0837298e-06,1.0837298e-06,1.0837298e-06,0.82224166,0.17775407,1.0837298e-06,0.003788877,0.13976641,0.07643117,0.003788877,0.7180666,0.003788877,0.003788877,0.003788877,0.003788877,0.043002695
217476,0.37934464,0.009350045,0.07934107,0.009350045,0.02555157,0.43853426,0.009350045,0.0398283,0.009350045,3.1247703e-06,3.1247703e-06,3.1247703e-06,0.80798066,0.19200687,3.1247703e-06,0.002230236,0.14317532,0.07086216,0.002230236,0.74653137,0.002230236,0.002230236,0.002230236,0.002230236,0.026049621
217477,0.36924404,0.009585472,0.08423582,0.009585472,0.027745843,0.43565458,0.009585472,0.044777844,0.009585472,0.003508981,0.003508981,0.003508981,0.77345014,0.21251397,0.003508981,0.0023468372,0.14324589,0.06934442,0.0023468372,0.7488321,0.0023468372,0.0023468372,0.0023468372,0.0023468372,0.024496581
217478,0.20324318,0.0154701825,0.24298702,0.0154701825,0.14691852,0.21864943,0.0154701825,0.12632103,0.0154701825,0.0004404263,0.0004404263,0.0004404263,0.80865353,0.18958476,0.0004404263,0.0043889526,0.118376695,0.0656623,0.0043889526,0.73952526,0.0043889526,0.0043889526,0.0043889526,0.0043889526,0.05010199
217479,0.3032692,0.010986988,0.14086452,0.010986988,0.05381614,0.3823724,0.010986988,0.07572976,0.010986988,0.00082240126,0.00082240126,0.00082240126,0.7849081,0.21180235,0.00082240126,0.0012342707,0.13653953,0.06717536,0.0012342707,0.77116627,0.0012342707,0.0012342707,0.0012342707,0.0012342707,0.0177133
217480,0.25376144,0.012048135,0.18355902,0.012048135,0.086679436,0.333608,0.012048135,0.09419945,0.012048135,5.790955e-05,5.790955e-05,5.790955e-05,0.8048216,0.19494672,5.790955e-05,0.001189086,0.13600175,0.06721765,0.001189086,0.77193624,0.001189086,0.001189086,0.001189086,0.001189086,0.017709728
217481,0.2269473,0.012256334,0.16221422,0.012256334,0.15845782,0.2480242,0.012256334,0.1553311,0.012256334,0.0037573688,0.0037573688,0.0037573688,0.7568756,0.22809489,0.0037573688,0.001265175,0.13580681,0.06892086,0.001265175,0.76711214,0.001265175,0.001265175,0.001265175,0.001265175,0.020569213
217482,0.2692217,0.012431945,0.16229714,0.012431945,0.053173438,0.37835085,0.012431945,0.08722914,0.012431945,7.1197406e-05,7.1197406e-05,7.1197406e-05,0.7877469,0.21196826,7.1197406e-05,0.0013201874,0.1367746,0.06861293,0.0013201874,0.76660806,0.0013201874,0.0013201874,0.0013201874,0.0013201874,0.020083383
217483,0.30886483,0.010921153,0.119315185,0.010921153,0.04399343,0.40684885,0.010921153,0.07729304,0.010921153,0.0001465249,0.0001465249,0.0001465249,0.79380053,0.20561343,0.0001465249,0.001363637,0.13726118,0.068655826,0.001363637,0.76570153,0.001363637,0.001363637,0.001363637,0.001363637,0.02019973
217484,0.22220936,0.013247091,0.22456534,0.013247091,0.11629993,0.28040782,0.013247091,0.10352921,0.013247091,0.0035981715,0.0035981715,0.0035981715,0.76087046,0.22473684,0.0035981715,0.0014580967,0.13853028,0.068718776,0.0014580967,0.76358455,0.0014580967,0.0014580967,0.0014580967,0.0014580967,0.02041793
217485,0.3182886,0.010497535,0.091368295,0.010497535,0.035325084,0.43836656,0.010497535,0.07466123,0.010497535,1.23909085e-05,1.23909085e-05,1.23909085e-05,0.81761295,0.18233757,1.23909085e-05,0.0027580443,0.14331277,0.07451325,0.0027580443,0.7304582,0.0027580443,0.0027580443,0.0027580443,0.0027580443,0.035167713
217486,0.30670726,0.0112302825,0.13261646,0.0112302825,0.043719154,0.39799047,0.0112302825,0.074045435,0.0112302825,0.0010312782,0.0010312782,0.0010312782,0.7814544,0.21442051,0.0010312782,0.0012537028,0.13657221,0.06762754,0.0012537028,0.76992947,0.0012537028,0.0012537028,0.0012537028,0.0012537028,0.018348744
217487,0.35691363,0.009737025,0.078056395,0.009737025,0.025310768,0.45086914,0.009737025,0.049901903,0.009737025,9.80682e-07,9.80682e-07,9.80682e-07,0.82214826,0.17784782,9.80682e-07,0.0031366833,0.14237827,0.07620215,0.0031366833,0.72188693,0.0031366833,0.0031366833,0.0031366833,0.0031366833,0.040712696
217488,0.25361392,0.012910024,0.21922296,0.012910024,0.075169064,0.32554772,0.012910024,0.07480631,0.012910024,0.0002524225,0.0002524225,0.0002524225,0.8161103,0.1828799,0.0002524225,0.0011741872,0.1359733,0.06689918,0.0011741872,0.7729058,0.0011741872,0.0011741872,0.0011741872,0.0011741872,0.017176589
217489,0.33826604,0.010073501,0.07619328,0.010073501,0.025300693,0.46016726,0.010073501,0.05977879,0.010073501,1.8582979e-06,1.8582979e-06,1.8582979e-06,0.82308584,0.17690663,1.8582979e-06,0.0033976436,0.14168707,0.07712811,0.0033976436,0.7170467,0.0033976436,0.0033976436,0.0033976436,0.0033976436,0.043752413
217490,0.37106073,0.0095228115,0.07946836,0.0095228115,0.025286619,0.44257167,0.0095228115,0.0435212,0.0095228115,6.88475e-07,6.88475e-07,6.88475e-07,0.8207617,0.17923553,6.88475e-07,0.002140994,0.1414447,0.072827265,0.002140994,0.74304783,0.002140994,0.002140994,0.002140994,0.002140994,0.029834136
217491,0.37452248,0.009437305,0.07908282,0.009437305,0.025360158,0.44133815,0.009437305,0.04194728,0.009437305,9.2051647e-07,9.2051647e-07,9.2051647e-07,0.82187164,0.1781247,9.2051647e-07,0.0026243695,0.14322028,0.07418321,0.0026243695,0.73312485,0.0026243695,0.0026243695,0.0026243695,0.0026243695,0.033725347
