district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
204,1031,217475,Bharatmahi,558,27.0022671,84.8137883,27.0190183,84.8265927,26.9952678,84.809471
204,1031,217476,Bairiya Birt,450,27.0064579,84.8189902,27.011072,84.8257826,27.0017051,84.81456
204,1031,217477,Ekderwa,337,26.5020697,84.4146403,26.5111236,84.4255677,26.4876879,84.4070054
204,1031,217478,Sihpur,363,25.4001614,86.8597121,25.4177184,86.8707197,25.3892632,86.8437921
204,1031,217479,Haraiya,311,27.0057065,84.8385466,27.0160724,84.8449551,26.9947295,84.8317051
204,1031,217480,Pantoka,658,27.0041014,84.8492669,27.0114965,84.8551315,26.9937544,84.8391509
204,1031,217481,Dhangarhwa,398,24.9577218,83.588271,24.9669266,83.6000517,24.9464148,83.5802001
204,1031,217482,Kaurihar,1730,26.9603426,84.8446876,26.9688181,84.8579024,26.9451274,84.8337325
204,1031,217483,JakiYari,816,26.9759759,84.8281174,26.9834957,84.8346504,26.967205,84.8176649
204,1031,217484,Chikni,488,26.0484607,87.445534,26.0796299,87.4594648,26.0298595,87.4289934
204,1031,217485,Chanduli,127,25.1793639,83.2934086,25.5351101,83.5545199,24.71728,83.00913
204,1031,217486,Siswa,835,26.5394483,84.5837904,26.5467491,84.5877148,26.5293578,84.5756225
204,1031,217487,Kauwadhangar,390,26.9806972,84.7968182,26.9864217,84.8074798,26.973566,84.7883073
204,1031,217488,Lachhmipur,563,26.6158818,84.8620054,26.6408614,84.8937224,26.6063994,84.853874
204,1031,217489,Lachhamanwa,654,26.9630868,84.7968182,26.9804439,84.8069536,26.9498862,84.7866973
204,1031,217490,JatiYahi,298,26.9754025,84.8124699,26.9829197,84.819641,26.9687441,84.8030547
204,1031,217491,Khirichiya,458,26.9636619,84.8124699,26.971466,84.8218309,26.9564895,84.8037718
204,1031,217492,Sihorwa,341,26.3785585,84.4146403,26.3871841,84.4245298,26.367752,84.4065626
204,1031,217493,Kananaparshotimpur,1274,26.9583645,84.8281174,26.971527,84.8413925,26.9438839,84.8146208
204,1031,217494,Senuaria,345,26.7504328,84.6845216,26.775404,84.7183912,26.7304726,84.6679611
204,1031,217495,HardiYa,1953,26.4570927,85.7187995,0,0,0,0
204,1031,217496,GamhariYa,608,26.05764,86.7265483,26.0676002,86.7410583,26.0456543,86.705551
204,1031,217498,Saunaha,572,26.9682816,84.7852335,26.9881669,84.7912215,26.9641781,84.7757492
204,1031,217499,Harnahi,1413,24.881108,84.323964,24.8833731,84.3291014,24.8762246,84.3178025
204,1031,217500,Semri,425,25.3417077,84.201528,25.3642082,84.2238235,25.3282337,84.1867142
204,1031,217501,Sidhpur,501,26.4502073,87.009943,26.4626408,87.0326082,26.4341393,86.9851915
204,1031,217502,Palanwan,2525,26.9532219,84.7681121,27.0064029,84.7927212,26.9149684,84.7502594
204,1031,217503,Bhelahi,1743,26.9973425,84.7707223,27.0124885,84.7881135,26.980482,84.750679
204,1031,217504,Purandra,1506,26.9732838,84.7550591,26.9878272,84.7701186,26.9515095,84.7469941
204,1031,217505,Belwa,595,27.0419593,84.4041343,27.0541135,84.4131546,27.0326157,84.3890533
204,1031,217506,PipariYa,485,25.1137053,83.4249978,25.115346,83.4267426,25.1111105,83.4226226
204,1031,217507,Laukariya,1449,26.9285769,84.7367799,26.9472045,84.7524186,26.9189109,84.7192229
204,1031,217509,GamhariYa Anand Sagar,369,26.9463143,84.7204543,26.9513415,84.7236706,26.9417248,84.7124099
204,1031,217510,Sirisiya Nizamat,229,26.9410557,84.7171886,26.9445743,84.7235105,26.9351158,84.7106171
204,1031,217511,Sirsia Birit,251,26.9358458,84.7152291,26.9381944,84.720871,26.9337406,84.7060243
204,1031,217513,Parsauna Tapsi,1647,26.9274073,84.7054306,26.9362925,84.7228471,26.8888893,84.690468
204,1031,217514,Bahuari,1207,26.8164685,84.8020359,26.8247814,84.8082733,26.810707,84.7910844
204,1031,217515,Siswaniyan,403,26.902504,84.7067372,26.9070396,84.7093045,26.8888683,84.7018126
204,1031,217516,Sirampur,574,25.9186886,85.006453,25.9251461,85.0145111,25.9145146,84.9997789
204,1031,217517,Nonea,1738,26.9741745,84.8762,26.9874065,84.8825545,26.9561079,84.8580477
204,1031,801282,Raxaul Bazar  (Nagar Parishad),9513,26.9894781,84.8365069,0,0,0,0
204,1032,217518,Lachhimipur Pokhariya,1193,26.8894209,84.8698228,26.9047528,84.8858948,26.8735351,84.8584137
204,1032,217519,Chainpur,724,25.0328082,83.5046184,25.0447036,83.5154057,25.0240733,83.4984971
204,1032,217520,Bhawanipur,1319,26.4646838,86.9974385,26.4763393,87.0087736,26.4516104,86.9849014
204,1032,217521,Katkenwa,512,26.8844073,84.9550929,26.8893493,84.9596358,26.8834546,84.9513208
204,1032,217522,Sirsiya,953,26.7176817,85.717941,26.7321965,85.7268672,26.7030848,85.7084656
204,1032,217523,Nakardei,798,26.9542016,84.8750338,26.9603595,84.8902509,26.9421387,84.8651353
204,1032,217524,Bhakurahiya,534,26.9490839,84.8958731,26.9595583,84.9050676,26.9423295,84.8871536
204,1032,217525,Harpur,693,25.4408945,84.0520934,25.4428483,84.0536928,25.4375777,84.0492297
204,1032,217526,Naek Tola,757,26.9630914,84.9180065,26.9690488,84.9238067,26.9587594,84.9140382
204,1032,217527,Ghora Sahan,617,26.8202004,85.1307078,0,0,0,0
204,1032,217528,Tola Rampur,236,26.9560794,84.9271177,26.9597225,84.9360351,26.9479846,84.9188613
204,1032,217529,Inarwa,660,27.119712,84.592955,27.1332455,84.6012496,27.1125374,84.5785065
204,1032,217530,Beldarwa,413,26.9498101,84.9570442,26.9582439,84.9611971,26.94429,84.9513093
204,1032,217531,Lala Chhapra,335,26.3314826,84.8476706,26.3366736,84.8518675,26.3248995,84.8423155
204,1032,217532,Jamunbhar,475,26.9424159,84.9658239,26.9492617,84.9677374,26.936177,84.9622343
204,1032,217533,Auraia,1291,27.1012608,84.5517028,27.1036301,84.557129,27.0996054,84.5445406
204,1032,217534,Mutia,910,26.9176982,84.9622471,26.9303149,84.9688476,26.908121,84.9539794
204,1032,217535,Shampur,1282,25.8218297,85.2864732,25.8278389,85.2899019,25.8157692,85.2830125
204,1032,217536,Sirsia Kalan,1474,26.9663209,84.8854545,26.9790549,84.8977625,26.9570955,84.8758435
204,1032,217537,Kachurbari,856,26.9304604,84.9290699,26.9338833,84.938838,26.9263268,84.925797
204,1032,217538,Tola Unchi Dih,613,26.9439625,84.9167048,26.9523563,84.9278642,26.9371834,84.9031066
204,1032,217539,Tola Chikni,347,26.9375286,84.9010818,26.943571,84.9203187,26.9290047,84.886795
204,1032,217540,Barwa,926,27.0920228,84.4651744,27.0948797,84.4671285,27.0897388,84.4632877
204,1032,217542,Arara,512,26.1324689,87.4528067,26.1525489,87.4871777,26.1108222,87.4037505
204,1032,217544,Bhaluahiya,331,26.9099536,84.9303713,26.9159091,84.9328566,26.9064188,84.9262476
204,1032,217545,Hira Chhapra,164,26.9125682,84.9111721,26.9156796,84.9122144,26.909442,84.905498
204,1032,217546,Bairiya,357,26.3774053,85.1304328,26.380718,85.1332932,26.3735122,85.1281357
204,1032,217547,Kachorwa,286,26.9036189,84.9072664,26.9071076,84.9092101,26.9012522,84.904511
204,1032,217548,Maghi,531,26.9213338,84.8997797,26.9272041,84.9024392,26.9172398,84.8951344
204,1032,217549,Bishunpurwa,984,27.1099884,84.4933758,27.1196652,84.5035858,27.1043109,84.4875792
204,1032,217550,Sirsia Khurd,527,26.9622472,84.8945709,26.9673371,84.8973547,26.958922,84.8893405
204,1032,217551,Bherihari,702,27.0135189,84.5772433,27.0182281,84.584569,27.0070445,84.5692132
204,1032,217552,Imilwa,294,26.8798492,84.8893617,26.8930415,84.8982923,26.8769225,84.8796538
204,1032,217553,Kalwariya,158,26.8725545,84.890664,26.8778287,84.9044646,26.862423,84.8831939
204,1032,217554,Majhariya,1777,27.124621,84.4553335,27.1364898,84.4621657,27.1110324,84.4449081
