district_code,subdistrict_code,village_code,village_name,num_households
204,1031,217475,Bharatmahi,558
204,1031,217476,Bairiya Birt,450
204,1031,217477,Ekderwa,337
204,1031,217478,Sihpur,363
204,1031,217479,Haraiya,311
204,1031,217480,Pantoka,658
204,1031,217481,Dhangarhwa,398
204,1031,217482,Kaurihar,1730
204,1031,217483,JakiYari,816
204,1031,217484,Chikni,488
204,1031,217485,Chanduli,127
204,1031,217486,Siswa,835
204,1031,217487,Kauwadhangar,390
204,1031,217488,Lachhmipur,563
204,1031,217489,Lachhamanwa,654
204,1031,217490,JatiYahi,298
204,1031,217491,Khirichiya,458
204,1031,217492,Sihorwa,341
204,1031,217493,Kananaparshotimpur,1274
204,1031,217494,Senuaria,345
204,1031,217495,HardiYa,1953
204,1031,217496,GamhariYa,608
204,1031,217498,Saunaha,572
204,1031,217499,Harnahi,1413
204,1031,217500,Semri,425
204,1031,217501,Sidhpur,501
204,1031,217502,Palanwan,2525
204,1031,217503,Bhelahi,1743
204,1031,217504,Purandra,1506
204,1031,217505,Belwa,595
204,1031,217506,PipariYa,485
204,1031,217507,Laukariya,1449
204,1031,217509,GamhariYa Anand Sagar,369
204,1031,217510,Sirisiya Nizamat,229
204,1031,217511,Sirsia Birit,251
204,1031,217513,Parsauna Tapsi,1647
204,1031,217514,Bahuari,1207
204,1031,217515,Siswaniyan,403
204,1031,217516,Sirampur,574
204,1031,217517,Nonea,1738
204,1031,801282,Raxaul Bazar  (Nagar Parishad),9513
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0001,501
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0002,241
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0003,332
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0004,607
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0005,291
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0006,246
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0007,341
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0008,340
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0009,417
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0010,327
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0011,459
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0012,275
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0013,289
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0014,272
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0015,253
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0016,502
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0017,417
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0018,459
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0019,414
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0020,475
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0021,303
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0022,463
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0023,288
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0024,532
204,1031,801282,Raxaul Bazar  (Nagar Parishad) WARD NO.-0025,469
204,1032,0,Adapur,39818
204,1032,0,Adapur,39818
204,1032,217518,Lachhimipur Pokhariya,1193
204,1032,217519,Chainpur,724
204,1032,217520,Bhawanipur,1319
204,1032,217521,Katkenwa,512
204,1032,217522,Sirsiya,953
204,1032,217523,Nakardei,798
204,1032,217524,Bhakurahiya,534
204,1032,217525,Harpur,693
204,1032,217526,Naek Tola,757
204,1032,217527,Ghora Sahan,617
204,1032,217528,Tola Rampur,236
204,1032,217529,Inarwa,660
204,1032,217530,Beldarwa,413
204,1032,217531,Lala Chhapra,335
