village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
222984,0.2678767,0.011606307,0.13809782,0.011606307,0.06771695,0.37463117,0.011606307,0.10525216,0.011606307,4.210065e-06,4.210065e-06,4.210065e-06,0.8208506,0.17913258,4.210065e-06,0.003876849,0.13858011,0.07797037,0.003876849,0.712572,0.003876849,0.003876849,0.003876849,0.003876849,0.04761664
222986,0.22432879,0.01251576,0.16073106,0.01251576,0.16766596,0.23141421,0.01251576,0.16579694,0.01251576,6.857469e-07,6.857469e-07,6.857469e-07,0.8184596,0.18153773,6.857469e-07,0.00148966,0.13782386,0.070002325,0.00148966,0.7603891,0.00148966,0.00148966,0.00148966,0.00148966,0.02284675
222987,0.3085267,0.010817044,0.17694618,0.010817044,0.07655499,0.3379411,0.010817044,0.056762926,0.010817044,0.0033678643,0.0033678643,0.0033678643,0.72288775,0.26364076,0.0033678643,0.0014226423,0.13894643,0.06659023,0.0014226423,0.76801044,0.0014226423,0.0014226423,0.0014226423,0.0014226423,0.017916908
222990,0.22437112,0.012509222,0.1593692,0.012509222,0.16962364,0.22878036,0.012509222,0.16781871,0.012509222,4.527132e-07,4.527132e-07,4.527132e-07,0.81683844,0.1831597,4.527132e-07,0.0012444461,0.13566063,0.06877097,0.0012444461,0.7678178,0.0012444461,0.0012444461,0.0012444461,0.0012444461,0.020283917
222992,0.22919418,0.012056409,0.15225868,0.012056409,0.16054668,0.2468861,0.012056409,0.1628887,0.012056409,6.0427516e-07,6.0427516e-07,6.0427516e-07,0.81748855,0.182509,6.0427516e-07,0.0012743481,0.13593696,0.068937585,0.0012743481,0.7668764,0.0012743481,0.0012743481,0.0012743481,0.0012743481,0.020602882
222993,0.25377592,0.012042113,0.21121469,0.012042113,0.17826585,0.25339177,0.012042113,0.055183362,0.012042113,0.0016443867,0.0016443867,0.0016443867,0.57015556,0.42326686,0.0016443867,0.0010835563,0.13587363,0.06240306,0.0010835563,0.78189355,0.0010835563,0.0010835563,0.0010835563,0.0010835563,0.013328404
222994,0.4196968,0.008605779,0.07132104,0.008605779,0.023182709,0.42617404,0.008605779,0.025202293,0.008605779,7.619337e-05,7.619337e-05,7.619337e-05,0.7936864,0.20600888,7.619337e-05,0.0013901156,0.13783294,0.06648576,0.0013901156,0.7706469,0.0013901156,0.0013901156,0.0013901156,0.0013901156,0.016693573
222995,0.34253278,0.009642998,0.12884854,0.009642998,0.06792687,0.37121898,0.009642998,0.050900843,0.009642998,0.0017582375,0.0017582375,0.0017582375,0.59117746,0.40178964,0.0017582375,0.00095763226,0.133884,0.060759403,0.00095763226,0.78779227,0.00095763226,0.00095763226,0.00095763226,0.00095763226,0.011818557
222998,0.2329354,0.011824398,0.17298494,0.011824398,0.12307252,0.300549,0.011824398,0.12316066,0.011824398,1.5212459e-05,1.5212459e-05,1.5212459e-05,0.78972894,0.21021022,1.5212459e-05,0.0011983071,0.13566214,0.06807061,0.0011983071,0.7700633,0.0011983071,0.0011983071,0.0011983071,0.0011983071,0.019014029
223005,0.226537,0.012489651,0.19644606,0.012489651,0.124950096,0.2854088,0.012489651,0.11669948,0.012489651,3.5483188e-06,3.5483188e-06,3.5483188e-06,0.80653775,0.19344799,3.5483188e-06,0.0011740627,0.1355674,0.067647405,0.0011740627,0.771401,0.0011740627,0.0011740627,0.0011740627,0.0011740627,0.01833991
223006,0.226537,0.012489651,0.19644606,0.012489651,0.124950096,0.2854088,0.012489651,0.11669948,0.012489651,3.5483188e-06,3.5483188e-06,3.5483188e-06,0.80653775,0.19344799,3.5483188e-06,0.0011740627,0.1355674,0.067647405,0.0011740627,0.771401,0.0011740627,0.0011740627,0.0011740627,0.0011740627,0.01833991
223007,0.23806746,0.01191889,0.18643594,0.01191889,0.11218192,0.3077699,0.01191889,0.10786917,0.01191889,5.161698e-05,5.161698e-05,5.161698e-05,0.76608074,0.23371273,5.161698e-05,0.0011657364,0.13561538,0.067109644,0.0011657364,0.77269804,0.0011657364,0.0011657364,0.0011657364,0.0011657364,0.01758227
223011,0.30343375,0.010677436,0.1095062,0.010677436,0.049034536,0.41017115,0.010677436,0.08514459,0.010677436,6.7053446e-07,6.7053446e-07,6.7053446e-07,0.81783754,0.18215977,6.7053446e-07,0.0017158411,0.13970101,0.07065501,0.0017158411,0.75499326,0.0017158411,0.0017158411,0.0017158411,0.0017158411,0.024355872
223012,0.223901,0.012560606,0.15914857,0.012560606,0.17048799,0.22679763,0.012560606,0.16942248,0.012560606,5.454638e-07,5.454638e-07,5.454638e-07,0.81728035,0.18271746,5.454638e-07,0.0015226835,0.13801543,0.070207894,0.0015226835,0.7594274,0.0015226835,0.0015226835,0.0015226835,0.0015226835,0.02321305
