district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
209,1112,221471,Parasi,1532,25.1917008,84.5680762,25.2003574,84.5732116,25.1826934,84.5649794
209,1112,221472,Shyamnagar,633,26.3599705,87.2145498,26.3724841,87.2316514,26.3440704,87.1983413
209,1112,221474,Kuchgaon,176,26.3898442,87.2344642,26.3949031,87.2400438,26.3832951,87.2276076
209,1112,221477,Sonapur,2305,25.3688592,86.2256735,25.385086,86.2316819,25.3581943,86.1982649
209,1112,221478,Chakorwa,559,26.3832721,87.1996084,26.3884963,87.2112428,26.3683184,87.1864774
209,1112,221479,Bhorhar,832,26.3886823,87.1746957,26.4023312,87.1949005,26.3746281,87.1625747
209,1112,221480,Nawabganj,1354,25.3653324,87.6341672,25.3755011,87.6456501,25.3557481,87.6214141
209,1112,221481,Manikpur,1228,26.2410086,85.3472155,26.2502231,85.3603286,26.228979,85.3384249
209,1112,221482,Pathraha,1887,26.2926593,87.1659731,26.2980137,87.1770628,26.2854252,87.1505661
209,1112,221483,Ghurna,1045,26.4429564,87.0873978,26.4705639,87.1026871,26.424963,87.061447
209,1112,221484,Maheshpatti,858,26.4692317,87.0749136,26.4972401,87.0895079,26.4529036,87.0543137
209,1112,221485,Dombana,407,26.506098,87.0761622,26.5156902,87.081763,26.4968643,87.0705414
209,1112,221486,Basmatiya,1986,26.5221787,87.069919,26.546492,87.0773949,26.5053768,87.0585479
209,1112,221487,Bhairoganj,225,27.1483109,84.242368,27.1538275,84.2505026,27.1410347,84.2348814
209,1112,221488,Bela,1406,24.9694491,84.973511,24.9747597,84.9820745,24.9616545,84.964701
209,1112,221489,Jitwarpur,1317,26.3842032,86.0739869,26.3878621,86.0779882,26.3790964,86.0692226
209,1112,221490,Kamat Pathraha,164,26.422573,87.0998788,26.4287014,87.1075666,26.4170016,87.0939561
209,1112,221491,Bhawanipur,965,26.4646838,86.9974385,26.4763393,87.0087736,26.4516104,86.9849014
209,1112,221492,Barmotra Arazi,148,26.3911352,87.0761622,26.394802,87.0797346,26.3818683,87.0710602
209,1112,221493,Bhadwar,144,25.4740562,84.3410586,25.4944762,84.3634644,25.4467564,84.3286438
