district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
222,1304,237396,Sagi,1049,25.7284495,86.0515912,25.7330912,86.0589065,25.7218249,86.0421966
222,1304,237397,Narayanpur,270,25.7959074,86.2793375,25.8046821,86.2913848,25.7859422,86.2685965
222,1304,237399,Narullahpur,959,25.7259447,86.033838,25.7313634,86.0383529,25.7220019,86.0309905
222,1304,237400,Mohanpur,342,25.7195518,86.015984,25.7230034,86.0188138,25.7160339,86.0137023
222,1304,237402,Begampur,507,25.5817023,85.2325124,25.5893077,85.2589284,25.570699,85.220773
222,1304,237403,Bara,858,25.7030962,86.0305733,25.7068288,86.0339432,25.6973657,86.0252826
222,1304,237405,Daulatpur,1557,25.7289148,85.24249,25.7344112,85.2513506,25.7226409,85.2365113
222,1304,237407,Tetrahi,660,25.7768043,86.2831442,25.7850208,86.2933654,25.7682647,86.2724761
222,1304,237409,Mirzapur,343,25.3175486,85.2137191,0,0,0,0
222,1304,237410,Bariarpur,4726,25.2885718,86.5728785,25.3028189,86.581179,25.2789376,86.5624543
222,1304,237411,Phaphot,2105,25.6792293,86.054235,25.6851699,86.069206,25.6711254,86.0381241
222,1304,237412,Chak Jaddu,260,25.6820912,86.009925,25.6828575,86.0127944,25.6808127,86.0058745
222,1304,237413,Malpur,455,25.8355829,85.5843632,25.8590259,85.5966035,25.8140068,85.5684889
222,1304,237414,Matihani,453,25.3686865,86.1598322,0,0,0,0
222,1304,237415,Khodawandpur,2076,25.6714836,86.0396524,25.6830024,86.0637282,25.6615282,86.0212479
222,1304,237416,Bedaulia,389,25.5619681,84.8450639,25.5653037,84.8676759,25.5572528,84.8380125
222,1304,237417,Meghaul,2066,25.6522718,86.0231423,25.6612176,86.0655213,25.6368836,86.0154304
222,1305,237419,Paranpura,425,25.0394345,84.5261509,25.0455875,84.5308304,25.0312022,84.5191498
222,1305,237420,Bazidpur,491,25.5932837,85.7794791,25.6036662,85.7896953,25.5640506,85.758827
222,1305,237426,Purpathar,343,25.7676934,86.1312882,25.7721119,86.1368482,25.7637977,86.1284637
222,1305,237429,Gauri Dih,458,25.3299019,84.4710782,25.3329925,84.4765623,25.3268757,84.4669112
222,1305,237438,Sahuri,867,25.4768044,86.0829046,25.4791475,86.0897943,25.4753435,86.081512
222,1305,237439,Baraipura,343,25.5378585,86.0720757,25.5416297,86.0801238,25.5342254,86.068695
222,1305,237440,Bathaul,254,25.7376687,86.1408322,25.7433488,86.1456603,25.7325668,86.1364288
222,1305,237441,Malpur,523,25.8355829,85.5843632,25.8590259,85.5966035,25.8140068,85.5684889
222,1305,237442,Seampur,665,25.7314605,86.1380353,25.7413101,86.142944,25.7227936,86.1313552
222,1305,237445,Lakhan Patti,682,25.7284702,86.1281065,25.7367458,86.1398621,25.7222899,86.1169435
222,1305,237447,Rampur,916,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
222,1305,237449,Sihman,1404,25.7412253,86.0936926,25.7435342,86.1006545,25.7383004,86.0888595
222,1305,237453,Ibrahimpur,454,25.5086796,84.9687502,25.5182436,84.9817274,25.496168,84.9613647
222,1305,237454,Patahi,238,26.5702747,85.1557141,26.5880813,85.1780393,26.5576801,85.1289367
222,1305,237457,Rajupur,531,26.3663596,85.2178957,26.3865126,85.2285614,26.3601131,85.2026211
222,1305,237459,Ajni,1410,25.6886207,86.1293792,25.6969889,86.1538237,25.6797619,86.1122436
222,1305,237460,Harirampur Tola,230,25.6991965,86.1382873,25.70442,86.1417237,25.6938782,86.1341399
222,1305,237461,Benga,345,26.2769245,87.5123797,26.2826728,87.5259931,26.2701168,87.4998245
222,1305,237462,Bad Bakhadda,256,25.713362,86.1153776,25.718687,86.1230774,25.7053546,86.1079635
222,1305,237463,Bakhadda,548,25.3867817,86.1739043,25.3946837,86.1875891,25.3824214,86.160614
222,1305,237464,Sawat,1554,25.696741,86.1013721,25.7092264,86.1187971,25.6828289,86.0905609
222,1305,237465,Matihani,566,25.3686865,86.1598322,0,0,0,0
222,1305,237466,Amari,3052,25.7199669,86.0860891,25.7435245,86.1028898,25.7024555,86.0674739
222,1305,237467,Shahpur,738,25.5859834,84.4486628,25.5900137,84.4531911,25.5816881,84.4416972
222,1305,237468,Milki,280,25.8660668,85.79165,25.8722763,85.7944565,25.8630082,85.7897491
222,1305,237469,Bhoja,431,25.7129628,86.0590143,25.7134565,86.0610689,25.7116925,86.0583061
222,1305,237470,Jana,1117,25.6843794,86.0809938,25.693098,86.0959623,25.6710719,86.0707933
222,1305,237471,Pansalla,1244,25.6788786,86.0962783,25.6850471,86.1122436,25.6692256,86.0877001
222,1305,237472,Ekamba,1471,25.6240157,86.1446493,25.664585,86.1751861,25.6013756,86.0817795
222,1305,237473,Narayanpipar,1541,25.6647142,86.1191966,25.6828289,86.1356506,25.6458014,86.0959703
222,1305,237474,Dumri,690,25.6228212,84.1843932,25.6295709,84.1932965,25.6190845,84.1773319
222,1305,237475,Parora,1275,25.6623642,86.1421046,25.6795425,86.159561,25.6552598,86.134979
222,1305,237476,Dihi,561,26.8686535,84.3252791,26.8786048,84.3316574,26.8617038,84.3171919
222,1306,237477,Mortar,431,25.7198096,86.1357423,25.7240352,86.1397094,25.7164898,86.1302948
222,1306,237479,Jagarnathpur,238,25.649025,87.5939487,25.6683064,87.6093368,25.6359654,87.5635528
222,1306,237480,Jagarnathpur,214,25.649025,87.5939487,25.6683064,87.6093368,25.6359654,87.5635528
222,1306,237481,Malipur,1398,25.7118217,86.1636448,25.7180126,86.1688561,25.704048,86.1524887
222,1306,237483,Musepur,935,25.5932396,84.894537,0,0,0,0
222,1306,237484,Korai,1154,25.6837317,86.159068,25.7071553,86.1818236,25.6803954,86.1505773
222,1306,237486,Harakpura,773,25.697954,86.1471939,25.7076129,86.1573865,25.6906241,86.137169
222,1306,237487,Sujanpur,1022,24.8853679,84.1468114,24.8875264,84.1488147,24.8817842,84.1437507
222,1306,237488,Garhpura,3195,25.663911,86.1809243,25.6823388,86.1936569,25.6560879,86.159561
222,1306,237493,Dunahi,801,25.6458321,86.1878899,25.6543083,86.1964189,25.6361961,86.1799773
222,1306,237494,Kanausi,857,25.6440567,86.1764475,25.6545409,86.1821367,25.6390495,86.1683882
222,1306,237495,Manikpur,611,26.2410086,85.3472155,26.2502231,85.3603286,26.228979,85.3384249
222,1306,237496,Rajaur,1391,25.5717375,84.3489467,25.5824908,84.3652115,25.5621949,84.3318861
222,1306,237498,Kuriawan,1181,25.6225857,86.2031426,25.6335296,86.2106474,25.6054133,86.1913986
222,1306,237500,Buzurgabad,137,25.6408422,86.1948813,25.6423327,86.1966432,25.6387217,86.1924512
222,1306,237501,Bhansi,264,25.6431166,86.1940871,25.6593131,86.2010575,25.6422887,86.1925764
222,1306,237502,Kumharson,2431,25.6424954,86.1968752,25.6584757,86.2336119,25.6258048,86.1954345
222,1306,237503,Sonwan,2039,25.0751258,85.0830804,25.0820254,85.0944595,25.061611,85.065872
222,1306,237504,Sitalrampur,489,25.6395282,86.2298238,25.6464767,86.2378462,25.6330737,86.2234342
222,1306,237505,Mauji Hari Singh,523,25.6494099,86.2406194,25.6542873,86.2492445,25.6463794,86.2298354
222,1306,237506,Mauji Than Singh,440,25.6456996,86.2399844,25.6500339,86.2551344,25.6419297,86.2311096
222,1306,237507,Bariarpur,303,25.2885718,86.5728785,25.3028189,86.581179,25.2789376,86.5624543
222,1306,237508,Khakharua,416,25.6355837,86.2488732,25.6462057,86.2624054,25.6292878,86.2450407
222,1306,237509,Imadpur,400,25.2183444,84.4894415,25.2219861,84.4984246,25.211872,84.4848204
222,1306,237510,Paranpur,575,24.7964965,84.6779859,24.8016567,84.6824187,24.7881355,84.6715773
222,1306,237511,Bhuindhara,516,25.9709358,84.7328622,25.9782294,84.7396318,25.9630222,84.7214813
222,1306,237512,Sakra,973,25.9722049,85.5650695,25.9778203,85.5708795,25.9669555,85.5576101
222,1307,237513,Sonbarsa,660,25.6942734,86.7078725,0,0,0,0
222,1307,237514,Kumbhi,1567,24.9836864,85.563783,25.00469,85.5768203,24.9742908,85.5491867
222,1307,237515,Yakubpur,729,25.5328182,85.0272437,25.5377561,85.033536,25.5284625,85.0210262
222,1307,237516,Gopalpur,1096,25.5376627,85.1781602,0,0,0,0
222,1307,237517,Rampur,690,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
222,1307,237518,Sakrauli,652,25.6345252,86.0351433,25.638624,86.0465088,25.6266689,86.0250429
222,1307,237520,Basahi,1497,25.1246567,83.7995617,25.1383037,83.812744,25.1117992,83.7885895
222,1307,237522,Sakarbasa,1200,25.6399911,86.0784459,25.6550484,86.0915376,25.6300086,86.0596236
222,1307,237523,Aure,222,25.6250116,86.0708016,25.6338997,86.0806043,25.6187458,86.0604019
222,1307,237524,Korjana,460,25.6184167,86.0453123,25.6244258,86.0638276,25.6092911,86.0305251
222,1307,237525,Bikrampur,1595,25.6039839,86.0580585,25.623228,86.0841827,25.5912418,86.0418701
222,1307,237526,Bishunpur,1035,25.7882434,85.3433404,25.7928504,85.34774,25.7821979,85.3364487
222,1307,237527,Siripur,2325,26.7280987,84.7158823,26.7421836,84.734474,26.7146797,84.7043686
222,1307,237528,Karor,1816,26.2974666,87.5927138,26.3055019,87.5975949,26.2913399,87.5832669
222,1307,237530,Cheria Bariarpur,1287,25.5916722,86.0950048,25.5999756,86.103859,25.5842531,86.0884476
222,1307,237531,Dharampur,174,25.7299455,86.2126732,25.7332878,86.21595,25.7277355,86.2068329
222,1307,237536,Thatha,229,25.5016611,86.5918731,25.5085563,86.5988279,25.4924341,86.5831751
222,1307,237540,Shahpur,1498,25.5859834,84.4486628,25.5900137,84.4531911,25.5816881,84.4416972
222,1307,237541,khanjahanpur,2276,25.6287146,86.0988253,25.6434687,86.1113203,25.6081485,86.077324
