district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
224,1329,238842,Nagarpara,4307,25.4137352,86.8797372,25.4196475,86.8876498,25.406952,86.8694044
224,1329,238843,Mohanpur,1820,25.7195518,86.015984,25.7230034,86.0188138,25.7160339,86.0137023
224,1329,238844,Raipur,1714,25.9190173,85.8626974,25.9215175,85.8650208,25.9149944,85.8582187
224,1329,238846,Jaipur Chuhar,4158,25.4187995,86.8396032,25.4257091,86.8438572,25.411816,86.8289728
224,1329,238847,Paharpur,503,25.0310798,88.9768291,0,0,0,0
224,1329,238848,Sihpur,3816,25.4001614,86.8597121,25.4177184,86.8707197,25.3892632,86.8437921
224,1329,238852,Dudhaila,1067,25.3390598,86.8471308,25.3617572,86.8608779,25.3242663,86.825447
224,1329,238855,Gangapur,120,25.8215543,85.7076777,25.8338494,85.7237864,25.8115398,85.6928873
224,1329,238856,Shankarpur Gosaindas,340,25.314521,86.8069698,25.3368873,86.8281631,25.2969398,86.7870557
224,1329,238857,Shahabad,310,25.374422,84.9511902,25.376698,84.9545288,25.3732082,84.9501514
224,1329,238865,Eusufpur,151,25.2877662,86.8709607,25.2942008,86.8835904,25.2790431,86.8588864
224,1329,238866,Mirzapur,132,25.3175486,85.2137191,0,0,0,0
224,1329,238869,Shahzadpur,1069,25.21607,86.946762,25.2195186,86.9489743,25.2091102,86.9405974
224,1330,238874,Jamalpur,731,25.3180386,86.4934065,25.3320976,86.5078906,25.2914321,86.4761372
224,1330,238876,Jairampur Nankar,810,25.396508,86.9048041,25.4094206,86.9117771,25.381397,86.8966422
224,1330,238877,Dharampur Ratti,1111,25.4085543,86.9148272,25.4147391,86.9228544,25.4001038,86.9090937
224,1330,238878,Dharampur Ratti,540,25.4085543,86.9148272,25.4147391,86.9228544,25.4001038,86.9090937
224,1330,238885,Ahuti,184,25.4798788,86.929858,25.4920673,86.9475401,25.4720268,86.9117738
224,1330,238886,Kishunpur Banwari,179,25.468253,86.9398759,25.4806728,86.9520949,25.4539033,86.9267807
224,1330,238889,Gobindpur Gobind,107,25.4431819,86.9436321,25.4540367,86.9529801,25.4342669,86.931755
224,1330,238890,Kaharpur,259,25.4597398,86.9574023,25.4727649,86.9764634,25.4240227,86.9497603
224,1330,238893,Bishunpur Ramsahai,149,25.3702127,86.9567764,25.3761615,86.973526,25.3640537,86.9430769
224,1330,238894,Dealpur,608,25.7121904,85.3187914,25.7287386,85.3320769,25.6950473,85.3033064
224,1330,238896,Peari chak,141,25.407231,86.9580281,25.4132804,86.9647294,25.4042606,86.9526291
224,1330,238897,Tulsipur,262,25.382615,86.9843053,25.3868788,86.9867096,25.3800029,86.9831773
224,1330,238898,Hario,1099,25.4196301,86.9363824,25.4370078,86.9508364,25.4155846,86.927307
224,1330,238900,Marwa,3165,25.4042985,86.9235958,25.4110941,86.9310504,25.4000768,86.9162581
224,1330,238901,Thandapur,2260,25.4031219,86.9505212,25.4069651,86.9742507,25.3728427,86.9442317
224,1330,238902,Bihpur,5180,25.3865606,86.9353266,25.408977,86.9464355,25.3754163,86.9117447
224,1330,238903,Fatmachak,267,25.1771127,86.9968132,25.1803721,86.9997405,25.173624,86.9947052
224,1330,238904,Babhangawan,2648,25.2870553,87.2854565,25.2945785,87.2933501,25.2790966,87.2775496
224,1330,238905,Amarpur,1666,25.0396898,86.9035511,25.0436344,86.9107818,25.0324751,86.8971992
224,1330,238906,Bhagwatipur,400,26.3081983,86.1789905,26.3122596,86.1931302,26.3041534,86.1676328
224,1330,238907,Bhagwatipur,191,26.3081983,86.1789905,26.3122596,86.1931302,26.3041534,86.1676328
224,1330,238908,Jairampur urf Lathipur,1544,25.3490531,86.9551082,25.3615265,86.9704969,25.3446845,86.9413147
224,1331,238914,Maheshpur Madan,1121,25.4368892,86.9974385,25.4761314,87.0128402,25.4158115,86.9686354
224,1331,238916,Seokund,477,25.4462223,87.0199442,25.4683723,87.0407258,25.4210166,87.0019607
224,1331,238917,Lokmanpur,593,25.4260613,87.0474368,25.4473972,87.0658722,25.4185771,87.0275573
224,1331,238918,Baluachak,284,25.4302748,87.0361917,25.4337653,87.0384214,25.4238052,87.0332108
224,1331,238919,Dhodhia,1543,25.4138232,87.0274437,25.427,87.0420303,25.3897913,87.0013429
224,1331,238920,Dadpur,491,24.8272292,86.3503495,24.8330802,86.3621445,24.821703,86.3418884
224,1331,238921,Kharik,8344,25.3674628,87.0021512,25.3754143,87.0078569,25.3607377,86.9945377
224,1331,238923,Telghi,1528,25.3592727,86.9866617,25.3703202,86.9942582,25.356243,86.972237
224,1331,238924,Bagri,216,25.3864292,86.9899342,25.3930302,86.9989621,25.3777465,86.9846039
224,1331,238925,Isapur,1980,25.2288726,85.4053097,25.2345294,85.4101256,25.2246265,85.3980256
224,1331,238927,Usmanpur,2502,25.5899589,84.1738463,25.5924301,84.1792221,25.585512,84.1676557
224,1331,238928,Faridpur,180,25.1322408,87.0861495,25.1355076,87.0882721,25.1295242,87.083519
224,1331,238932,Lodipur,284,24.9876242,84.813774,24.9904535,84.8164857,24.9848521,84.8089599
224,1331,238934,Khairpur Sobganj,1534,25.3270297,86.9799267,25.3480605,86.9862973,25.320978,86.965675
224,1331,238939,Lachhmipur Maheshpur,464,25.3094726,86.9899342,25.3306388,87.0088425,25.2946338,86.9613875
224,1331,238943,Raghopur,2239,25.5338122,85.3835124,25.5425758,85.4017407,25.5260985,85.3663711
224,1331,238944,Akidatpur,1107,25.3331536,86.9899342,25.3482265,87.0135497,25.3227404,86.9837723
224,1331,238948,Bahatra,604,25.3337609,87.0199442,25.3426914,87.0273439,25.3230819,87.0121461
224,1332,238953,Karimachak,445,25.7761874,84.7491843,25.7777113,84.7508956,25.7733441,84.7461318
224,1332,238955,Tetari,2178,25.379108,87.0674215,25.3872464,87.078087,25.3605041,87.0550157
224,1332,238957,Pakra,2532,25.3705744,87.0849012,25.3834613,87.094288,25.3597894,87.0762176
224,1332,238958,Jamunia,1721,27.0832773,84.4664864,27.0862284,84.4685769,27.0803919,84.4634594
