district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
231,1421,246572,Isharpura,586,25.7027399,84.3804888,25.7303504,84.4100798,25.6692408,84.358162
231,1421,246573,Milki Gopalpur,202,25.6684695,84.3712908,25.6722487,84.3742296,25.6652144,84.3663329
231,1421,246575,Bhimpatti,344,25.6775232,84.3574911,25.6819153,84.3606896,25.6714193,84.3561021
231,1421,246576,Dharmangatpur,279,25.6788457,84.3344843,25.6817947,84.3420626,25.673924,84.3276214
231,1421,246577,Dhiratpura,111,25.6793544,84.3476321,25.6843146,84.3561021,25.6741942,84.3393632
231,1421,246578,Dilmanpur,186,25.6731849,84.3522062,25.6750286,84.3551679,25.6703395,84.3490921
231,1421,246579,Bansipur,154,25.2806792,86.3208789,25.282402,86.3229982,25.2789516,86.3194885
231,1421,246580,Mahuar Inglish,276,25.657743,84.341716,25.6633509,84.3457031,25.6539743,84.3378371
231,1421,246581,Deomalpur,980,25.6527205,84.33852,0,0,0,0
231,1421,246583,Sarna,864,25.6390525,84.3686073,0,0,0,0
231,1421,246584,Tikthi,176,25.6219906,84.3515759,25.6288852,84.3611982,25.611967,84.3432616
231,1421,246585,Lashkara,136,25.6183247,84.3712908,25.6260679,84.3762282,25.6115054,84.3696975
231,1421,246586,Bharauli,750,25.6217789,84.3844304,25.6301938,84.3925017,25.6151561,84.3750993
231,1421,246590,Ramdatahi,411,25.5848771,84.4809164,25.5880565,84.4845505,25.5808582,84.4778822
231,1421,246591,Khutaha,461,25.1939205,86.994716,25.2066596,87.0127488,25.1732524,86.988287
231,1421,246592,Karnamenpur,607,25.6681659,84.3634056,25.6717387,84.3685627,25.6640798,84.3574477
231,1421,246593,Ramchandar Semaria,387,25.6642979,84.377861,25.6725959,84.3862988,25.6563835,84.3700255
231,1421,246595,Parsonda,303,25.6607341,84.3640845,25.6646964,84.370142,25.6562595,84.3592939
231,1421,246597,Sonbarsa,375,25.6942734,86.7078725,0,0,0,0
231,1421,246599,Sonki,157,26.1250909,86.0045031,26.1392669,86.0121842,26.1170731,85.994911
231,1421,246600,Suhiya,848,25.6457805,84.39494,25.652646,84.4062596,25.6425905,84.387012
231,1421,246601,Harkhi Pipra,388,25.6364092,84.4198927,25.6451588,84.4258958,25.6267832,84.4114226
231,1421,246604,Lilari,332,25.0228856,84.1303207,25.0366668,84.1379391,25.0107613,84.1198042
231,1421,246605,Sahjauli,759,25.624008,84.4041343,25.6388168,84.4125137,25.6065024,84.3889161
231,1421,246606,Domariya,130,25.6191309,84.3923127,25.6252096,84.3970871,25.612915,84.3855286
231,1421,246607,Maharaja,241,25.6186274,84.3791749,25.6221734,84.3919905,25.6092319,84.374542
231,1421,246608,Misrauliya,116,26.6962771,85.0571168,26.7043133,85.0710603,26.6839981,85.0419232
231,1421,246610,Semariya Palti Ojha,788,25.6134079,84.4356468,25.626009,84.4434737,25.6047743,84.4256361
231,1421,246615,Barsaun,1202,25.6258061,84.4513967,25.6369705,84.4614486,25.6151199,84.4394684
231,1421,246616,Bahoranpur Dakhinwar,332,25.6349565,84.440262,0,0,0,0
231,1421,246621,Chamarpur,250,25.6560187,84.4507406,25.6577,84.4536187,25.6538276,84.4491564
231,1421,246622,Lachhmanpur,185,25.6038918,84.6962839,25.6116829,84.7052154,25.5945244,84.6898879
231,1421,246623,Khagraha,437,25.6570297,84.4579579,25.6620635,84.4628752,25.6533279,84.4534223
231,1421,246624,Tikapur,536,25.6573276,84.4658304,25.6633948,84.4713594,25.6524982,84.4605179
231,1421,246627,Gaura,634,25.6491409,84.4638624,25.6523437,84.4689464,25.6471189,84.4603299
231,1421,246631,Bimari,222,25.0960742,85.3131194,27.5213199,88.289752,24.286278,83.3148651
231,1421,246632,Karja,545,26.2623735,85.1194301,26.2716613,85.1304107,26.2529168,85.1073161
231,1421,246633,Parariya,219,25.2892996,84.2581695,25.2959937,84.2664186,25.2827415,84.2531588
231,1421,246634,Paharpur,245,25.0310798,88.9768291,0,0,0,0
231,1421,246635,Char Ghat,646,25.6450915,84.4933758,25.6559371,84.5043717,25.633337,84.4879302
231,1421,246636,Chanchar,180,25.6574829,84.5091102,25.6650181,84.5213546,25.6466483,84.4945528
231,1421,246638,Ramdihra,222,24.855507,84.0828023,24.8670139,84.0884244,24.8507119,84.0752791
231,1421,246639,Jhaua,1631,25.5929563,87.7910891,25.6083087,87.8078461,25.5815277,87.776451
231,1421,246640,Pakri,236,27.1330331,84.4828838,27.1416949,84.4900664,27.119379,84.4664457
231,1421,246641,Dumariya,487,24.441598,84.3988806,24.4511866,84.40341,24.4333582,84.3887389
231,1421,246643,Dhauri,202,25.064485,86.6132317,25.0797862,86.6245194,25.0464192,86.6044311
231,1421,246646,Kharaun,457,26.0174125,85.5483427,26.0206565,85.5551224,26.0118008,85.5425491
231,1421,246648,Chanda,258,24.9613843,84.4540213,24.9745923,84.4800109,24.9435634,84.4391786
231,1421,246650,Garaya,213,25.6041256,84.4632064,25.6090927,84.4676971,25.6005936,84.4610974
231,1421,246651,Dewaich Kundi,191,25.6127783,84.4579579,25.61693,84.4634321,25.607149,84.4523467
231,1421,246653,Nargada,179,25.6015903,84.4546774,25.6042862,84.4659348,25.5992201,84.4465028
231,1421,246654,Hariharpur,316,26.2550842,85.831346,26.2573316,85.8343363,26.252066,85.8279848
231,1421,246655,Dudh Ghat,178,25.6031317,84.4369595,25.6073265,84.4429932,25.599228,84.4322281
231,1421,246656,Gashainpur,139,25.5998822,84.4290831,25.6073819,84.4411699,25.595295,84.4253768
231,1421,246658,Randa Dih,254,25.5788043,84.4148136,25.5955942,84.4340208,25.5720463,84.4130174
231,1421,246659,Belauthi,975,24.7219842,84.1461519,24.7346058,84.1553193,24.7095527,84.1339263
231,1421,246669,Damodarpur      (Ditto),1477,25.7019011,84.4356468,25.7098713,84.444107,25.691078,84.4305117
231,1421,246670,Jawania         (Ditto),143,25.7024999,84.4513967,25.7123775,84.4642791,25.6968973,84.4425809
231,1421,246671,Sarangpur       (Ditto),108,25.5858069,84.6452966,25.5979061,84.6558,25.5767517,84.6320725
231,1421,246672,Lachatola Bersingha (Ditto),347,25.6911002,84.4618943,25.6987991,84.4707644,25.6858253,84.453232
231,1421,246681,ChakkiNaurangaOjhwaliaDiara,116,25.6656802,84.452709,25.6736411,84.4570464,25.653555,84.4479676
231,1421,246682,Parsotimpur         (Ditto),122,25.4782976,84.9654987,25.4801731,84.971283,25.4759463,84.9624254
231,1421,246697,Mirchaiya Ka Dera (Ditto),185,25.6609709,84.4841954,25.662983,84.4874571,25.6569557,84.4815214
231,1421,246698,Lalu Ahir Ka Dera (Ditto),329,25.6647324,84.4861628,25.667139,84.4883041,25.6623001,84.4836883
231,1421,246705,Madhopur          (Ditto),211,26.3431608,84.4500844,26.3473928,84.4555306,26.3366146,84.4449198
231,1421,246708,Suremarpur        (Ditto),245,25.676805,84.5130431,25.6804466,84.5208129,25.6712093,84.5082167
231,1421,801384,Shahpur (NP),2734,25.5859834,84.4486628,25.5900137,84.4531911,25.5816881,84.4416972
231,1422,246710,Sundarpur Barja,758,25.6502552,84.5130431,25.6554342,84.5190669,25.6466911,84.5057631
231,1422,246712,Pipra,253,27.138072,84.4618943,27.143814,84.4705429,27.1226787,84.4551161
231,1422,246713,Ijri,744,25.644524,84.5372903,25.6480426,84.5424575,25.6419448,84.5326918
231,1422,246714,Baghakol,170,25.0266446,84.4999323,25.0324419,84.5088194,25.024332,84.4921112
231,1422,246717,Tetaria,203,26.4009965,85.1971763,26.4190426,85.2113264,26.3888015,85.1883163
231,1422,246718,Behra,338,26.990923,84.6448526,26.9968851,84.6561585,26.96714,84.61763
231,1422,246719,Parkhotampur,136,25.6306809,84.5418765,25.6344253,84.5456844,25.6243617,84.5391742
231,1422,246722,Mainpura,196,25.6274892,85.1207061,25.632883,85.126146,25.6234654,85.1141747
231,1422,246723,Sukulpur,307,25.6288985,84.5733148,25.6333292,84.576088,25.6253586,84.5690918
231,1422,246724,Dariapur,338,25.8280575,85.029842,25.8374271,85.035141,25.8198051,85.021652
231,1422,246725,Sarsiwan,243,25.6547039,84.592955,25.6589433,84.6011048,25.6502419,84.5855404
231,1422,246726,Basantpur,540,26.1728331,84.664203,26.1789646,84.6714807,26.1681671,84.6557695
231,1422,246728,Bela,410,24.9694491,84.973511,24.9747597,84.9820745,24.9616545,84.964701
231,1422,246729,Rampur Mathia,104,25.6337796,84.625674,25.6407184,84.6345979,25.6286831,84.6223146
231,1422,246730,Gheghta,250,25.7693629,84.7850765,25.7911261,84.7921751,25.7382279,84.7763215
231,1422,246731,Mahkampur Bara,307,25.6225531,84.6819074,25.6296139,84.6973494,25.6139144,84.6684568
231,1422,246733,Bhakura,657,25.6204539,84.7054306,25.6314925,84.7136077,25.6028785,84.6922912
231,1422,246734,Alipur,494,24.9407563,84.8483223,24.9449571,84.8511236,24.9376992,84.844737
231,1422,246735,Jamira,2058,25.5526649,84.7080437,25.5624973,84.7255324,25.5436806,84.6941186
231,1422,246737,Piprahiya,371,26.5641963,85.3265449,26.5702686,85.3423462,26.5515462,85.3103409
231,1422,246738,Hasanpura,414,26.0785609,84.3607317,0,0,0,0
231,1422,246739,Bhusahula,217,25.5510542,85.0300174,25.5554714,85.035843,25.5479236,85.0259279
