district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
232,1435,247790,Rajpur Kalan (Parnahi),299,25.6355148,84.3009442,25.6382598,84.3045271,25.6323262,84.2956236
232,1435,247792,Manikpur,390,26.2410086,85.3472155,26.2502231,85.3603286,26.228979,85.3384249
232,1435,247793,Keshopur,803,25.9327304,85.5766466,25.9451236,85.5935438,25.9219149,85.5659864
232,1435,247794,Simri,2621,26.0057905,86.3494438,26.0100853,86.3566159,26.0008286,86.3443422
232,1435,247795,Khaira,429,24.8715348,86.2071062,24.8853338,86.2174299,24.8638914,86.1879347
232,1435,247796,Nagpura,915,25.6471912,84.0933652,25.6615848,84.1019669,25.6364364,84.0850372
232,1435,247797,Balihar,749,25.628842,84.0954961,0,0,0,0
232,1435,247800,Khandhara,164,25.6242393,84.109206,25.6334934,84.1198804,25.6159744,84.1028211
232,1435,247801,Panrepur,230,24.658446,84.2048226,24.6618652,84.2096481,24.6561527,84.2001113
232,1435,247805,Parari,388,25.6367492,84.1374696,0,0,0,0
232,1435,247807,Gop Bharauli,113,25.6435974,84.1322998,25.6474304,84.1351852,25.6395434,84.1305311
232,1435,247815,Rajpur Kalan (Patsar),254,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247817,Rajpur Kalan (Bishunpur),203,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247819,Rajpur Kalan (Dilia),208,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247823,Rajpur Kalan (Parsanpah),202,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247825,Rajpur Kalan (Dullahpah),300,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247826,Rajpur Kalan (Dullahpah),148,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
232,1435,247827,Rajpur Kalan (Dalipur),108,25.6928003,84.1276818,25.7194728,84.1592483,25.653797,84.0784454
