district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
215,1181,226706,Chandauna,651,26.4408843,85.7128096,26.446781,85.7287904,26.4312248,85.7075577
215,1181,226708,Manamkhedu,421,26.423215,85.7128096,26.4325656,85.7263564,26.4166182,85.7057418
215,1181,226709,Ghograha,555,26.4356065,85.7333322,26.4440401,85.7410735,26.4235841,85.7221754
215,1181,226711,Sahaspur,829,26.4179365,85.7333322,26.4335059,85.7457428,26.4142169,85.719322
215,1181,226712,Jogiara,1404,26.4110681,85.750001,26.4138183,85.7550716,26.4063615,85.745759
215,1181,226713,Nawada,324,24.8866859,85.5434572,24.9208072,85.5580473,24.8603503,85.5114412
215,1181,226714,Gadari,260,26.3879593,85.7653829,26.3904819,85.770973,26.3824406,85.7620924
215,1181,226715,Pakhauli,413,26.3830487,85.748719,26.3883991,85.7548903,26.3764705,85.7395858
215,1181,226716,Jale,7360,26.3857137,85.7280471,26.3968821,85.7334494,26.3798777,85.7202482
215,1181,226717,Manam Deb,258,26.412869,85.7115267,26.4171601,85.7216185,26.4078864,85.695404
215,1181,226718,Harauli,124,26.396397,84.5848309,0,0,0,0
215,1181,226719,Reorha,1890,26.3993471,85.7025453,26.4154224,85.7153015,26.3847198,85.6890946
215,1181,226720,Katraul,1132,26.3462645,86.0070547,26.365856,86.0339051,26.3299713,85.974693
215,1181,226721,Katraul,453,26.3462645,86.0070547,26.365856,86.0339051,26.3299713,85.974693
215,1181,226722,Chak Milki,113,26.3493196,85.7288436,26.3513832,85.730423,26.3480891,85.725647
215,1181,226723,Dighra,1438,25.9458811,85.6704566,25.9547597,85.6788328,25.9408169,85.6623002
215,1181,226724,Chandar Dipa,512,26.3667336,85.7448727,26.3691063,85.7498856,26.360586,85.7416534
215,1181,226725,Kaji Bahera,662,26.3671126,85.7576925,26.3752079,85.7691345,26.3609333,85.7458036
215,1181,226726,Nagar Diha,766,26.3585018,85.7653829,26.3632126,85.7711793,26.3527069,85.7569046
215,1181,226727,Muraitha,2494,26.3606898,85.7897284,26.3720817,85.8141171,26.3456344,85.7678757
215,1181,226728,Baghaul,304,26.0559966,86.0395754,26.0585948,86.042111,26.0538142,86.0372829
215,1181,226729,Dighopatti,406,26.3723232,85.784604,26.3779563,85.7904206,26.3674527,85.778839
215,1181,226730,Mahuli Nankar,599,26.3705116,85.7730722,26.3745173,85.7814178,26.3638515,85.7674101
215,1181,226731,Bandhauli,1076,26.3833518,85.7589743,26.4016762,85.7809676,26.3733348,85.7534256
215,1181,226732,Deora,631,26.37965,85.7833228,26.3846874,85.790741,26.3766956,85.7693252
215,1181,226733,Pauni,358,25.5111741,83.9400227,25.522312,83.9469376,25.5053271,83.9286421
215,1181,226736,Massa,2298,26.384706,85.8050987,26.3993702,85.8247984,26.3713894,85.7836377
215,1181,226738,Karwa,605,25.5267717,84.6858286,25.5299435,84.693901,25.5236815,84.6783521
215,1181,226739,Kardahuli,345,26.3953519,85.8166235,26.4001788,85.8230514,26.391386,85.8128281
215,1181,226740,Tariani,373,26.3792623,85.8204646,26.3879298,85.8269578,26.3664226,85.810379
