district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
236,1487,254545,Usas,382,25.0397259,84.7393916,25.054367,84.7531126,25.0321979,84.7332537
236,1487,254547,Singhra,449,25.0342271,84.7093502,25.0378973,84.7128332,25.0297367,84.7041945
236,1487,254548,Nimri,107,25.0085189,84.7202169,25.0150027,84.7374546,25.0047353,84.717408
236,1487,254549,Tuturkhi,363,25.0160707,84.7393916,25.0300921,84.7521284,25.0037975,84.7305831
236,1487,254555,Kunin,194,25.0227203,84.7602807,25.0278606,84.7665864,25.0170726,84.7529219
236,1487,254556,Dewra,480,25.0354392,84.7507029,25.0424517,84.7622527,25.0268326,84.7482058
236,1487,254557,Usas Aslempur,184,25.0444835,84.7485315,25.0524786,84.7570495,25.0378647,84.7425995
236,1487,254558,Sarbahada,218,25.0463756,84.7602807,25.0534991,84.7733383,25.0397855,84.7479247
236,1487,254560,Wahab Chak,125,25.036256,84.7668069,25.0413169,84.7754361,25.0266914,84.7617494
236,1487,254565,Dhibri,302,25.013362,84.7674595,25.0161621,84.7707653,25.010873,84.7649287
236,1487,254568,Newdhi,162,25.0063187,84.7563646,25.0094852,84.761856,25.0008716,84.7483749
236,1487,254569,Barhauna,153,25.3047113,85.4195011,25.3126544,85.4368113,25.2959231,85.3978873
236,1487,254571,Nighai,233,24.9769273,84.7349905,24.9850026,84.7459717,24.9669896,84.7310792
236,1487,254572,Sinduari,380,24.9743531,84.7474277,24.9875072,84.7593841,24.9652538,84.7364349
236,1487,254574,Gauharpur,369,24.9755879,84.7655017,24.9845543,84.7759322,24.9663524,84.7589035
236,1487,254577,Ker,429,24.987966,84.7811621,25.0018081,84.7921751,24.9776153,84.7700194
236,1487,254578,Bargawan,339,26.0765106,85.5565243,26.0823897,85.5700761,26.0731411,85.5405579
236,1487,254579,Lodipur,258,24.9876242,84.813774,24.9904535,84.8164857,24.9848521,84.8089599
236,1487,254580,Kaiatanr,163,25.0180858,84.7968182,25.0227335,84.8022004,25.0087166,84.792511
236,1487,254581,Khabhra,288,26.1003796,85.3730428,26.1100859,85.382201,26.0877779,85.3574651
236,1487,254582,Sirgawan,307,25.0222025,84.787686,25.0324325,84.7945173,25.0143984,84.775879
236,1487,254583,Gararhi,408,25.0471086,84.7811621,25.0594902,84.7915725,25.0424804,84.7716523
