district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
233,1446,248923,Bhatauni,318,25.2813749,83.5643063,25.2867852,83.5688783,25.2744387,83.5595091
233,1446,248924,Sangapur,148,25.2882737,83.5702983,25.292837,83.580368,25.2831897,83.5655212
233,1446,248925,Baijnath,380,25.2818385,83.5749584,25.2911719,83.5821381,25.2733287,83.5669248
233,1446,248926,Gogarhi,148,25.2716861,83.5789525,25.2802926,83.584198,25.2662621,83.5735017
233,1446,248928,Chhatarpura,233,24.4336537,84.6714495,24.4516373,84.6853178,24.4264259,84.6576079
233,1446,248929,Debahalia,574,25.2598845,83.5789525,25.2686691,83.5857316,25.2542228,83.5619659
233,1446,248933,Matiari,193,26.313639,87.2593454,26.3245506,87.2738722,26.303789,87.2446287
233,1446,248934,Bharheria,258,25.2535206,83.568301,25.2619323,83.5771028,25.2418136,83.5606994
233,1446,248935,Kohraula,122,25.2488051,83.5616429,25.2544479,83.5697862,25.2423135,83.5569304
233,1446,248936,Labedaha,152,25.2559785,83.5909332,25.2622681,83.5971145,25.2465285,83.5854339
233,1446,248938,Masarhi,440,25.3512814,85.0311411,25.363417,85.0414324,25.3471675,85.023365
233,1446,248942,Narhan,482,25.6882212,86.0045031,25.7032814,86.0311277,25.675106,85.9842665
233,1446,248945,Sehuka,782,25.2806191,83.6148878,25.2889001,83.619926,25.2744162,83.6081028
233,1446,248947,Jamurna,294,25.2589271,83.6284713,25.2669849,83.6388319,25.2536793,83.6192703
233,1446,248948,Dahrak,638,25.2875528,83.6388332,25.2893982,83.6454606,25.2842373,83.6350536
233,1446,248950,Mahuwar,528,25.2940334,83.6154131,25.304306,83.6361999,25.2627925,83.6098786
233,1446,248952,Pachgain,134,25.283109,83.6042424,25.2900999,83.6075361,25.2770519,83.5996168
233,1446,248958,Sarai,263,25.793503,85.2774207,25.8051271,85.2970044,25.7802871,85.2703958
233,1446,248959,Toroiya,175,25.3118026,83.5856087,25.3167285,83.5927812,25.30686,83.5778582
233,1446,248962,Imlia,214,25.3241803,83.5989191,25.32983,83.6060486,25.3122425,83.5883484
233,1446,248966,Jandaha Mashraki,104,25.3266347,83.6215402,25.3323058,83.6282653,25.32098,83.6114805
233,1446,248969,Nonar,605,25.2880431,84.3791749,25.2903553,84.3831539,25.2837781,84.3745064
233,1446,248973,Bhargawan,131,26.7038715,84.7759425,26.718214,84.7894364,26.6900445,84.7644727
233,1446,248977,Chhewari,286,25.3145637,83.6494727,25.3218936,83.6581269,25.3047007,83.6439818
233,1446,248978,Lasra,119,24.9053035,84.4566458,24.91053,84.4625016,24.8970546,84.4475631
233,1446,248979,Khorahra,161,25.3044093,83.6534621,25.3112868,83.6633451,25.2978515,83.646248
233,1446,248980,Abhaideh,142,25.2995834,83.6441532,25.3047637,83.6521376,25.2927265,83.636543
233,1446,248982,Gorsara,715,25.287619,83.6747342,25.2998772,83.6887816,25.2767143,83.6595155
233,1446,248983,Bandipur,721,25.2991933,83.6694169,25.3055476,83.6798705,25.293789,83.6560209
233,1446,248984,Akorhi,418,24.7575805,84.1870297,24.7630578,84.190132,24.7544136,84.181793
233,1446,248985,Isri,298,25.3214919,83.6734049,25.328085,83.690155,25.3153838,83.6593015
233,1446,248986,Jorar,238,25.3286964,83.6694169,25.337822,83.6800538,25.32456,83.6566009
233,1446,248994,Baraura,652,25.3509022,83.6541269,25.3537349,83.658936,25.3472775,83.6510396
233,1446,248999,Antdih,219,25.3626093,83.6777251,25.3635365,83.6787092,25.3609188,83.6761129
233,1446,249001,Sisaunra,497,25.3180331,83.6959992,25.323595,83.7056807,25.3088226,83.6761168
