district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
223,1322,238540,Badhchatar,854,25.5667852,86.4541511,25.5795116,86.4768141,25.5469722,86.4339981
223,1322,238541,Dahwa Khairi Khutaha,1933,25.591166,86.4844914,25.601923,86.5020826,25.5666389,86.4574052
223,1322,238542,Amausi,1368,25.6145735,86.47438,25.6455402,86.5082397,25.5936204,86.4520872
223,1322,238543,Mohanpur,539,25.7195518,86.015984,25.7230034,86.0188138,25.7160339,86.0137023
223,1322,238544,Santokh Bishunpur,321,25.5866828,86.4212616,25.5930995,86.4351729,25.5807666,86.4111632
223,1322,238545,Ambaicharua,3616,25.613596,86.433914,25.6290513,86.4418183,25.5897903,86.4055859
223,1322,238546,Sanjhauti,1179,25.6128551,86.403543,25.6236648,86.4262239,25.5974464,86.3884966
223,1322,238547,Alauli,3182,25.6468777,86.4048088,25.6608253,86.4200278,25.6329877,86.3969686
223,1322,238548,Chharapatti,1253,26.0966759,86.3237317,26.1028517,86.33033,26.0912894,86.3200378
223,1322,238550,Ananpur Maran,1250,25.6045338,85.0774098,25.6057237,85.0793207,25.6025598,85.0759658
223,1322,238551,Aurahidih,472,25.6645183,86.4617379,25.6807231,86.4857636,25.6362704,86.4399412
223,1322,238552,CheraKhera,3550,25.6866459,86.4191679,25.7092705,86.4650116,25.6657085,86.3952714
223,1322,238553,Saharbani,2027,25.7074302,86.403543,25.7265434,86.4289475,25.6956844,86.3857269
223,1322,238554,Khonta,252,25.5285316,87.2991279,25.5397377,87.3148499,25.5191326,87.2787855
223,1322,238555,Sano Khar,856,25.6992618,86.371887,25.7069378,86.3791426,25.6952095,86.3601836
223,1322,238556,Meghauna,2889,25.6830402,86.3731536,25.7022016,86.410202,25.6663378,86.3460539
223,1322,238557,Hathwan,2486,25.6667543,86.4001334,25.6803588,86.4450071,25.6500493,86.3885191
223,1322,238558,Raun,1933,25.6390219,86.3858181,25.6624335,86.40271,25.624998,86.368477
223,1322,238559,Goriami,1534,25.6123573,86.3832854,25.6383228,86.4112243,25.5910013,86.3601148
223,1322,238560,Ladaura,1165,26.1289919,85.7282023,26.1374892,85.7422942,26.1066762,85.7160187
223,1322,238561,Sahsi,1712,25.647325,86.3630197,25.6606633,86.3753205,25.6310692,86.3516616
223,1322,238562,Giddha,534,25.5953023,84.7446146,25.6045036,84.7564239,25.5811748,84.7298585
223,1322,238563,Jogia,1114,27.077034,84.3279093,27.0853595,84.337219,27.0662498,84.3162155
223,1322,238564,Bhikhari Ghat,884,25.6596482,86.3832854,25.6760015,86.3981373,25.6456461,86.3511354
223,1322,238565,Burhwa,348,24.6254576,84.3686625,24.6306573,84.3767395,24.6182098,84.3611601
223,1322,238566,Parri,725,25.3289984,85.3924052,25.3364182,85.4007721,25.3229788,85.3835068
223,1322,238567,Harpur,1878,25.4408945,84.0520934,25.4428483,84.0536928,25.4375777,84.0492297
223,1322,238568,Nista,584,26.2596045,85.7589743,26.2647094,85.7716599,26.250328,85.7430421
223,1322,238569,Simraha,1073,26.2085436,87.3190065,26.2220382,87.3438645,26.1914201,87.297653
223,1322,238570,Asurar,347,25.6434217,86.3249995,25.6503486,86.3383863,25.6340427,86.3125762
223,1322,238571,Mujauna,640,27.0930154,84.3975671,27.0987014,84.4026793,27.0852508,84.3892365
223,1322,238572,Budhaura,935,25.6289212,86.3066128,25.6320957,86.3085938,25.6263787,86.3042378
223,1322,238573,Gaura Chak,1546,25.6250509,86.2996368,25.6469822,86.3097076,25.6161804,86.2899014
223,1322,238574,Bahadurpur,1887,26.1098719,85.9070855,26.1134272,85.911702,26.1031999,85.9029491
223,1322,238575,Sanihar,816,25.5894536,86.2945627,25.5984174,86.3050384,25.5812491,86.2828368
223,1322,238576,Imli,323,25.5839247,86.3097834,25.5963362,86.3293456,25.5694256,86.2942427
223,1322,238577,Chhil Kauri,1438,25.6105917,86.3123197,25.6278304,86.3351287,25.5829466,86.2997666
223,1322,238578,Machhra,1341,25.6113529,86.3427458,25.6297626,86.3723371,25.5831965,86.3259124
223,1322,238579,Summha,2596,25.5763838,86.3630197,25.5967236,86.3957901,25.5579395,86.3415986
223,1322,238580,Dighni,581,25.5892063,86.403543,25.6015567,86.4179762,25.57028,86.3886794
223,1322,238581,Murli,453,26.280116,86.7793398,26.2940502,86.7980271,26.2687301,86.7510529
223,1322,238582,Ahunasiswa,191,25.5578852,86.3921491,25.564497,86.4007647,25.5522689,86.3826523
223,1322,238583,Ahuna,312,25.5570062,86.3864512,25.5649795,86.3938446,25.5507012,86.3786394
223,1322,238584,Chainpur Khurd,427,25.5560021,86.3756867,25.5654449,86.3887174,25.5411986,86.36895
223,1323,238585,Sahuria,300,25.6400342,86.6787354,25.6692199,86.7040938,25.6198615,86.6612089
223,1323,238587,Marar,1687,25.5378978,86.5065327,25.5511457,86.5150528,25.5248875,86.4897205
223,1323,238588,Rasaunk,2378,25.5532725,86.5072345,25.5701523,86.5263289,25.5411778,86.4873877
223,1323,238589,Marar,5337,25.5378978,86.5065327,25.5511457,86.5150528,25.5248875,86.4897205
223,1323,238590,Bachhauta,2569,25.5315477,86.4642666,25.5573444,86.4834137,25.5199241,86.4388198
223,1323,238591,Dhodhraha,603,25.5434234,86.3452805,25.5600852,86.3692855,25.5361881,86.329994
223,1323,238592,Bhagwan chak,713,25.5611622,86.3452805,25.5764446,86.3569947,25.5493698,86.3332747
223,1323,238593,Rahima,418,25.554997,86.335141,25.5630455,86.3456191,25.5488453,86.3294525
223,1323,238594,Dahraia,294,25.5592101,86.3262673,25.5655192,86.3332747,25.5489273,86.3200147
223,1323,238595,Kaunia,472,25.7770847,86.3528838,25.786253,86.3672257,25.75247,86.3418427
223,1323,238596,Barai,818,24.8633688,84.7707223,24.8701018,84.7763441,24.856062,84.760559
223,1323,238597,Rani Shakarpura,3215,25.5497051,86.3009052,25.5591291,86.3101388,25.5428287,86.2916421
223,1323,238598,Bhela Simri,2758,25.5286346,86.3076587,25.5602034,86.3380432,25.5079841,86.2970734
223,1323,238599,Gangaur,1477,25.5285773,86.3427458,25.547531,86.3654327,25.4958839,86.3312454
223,1323,238600,Olapur,1269,25.5139822,86.3503495,25.528059,86.3581773,25.4874059,86.332092
223,1323,238601,Tetarabad,2463,25.5038526,86.359219,25.5091837,86.3809967,25.4857255,86.3523024
223,1323,238605,Jal Kaura,1644,25.5003597,86.3674535,25.5059219,86.3719797,25.494534,86.3636971
223,1323,238606,Manbodh Tola,236,25.4846629,86.3604859,25.4986361,86.3750303,25.4741725,86.3497925
223,1323,238607,Jahangira,2184,25.5411568,86.3731536,25.5558547,86.3894652,25.4778595,86.3542936
223,1323,238608,Sobhni,497,25.5132233,86.3794862,25.5264587,86.3876724,25.5027961,86.3736954
223,1323,238609,Labhgaon,2052,25.5075581,86.3896168,25.510105,86.3950038,25.5021165,86.384951
223,1323,238610,Babhan Gawan,1217,25.5328469,86.3959473,25.5532188,86.4146498,25.5252933,86.3775939
223,1323,238611,Bishunpur Dhusmari,1337,25.5450452,86.4111374,25.5739154,86.4195479,25.5367698,86.3926849
223,1323,238612,Bhadas,4412,25.5426425,86.433914,25.5832767,86.4577638,25.5095481,86.4065552
223,1323,238613,Darhi,178,25.5099322,86.4263229,25.5178089,86.4391402,25.4974002,86.4023742
223,1323,238614,Darhi,269,25.5099322,86.4263229,25.5178089,86.4391402,25.4974002,86.4023742
223,1323,238615,Kasimpur,773,26.0498157,86.5173392,26.0579393,86.5206298,26.0377596,86.5046463
223,1323,238616,Madhua,331,25.4863973,86.4313838,25.4976921,86.4439163,25.4720362,86.4231947
223,1323,238617,Durgapur Karari,195,25.4704068,86.4427687,25.4764232,86.44532,25.4679965,86.439003
223,1323,238618,Durgapur,1243,25.4810931,86.4566801,25.4958952,86.4671247,25.4651221,86.4439163
223,1323,238619,Durgapur Barari,697,25.4853161,86.4478279,25.4956493,86.4561082,25.4764232,86.4400482
223,1323,238620,Ammadih,556,25.4919853,86.4484602,25.4961413,86.453209,25.4868907,86.4442825
223,1323,238621,Kothia,1570,25.8543777,85.6203594,25.8600101,85.6385881,25.8432482,85.604393
223,1323,238622,Seikhpura,459,25.1416937,85.8628915,25.1459839,85.8711146,25.1309877,85.8289719
223,1323,238623,Kutubpur,871,25.6223832,85.3730428,25.6388511,85.3837052,25.6072617,85.3632049
223,1323,238624,Mathurapur,3455,25.510666,86.4566801,25.5210532,86.4682387,25.5045489,86.4497145
223,1323,238625,Rahimpur,4802,25.450685,86.4860237,25.4567025,86.4911259,25.4448185,86.4838596
223,1323,238626,Sonhauli,3414,26.0671357,84.7446146,26.0748244,84.7534275,26.0564745,84.7396088
223,1323,238627,Ranko,2157,25.5192737,86.498666,25.521622,86.5037606,25.5156927,86.4961802
223,1323,238628,Hardas chak,689,26.0813623,84.9160539,26.0851305,84.9234237,26.0773315,84.9119644
