district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
210,1121,222213,Bhorha,1007,26.5565881,85.4556077,26.56736,85.4636079,26.5481319,85.442787
210,1121,222214,Dhokarjhari,148,26.3769127,87.7628028,26.3842486,87.7723999,26.3680095,87.7514572
210,1121,222215,Phulbari,105,26.415503,87.6852323,26.4356811,87.7104644,26.3764323,87.6575163
210,1121,222217,Hatgaon,335,26.3746834,87.7147986,26.3854312,87.7298814,26.3610515,87.6958617
210,1121,222218,Phulbari,725,26.415503,87.6852323,26.4356811,87.7104644,26.3764323,87.6575163
210,1121,222219,Pipra,135,27.138072,84.4618943,27.143814,84.4705429,27.1226787,84.4551161
210,1121,222220,Dahibhat,944,26.3733748,87.8205864,26.3848095,87.8398744,26.351925,87.7941284
210,1121,222221,Phulbari Nankar,109,26.3875831,87.6913936,26.3959274,87.6964493,26.3838768,87.6859664
210,1121,222223,Phulbari,114,26.415503,87.6852323,26.4356811,87.7104644,26.3764323,87.6575163
210,1121,222225,Khaniabad,1131,26.4188862,87.7123355,26.4268845,87.7259367,26.3894633,87.6917725
210,1121,222227,Hatgaon,980,26.3746834,87.7147986,26.3854312,87.7298814,26.3610515,87.6958617
210,1121,222228,Khunia Toli,374,26.3865603,87.7197245,26.3942451,87.7380905,26.3822058,87.7140428
210,1121,222229,Bairia,513,27.1205069,84.4999323,27.1285094,84.505928,27.1135748,84.4963454
210,1121,222230,Chichora,235,26.4046456,87.7443457,26.4147117,87.7551347,26.391075,87.7336883
210,1121,222233,Pharhabari Milik,416,26.3449489,87.7000179,26.3510703,87.7106702,26.3381956,87.6917949
210,1121,222234,Bhagjhunki,277,26.3510844,87.7147986,26.3653411,87.7249526,26.3413487,87.6995161
210,1121,222235,Kanchanbari,187,26.3920845,87.762483,26.4026926,87.772995,26.3689918,87.7264405
210,1121,222236,Bhelagurhi,180,26.3632731,87.7394225,26.3793546,87.7645188,26.3518505,87.7325058
210,1121,222237,Kalpir,1079,26.3697099,87.7738735,26.3777922,87.7832258,26.3602713,87.7631986
210,1121,222238,Bhelagurhi,232,26.3632731,87.7394225,26.3793546,87.7645188,26.3518505,87.7325058
210,1121,222239,Pipra,490,27.138072,84.4618943,27.143814,84.4705429,27.1226787,84.4551161
210,1121,222240,Matiari,1627,26.313639,87.2593454,26.3245506,87.2738722,26.303789,87.2446287
210,1121,222241,Sirnia,149,26.027265,85.8818829,26.0458678,85.8999251,26.0131815,85.8626481
210,1121,222242,Benugarh,220,26.3040352,87.7246498,26.30875,87.7366106,26.2916412,87.7115325
210,1121,222243,Kharra Belbari,754,26.3126919,87.7123355,26.3393116,87.7274473,26.3053169,87.6983338
210,1121,222244,Kharra,103,26.2927646,86.0440375,26.296897,86.0489666,26.2900051,86.0405767
210,1121,222245,Panchgachhi,128,26.3406612,87.7086406,26.3455657,87.7204742,26.3338222,87.6985322
210,1121,222246,Pharhabari,394,26.352383,87.7037135,26.3559932,87.7099989,26.3486672,87.6961058
210,1121,222247,Jhunki Musahara,894,26.3624909,87.6901614,26.3785476,87.709221,26.3510703,87.6774139
210,1121,222248,Pharhabari Nankar,145,26.3492755,87.6938578,26.35931,87.6961137,26.3459262,87.6858292
210,1121,222249,Kadleta,245,26.338891,87.6901614,26.3530083,87.7005463,26.3327464,87.6771698
210,1121,222251,Hawakol,793,26.332673,87.670442,26.3390465,87.6867523,26.3203983,87.644287
210,1121,222253,Kamdti Nankar,102,26.3436861,87.6673601,26.3457413,87.6730117,26.3411846,87.659889
210,1121,222254,Lodhabari,113,26.2479313,88.0228566,26.2622869,88.0307617,26.2395628,88.0169526
210,1121,222255,Doria,355,26.2930619,87.4232306,26.2980385,87.4376067,26.2837963,87.4166335
210,1121,222256,Pokharia,139,27.1146853,84.4264574,27.1183719,84.4347686,27.1095752,84.4211806
210,1121,222257,Asha,197,26.3739721,87.670442,26.3787326,87.6798399,26.3667506,87.6671981
210,1121,222258,Rampur,271,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
210,1121,222259,Pokharia,134,27.1146853,84.4264574,27.1183719,84.4347686,27.1095752,84.4211806
210,1121,222260,Dhabaili,1165,26.3619329,87.6556468,26.3800201,87.6737671,26.3405533,87.6388551
210,1121,222261,Jhala,728,26.3514403,87.6382164,0,0,0,0
210,1121,222262,Chargharia,648,26.3397078,87.6494808,26.347845,87.6605835,26.3283558,87.6362151
210,1121,222263,Balua Jagir,729,26.3320294,87.6309776,26.3433533,87.6475145,26.314598,87.614929
210,1121,222264,Gamharia,663,24.5976313,84.7459203,24.6041585,84.7548677,24.5913639,84.7382126
210,1121,222265,Hawakol Khurd,223,26.320872,87.670442,26.3267458,87.6798249,26.3138979,87.6640852
210,1121,222266,Khajuribari,748,26.30915,87.6753726,26.3220062,87.6859664,26.2960661,87.6611099
210,1121,222267,Kuari,419,26.4175818,87.4370401,26.4231627,87.4393807,26.4114856,87.4315818
210,1121,222268,Babhangawan,356,25.2870553,87.2854565,25.2945785,87.2933501,25.2790966,87.2775496
210,1121,222270,Chilhania,454,26.0147266,87.5445302,26.0326919,87.5554506,26.0015545,87.5291824
210,1121,222271,Kharrakasht,233,26.3094666,87.6950899,26.316555,87.7037583,26.2961195,87.6899336
210,1121,222272,Khara Suhia,102,26.3022671,87.7061771,26.3088874,87.7179182,26.288433,87.6946946
210,1121,222273,Belbarigachh,138,26.2993948,87.7111039,26.304077,87.7179564,26.2944755,87.705055
210,1121,222274,Suhia Gopalnagar,169,26.2905035,87.7086406,26.2944755,87.7178343,26.2807217,87.6971893
210,1121,222275,Rahmatpur,320,25.1611729,86.6988728,25.168806,86.7091294,25.1420687,86.6905747
210,1121,222276,Suhia,327,25.6457805,84.39494,25.652646,84.4062596,25.6425905,84.387012
210,1121,222277,Gilni,184,26.2742151,87.7049453,26.2781106,87.7142943,26.2647056,87.6993713
210,1121,222278,Gargaon,123,26.2610332,87.7111039,26.2668305,87.7166215,26.2591781,87.706337
210,1121,222279,Tegharia,239,26.2178203,87.8770689,26.2266368,87.886978,26.2132493,87.8699264
210,1121,222280,Deorikhas,294,26.2739791,87.6901614,26.2821865,87.7017747,26.2610015,87.6700516
