district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
227,1365,243335,Jaitpur,574,25.2978501,86.0590115,25.3391606,86.083641,25.2387522,86.0345535
227,1365,243336,Khutaha,1874,25.1939205,86.994716,25.2066596,87.0127488,25.1732524,86.988287
227,1365,243337,Malpur,479,25.8355829,85.5843632,25.8590259,85.5966035,25.8140068,85.5684889
227,1365,243338,Juas,393,25.2163904,86.0504111,25.2269229,86.0691603,25.2098159,86.047409
227,1365,243340,Repura,250,26.1425134,85.3171069,26.1524868,85.3265685,26.13949,85.3061218
227,1365,243341,Sadai Bigha,220,25.2096549,86.0198103,25.2195396,86.0288238,25.2010727,86.0133363
227,1365,243342,Dumri,593,25.6228212,84.1843932,25.6295709,84.1932965,25.6190845,84.1773319
227,1365,243343,Jakhaur,225,25.2290589,86.026187,25.2354621,86.0361556,25.2227305,86.0148466
227,1365,243344,Manoharpur,218,25.3519734,83.906924,25.3580036,83.915016,25.3478508,83.8976976
227,1365,243345,Nezai,153,25.2198402,86.0134329,25.2231922,86.0213545,25.214384,86.0077515
227,1365,243347,Sarma,153,25.2076611,86.0006756,25.2172393,86.008339,25.2027568,85.993408
227,1365,243350,Turk Aijani,261,25.2071787,85.9828102,25.2145538,85.9978329,25.1993654,85.9704667
227,1365,243353,Girdharpur,400,25.0429996,84.0048439,25.0472144,84.010025,25.0393505,84.0019914
227,1365,243354,Birupur,353,25.2254486,85.9882343,25.227072,85.9914709,25.2239855,85.9848188
227,1365,243355,Kamarpur,176,25.5343311,83.929433,25.5483511,83.9378282,25.5272103,83.9214555
227,1365,243356,Ainjani Ghat,367,25.202082,85.9585544,25.2138994,85.9722746,25.1828061,85.9496462
227,1365,243357,Sajhain,214,25.2257526,85.9585544,25.2362079,85.9761582,25.2104568,85.9447706
227,1365,243358,Pali,407,25.490061,84.9856546,25.4961527,84.9983217,25.4825706,84.9722212
227,1365,243359,Mahram Chak,368,25.2700606,85.9560005,25.3211383,85.9710768,25.2056313,85.9299163
227,1365,243360,Nathanpur,288,25.2440597,85.9789811,25.2609005,85.9943313,25.2307682,85.958496
227,1365,243362,Ganga Sarai,1255,25.2393806,86.0249117,25.2605209,86.041618,25.2339993,86.0187607
