district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
213,1158,225798,Daha,571,26.108438,86.7542081,26.1162204,86.7644272,26.0964984,86.7408904
213,1158,225799,Babhani Bholwa,2830,26.07869,86.7440143,0,0,0,0
213,1158,225800,Gamharia,1863,24.5976313,84.7459203,24.6041585,84.7548677,24.5913639,84.7382126
213,1158,225801,Aurahi,1755,26.0580926,86.7466661,26.0733927,86.7640455,26.0344449,86.7299421
213,1158,225802,Piprahi (Part in Singheshwar) ,587,26.0585423,86.7667756,26.0837516,86.8043366,26.0363616,86.7529526
213,1158,225803,Rupauli (Part in Singheshwar) *,2261,26.023341,86.7768273,26.0459021,86.7958909,25.9832037,86.7475431
213,1158,225804,Jagbani,473,26.0254512,86.7391229,26.0371188,86.7482759,26.009779,86.7324293
213,1158,225805,Parwaha,841,26.2333647,87.2269973,26.249483,87.2490464,26.210947,87.2082518
213,1158,225806,Tarawe,754,26.0365783,86.7089384,26.0471306,86.7174377,26.0206699,86.6944123
213,1158,225807,Kaurihar,393,26.9603426,84.8446876,26.9688181,84.8579024,26.9451274,84.8337325
213,1158,225808,Chikni,2491,26.9875251,84.822902,26.9952678,84.8320339,26.9813461,84.813797
213,1158,225809,Jiwachhpur,1151,26.2154472,86.7893889,26.2255096,86.80056,26.2076301,86.7830961
213,1159,225810,Piprahi (Part in Gamharia),1446,26.05764,86.7265483,26.0676002,86.7410583,26.0456543,86.705551
213,1159,225811,Rupauli (Part in Gamharia)*,2559,26.05764,86.7265483,26.0676002,86.7410583,26.0456543,86.705551
213,1159,225812,Kanhuan Goriari,771,26.0969697,86.7692887,26.1084043,86.7858505,26.086359,86.7562865
213,1159,225813,Jalwara,361,26.1515036,85.8076021,26.1606654,85.8209075,26.1461619,85.8034515
213,1159,225814,Latrahi,329,26.0676774,86.7793398,26.0754661,86.7910689,26.0609016,86.7742082
213,1159,225815,Manpur,474,24.7986168,85.0247308,24.8175883,85.0362396,24.7870073,85.015533
213,1159,225816,Mahuli,172,24.8733946,86.2996368,24.88035,86.3179549,24.8656959,86.286682
213,1159,225817,Gopalpur,177,25.5376627,85.1781602,0,0,0,0
213,1159,225818,Kamargaon (Part in Shankarpur) * *,774,26.0311984,86.8685324,26.0353582,86.8709608,26.0275473,86.8640639
213,1159,225819,Barhari,225,26.3154627,84.4566458,26.3237679,84.46141,26.309583,84.449104
213,1159,225820,Dardari,785,25.4797427,86.2818753,25.5025748,86.3130873,25.4601288,86.2654647
213,1159,225821,Bairbana,838,26.0447279,86.8094808,26.0534706,86.8162993,26.0354384,86.8003769
213,1159,225822,Dulari,570,26.2152716,86.8483853,26.2244701,86.8545531,26.2074508,86.840599
213,1159,225823,Behri,167,26.0326981,86.7994359,26.0427838,86.8146134,26.0255717,86.7948454
213,1159,225824,Burhawe,709,26.0208889,86.7994359,26.029251,86.8133927,26.0128536,86.7922822
213,1159,225825,Rampatti,1307,26.3178033,86.1522827,26.3376071,86.1688347,26.3067663,86.1353939
213,1159,225826,Sukhasan,2886,25.879152,86.7824381,0,0,0,0
213,1159,225827,Gohumani,1499,25.9656119,86.8370937,25.9768352,86.8482741,25.9476985,86.8196718
213,1159,225828,Jajhat,729,25.9559287,86.7994359,25.9658717,86.8110274,25.9437104,86.7872771
213,1159,225829,Majarhat,2532,25.9561494,86.8094808,25.9780292,86.8369826,25.9290619,86.7803266
213,1159,225830,Rampur,541,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
213,1159,225831,Gauripur,2060,25.355494,86.9248483,25.368948,86.9349517,25.3394431,86.9118041
213,1159,225832,Saropatti,1085,26.0110242,86.8207789,26.0164299,86.8246078,26.0054764,86.8147159
213,1159,225833,Patori,1472,25.6381282,85.6054762,0,0,0,0
213,1159,225834,Lalpur,1569,26.228135,86.8295645,26.2374191,86.8406677,26.2170295,86.813263
213,1159,225836,Singhesar Asthan (CT),1120,25.9837878,86.7906449,25.9910755,86.7985533,25.9766158,86.7856064
213,1160,225837,Ratanpura,1221,26.5119343,84.2555362,26.5183219,84.2625961,26.5057239,84.2488783
213,1160,225838,Ghailarh,1531,25.9772983,86.6905356,25.9779533,86.6915487,25.9763137,86.6894889
213,1160,225839,Sirinagar,2108,25.9384228,87.4033964,25.9474331,87.4189424,25.923042,87.386477
213,1160,225840,Chitti,1331,26.0088012,86.6560709,26.0208797,86.6879654,25.9952067,86.6249542
213,1160,225841,Bhatranha,2711,25.9847173,86.6359159,26.0038165,86.6604614,25.9507197,86.6167983
213,1160,225842,Got Bardaha,926,25.9465074,86.643475,25.9541911,86.6568908,25.9329356,86.6216204
213,1160,225844,Bardaha,884,26.3302855,87.5272212,26.351511,87.5404281,26.3146972,87.5119777
213,1160,225846,Pathraha,239,26.2926593,87.1659731,26.2980137,87.1770628,26.2854252,87.1505661
213,1160,225847,Pathraha,280,26.2926593,87.1659731,26.2980137,87.1770628,26.2854252,87.1505661
213,1160,225848,Jhitkia,1141,25.9499816,86.6661453,25.9637986,86.6876219,25.9412785,86.6463623
213,1160,225849,Basdewa,888,26.4322258,84.1026062,26.4391575,84.1129761,26.4246845,84.0916899
213,1160,225850,Bancholha,365,25.9356195,86.6837705,25.9427223,86.6966094,25.9241542,86.6756743
213,1160,225851,Bhawantikthi,2577,25.9161409,86.7366082,25.9334125,86.7575455,25.8993701,86.6864394
213,1160,225852,Arraha,775,25.5541358,84.6664797,25.5835127,84.7046773,25.5317712,84.6354359
213,1161,225853,Barahi,1900,26.6139469,85.4091804,26.625492,85.4206235,26.6085127,85.4030761
213,1161,225854,Dubiahi,567,26.0568131,85.2962268,26.0660705,85.3102494,26.0470085,85.2880935
213,1161,225855,Matiahi,793,25.3686865,86.1598322,0,0,0,0
213,1161,225856,Pithahi,568,25.9034899,86.7322072,25.907292,86.7350006,25.8990307,86.7292071
213,1161,225857,Bhelwa,1385,26.8531381,85.0051533,26.8692835,85.0189057,26.8470554,84.9968185
213,1161,225858,Gorhiari,284,26.754714,85.7269198,26.7639102,85.7302445,26.7460976,85.7201155
213,1161,225859,Sahugarh,3838,25.9404407,86.7667756,25.9559611,86.7797184,25.9189892,86.7511797
213,1161,225860,Madhipura,1394,25.9239677,86.7946387,0,0,0,0
213,1161,225861,Manikpur,3573,26.2410086,85.3472155,26.2502231,85.3603286,26.228979,85.3384249
213,1161,225862,Madhuban,1706,26.4414497,85.1386264,0,0,0,0
213,1161,225863,Madanpur,3020,24.6553003,84.5772433,24.6662454,84.5970011,24.6488505,84.5619392
213,1161,225864,Tuniahi Uttarwari,579,25.9005973,86.7680322,25.9159032,86.7856139,25.8937243,86.7521516
213,1161,225865,Lchhmirampur Uttarwari Chakla,261,25.8972522,86.7504372,25.905796,86.7551954,25.8919257,86.7419128
213,1161,225866,Lachhmirampur Dakhinwari,182,25.8914008,86.7529512,25.8970583,86.7572325,25.8881795,86.7350385
213,1161,225867,Tuniahi Dakhinwari,481,25.8917919,86.7705452,25.8970509,86.7844771,25.8871955,86.7540052
213,1161,225868,Sukhasan Uttarwari,743,25.8844908,86.7743145,25.8892782,86.7937623,25.870697,86.756378
213,1161,225869,Siripar Uttarwari,447,25.885325,86.7454089,25.8905773,86.7589109,25.8802605,86.7323304
213,1161,225870,Siripur Dakhinwari,315,25.8764635,86.7454089,25.8852328,86.7580185,25.8724651,86.7323455
213,1161,225871,Sukhasan Dakhinwari,958,25.8725639,86.7692887,25.8817157,86.7869642,25.8647098,86.7525022
213,1161,225873,Bahadur Singh Uttarwari Chakla,223,25.8645377,86.7736863,25.8676243,86.7816237,25.8605423,86.7657393
213,1161,225874,Bahadur Singh DakhinwariChakla,142,25.8622526,86.7705452,25.8639145,86.7790068,25.8583356,86.7658384
213,1161,225877,Gothkhopaiti,124,25.8610814,86.7510657,25.8654613,86.7563398,25.8554039,86.7479555
213,1161,225878,Khopaiti,268,25.8676579,86.7479232,25.87463,86.7510604,25.8587246,86.7410656
213,1161,225879,Mudwala,496,25.8659843,86.7391229,25.8761767,86.7499541,25.8556232,86.7324369
213,1161,225880,Mudwala,225,25.8659843,86.7391229,25.8761767,86.7499541,25.8556232,86.7324369
213,1161,225881,Balam,387,25.8730591,86.7252906,25.875442,86.7270184,25.8690709,86.7232418
213,1161,225882,Garhia,778,26.2969065,86.7391229,26.3089295,86.7575988,26.2891405,86.7172928
213,1161,225883,Garthan,259,25.9076739,86.7542081,25.9158496,86.766678,25.9007854,86.7489091
213,1161,225884,Murho,1599,25.892155,86.8546573,25.9119299,86.8750534,25.8781089,86.8376234
213,1161,225886,Budhma Lakheraj,516,25.8975541,86.8653179,25.9033546,86.870552,25.8936196,86.862671
213,1161,225887,Budhma,588,25.9102023,86.8697068,25.9197158,86.8775101,25.8936767,86.859848
213,1161,225888,Bhadaul,970,26.6205736,86.1293792,26.6296741,86.1407357,26.6105725,86.1169553
213,1161,225889,Pararia,712,24.9163305,86.8847516,24.9252661,86.8944779,24.9055919,86.877159
213,1161,225890,Machh Bakhra,278,25.9394136,86.8546573,25.9451961,86.8652726,25.9287853,86.8487548
213,1161,225891,Gorhaila,326,25.9332896,86.8446218,25.9437962,86.8509828,25.9248637,86.8347851
213,1161,225892,Shakarpur,941,26.2489292,85.724619,0,0,0,0
213,1161,225893,Betauna,768,26.4336158,85.866535,26.4481734,85.8769455,26.4243983,85.8582075
213,1161,225894,Maheswa,2858,25.9778593,86.8571659,25.9889278,86.873314,25.9593658,86.8334122
213,1161,225895,Chaura,692,25.267638,84.5241849,25.2713601,84.5276928,25.2653447,84.5208906
213,1161,225896,Bakhri,401,25.5993766,86.2605146,0,0,0,0
213,1161,225897,Dhorgaon,2086,25.9548816,86.8872587,25.9668503,86.9116137,25.9291667,86.8668746
213,1161,801316,Madhepura (Nagar Parishad),10577,25.9205782,86.7968819,0,0,0,0
213,1162,225898,Kamargaon  (Part in Singheshwar) **,356,26.0980812,86.8195237,26.1085109,86.850067,26.0783938,86.8038865
213,1162,225899,Jirwa,5539,25.8213594,86.8596744,25.8284608,86.8744429,25.8121318,86.8460389
213,1162,225900,Champanagar,312,25.9060308,87.3277008,25.909899,87.3331225,25.900393,87.320516
213,1162,225901,Raibhir,1985,25.9901034,86.8772298,26.0158958,86.900032,25.9799271,86.8398894
213,1162,225902,Gidha,1877,25.5953023,84.7446146,25.6045036,84.7564239,25.5811748,84.7298585
213,1162,225903,Behrari,2144,26.0546005,86.8606649,0,0,0,0
213,1162,225904,Bani,179,20.2929531,85.8533062,0,0,0,0
213,1162,225905,Maura,8790,24.8171609,86.3021736,24.8368414,86.3172302,24.8013362,86.2817458
213,1162,225906,Basantpur,1056,26.1728331,84.664203,26.1789646,84.6714807,26.1681671,84.6557695
213,1163,225908,Kankar,901,26.0704919,86.9786757,26.0804899,86.9896544,26.0651339,86.9573593
213,1163,225909,Rampatti,150,26.3178033,86.1522827,26.3376071,86.1688347,26.3067663,86.1353939
213,1163,225910,Puraini,1738,25.5961766,86.9918988,0,0,0,0
213,1163,225911,Sarhadgatti,562,26.0607039,87.0049416,26.0658226,87.0128326,26.0486736,86.9982148
213,1163,225914,Datta sardar chakla,263,26.0384832,87.0011902,26.042015,87.0069657,26.0314654,86.9956739
213,1163,225915,Ramnagar Mahesh,2097,26.0284838,87.0174441,26.0450573,87.0381241,26.0144444,86.9939344
213,1163,225916,Garhia,561,26.2969065,86.7391229,26.3089295,86.7575988,26.2891405,86.7172928
213,1163,225919,Belsandi,836,25.7486436,86.2793375,25.7634944,86.291313,25.7271117,86.2613906
213,1163,225922,Sihpur,682,25.4001614,86.8597121,25.4177184,86.8707197,25.3892632,86.8437921
213,1163,225923,Guria,435,25.301676,83.8327182,25.3102682,83.8407441,25.2986087,83.8268204
213,1163,225926,Israin Kalan,2067,25.9778483,87.0686703,25.9826717,87.0729367,25.9759311,87.0629273
213,1163,225927,Belsarh,2793,25.9398747,87.0530583,25.9417216,87.0555997,25.9384413,87.049849
213,1163,225928,Israin Khurd,1973,25.9603058,87.0049416,25.9706954,87.0205536,25.9518451,86.9827424
213,1163,225929,Kewatgawan,719,25.9596846,86.9749222,25.9697188,86.9857253,25.9467487,86.9603346
213,1163,225932,Sikrahti,519,25.9791149,86.9861817,25.988985,86.9941634,25.9672451,86.9779738
213,1163,225933,Kumar Khand,2699,25.9913643,86.9912214,0,0,0,0
213,1163,225934,Bishunpur Sundar,5000,26.0510672,86.9674145,26.0828837,87.0028917,26.0264168,86.931343
213,1163,225935,Siripur Milik,148,25.6138083,87.2459475,25.6270732,87.2577514,25.5949725,87.2298813
213,1163,225936,Siripur,7215,26.7280987,84.7158823,26.7421836,84.734474,26.7146797,84.7043686
213,1163,225938,Sukhasan,1885,25.879152,86.7824381,0,0,0,0
213,1163,225939,Babhantoli,209,26.5407835,85.1103291,26.5447254,85.1175459,26.5329893,85.1071088
213,1163,225940,Belari,2131,25.8186313,85.8102212,25.8392218,85.8205339,25.8061218,85.793991
213,1163,225941,Bishunpur Korlahi,1619,25.9590567,86.9448841,25.9730795,86.9644699,25.9393558,86.9246445
213,1163,225943,Bishunpur Korlahi Chakla,169,25.9569861,86.9517695,25.959402,86.9538573,25.9549463,86.9498367
213,1163,225945,Lachhmipur Chandi Asthan,1294,25.9447608,86.9674145,25.9547424,86.9854431,25.9324456,86.9556351
213,1163,225946,Bhawanipur,205,26.4646838,86.9974385,26.4763393,87.0087736,26.4516104,86.9849014
213,1163,225947,Bhawanipur Jagir,378,25.9303565,86.9849308,25.9416923,87.0015565,25.9211234,86.9700469
213,1163,225948,Rahta,1578,25.9325277,86.947388,25.9411087,86.9865646,25.9038696,86.9299088
213,1163,225949,Hanumannagar Chakla,282,25.9048065,86.9636601,25.910944,86.9692079,25.9011668,86.9596329
213,1163,225950,Zorawarganj,635,25.9674357,87.0649239,25.9775581,87.0877685,25.9564056,87.0443114
213,1163,225951,Mangarwarakhas Mahal,585,25.9925643,87.0661727,25.9983941,87.0735242,25.9886494,87.0583802
213,1163,225952,Mangarwara,1346,26.0056766,87.0574302,26.0261593,87.0970078,25.9883632,87.0307006
213,1163,225954,Gopipur Israin,199,25.9836541,87.063675,25.9891738,87.0688249,25.9800682,87.0525054
213,1163,225956,Ghordaul,415,26.0127291,87.0411899,26.0151498,87.0433045,26.0067595,87.0364151
213,1163,225961,Parmanandpur Chakla,691,26.0310951,87.0368165,26.0336722,87.040634,26.0278453,87.0341032
213,1163,225965,Hanumannagar,140,26.0928847,86.2907568,26.1000703,86.2996243,26.0876216,86.2811279
213,1163,225966,Nainpatti,312,26.0552491,87.0630506,26.0587138,87.0675048,26.0527534,87.0591279
213,1163,225967,Parmanandpur,1320,25.7254536,85.1201474,25.7608222,85.1443863,25.7229663,85.1127148
213,1163,225968,Chainpur,693,25.0328082,83.5046184,25.0447036,83.5154057,25.0240733,83.4984971
213,1163,225970,Hanumannagar,206,26.0928847,86.2907568,26.1000703,86.2996243,26.0876216,86.2811279
213,1163,225973,Khutharajai,433,26.0390124,87.0998788,26.0506879,87.1258315,26.0250243,87.0688324
213,1163,225974,Sahoriabala,584,26.0327065,87.0799077,26.0383586,87.0965729,26.0187721,87.0580825
213,1163,225977,Lachhmipur Bhagwati,1249,26.0149892,87.0799077,26.0347079,87.0987473,25.998619,87.0548858
213,1164,225978,Gangapur,1995,25.8215543,85.7076777,25.8338494,85.7237864,25.8115398,85.6928873
213,1164,225979,Bindraban,430,26.4021177,85.2804902,26.4179535,85.287178,26.3864346,85.2439346
213,1164,225980,Sakhua,429,26.1765894,86.7667756,26.1886291,86.7794112,26.159149,86.7468567
213,1164,225982,Pokhram,1206,25.9345728,86.1971156,25.9450338,86.2143984,25.9211129,86.1833474
213,1164,225984,Gopalitola,563,25.8400514,86.9048041,25.8470745,86.9304427,25.8269863,86.8962708
213,1164,225985,Tirkona,289,25.8358052,86.9135745,25.8391036,86.919357,25.8298588,86.9078216
213,1164,225986,Parmanpur,917,25.3594404,84.239734,25.3642882,84.2454453,25.35079,84.2323914
213,1164,225987,Khari,1197,25.9384992,87.764033,25.9548397,87.7796172,25.9323482,87.7594374
213,1164,225988,Belo,3213,25.8599298,86.8671989,25.8824041,86.8894959,25.8486919,86.8414611
