district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
216,1199,227955,Himmat patti,572,26.3227625,84.9336248,26.3252905,84.9450531,26.3190535,84.9175567
216,1199,227956,Parsauni Patti Gulab,546,26.3167829,84.931022,26.3208446,84.9442823,26.3126906,84.9179533
216,1199,227957,Salempur,183,25.0359363,84.8424571,25.0424901,84.8487777,25.0310668,84.8352661
216,1199,227959,Ehiapur,1032,26.3146214,84.9114976,26.3223246,84.9228973,26.303112,84.8980557
216,1199,227960,Bhatandi,435,25.7736073,85.2554299,25.7784824,85.2577131,25.7713756,85.2459337
216,1199,227962,Khursaida,571,26.2924025,84.9075919,26.2967987,84.9131089,26.2896748,84.9019623
216,1199,227963,Parsauni Jahangir,324,26.2926787,84.915403,26.2983951,84.9215545,26.2877597,84.9097212
216,1199,227964,Baijnathpur,669,25.8895549,86.6459335,0,0,0,0
216,1199,227965,Basdeopur Birt,130,26.2845589,84.9147521,26.2881946,84.9201966,26.2827053,84.9108124
216,1199,227966,Rasulpur,503,26.0006986,84.5025547,26.0050655,84.5076272,25.9955797,84.49306
216,1199,227968,Madhopur Hazari,1851,26.267145,84.9010818,26.2872945,84.916504,26.2522524,84.8837202
216,1199,227969,Sarae urf Gopiganj,159,26.2780713,84.8978264,26.2841815,84.9056547,26.2715853,84.8893355
216,1199,227970,Basdeopur Sarai,943,26.2734024,84.9114976,26.284195,84.9249345,26.2649517,84.8907315
216,1199,227971,Karnaul Nilkanth,211,26.2724356,84.9258162,26.2795923,84.9377747,26.2548389,84.9192962
216,1199,227973,Deosara Asli,148,26.2576208,84.9232131,26.2713545,84.9284668,26.2470932,84.9156113
216,1199,227975,Isa Chhapra,343,26.2505798,84.9323234,26.2549801,84.9407806,26.2456569,84.9250411
216,1199,227976,Deoghara,265,25.2049379,85.029842,25.2117613,85.0415191,25.1993845,85.0199356
216,1199,227977,Rajwara,601,26.2556822,84.9518407,26.2656994,84.9669799,26.2484226,84.9343337
216,1199,227978,Lodia,104,25.2104401,86.1051922,25.2162837,86.1112443,25.20306,86.098778
216,1199,227979,Karnaul Chaturbhuj,336,26.269766,84.9336248,26.2797031,84.936821,26.2594967,84.9275434
216,1199,227981,Bhalui Rasul,261,26.263272,84.9583449,26.2722377,84.9673156,26.2582931,84.9493332
216,1199,227982,Bhalui Khan,318,26.2650628,84.9674496,26.2698897,84.9767759,26.2596855,84.9615781
216,1199,227983,Boaria,131,27.1205069,84.4999323,27.1285094,84.505928,27.1135748,84.4963454
216,1199,227984,Goura,406,26.268552,84.9830542,26.2784079,84.9925231,26.2570153,84.974243
216,1199,227985,Bhalui Sikandar,216,26.2710431,84.9700507,26.2756958,84.9756394,26.2688579,84.9646604
216,1199,227990,Jagdishpur,475,25.468313,84.4225186,25.4799928,84.4319916,25.4547449,84.4087914
216,1199,227992,Rampur Khurd Bhikanpura Bazail,271,26.2968146,84.9492388,26.3021488,84.9566496,26.2853642,84.9360807
216,1199,227993,Rampur Asli,462,26.2927175,84.9583449,26.3013406,84.9663304,26.2860371,84.9487353
216,1199,227994,Khori  Pakar,500,26.1809509,84.6753715,26.1856921,84.6838188,26.1747353,84.670558
216,1199,227995,Bisambharpur,293,26.6389089,84.4566458,26.6634694,84.4690856,26.6321678,84.4463347
216,1199,227996,Madhubani,167,26.3482938,86.0711661,26.3763187,86.097858,26.3157381,86.0493466
216,1199,227997,Naya Tola Madhubani,268,26.3089566,84.9596457,26.3204423,84.9695356,26.3053093,84.9483338
216,1199,227998,Satuahi,426,24.8759349,84.2851541,24.8778228,84.2899931,24.871975,84.2792281
216,1199,227999,Naya Tola urf Telia Chhapra,110,26.3114443,84.9466368,26.3166675,84.9511565,26.3086775,84.943016
216,1199,228000,Telia Chhapra,296,26.3217942,84.9479378,26.325117,84.9533003,26.3143655,84.9435426
216,1199,228001,Dharo Pali,434,26.3164536,84.9635478,26.324953,84.9679412,26.3117351,84.9523161
216,1199,228002,Rampur urf Bhagawanpur,111,26.3189121,84.9707009,26.324358,84.9748841,26.313442,84.9672621
216,1199,228003,Rampur Bhikhanpura,576,26.3169993,84.9791535,26.3243198,84.9876631,26.3134441,84.9717026
216,1199,228004,Arazi Bandobasti,166,26.3105337,84.9837043,26.3135357,84.9870759,26.3085689,84.9809264
216,1199,228005,Anandi Chhapra,178,26.3095934,84.9778532,26.315277,84.986618,26.3023567,84.9713744
216,1199,228006,Somgarh,378,27.0110422,84.5320485,27.0131022,84.535911,27.0071376,84.5292378
216,1199,228007,Bishunpur Kalayan,611,26.2820294,84.9895549,26.298027,85.0003739,26.2671203,84.9750363
216,1199,228008,Jahura,318,22.5155672,88.3810565,22.5168027,88.3825022,22.5144987,88.3801897
216,1199,228009,Tarwan,388,24.7282379,85.2463723,24.7448177,85.2692271,24.7177141,85.2277373
216,1199,228010,Basantpur Chainpur,553,26.3234315,84.9947548,26.3318957,85.0083771,26.3178347,84.9839629
216,1199,228011,Parsauni Dube,219,26.3193316,85.0038536,26.3263166,85.0080337,26.3161773,84.9977873
216,1199,228012,Parsauni Raisi,353,26.3239735,85.0103518,26.3279437,85.0182876,26.3125513,85.0057602
216,1199,228013,Parsa Gopi,109,26.3215889,85.0158747,26.3258837,85.0188218,26.3185786,85.0141753
216,1199,228014,Mahamadpur Madsudan,296,26.3171981,85.0272437,26.3242016,85.0327758,26.3110485,85.0140608
216,1199,228015,Lakhna,232,25.4533013,85.1446954,25.4562757,85.1482272,25.4493199,85.1412106
216,1199,228016,Gidha,165,25.5953023,84.7446146,25.6045036,84.7564239,25.5811748,84.7298585
216,1199,228018,Dostpur,284,26.3021165,85.0168493,26.3087138,85.0219041,26.2961369,85.0103452
216,1199,228019,Rajapur,509,25.6924354,85.208324,25.701838,85.2445677,25.6738175,85.1956908
216,1199,228020,Madhopur,189,26.3431608,84.4500844,26.3473928,84.4555306,26.3366146,84.4449198
216,1199,228021,Nawada,132,24.8866859,85.5434572,24.9208072,85.5580473,24.8603503,85.5114412
216,1199,228022,Belsand Dakhli,187,26.2832468,85.0207062,26.2890281,85.027298,26.2787628,85.0160824
216,1199,228023,Balthi Raisi,166,26.2901584,85.0116514,26.2981719,85.0204312,26.2832185,85.0017776
216,1199,228024,Balthi Narsingh,173,26.2957769,85.0038536,26.3003579,85.0113907,26.2915173,84.9939191
216,1199,228025,Balthi Ghausi,244,26.2868531,85.0012541,26.2933082,85.0150907,26.2822265,84.9924543
216,1199,228026,Madhuban Suraj,127,26.2802371,84.9971368,26.2852783,85.0009113,26.2721939,84.9942627
216,1199,228027,Balthi Narhar,292,26.2785578,85.0021584,26.2843162,85.0187223,26.27009,84.9987758
216,1199,228028,Pipra Asli,318,26.2693653,85.006453,26.2752761,85.0187756,26.2644634,84.9952543
