district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
229,1378,244121,Salempur,240,25.0359363,84.8424571,25.0424901,84.8487777,25.0310668,84.8352661
229,1378,244123,Binsa,317,25.3987858,85.2090582,25.4057807,85.2239071,25.3896903,85.1891097
229,1378,244124,Abupur,284,25.3875074,85.1881091,25.3934554,85.1969681,25.3830546,85.1797485
229,1378,244126,Malikpur,148,26.3039513,85.7140925,26.313694,85.7251129,26.2923773,85.706024
229,1378,244127,Makhdumpur,731,25.0655674,84.9739521,25.0803129,84.9880562,25.0527904,84.9668883
229,1378,244129,Berthu,1147,25.3745049,85.1971763,25.3902816,85.2151258,25.3543643,85.1760482
229,1378,244130,Amat,157,25.3612486,85.1984715,25.364626,85.2052078,25.3543529,85.189743
229,1378,244133,Niria,323,25.3618369,85.216601,25.3697164,85.2221677,25.3507709,85.2118989
229,1378,244135,Musarhi,409,25.1507019,84.8268136,25.1574669,84.8320466,25.1483363,84.8216934
229,1378,244136,Kamarthu,240,26.1612998,85.6254997,26.175005,85.6390381,26.1452369,85.6084899
229,1378,244137,Makrauta,510,25.3686298,85.2324594,25.3708524,85.2338326,25.3671396,85.2300561
229,1378,244139,Khokhna,224,25.3720903,85.236666,25.3772391,85.2405548,25.365673,85.2319642
229,1378,244141,Pakri,373,27.1330331,84.4828838,27.1416949,84.4900664,27.119379,84.4664457
229,1378,244142,Sandh,566,25.3817574,85.2386074,25.3929004,85.2534405,25.3741548,85.226059
229,1378,244143,Salempur,165,25.0359363,84.8424571,25.0424901,84.8487777,25.0310668,84.8352661
229,1378,244144,Galibpur,146,29.2454152,77.7959825,29.2483254,77.800069,29.2396381,77.7935456
229,1378,244146,Merhwan,260,25.388769,85.2269581,25.3958455,85.2374268,25.3830546,85.2180937
229,1378,244147,Chhitar Bigha,213,25.402126,85.2402252,25.4039339,85.2419972,25.4012201,85.2384782
229,1378,244148,Berawan,170,25.4057319,85.2489603,25.4127559,85.2544785,25.3936003,85.2407074
229,1378,244150,GulariaBigha,169,25.3934019,85.2560768,25.3997785,85.2587584,25.3903389,85.2514725
229,1378,244151,Rasulpur,215,26.0006986,84.5025547,26.0050655,84.5076272,25.9955797,84.49306
229,1378,244152,Karai,828,25.5441147,84.9687502,25.5523223,84.9753799,25.5302065,84.9597472
229,1378,244153,Parsarai,937,25.8759549,87.6396133,25.879255,87.6424027,25.8717351,87.6356864
229,1378,244156,Hunrari,286,25.3934719,85.2813006,25.3985193,85.2876892,25.3854561,85.276634
