district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
211,1128,222984,Dhurup Bilas,346,25.9483128,87.0686703,25.9537295,87.076828,25.9413203,87.060295
211,1128,222986,Birnagar Raghunath,123,25.9551721,87.0792834,25.9586125,87.0864945,25.945034,87.0693128
211,1128,222987,Maharajganj,571,26.1112101,84.5038658,26.1216888,84.5133591,26.0964669,84.4896268
211,1128,222990,Ekraha,1501,25.9474116,87.0973828,25.965065,87.1195906,25.935152,87.0772934
211,1128,222992,Rajuadih,292,25.9323929,87.0849012,25.9363307,87.107338,25.9232978,87.075203
211,1128,222993,Jankinagar,2120,25.8880298,87.1952496,25.8908284,87.199102,25.8848971,87.193121
211,1128,222994,Brindaban,163,26.4209248,84.3700044,0,0,0,0
211,1128,222995,Madhuban,1800,26.4414497,85.1386264,0,0,0,0
211,1128,222998,Ramnagar Pharsahi,3653,25.8656775,87.1472765,25.8987274,87.1828919,25.844513,87.1137925
211,1128,223005,Belchand Sukhia,2023,25.9100443,87.1497698,25.924961,87.1762467,25.8908327,87.1138533
211,1128,223006,Belchand Sukhia (RADHNAGAR),785,25.9100443,87.1497698,25.924961,87.1762467,25.8908327,87.1138533
211,1128,223007,Mohania Chakla,305,25.9173078,87.1435363,25.9305781,87.1465834,25.9111233,87.1386415
211,1128,223011,Belabadan,351,25.9288299,87.1285725,25.9358693,87.1388399,25.9191609,87.1153107
211,1128,223012,Bishunpur Bahadur,228,25.9329896,87.1148516,25.9397088,87.1262589,25.9171638,87.1043396
211,1128,223014,Rikabganj,118,25.8153538,87.4628736,25.83473,87.4929045,25.8038521,87.4481811
211,1128,223015,Bhargawan Patti,348,25.9434518,87.1210889,25.9502105,87.1275405,25.9380415,87.1159286
211,1128,223016,Pipra,1345,27.138072,84.4618943,27.143814,84.4705429,27.1226787,84.4551161
211,1128,223021,Harpur Madi,1136,25.9367778,87.157249,25.9490604,87.1694032,25.9158763,87.1425705
211,1128,223022,Makhnaha,746,25.9356647,87.1759416,25.9433668,87.1899109,25.9262294,87.1654204
211,1128,223025,Makhnaha Chakla,129,25.9306037,87.181548,25.9336319,87.1901017,25.928543,87.1746217
211,1128,223029,Dharhara Munahi Chakla,306,25.9232906,87.1852852,25.9265442,87.1906737,25.9207325,87.1801834
211,1128,223033,Dharhara Milik,341,25.9121278,87.1809251,25.9291477,87.1909257,25.8965988,87.1753692
211,1128,223035,Dharhara,1402,25.2564134,86.4022771,25.2614733,86.4082808,25.2493715,86.3983253
211,1128,223036,Kazi Hirdenagar,1881,25.9142995,87.2170395,25.9483871,87.2453537,25.8947009,87.189369
211,1128,223037,Harmurhi,669,25.9288323,87.2045894,25.9368571,87.218254,25.9200552,87.1939163
211,1128,223038,Rasarh,1533,25.9497494,87.2170395,25.9573879,87.2285461,25.9351196,87.1923524
211,1128,223039,Madhaipur,262,26.3413288,85.307159,26.3489036,85.3163679,26.334402,85.2928239
211,1128,223040,Balua Kachhari,2926,25.9625458,87.2767962,0,0,0,0
211,1128,223041,Raghunathpur,443,25.5613615,84.3094955,25.5687696,84.3153303,25.5550624,84.2989378
211,1128,223042,Masuria,1471,25.9279842,87.3165222,25.9436569,87.3272019,25.9041385,87.2974778
211,1128,223043,Bahora,1352,25.9246095,87.2816536,25.9417247,87.3001555,25.9159182,87.2422178
211,1128,223044,Burhia Dhanghatta,2197,25.8997294,87.2863062,25.9206581,87.3162613,25.8882197,87.2501295
211,1128,223045,Mahadeopur,592,25.0524201,86.8747223,25.058361,86.8882903,25.0451317,86.8576356
211,1128,223046,Kasiran Deotar,424,25.9059567,87.2444182,25.9179916,87.2524033,25.8985557,87.2385483
211,1128,223047,Banmankhi,1446,25.889057,87.1912482,0,0,0,0
211,1128,223048,Dhokardhara,165,25.88006,87.2033442,25.8821469,87.21109,25.8755951,87.1957779
211,1128,223050,Dhima,192,25.8869108,87.2139273,25.9011383,87.2163312,25.8810443,87.2123109
211,1128,223051,Chakla,115,25.7990891,86.7202598,25.8009986,86.7239913,25.7941779,86.715927
211,1128,223052,Bishunpurdat,751,25.8666439,87.1971177,25.8773956,87.2130279,25.8552417,87.1879578
211,1128,223054,Ramnagar Parsahi Milik,130,25.8728443,87.136055,25.8750286,87.1393887,25.8674849,87.132164
211,1128,223057,Rampur Tilak Milik,143,25.8459564,87.1210889,25.8508873,87.1266098,25.8430823,87.1170883
211,1128,223058,Rampur Tilak,2294,25.8530722,87.1073658,25.8733863,87.1405639,25.8326855,87.0792465
211,1128,223060,Ladugarh,2364,25.8264278,87.1048702,25.8366566,87.1251144,25.8047637,87.0895843
211,1128,223061,Gangaili,657,25.6837932,84.1880668,25.686325,84.2065658,25.6690292,84.1827926
211,1128,223062,Maharajganj,1356,26.1112101,84.5038658,26.1216888,84.5133591,26.0964669,84.4896268
