district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
214,1171,226238,Deoka,430,26.0612244,86.4402389,26.0728702,86.4462584,26.051012,86.4330976
214,1171,226239,Kaithwar,301,26.1672917,86.25903,26.1847971,86.2814482,26.1382389,86.2425003
214,1171,226240,Murlipur,448,26.0613371,84.8913152,26.0674916,84.8944015,26.0584029,84.8677139
214,1171,226242,Hati,301,25.1750476,85.0421822,25.1769516,85.0448549,25.1738737,85.0407243
214,1171,226243,Kathwar Arazi,273,26.0495617,86.476276,26.0540942,86.4820479,26.0449771,86.4717559
214,1171,226244,Barahi,445,26.6139469,85.4091804,26.625492,85.4206235,26.6085127,85.4030761
214,1171,226245,Kasimpur,497,26.0498157,86.5173392,26.0579393,86.5206298,26.0377596,86.5046463
214,1171,226246,Panduba,262,26.0422245,86.5084977,26.0496748,86.5152968,26.0345439,86.4994733
214,1171,226247,Dumra,468,25.0458808,83.9664886,25.0516756,83.9793013,25.0335827,83.9578323
214,1171,226248,Parkhotimpur,260,25.6306809,84.5418765,25.6344253,84.5456844,25.6243617,84.5391742
214,1171,226249,Kadli patti,922,26.0251045,86.4718518,26.0370806,86.489006,26.0125597,86.4605253
214,1171,226250,Tikpuli Chak Khuti Badh,205,26.0240883,86.49081,26.0272331,86.4972915,26.0185204,86.484871
214,1171,226252,Dharampur,236,25.7299455,86.2126732,25.7332878,86.21595,25.7277355,86.2068329
214,1171,226253,Hempur,361,26.0122813,86.49081,26.0152111,86.5044327,26.0067405,86.4809722
214,1171,226254,Bargaon,278,25.1336641,85.4349783,25.1516398,85.4482345,25.1180439,85.4157333
214,1171,226255,Bargaon Arazi,145,25.9895762,86.5287046,25.9944191,86.5362775,25.9806059,86.5240858
214,1171,226256,Nauhatta,5043,25.9974332,86.4889058,26.0043488,86.4955326,25.9902644,86.4835259
214,1171,226257,Asnahi Patti,382,26.0145583,86.4630022,26.0214823,86.4744415,26.0068874,86.4510497
214,1171,226258,Rampur,349,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
214,1171,226259,Bariari,268,26.036541,86.4566801,26.0435847,86.4663544,26.0277957,86.4320295
214,1171,226260,Partaha,419,26.028449,86.4275882,26.0313129,86.4378129,26.0222473,86.4103772
214,1171,226261,Bakaunia,1665,26.0263793,86.403543,26.0524139,86.4402007,26.006342,86.3823928
214,1171,226262,Barhara,834,25.6889818,84.7237198,25.6948585,84.7437742,25.6785087,84.7183456
214,1171,226264,Chhataun,287,26.0170156,86.4427687,26.0222473,86.4516448,26.0079633,86.4350736
214,1171,226265,Paliarpur,425,26.0085315,86.4579446,26.0157184,86.4704131,26.0011196,86.4472047
214,1171,226266,Mojuaul,706,25.8147343,85.3969353,0,0,0,0
214,1171,226267,Shahpur,961,25.5859834,84.4486628,25.5900137,84.4531911,25.5816881,84.4416972
214,1171,226268,Gobindpur,191,24.782413,85.6929207,24.7843188,85.6985521,24.7802083,85.686643
214,1171,226269,Darhar,1637,25.993974,86.4060746,26.0099333,86.4236753,25.9784029,86.3854369
214,1171,226270,Bhelahi,341,26.9973425,84.7707223,27.0124885,84.7881135,26.980482,84.750679
214,1171,226271,Garhia Lohir,274,25.9783933,86.4326489,25.984621,86.4399186,25.9728393,86.4264067
214,1171,226272,Bhakua,255,26.5099341,86.188902,26.5144622,86.1942459,26.5062787,86.1850296
214,1171,226273,Mohammadpur,150,26.3111676,85.0851505,0,0,0,0
