district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
221,1284,236145,Gangaura,258,25.5285773,86.3427458,25.547531,86.3654327,25.4958839,86.3312454
221,1284,236147,Salaha,468,25.8034617,84.915403,25.8125305,84.9206767,25.7978898,84.9063644
221,1284,236148,Kalaunjar,826,26.0576095,85.7076777,26.0703142,85.7227026,26.0420546,85.6951618
221,1284,236151,Sembhu Ram Tok,353,26.0338616,85.7025453,26.0468521,85.7088773,26.0163649,85.6886293
221,1284,236152,Malinagar,1725,25.9936964,85.6909956,25.9971173,85.6967863,25.9896009,85.6873838
221,1284,236153,Saidpur,1195,26.3726481,85.4927026,26.3788839,85.496199,26.3659591,85.4887918
221,1284,236154,Sahuri,512,25.4768044,86.0829046,25.4791475,86.0897943,25.4753435,86.081512
221,1284,236155,Baswari,307,26.0074511,85.6576156,26.0194702,85.6619337,25.9994621,85.6504515
221,1284,236156,Simri Gopal,289,25.9697137,85.6781596,25.9753303,85.6840362,25.9638596,85.6730954
221,1284,236158,Dumrawan,131,24.9344556,85.7025453,24.9482813,85.7088947,24.9192504,85.6915998
221,1284,236159,Balaha Jai Naraen,579,25.9641943,85.6909956,25.9713344,85.6975859,25.9581413,85.6846771
221,1284,236160,Somnaha,2014,25.9518255,85.7110281,25.9769553,85.7231827,25.9391174,85.6944352
221,1284,236161,Gorai,688,25.9747106,85.6974124,25.9845924,85.7074204,25.9704265,85.6834946
221,1284,236163,Madhurapur,856,25.6246137,85.3394928,25.6312783,85.3480379,25.6192837,85.3356628
221,1284,236166,Mohanpur Khurd,349,25.9774336,85.7397439,25.9852313,85.7439957,25.9696044,85.7352523
221,1284,236167,Madhopur Bhual,619,25.9813691,85.7230719,25.9901466,85.7290726,25.9687118,85.6955718
221,1284,236168,Bakhtiarpur,1039,25.4547359,85.539154,25.4649367,85.5502626,25.4492424,85.5224789
221,1284,236169,Hajpurwa,1192,25.9063353,85.831986,25.9123888,85.8465242,25.9031629,85.825882
221,1284,236170,Madanpur,320,24.6553003,84.5772433,24.6662454,84.5970011,24.6488505,84.5619392
221,1284,236182,Ratanpur,229,26.2907549,85.7363439,0,0,0,0
221,1284,236183,Ganga Paran,142,25.8559698,84.8567932,26.2201766,85.1998138,25.6217651,84.4061126
221,1284,236187,Siri Nath Paran,450,26.0331826,85.7294849,26.0464458,85.7339323,26.0237502,85.716316
221,1284,236190,Ram Paran,140,26.0155593,85.7320498,26.0248662,85.7351149,25.9996871,85.7246246
221,1284,236191,Rasulpur Baghla,332,26.0454336,85.7448727,26.0499629,85.7510222,26.0430774,85.7399522
221,1284,236192,Az Rakbe Rasulpur,226,26.0401776,85.7416673,26.0437965,85.7479478,26.0372142,85.733345
221,1284,236193,Surmar,684,25.7385711,85.7474369,25.7471789,85.7585296,25.7296504,85.7414396
221,1284,236194,Jadu Paran,130,26.013176,85.7387822,26.0151558,85.7426454,26.0121918,85.7346193
221,1284,236195,Jagdis Paran,180,26.0069355,85.7397439,26.0135841,85.7436216,26.0029392,85.7346723
221,1284,236196,Dharampur,223,25.7299455,86.2126732,25.7332878,86.21595,25.7277355,86.2068329
221,1284,236197,Chak Mahsi,1353,26.0586582,85.4053097,26.0634479,85.4100111,26.0503099,85.398056
221,1284,236198,Arazi Jadu Mahsi,124,26.0415722,85.7641013,26.0578803,85.7695999,26.0229301,85.7573394
221,1284,236199,Utra Sarhi,379,26.0215674,85.760897,26.0383529,85.7682874,26.0188465,85.7518768
221,1284,236200,Utra Sarhi,443,26.0215674,85.760897,26.0383529,85.7682874,26.0188465,85.7518768
221,1284,236202,Namapur,886,26.0293231,85.748719,26.0447159,85.7562713,26.0160371,85.7349777
221,1284,236203,Mankauli,428,26.2201532,85.7205065,26.2351817,85.7462922,26.2081126,85.7080537
221,1284,236204,Ghoghraha,498,26.7056647,85.5353007,26.7098273,85.5428276,26.7019691,85.5328291
221,1284,236205,Belsandi,953,25.7486436,86.2793375,25.7634944,86.291313,25.7271117,86.2613906
221,1284,236208,Darhia,303,26.2969065,86.7391229,26.3089295,86.7575988,26.2891405,86.7172928
221,1284,236209,Singhia,450,25.8412119,86.1605994,25.8535564,86.174088,25.8352906,86.1466863
221,1284,236210,Ghor Nagar,294,25.0960742,85.3131194,27.5213199,88.289752,24.286278,83.3148651
221,1284,236212,Jitwaria,1311,25.9881728,85.7538469,26.0018824,85.771576,25.9795247,85.7401275
221,1284,236213,Lachhrampur,323,25.9936224,85.7384617,26.0009898,85.7434082,25.9852313,85.7324599
221,1284,236214,Ramauli,247,26.1068793,86.1704224,26.1114604,86.1821651,26.102691,86.1625099
221,1284,236215,Milki,243,25.8660668,85.79165,25.8722763,85.7944565,25.8630082,85.7897491
221,1284,236216,Singiahi,165,25.977959,85.7576925,25.9824008,85.7618865,25.9741478,85.7501297
221,1284,236217,Ladaura,1325,26.1289919,85.7282023,26.1374892,85.7422942,26.1066762,85.7160187
221,1284,236218,Rampur,690,27.0592413,84.5458072,27.0733795,84.5552213,27.0524405,84.5282364
221,1284,236219,Kalyanpur,867,25.9571835,85.7788384,25.9594029,85.7828604,25.9548471,85.7761546
221,1284,236220,Phulahra,838,24.9417867,86.9699172,24.9605723,86.9817506,24.9286364,86.9647751
221,1284,236221,Mirzapur,643,25.3175486,85.2137191,0,0,0,0
221,1284,236222,Dhobgawan,1594,25.2125659,85.0149001,25.2156575,85.0177002,25.2109207,85.0119065
221,1284,236224,Harpur Jhakra,174,25.9704473,85.803818,25.9748171,85.8081589,25.9508379,85.7965466
221,1284,236225,Simria Bhindi,1069,25.9613337,85.8460643,25.9657616,85.8511163,25.9550842,85.8403874
221,1284,236226,Malipur,238,25.7118217,86.1636448,25.7180126,86.1688561,25.704048,86.1524887
221,1284,236227,Betwara,219,25.9860111,85.831986,25.9917469,85.8380506,25.9815635,85.8257751
221,1284,236228,Manorathpur,168,26.0161505,85.932371,26.0198345,85.938858,26.0135766,85.9241102
221,1284,236229,Bakhri,191,25.5993766,86.2605146,0,0,0,0
221,1284,236231,Bakhri,109,25.5993766,86.2605146,0,0,0,0
221,1284,236232,Janardanpur,365,25.9910267,85.8012566,25.9955203,85.8067643,25.9866504,85.7971264
221,1284,236233,Kurhwa,961,26.0010188,85.7897284,26.0192355,85.7996289,25.9907779,85.7780606
221,1284,236235,Nima Chak Haidar,374,26.0246195,85.7897284,26.0334434,85.7943647,26.0110273,85.7844542
