district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
219,1248,232811,Harpur Jan,835,26.205498,84.7715739,26.207593,84.7805317,26.2007462,84.7684219
219,1248,232812,Sundar,291,25.3044625,84.2305141,25.3106421,84.2365569,25.2979699,84.2271422
219,1248,232813,Chand Kudaria,924,26.1807754,84.7915999,26.1864853,84.7983246,26.1706008,84.7820433
219,1248,232814,Karan Kudaria,1253,26.1902688,84.8098616,26.2073878,84.8255541,26.1681138,84.7970963
219,1248,232815,Dumarsan,703,26.1640424,84.8176862,26.1712627,84.8230361,26.1580392,84.8098754
219,1248,232816,Fardahia,209,26.1712654,84.813774,26.1741257,84.8200533,26.1657848,84.8082733
219,1248,232817,Padumpur,256,25.9752154,86.6081894,25.9946993,86.6211091,25.9614316,86.5869292
219,1248,232818,Padmaul,452,25.9468776,85.3678783,25.9689922,85.3729858,25.9398862,85.3623504
219,1248,232819,Arna,1104,26.4466709,84.3515759,26.4543953,84.3658751,26.4353942,84.3469621
219,1248,232820,Balua,136,27.1544172,84.4303959,27.1657198,84.434303,27.148878,84.4228745
219,1248,232821,Sapahi,219,26.6507832,84.8515804,26.6698628,84.870262,26.6277675,84.834549
219,1248,232822,Chhapia,444,26.0739265,84.8515804,26.0969237,84.8690719,26.05554,84.8295819
219,1248,232824,Barwa Ghat,293,26.1461965,84.7720274,26.1524809,84.7823867,26.1409835,84.759674
219,1248,232825,Bansohi,508,26.1620235,84.6413726,26.1692924,84.650604,26.1536179,84.6314391
219,1248,232826,Bahrauli,1128,26.1378314,84.7850765,26.1520768,84.7988662,26.1296615,84.7724457
219,1248,232827,Bahadurpur,343,26.1098719,85.9070855,26.1134272,85.911702,26.1031999,85.9029491
219,1248,232828,Kawalpura,605,26.1401031,84.8072531,26.1507282,84.8152465,26.128214,84.7943114
219,1248,232829,Bangra,1143,26.2622911,84.4513967,26.269409,84.4595795,26.2483214,84.4432066
219,1248,232830,Sisai,469,27.1116226,84.5353247,27.1199283,84.5473481,27.0990449,84.5221406
219,1248,232831,Siuri,312,26.0460293,84.7720274,26.0518055,84.7768784,26.0432623,84.7680437
219,1248,232832,Lakhanpur,396,25.13122,86.6777652,25.1370873,86.6851758,25.1274888,86.6747898
219,1248,232833,Charihara,349,26.1110187,84.8176862,26.116602,84.8259045,26.1025849,84.8090819
219,1248,232835,Hansapir,191,25.7466849,86.2031426,25.7565554,86.2180631,25.7320803,86.1927184
219,1248,232836,Chainpur,316,25.0328082,83.5046184,25.0447036,83.5154057,25.0240733,83.4984971
219,1248,232837,Kishunpura,189,26.2253118,84.6806003,26.2331181,84.6866531,26.2184009,84.6743162
219,1248,232838,Mathia,226,27.069116,84.4605822,27.0747032,84.4668348,27.0662364,84.4562989
219,1248,232839,Deuria,295,25.367723,83.7544403,25.379118,83.7676695,25.3597851,83.7457582
219,1248,232840,Sheikhpura,157,25.1416937,85.8628915,25.1459839,85.8711146,25.1309877,85.8289719
219,1248,232841,Dumduma,231,25.3022085,83.8101738,25.3149891,83.8312301,25.2841948,83.7857131
219,1248,232842,Durgauli,427,26.1268138,84.7655017,26.1326751,84.7748794,26.117239,84.7577285
219,1248,232843,Jajauli,682,26.1290963,84.7472259,26.1363048,84.7612076,26.1128254,84.7340316
219,1248,232844,Bahuara,267,25.8536028,85.5946503,25.8588828,85.6101148,25.8408527,85.5824507
219,1248,232845,Bishunpura,356,26.3332125,84.6138973,26.3397598,84.6228484,26.3220959,84.5984038
219,1248,232846,Barahimpur Gopi,379,26.0956459,84.7184949,26.1149481,84.7291946,26.0805931,84.7101286
219,1248,232847,Barahimpur Chakarpan,238,26.0974525,84.7276382,26.1106186,84.7349624,26.0821533,84.7187881
