district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
228,1372,243807,Sanwas,1313,25.1775864,85.717941,25.1939088,85.7391051,25.1629791,85.6991422
228,1372,243808,Daria Chak,168,25.9325175,85.1758012,25.9376029,85.1776351,25.9285105,85.1727906
228,1372,243809,Khalil Chak,117,25.1737755,85.7397439,25.1796265,85.7468335,25.1705016,85.7322921
228,1372,243810,Rajoura,224,25.1827982,85.7448727,25.1891707,85.7517699,25.1757526,85.7387159
228,1372,243811,Sanwas,505,25.1775864,85.717941,25.1939088,85.7391051,25.1629791,85.6991422
228,1372,243812,Khoja Gachhi,232,25.1884946,85.7371793,25.1951695,85.7442626,25.1833629,85.7313233
228,1372,243813,Babhan Bigha,425,25.1985254,85.7387822,25.2002232,85.7408452,25.1977187,85.7368754
228,1372,243814,Teus,1605,25.250025,85.7166582,25.2523911,85.7192588,25.2469473,85.7110834
228,1372,243816,Kabirpura,323,25.2693157,85.7317292,25.2702929,85.7327342,25.267518,85.7305241
228,1372,243817,Kanhauli,224,25.5822252,84.9180065,25.5881526,84.9249172,25.5778371,84.9125897
228,1372,243818,Jagdishpur,306,25.468313,84.4225186,25.4799928,84.4319916,25.4547449,84.4087914
228,1372,243819,Ukhdi,358,25.2368996,85.7230719,25.2492447,85.7312469,25.2328663,85.7191774
228,1372,243821,Toi,500,25.2494691,85.748719,25.2570058,85.7547609,25.2366752,85.7308884
228,1372,243822,Saraia,149,25.809304,85.1297844,25.8203296,85.1632001,25.7955055,85.1145476
228,1372,243823,Pank,348,25.2392997,85.7551288,25.2507839,85.7607347,25.2278519,85.7500459
228,1372,243825,Musapur,252,25.6804217,85.7282023,25.6947496,85.7510297,25.6524238,85.7015913
228,1372,243827,Baijnathpur,128,25.8895549,86.6459335,0,0,0,0
228,1372,243828,Kazi Fatu Chak,266,25.2461936,85.7634604,25.2518138,85.7694397,25.2439231,85.7580415
228,1372,243829,Dih Nazimat,312,25.2335302,85.7602561,25.2415518,85.7676458,25.2300612,85.7542992
228,1372,243831,Milki Chak,160,25.3428288,86.5145522,25.3463058,86.5184928,25.3373393,86.5047607
228,1372,243833,Gordih,175,25.1456836,87.0543075,25.1516557,87.0579386,25.141866,87.0514584
228,1372,243835,Dharsani,359,25.2225005,85.7884474,25.2357387,85.7941132,25.2128275,85.7772903
228,1372,243836,Shekhpurwa,153,25.1416937,85.8628915,25.1459839,85.8711146,25.1309877,85.8289719
228,1372,243837,Keoti,492,26.2839709,85.9526987,0,0,0,0
228,1372,243838,Punesra,184,25.2290131,85.7445522,25.2304882,85.7459629,25.2254218,85.7434845
228,1372,243839,Mirzapur,321,25.3175486,85.2137191,0,0,0,0
228,1372,243841,Kutaut,335,25.2128677,85.7878068,25.2165832,85.7906034,25.2078266,85.7845762
228,1372,243844,Ahiapur,251,25.2060905,85.4336887,25.2121676,85.442825,25.2042502,85.423149
228,1372,243849,Pinjri,543,25.2012518,85.7954928,25.2030486,85.8025512,25.1979351,85.790413
228,1372,243859,Kuseri,234,25.2040316,85.8153431,25.2137241,85.8238678,25.199524,85.7990952
228,1372,243862,Bhadarthi,174,25.2160099,85.8204646,25.2222882,85.8345184,25.2094592,85.8113097
228,1372,243863,Sarba,795,25.1868815,85.7583334,25.1897579,85.7610798,25.1843793,85.7566165
228,1372,243864,Milki Chak,267,25.3428288,86.5145522,25.3463058,86.5184928,25.3373393,86.5047607
228,1372,243865,Maldah,1129,25.1785773,88.2461183,25.5392399,88.46264,24.65396,87.76355
228,1372,243866,Esmailpur,327,25.7582519,85.1919952,25.7677611,85.2150574,25.746517,85.1744156
228,1372,801362,Barbigha (NP),7615,25.2207678,85.7318435,25.2297894,85.743781,25.2017251,85.721941
228,1373,243870,Haidar Chak,146,25.13871,85.7551288,25.1414393,85.7609024,25.136036,85.7487638
228,1373,243871,Rahincha,170,25.1108669,85.6113626,25.1231918,85.6147382,25.1016463,85.6049881
228,1373,243872,Panchi,1625,25.1187558,85.6280697,25.1267584,85.6490785,25.0956992,85.6106643
228,1373,243873,Mohabbatpur,575,25.1105567,85.651194,25.1233501,85.6605757,25.1022663,85.644432
228,1373,243875,Khuria,115,25.1094146,85.6627524,25.1184101,85.6707533,25.1027679,85.6559524
228,1373,243876,Panhesa,224,25.1097136,85.6730244,25.1191463,85.683029,25.1022051,85.667671
228,1373,243877,Shekhupursarai,680,25.1131928,85.6827506,0,0,0,0
228,1373,243878,Sugia,294,25.1280632,85.6935624,25.1348894,85.7069168,25.1239374,85.6866913
228,1373,243879,Nimi,1003,25.1120485,85.7025453,25.1274966,85.7209319,25.1033516,85.6874542
228,1373,243880,Paharia,247,25.0977886,85.6954874,25.0997847,85.6979835,25.0956749,85.6933595
228,1373,243881,Mian Bigha,123,25.1048357,85.7089607,25.1093959,85.7128142,25.0970133,85.7044828
228,1373,243882,Bara Bigha,140,25.1020982,85.7166582,25.1093635,85.720474,25.0941181,85.7106017
228,1373,243883,Sadikpur,224,26.1672866,84.4303959,26.1735799,84.4355105,26.1586736,84.4192457
228,1373,243885,Chheman,375,25.136312,85.7230719,25.1427877,85.7287598,25.1309663,85.7197951
228,1373,243886,Baih Katta,114,25.1229408,85.6954874,25.1259059,85.6987456,25.1211301,85.6928862
228,1373,243889,Jodhan Bigha,204,25.1286562,85.7140925,25.1349544,85.7201155,25.1238097,85.7050095
228,1373,243890,Amari,904,25.7199669,86.0860891,25.7435245,86.1028898,25.7024555,86.0674739
228,1373,243891,Asthana,376,25.153473,85.7025453,25.1655711,85.7102814,25.1472358,85.6938323
228,1373,243892,Unaman,592,25.15695,85.7205065,25.1674423,85.7386932,25.147194,85.7075807
228,1373,243895,Belao,1443,25.1428186,85.7435906,25.1645755,85.7655485,25.1271934,85.722229
228,1373,243896,Jahangirpur Urf Madhepur,199,26.1755791,86.3800956,0,0,0,0
228,1373,243899,Charuanwan,898,25.1255651,85.6839362,25.1292554,85.69001,25.1235675,85.6779555
228,1374,243900,Kosra,1097,25.1070159,85.7333322,25.1210631,85.7499085,25.0901508,85.717018
228,1374,243901,Bhadeli,138,25.1172626,85.7294849,25.1202105,85.7329178,25.1146371,85.7248383
228,1374,243902,Maniauri,386,25.1940008,85.8268657,25.209589,85.8325729,25.1805553,85.8208311
228,1374,243905,Sarmanan,167,25.1965991,85.8140627,25.200348,85.8248595,25.1919822,85.8091048
228,1374,243908,Kamta,233,25.1858723,84.5300827,25.2093504,84.5512846,25.1724433,84.5128174
228,1374,243909,Abe Badshahpur,132,25.1694833,85.809901,25.1720925,85.8110962,25.1676425,85.8080368
228,1374,243910,Gawa,1197,25.1861354,85.8102212,25.2004164,85.8279265,25.1647166,85.7955017
228,1374,243911,Badshahpur,218,25.172568,85.8012566,25.1772975,85.8075408,25.1635742,85.7977831
228,1374,243912,Audhe,408,25.1738662,85.7948524,25.1810072,85.7980496,25.1668814,85.7880097
228,1374,243915,Faridpur,326,25.1322408,87.0861495,25.1355076,87.0882721,25.1295242,87.083519
228,1374,243916,Dullapur,201,25.1631109,85.7807603,25.1690541,85.7859498,25.1490421,85.7754518
228,1374,243919,Dihri,251,25.4866327,84.8437605,25.4926644,84.8499145,25.4792747,84.8329391
228,1374,243922,Pain,677,25.1497595,85.7794791,25.1604461,85.7850495,25.1453123,85.7742076
228,1374,243925,Lodipur,357,24.9876242,84.813774,24.9904535,84.8164857,24.9848521,84.8089599
228,1374,243926,Dhaunsa,408,25.1331572,85.7679461,25.1494046,85.7782591,25.1248492,85.7604444
228,1374,243929,Deole,328,25.1208824,85.752565,25.1284941,85.7661973,25.1136817,85.7401505
228,1374,243932,Bakarpur Bank,213,25.1091187,85.7551288,25.1171379,85.7638473,25.1012516,85.7478485
228,1374,243933,Kusmaha,724,24.9272498,87.134808,24.9435006,87.1475145,24.9179553,87.1269454
228,1374,243934,Amanatpur,177,25.089059,85.7781977,25.0960502,85.7838668,25.0807169,85.7735215
228,1374,243935,Dewara,127,26.4270039,83.804868,26.7579301,84.18755,26.08944,83.48003
228,1374,243937,Matokhar,342,25.135617,85.8025373,25.1438178,85.8156433,25.1196193,85.7885511
228,1374,243938,Lachhna,154,25.1195939,85.8115017,25.1228238,85.821701,25.1169508,85.8047866
228,1374,243939,Kariho,231,26.1266291,86.6459944,26.1444301,86.6702728,26.1034699,86.6291429
228,1374,243941,Surdaspur,223,25.1331626,85.8204646,25.1421354,85.8304519,25.127451,85.8105698
228,1374,243942,Kare,969,25.1460822,85.8063794,25.1550941,85.8180693,25.1417216,85.7954408
228,1374,243943,Bihta,269,25.5535839,84.8692677,0,0,0,0
228,1374,243944,Manana,207,25.1579905,85.8089406,25.1650772,85.8157883,25.1518135,85.8037719
228,1374,243945,Puran Kanwa,309,25.1523609,85.8191842,25.1582202,85.8279494,25.1481267,85.8102416
228,1374,243947,Hathiawan,550,25.1628973,85.8255855,25.172039,85.8325729,25.1573713,85.8185806
228,1374,243948,Rasulpur,143,26.0006986,84.5025547,26.0050655,84.5076272,25.9955797,84.49306
228,1374,243949,Chitaura,105,25.1823815,85.8345459,25.1878584,85.8375244,25.1762484,85.8279265
228,1374,243950,Mobarakpur,181,25.6099392,85.0376361,25.6134072,85.0455626,25.6070347,85.0284268
228,1374,243951,Aijhi,290,25.1800883,85.8451045,25.1811266,85.8467817,25.1791073,85.8426726
228,1374,243953,Dharampur,243,25.7299455,86.2126732,25.7332878,86.21595,25.7277355,86.2068329
228,1374,243954,Ramraipur,168,25.2101635,85.7967737,25.2122745,85.7992478,25.2069112,85.7940825
228,1374,243955,Bazidpur,351,25.5932837,85.7794791,25.6036662,85.7896953,25.5640506,85.758827
228,1374,243956,Katari,966,25.1829543,85.8550212,25.1854862,85.8584547,25.1766312,85.8515239
228,1374,243957,Chanre,418,25.1659891,85.8700527,25.169378,85.8721446,25.1637848,85.8669734
228,1374,243958,Abgil,324,25.1649416,85.872291,25.1678196,85.8753044,25.1631049,85.8711791
228,1374,243961,Khurrampur,212,25.1493888,85.887047,25.152191,85.8919983,25.1424141,85.8839644
228,1374,243966,Barui,327,24.8913493,83.98104,24.9046401,83.9867706,24.8759516,83.9714965
228,1374,243968,Mahsar,318,25.8400266,86.0478618,25.8551369,86.0714111,25.8239631,86.0285492
228,1374,243969,Jaimangla,286,25.1472327,85.9547235,25.1498299,85.9595203,25.1441581,85.9523106
228,1374,243970,Othma,128,25.1511903,85.9446307,0,0,0,0
228,1374,243971,Madari,227,24.8074182,87.069919,24.8145655,87.076805,24.7967682,87.0653153
228,1374,243972,Pachnan,821,25.1490041,85.911287,25.1542777,85.9187615,25.1450127,85.9063375
228,1374,243973,Maninda,281,25.1236028,85.9023396,25.1323452,85.9126203,25.1111106,85.8906554
228,1374,243974,Paigambarpur,188,26.2013355,85.7320498,26.2085608,85.7390212,26.1962433,85.7275009
228,1374,243975,Kaithawan,572,25.1302236,85.9278993,25.1419029,85.9443663,25.1103515,85.9148024
228,1374,243976,Sarari,274,26.2516779,84.5589076,26.273796,84.5764311,26.2309646,84.5388794
228,1374,243977,Bhat Chak,114,24.9435236,86.2018717,24.94845,86.2096406,24.9383468,86.1967393
228,1374,243978,Barma,346,25.2098115,87.3537738,25.2152001,87.36324,25.18605,87.34546
228,1374,243979,Sultanpur,172,25.6871655,85.2521952,25.6932678,85.2564619,25.6804065,85.2455825
