village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
250620,0.38826385,0.009138816,0.07886051,0.009138816,0.026176918,0.43403342,0.009138816,0.03611017,0.009138816,9.381293e-06,9.381293e-06,9.381293e-06,0.82337874,0.17658369,9.381293e-06,0.0012308188,0.13604966,0.06447068,0.0012308188,0.77757657,0.0012308188,0.0012308188,0.0012308188,0.0012308188,0.014518274
250625,0.40329522,0.008873068,0.07531416,0.008873068,0.02481395,0.43056047,0.008873068,0.030523928,0.008873068,3.5911403e-06,3.5911403e-06,3.5911403e-06,0.8254427,0.1745431,3.5911403e-06,0.0014987123,0.13817416,0.06445086,0.0014987123,0.77221197,0.0014987123,0.0014987123,0.0014987123,0.0014987123,0.016170673
250629,0.3682453,0.00940985,0.08273387,0.00940985,0.029604474,0.43657705,0.00940985,0.045199793,0.00940985,2.2196853e-05,2.2196853e-05,2.2196853e-05,0.81732035,0.18259087,2.2196853e-05,0.002137828,0.14148237,0.06752566,0.002137828,0.75621444,0.002137828,0.002137828,0.002137828,0.002137828,0.021950427
250630,0.37922072,0.009272,0.07931771,0.009272,0.026583927,0.43785402,0.009272,0.03993548,0.009272,3.2837265e-06,3.2837265e-06,3.2837265e-06,0.82172054,0.17826629,3.2837265e-06,0.0024848965,0.14097734,0.06678946,0.0024848965,0.75435597,0.0024848965,0.0024848965,0.0024848965,0.0024848965,0.022967678
250632,0.39765513,0.008943591,0.077762716,0.008943591,0.026698174,0.42940232,0.008943591,0.03270734,0.008943591,1.1814559e-05,1.1814559e-05,1.1814559e-05,0.8230186,0.17693418,1.1814559e-05,0.0018310641,0.1405026,0.06829211,0.0018310641,0.7593996,0.0018310641,0.0018310641,0.0018310641,0.0018310641,0.02081922
250633,0.3674309,0.009392363,0.08376163,0.009392363,0.030721974,0.43491313,0.009392363,0.045602884,0.009392363,7.953317e-06,7.953317e-06,7.953317e-06,0.81026196,0.18970631,7.953317e-06,0.0043394156,0.12574236,0.064939484,0.0043394156,0.748957,0.0043394156,0.0043394156,0.0043394156,0.0043394156,0.03432467
250634,0.23262015,0.012361201,0.17511815,0.012361201,0.10202048,0.3210351,0.012361201,0.11976143,0.012361201,4.8899983e-06,4.8899983e-06,4.8899983e-06,0.8228809,0.17709939,4.8899983e-06,0.004442507,0.11350275,0.06320751,0.004442507,0.7406633,0.004442507,0.004442507,0.004442507,0.004442507,0.055971365
250643,0.39674795,0.008981255,0.077626504,0.008981255,0.02607163,0.4307339,0.008981255,0.032894924,0.008981255,6.5974946e-06,6.5974946e-06,6.5974946e-06,0.82274234,0.17723125,6.5974946e-06,0.0013880469,0.13651727,0.06564713,0.0013880469,0.77385235,0.0013880469,0.0013880469,0.0013880469,0.0013880469,0.015654834
250647,0.310153,0.010836452,0.10285327,0.010836452,0.038518704,0.4256208,0.010836452,0.079508536,0.010836452,3.7299096e-06,3.7299096e-06,3.7299096e-06,0.8178045,0.18218057,3.7299096e-06,0.0013686683,0.13693942,0.06917782,0.0013686683,0.76447403,0.0013686683,0.0013686683,0.0013686683,0.0013686683,0.021196846
250652,0.23715657,0.0128525235,0.21756423,0.0128525235,0.09028956,0.3142069,0.0128525235,0.08937259,0.0128525235,0.0002656446,0.0002656446,0.0002656446,0.7720945,0.22684301,0.0002656446,0.0013069317,0.13694458,0.06820958,0.0013069317,0.76754946,0.0013069317,0.0013069317,0.0013069317,0.0013069317,0.019454604
