village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
236145,0.21405666,0.013868083,0.20872298,0.013868083,0.15757106,0.22809531,0.013868083,0.13608168,0.013868083,7.64832e-06,7.64832e-06,7.64832e-06,0.8134684,0.18650094,7.64832e-06,0.0011954163,0.13573515,0.06765307,0.0011954163,0.7710548,0.0011954163,0.0011954163,0.0011954163,0.0011954163,0.018384634
236147,0.3052544,0.010871988,0.12677088,0.010871988,0.04980938,0.3958364,0.010871988,0.07884103,0.010871988,3.1576597e-05,3.1576597e-05,3.1576597e-05,0.7957504,0.20412329,3.1576597e-05,0.0013407456,0.13679336,0.06900848,0.0013407456,0.76537997,0.0013407456,0.0013407456,0.0013407456,0.0013407456,0.020773614
236148,0.22085238,0.012908984,0.17209397,0.012908984,0.16924673,0.2252359,0.012908984,0.16093516,0.012908984,5.5396463e-06,5.5396463e-06,5.5396463e-06,0.8184503,0.18152754,5.5396463e-06,0.0012177497,0.13559456,0.06840481,0.0012177497,0.7690586,0.0012177497,0.0012177497,0.0012177497,0.0012177497,0.019635452
236151,0.22092526,0.012891366,0.16873749,0.012891366,0.1721339,0.22146116,0.012891366,0.16517669,0.012891366,1.4321608e-06,1.4321608e-06,1.4321608e-06,0.8174969,0.18249731,1.4321608e-06,0.0012280581,0.13566653,0.06847409,0.0012280581,0.7687158,0.0012280581,0.0012280581,0.0012280581,0.0012280581,0.019775283
236152,0.22320066,0.012930631,0.20794271,0.012930631,0.117276445,0.2873291,0.012930631,0.11252855,0.012930631,0.0023080916,0.0023080916,0.0023080916,0.81857055,0.17219709,0.0023080916,0.001431781,0.13745452,0.069661185,0.001431781,0.7622418,0.001431781,0.001431781,0.001431781,0.001431781,0.02205178
236153,0.2752888,0.011827226,0.14094171,0.011827226,0.05492575,0.38717097,0.011827226,0.094363846,0.011827226,0.0007346198,0.0007346198,0.0007346198,0.75026184,0.24679963,0.0007346198,0.0012846175,0.1372554,0.066869564,0.0012846175,0.77057356,0.0012846175,0.0012846175,0.0012846175,0.0012846175,0.017593576
236154,0.36185396,0.009615659,0.08115355,0.009615659,0.027428359,0.44310462,0.009615659,0.047996838,0.009615659,1.9081353e-06,1.9081353e-06,1.9081353e-06,0.82183886,0.1781536,1.9081353e-06,0.0025426275,0.14416663,0.07240218,0.0025426275,0.7390477,0.0025426275,0.0025426275,0.0025426275,0.0025426275,0.029127924
236155,0.2320851,0.012104642,0.17892177,0.012104642,0.114361696,0.30682147,0.012104642,0.119391344,0.012104642,0.00022930853,0.00022930853,0.00022930853,0.8226022,0.17648059,0.00022930853,0.0019984555,0.14114875,0.07221316,0.0019984555,0.7464476,0.0019984555,0.0019984555,0.0019984555,0.0019984555,0.028199714
236156,0.21967082,0.013264485,0.21526037,0.013264485,0.12556852,0.2714059,0.013264485,0.11503644,0.013264485,0.00055342057,0.00055342057,0.00055342057,0.81732726,0.18045905,0.00055342057,0.0014923576,0.13818073,0.06966503,0.0014923576,0.76104754,0.0014923576,0.0014923576,0.0014923576,0.0014923576,0.022152683
236158,0.3332631,0.010151273,0.091956906,0.010151273,0.03474612,0.43512,0.010151273,0.06430888,0.010151273,2.279608e-05,2.279608e-05,2.279608e-05,0.8191855,0.18072337,2.279608e-05,0.004029284,0.13515595,0.07471446,0.004029284,0.7219925,0.004029284,0.004029284,0.004029284,0.004029284,0.04396136
