village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
122905,0.27732295,0.010957882,0.16523568,0.010957882,0.100828856,0.32597703,0.010957882,0.08680398,0.010957882,0.0035773404,0.0035773404,0.0035773404,0.7751863,0.21050426,0.0035773404,0.0039802724,0.13571295,0.0696254,0.0039802724,0.73707384,0.0039802724,0.0039802724,0.0039802724,0.0039802724,0.033706274
122907,0.28421518,0.011182324,0.19221084,0.011182324,0.11854373,0.30094364,0.011182324,0.059357267,0.011182324,0.0036273669,0.0036273669,0.0036273669,0.7687544,0.21673615,0.0036273669,0.003627834,0.1357546,0.06398585,0.003627834,0.7523003,0.003627834,0.003627834,0.003627834,0.003627834,0.026192097
122912,0.2642099,0.011767846,0.20548053,0.011767846,0.115059495,0.29584017,0.011767846,0.07233847,0.011767846,0.0036029713,0.0036029713,0.0036029713,0.7729061,0.21268201,0.0036029713,0.0045230123,0.1205814,0.06223423,0.0045230123,0.7551003,0.0045230123,0.0045230123,0.0045230123,0.0045230123,0.03494608
122913,0.29785386,0.01079741,0.15390114,0.01079741,0.06691329,0.36353186,0.01079741,0.07461016,0.01079741,0.0010528258,0.0010528258,0.0010528258,0.72939295,0.26639584,0.0010528258,0.0018527104,0.14207135,0.06868849,0.0018527104,0.75630355,0.0018527104,0.0018527104,0.0018527104,0.0018527104,0.021820206
122914,0.26054734,0.011798289,0.20071413,0.011798289,0.21010813,0.24177174,0.011798289,0.039665557,0.011798289,0.0037923753,0.0037923753,0.0037923753,0.7401353,0.24469522,0.0037923753,0.003504312,0.13030328,0.057299394,0.003504312,0.77035195,0.003504312,0.003504312,0.003504312,0.003504312,0.021019427
122916,0.28153318,0.011259268,0.15428092,0.011259268,0.06897968,0.36415341,0.011259268,0.0860157,0.011259268,0.0005711267,0.0005711267,0.0005711267,0.8076434,0.19007207,0.0005711267,0.0020632811,0.14299177,0.07052569,0.0020632811,0.7492808,0.0020632811,0.0020632811,0.0020632811,0.0020632811,0.024821835
122918,0.2767456,0.011490936,0.20035681,0.011490936,0.13052137,0.28910688,0.011490936,0.057305694,0.011490936,0.003644464,0.003644464,0.003644464,0.7738052,0.21161687,0.003644464,0.004414208,0.12375416,0.061180536,0.004414208,0.75890917,0.004414208,0.004414208,0.004414208,0.004414208,0.029671038
122920,0.34314552,0.00992717,0.10423768,0.00992717,0.041690797,0.41319448,0.00992717,0.058022816,0.00992717,0.0032613806,0.0032613806,0.0032613806,0.8191849,0.16776969,0.0032613806,0.0037716439,0.1362741,0.066113204,0.0037716439,0.74639934,0.0037716439,0.0037716439,0.0037716439,0.0037716439,0.02858339
122921,0.37676764,0.009404802,0.10231125,0.009404802,0.041394915,0.40170324,0.009404802,0.0402038,0.009404802,0.003569234,0.003569234,0.003569234,0.7689808,0.21674229,0.003569234,0.0023596187,0.14071944,0.06484199,0.0023596187,0.7594109,0.0023596187,0.0023596187,0.0023596187,0.0023596187,0.020869903
122922,0.362583,0.009477945,0.11875404,0.009477945,0.058890704,0.37969086,0.009477945,0.0421697,0.009477945,0.0034533355,0.0034533355,0.0034533355,0.78390205,0.20228468,0.0034533355,0.003550293,0.13433564,0.06205546,0.003550293,0.75796705,0.003550293,0.003550293,0.003550293,0.003550293,0.024340106
