village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
232811,0.22269891,0.012704218,0.17030367,0.012704218,0.16518125,0.23306856,0.012704218,0.15793069,0.012704218,0.0036674547,0.0036674547,0.0036674547,0.7700585,0.21527167,0.0036674547,0.0012616443,0.135822,0.06887509,0.0012616443,0.7672564,0.0012616443,0.0012616443,0.0012616443,0.0012616443,0.020476608
232812,0.23336208,0.012212175,0.1713242,0.012212175,0.1050629,0.31965408,0.012212175,0.12174801,0.012212175,0.000106522246,0.000106522246,0.000106522246,0.7862531,0.21332093,0.000106522246,0.0041012117,0.13347779,0.07296418,0.0041012117,0.7269412,0.0041012117,0.0041012117,0.0041012117,0.0041012117,0.042009585
232813,0.21705738,0.013475021,0.19842795,0.013475021,0.1499674,0.24102703,0.013475021,0.13962014,0.013475021,0.0036089555,0.0036089555,0.0036089555,0.7797396,0.20582455,0.0036089555,0.0012469842,0.13574903,0.06868563,0.0012469842,0.7679328,0.0012469842,0.0012469842,0.0012469842,0.0012469842,0.020150509
232814,0.22426061,0.012616152,0.18993273,0.012616152,0.13701986,0.26961687,0.012616152,0.12870526,0.012616152,0.0037432269,0.0037432269,0.0037432269,0.7660286,0.21899855,0.0037432269,0.001261886,0.13586557,0.06882768,0.001261886,0.76734555,0.001261886,0.001261886,0.001261886,0.001261886,0.020389803
232815,0.21605043,0.013827823,0.23344687,0.013827823,0.11385639,0.27562958,0.013827823,0.1057055,0.013827823,0.0032556208,0.0032556208,0.0032556208,0.8207031,0.16627437,0.0032556208,0.001234859,0.13581099,0.06840894,0.001234859,0.76869774,0.001234859,0.001234859,0.001234859,0.001234859,0.019673053
232816,0.2069436,0.014913038,0.24292372,0.014913038,0.13364711,0.23900604,0.014913038,0.11782733,0.014913038,0.0034067952,0.0034067952,0.0034067952,0.8058396,0.1805332,0.0034067952,0.0012236577,0.13572386,0.06837774,0.0012236577,0.7689618,0.0012236577,0.0012236577,0.0012236577,0.0012236577,0.019594649
232817,0.23496655,0.011562422,0.1289222,0.011562422,0.14992979,0.26788437,0.011562422,0.17204751,0.011562422,7.562507e-07,7.562507e-07,7.562507e-07,0.81798524,0.18201171,7.562507e-07,0.0018654078,0.14022163,0.07167033,0.0018654078,0.75003856,0.0018654078,0.0018654078,0.0018654078,0.0018654078,0.02687715
232818,0.28220952,0.011103401,0.07806694,0.011103401,0.03650148,0.45035353,0.011103401,0.108454935,0.011103401,1.1192299e-06,1.1192299e-06,1.1192299e-06,0.8191766,0.18081899,1.1192299e-06,0.0029741835,0.14278865,0.07597541,0.0029741835,0.7242128,0.0029741835,0.0029741835,0.0029741835,0.0029741835,0.03917807
232819,0.40473944,0.00894593,0.079360284,0.00894593,0.026430404,0.42344558,0.00894593,0.030240515,0.00894593,6.974435e-05,6.974435e-05,6.974435e-05,0.78548235,0.2142386,6.974435e-05,0.0013932784,0.13763978,0.06686962,0.0013932784,0.7699527,0.0013932784,0.0013932784,0.0013932784,0.0013932784,0.017178161
232820,0.37404084,0.009544331,0.08408466,0.009544331,0.02695776,0.43427965,0.009544331,0.04245987,0.009544331,0.0015019595,0.0015019595,0.0015019595,0.8133479,0.18064427,0.0015019595,0.0015054512,0.13867353,0.067944266,0.0015054512,0.7653209,0.0015054512,0.0015054512,0.0015054512,0.0015054512,0.019028652
232821,0.2792275,0.0122600375,0.1875803,0.0122600375,0.057426933,0.3563537,0.0122600375,0.07037157,0.0122600375,0.00023615692,0.00023615692,0.00023615692,0.8156526,0.18340278,0.00023615692,0.0012300484,0.13637623,0.06758244,0.0012300484,0.7704266,0.0012300484,0.0012300484,0.0012300484,0.0012300484,0.01823453
232822,0.2040715,0.015353181,0.26895097,0.015353181,0.11151687,0.25432593,0.015353181,0.09972192,0.015353181,0.00041089207,0.00041089207,0.00041089207,0.8235699,0.17478651,0.00041089207,0.001159089,0.13569927,0.06718543,0.001159089,0.77261627,0.001159089,0.001159089,0.001159089,0.001159089,0.017544307
232824,0.22005299,0.013132347,0.1996603,0.013132347,0.14155683,0.25555542,0.013132347,0.13064502,0.013132347,0.0034710052,0.0034710052,0.0034710052,0.7926759,0.19344008,0.0034710052,0.0012451478,0.13582751,0.06858084,0.0012451478,0.7681723,0.0012451478,0.0012451478,0.0012451478,0.0012451478,0.01994847
232825,0.2842884,0.011618719,0.129415,0.011618719,0.048528697,0.39925015,0.011618719,0.092042886,0.011618719,0.00018306816,0.00018306816,0.00018306816,0.79050314,0.20876458,0.00018306816,0.0020844454,0.14259094,0.07187526,0.0020844454,0.7457098,0.0020844454,0.0020844454,0.0020844454,0.0020844454,0.027317403
232826,0.21982609,0.013174913,0.20291129,0.013174913,0.13829754,0.2585867,0.013174913,0.1276787,0.013174913,0.0034131976,0.0034131976,0.0034131976,0.79715544,0.18919174,0.0034131976,0.0012483364,0.13583077,0.06862074,0.0012483364,0.7680454,0.0012483364,0.0012483364,0.0012483364,0.0012483364,0.020013237
232827,0.20117941,0.015783153,0.2849979,0.015783153,0.102468416,0.25660357,0.015783153,0.09161809,0.015783153,2.0024378e-05,2.0024378e-05,2.0024378e-05,0.8195312,0.1803887,2.0024378e-05,0.0018536347,0.1407306,0.0714736,0.0018536347,0.75049484,0.0018536347,0.0018536347,0.0018536347,0.0018536347,0.026179047
232828,0.21450375,0.0139432065,0.22177586,0.0139432065,0.14300996,0.2422034,0.0139432065,0.12273425,0.0139432065,0.00348753,0.00348753,0.00348753,0.789338,0.19671191,0.00348753,0.0012188178,0.13572106,0.06818333,0.0012188178,0.7694906,0.0012188178,0.0012188178,0.0012188178,0.0012188178,0.019292023
232829,0.32170898,0.01021944,0.12443917,0.01021944,0.05447776,0.38950333,0.01021944,0.06899313,0.01021944,3.4959085e-05,3.4959085e-05,3.4959085e-05,0.80855083,0.19130933,3.4959085e-05,0.0015235671,0.13861379,0.069029994,0.0015235671,0.7623105,0.0015235671,0.0015235671,0.0015235671,0.0015235671,0.020904211
232830,0.3556235,0.009924099,0.088025846,0.009924099,0.028589483,0.43687668,0.009924099,0.051188093,0.009924099,0.0031342187,0.0031342187,0.0031342187,0.82778466,0.15967844,0.0031342187,0.0015222906,0.1389763,0.06749863,0.0015222906,0.766115,0.0015222906,0.0015222906,0.0015222906,0.0015222906,0.01827636
232831,0.21893062,0.013317189,0.20971438,0.013317189,0.13590549,0.25869772,0.013317189,0.12348291,0.013317189,0.0033899434,0.0033899434,0.0033899434,0.7991612,0.18727912,0.0033899434,0.001234046,0.13573109,0.06847562,0.001234046,0.7686625,0.001234046,0.001234046,0.001234046,0.001234046,0.01972669
232832,0.26223323,0.012253719,0.19267292,0.012253719,0.07246395,0.34347296,0.012253719,0.08014205,0.012253719,0.0007510826,0.0007510826,0.0007510826,0.68981385,0.30718184,0.0007510826,0.0010068921,0.13452308,0.063688725,0.0010068921,0.7820336,0.0010068921,0.0010068921,0.0010068921,0.0010068921,0.013713014
232833,0.20912819,0.014774027,0.24081476,0.014774027,0.14414369,0.23011023,0.014774027,0.11670695,0.014774027,0.00040787697,0.00040787697,0.00040787697,0.80502784,0.19334067,0.00040787697,0.0012324691,0.1361748,0.06772594,0.0012324691,0.77008617,0.0012324691,0.0012324691,0.0012324691,0.0012324691,0.018618383
232835,0.3870914,0.009218314,0.081125535,0.009218314,0.026781993,0.43145183,0.009218314,0.036676005,0.009218314,1.9972973e-05,1.9972973e-05,1.9972973e-05,0.8074619,0.19245833,1.9972973e-05,0.0018479985,0.14102736,0.07088468,0.0018479985,0.75232923,0.0018479985,0.0018479985,0.0018479985,0.0018479985,0.024670552
232836,0.22532643,0.012511845,0.18742436,0.012511845,0.13835648,0.26953143,0.012511845,0.12931393,0.012511845,0.0036849256,0.0036849256,0.0036849256,0.76543176,0.21982849,0.0036849256,0.0023682658,0.14358766,0.07255444,0.0023682658,0.74011874,0.0023682658,0.0023682658,0.0023682658,0.0023682658,0.02952968
232837,0.26171172,0.011779036,0.14907482,0.011779036,0.07338347,0.3638018,0.011779036,0.10491197,0.011779036,0.00051210757,0.00051210757,0.00051210757,0.78299725,0.21495444,0.00051210757,0.0017442227,0.14020805,0.07062499,0.0017442227,0.75436205,0.0017442227,0.0017442227,0.0017442227,0.0017442227,0.024339518
232838,0.36520094,0.009781232,0.08393615,0.009781232,0.025664052,0.4398697,0.009781232,0.046204306,0.009781232,0.0022554703,0.0022554703,0.0022554703,0.8216828,0.16929536,0.0022554703,0.0014064638,0.13826469,0.06717116,0.0014064638,0.76841563,0.0014064638,0.0014064638,0.0014064638,0.0014064638,0.017709706
232839,0.3094286,0.010460299,0.15239148,0.010460299,0.06805129,0.36002696,0.010460299,0.068260625,0.010460299,1.00237185e-05,1.00237185e-05,1.00237185e-05,0.8153475,0.1846125,1.00237185e-05,0.0015623246,0.13893557,0.06812821,0.0015623246,0.7642455,0.0015623246,0.0015623246,0.0015623246,0.0015623246,0.019316528
232840,0.2319412,0.011894124,0.13488717,0.011894124,0.15300004,0.2576371,0.011894124,0.17495793,0.011894124,1.5600186e-06,1.5600186e-06,1.5600186e-06,0.81896406,0.18102965,1.5600186e-06,0.004530338,0.110257424,0.060299523,0.004530338,0.74793047,0.004530338,0.004530338,0.004530338,0.004530338,0.054330602
