village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
243807,0.22778694,0.012160955,0.15739018,0.012160955,0.16052975,0.24617916,0.012160955,0.15947017,0.012160955,5.3262784e-07,5.3262784e-07,5.3262784e-07,0.81710553,0.18289244,5.3262784e-07,0.002043486,0.14117602,0.072355926,0.002043486,0.74549323,0.002043486,0.002043486,0.002043486,0.002043486,0.028714024
243808,0.2198565,0.013506478,0.22600755,0.013506478,0.10506326,0.29148218,0.013506478,0.1035646,0.013506478,0.00326054,0.00326054,0.00326054,0.8017892,0.1851686,0.00326054,0.0013272535,0.13659628,0.06906897,0.0013272535,0.76551586,0.0013272535,0.0013272535,0.0013272535,0.0013272535,0.02085543
243809,0.23019491,0.011935744,0.15360786,0.011935744,0.15259773,0.26030296,0.011935744,0.15555352,0.011935744,5.2985666e-07,5.2985666e-07,5.2985666e-07,0.8180008,0.18199712,5.2985666e-07,0.0012848788,0.13595457,0.06907195,0.0012848788,0.7664055,0.0012848788,0.0012848788,0.0012848788,0.0012848788,0.020858532
243810,0.22681044,0.012270344,0.1560743,0.012270344,0.16614617,0.23647897,0.012270344,0.1654088,0.012270344,6.9887926e-07,6.9887926e-07,6.9887926e-07,0.81902397,0.18097332,6.9887926e-07,0.0013800956,0.13681273,0.06964022,0.0013800956,0.76330364,0.0013800956,0.0013800956,0.0013800956,0.0013800956,0.021962728
243811,0.22778694,0.012160955,0.15739018,0.012160955,0.16052975,0.24617916,0.012160955,0.15947017,0.012160955,5.3262784e-07,5.3262784e-07,5.3262784e-07,0.81710553,0.18289244,5.3262784e-07,0.002043486,0.14117602,0.072355926,0.002043486,0.74549323,0.002043486,0.002043486,0.002043486,0.002043486,0.028714024
243812,0.22746877,0.012227788,0.15283737,0.012227788,0.1654945,0.23737666,0.012227788,0.16791153,0.012227788,5.014145e-07,5.014145e-07,5.014145e-07,0.8171045,0.18289362,5.014145e-07,0.0016263179,0.1385773,0.07078166,0.0016263179,0.7562381,0.0016263179,0.0016263179,0.0016263179,0.0016263179,0.024645098
243813,0.22456576,0.0125020575,0.15715303,0.0125020575,0.170783,0.22682804,0.0125020575,0.17066185,0.0125020575,4.7223662e-07,4.7223662e-07,4.7223662e-07,0.8168013,0.1831968,4.7223662e-07,0.0014837729,0.13759887,0.07016449,0.0014837729,0.7601958,0.0014837729,0.0014837729,0.0014837729,0.0014837729,0.023138259
243814,0.23428923,0.011604614,0.13432409,0.011604614,0.14336304,0.27835366,0.011604614,0.16325144,0.011604614,8.960009e-07,8.960009e-07,8.960009e-07,0.81605095,0.18394542,8.960009e-07,0.002039373,0.1411751,0.07242551,0.002039373,0.7453065,0.002039373,0.002039373,0.002039373,0.002039373,0.028856533
243816,0.2319215,0.011880107,0.13445657,0.011880107,0.16000487,0.24658066,0.011880107,0.17951585,0.011880107,2.2379743e-06,2.2379743e-06,2.2379743e-06,0.81247634,0.18751472,2.2379743e-06,0.0013500795,0.13666625,0.06916514,0.0013500795,0.76488316,0.0013500795,0.0013500795,0.0013500795,0.0013500795,0.021184832
243817,0.21427068,0.0145261455,0.25870347,0.0145261455,0.09058253,0.28952113,0.0145261455,0.08881751,0.0145261455,0.0026119705,0.0026119705,0.0026119705,0.8147547,0.17479725,0.0026119705,0.0017952082,0.14101735,0.0706541,0.0017952082,0.753371,0.0017952082,0.0017952082,0.0017952082,0.0017952082,0.024186442
243818,0.26458195,0.011036808,0.090499416,0.011036808,0.0662129,0.39840904,0.011036808,0.13614956,0.011036808,4.5616624e-05,4.5616624e-05,4.5616624e-05,0.81450593,0.18531157,4.5616624e-05,0.0044341255,0.114381544,0.063622765,0.0044341255,0.740583,0.0044341255,0.0044341255,0.0044341255,0.0044341255,0.05480807
243819,0.23031808,0.011926426,0.1530782,0.011926426,0.15293491,0.2598685,0.011926426,0.15609457,0.011926426,5.267053e-07,5.267053e-07,5.267053e-07,0.81746495,0.18253298,5.267053e-07,0.0014946525,0.13766183,0.07021368,0.0014946525,0.7598903,0.0014946525,0.0014946525,0.0014946525,0.0014946525,0.023266155
243821,0.23221329,0.011826007,0.13737504,0.011826007,0.15942587,0.24900645,0.011826007,0.17467529,0.011826007,7.3553974e-07,7.3553974e-07,7.3553974e-07,0.81661713,0.1833799,7.3553974e-07,0.0016607189,0.13885802,0.07088433,0.0016607189,0.7553919,0.0016607189,0.0016607189,0.0016607189,0.0016607189,0.024901511
243822,0.21990491,0.013019157,0.16939649,0.013019157,0.17639193,0.21460447,0.013019157,0.1676255,0.013019157,1.5178431e-05,1.5178431e-05,1.5178431e-05,0.80974376,0.19019546,1.5178431e-05,0.001236709,0.13572355,0.06854833,0.001236709,0.76840436,0.001236709,0.001236709,0.001236709,0.001236709,0.019903505
243823,0.22468,0.012506443,0.15531974,0.012506443,0.17173637,0.22496763,0.012506443,0.17327052,0.012506443,4.979602e-07,4.979602e-07,4.979602e-07,0.8175014,0.18249658,4.979602e-07,0.0015101111,0.13793454,0.070243746,0.0015101111,0.7594689,0.0015101111,0.0015101111,0.0015101111,0.0015101111,0.023292061
243825,0.29776144,0.0113636665,0.13334212,0.0113636665,0.046281524,0.39657933,0.0113636665,0.08058092,0.0113636665,1.3078161e-05,1.3078161e-05,1.3078161e-05,0.82159215,0.17835543,1.3078161e-05,0.0035216566,0.14179073,0.07674371,0.0035216566,0.71747994,0.0035216566,0.0035216566,0.0035216566,0.0035216566,0.04285587
243827,0.27728134,0.010999731,0.11207991,0.010999731,0.0660345,0.38866463,0.010999731,0.11194071,0.010999731,2.8146599e-06,2.8146599e-06,2.8146599e-06,0.81508654,0.18490222,2.8146599e-06,0.0022268456,0.14241873,0.07294674,0.0022268456,0.74141383,0.0022268456,0.0022268456,0.0022268456,0.0022268456,0.029859763
243828,0.23361354,0.011621349,0.1411345,0.011621349,0.14712746,0.27250126,0.011621349,0.15913787,0.011621349,1.2869592e-06,1.2869592e-06,1.2869592e-06,0.8150688,0.18492606,1.2869592e-06,0.0019981447,0.14093487,0.07221732,0.0019981447,0.74643576,0.0019981447,0.0019981447,0.0019981447,0.0019981447,0.028423017
243829,0.22761257,0.012220512,0.15158843,0.012220512,0.16596149,0.23653938,0.012220512,0.16941604,0.012220512,4.8993763e-07,4.8993763e-07,4.8993763e-07,0.81730103,0.182697,4.8993763e-07,0.0015373252,0.1380512,0.07045994,0.0015373252,0.7585495,0.0015373252,0.0015373252,0.0015373252,0.0015373252,0.0237153
243831,0.3197746,0.010478401,0.08497632,0.010478401,0.03130188,0.44890216,0.0104784,0.07313126,0.0104784,6.581718e-05,6.581718e-05,6.581718e-05,0.80213374,0.19760302,6.581718e-05,0.004607189,0.10837335,0.058311123,0.004607189,0.75403136,0.004607189,0.004607189,0.004607189,0.004607189,0.05164105
243833,0.23732671,0.011474611,0.13344765,0.011474611,0.11605608,0.32019085,0.011474611,0.14708032,0.011474611,1.3018905e-05,1.3018905e-05,1.3018905e-05,0.80288315,0.19706483,1.3018905e-05,0.0030594247,0.14357702,0.07466355,0.0030594247,0.72687155,0.0030594247,0.0030594247,0.0030594247,0.0030594247,0.036531292
243835,0.22480276,0.012476861,0.15762739,0.012476861,0.16882552,0.22987317,0.012476861,0.16896379,0.012476861,4.7104226e-07,4.7104226e-07,4.7104226e-07,0.81698245,0.18301563,4.7104226e-07,0.001756695,0.13949642,0.07134551,0.001756695,0.7526434,0.001756695,0.001756695,0.001756695,0.001756695,0.025974678
243836,0.2319412,0.011894124,0.13488717,0.011894124,0.15300004,0.2576371,0.011894124,0.17495793,0.011894124,1.5600186e-06,1.5600186e-06,1.5600186e-06,0.81896406,0.18102965,1.5600186e-06,0.004530338,0.110257424,0.060299523,0.004530338,0.74793047,0.004530338,0.004530338,0.004530338,0.004530338,0.054330602
243837,0.36961904,0.009560036,0.08306996,0.009560036,0.027367648,0.43710217,0.009560036,0.044601034,0.009560036,2.3422184e-05,2.3422184e-05,2.3422184e-05,0.81776106,0.18214516,2.3422184e-05,0.0027119983,0.14435637,0.071943894,0.0027119983,0.7387072,0.0027119983,0.0027119983,0.0027119983,0.0027119983,0.028720515
243838,0.22360806,0.012589081,0.15983668,0.012589081,0.17081998,0.22604325,0.012589081,0.16933571,0.012589081,4.8646206e-07,4.8646206e-07,4.8646206e-07,0.8168592,0.18313885,4.8646206e-07,0.0014226317,0.13714634,0.06988732,0.0014226317,0.7619616,0.0014226317,0.0014226317,0.0014226317,0.0014226317,0.022468973
