village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
218768,0.21588972,0.013497619,0.17912965,0.013497619,0.16963981,0.21702203,0.013497619,0.16432834,0.013497619,0.00017914503,0.00017914503,0.00017914503,0.8156741,0.1836093,0.00017914503,0.0040961206,0.12844624,0.073938504,0.0040961206,0.7193857,0.0040961206,0.0040961206,0.0040961206,0.0040961206,0.053652972
218769,0.21610194,0.013574689,0.19785193,0.013574689,0.15434767,0.23474926,0.013574689,0.14265044,0.013574689,0.003450929,0.003450929,0.003450929,0.7898736,0.19632252,0.003450929,0.0013824886,0.1369525,0.06943126,0.0013824886,0.7637024,0.0013824886,0.0013824886,0.0013824886,0.0013824886,0.02161903
218770,0.21510032,0.013767306,0.20980145,0.013767306,0.14483191,0.24261807,0.013767306,0.1325791,0.013767306,0.0034130136,0.0034130136,0.0034130136,0.79315907,0.19318888,0.0034130136,0.0016801574,0.13911763,0.07103299,0.0016801574,0.75471294,0.0016801574,0.0016801574,0.0016801574,0.0016801574,0.025055446
218771,0.21740066,0.013413382,0.19295649,0.013413382,0.15466045,0.23646343,0.013413382,0.14486547,0.013413382,0.0033370429,0.0033370429,0.0033370429,0.80014026,0.1865116,0.0033370429,0.0013754186,0.13680921,0.06959393,0.0013754186,0.76349145,0.0013754186,0.0013754186,0.0013754186,0.0013754186,0.021852879
218772,0.22139236,0.012927589,0.17910385,0.012927589,0.15535197,0.24220191,0.012927589,0.1502395,0.012927589,0.00015222748,0.00015222748,0.00015222748,0.81964254,0.1797485,0.00015222748,0.0041159187,0.12767953,0.073625,0.0041159187,0.71980566,0.0041159187,0.0041159187,0.0041159187,0.0041159187,0.054194335
218773,0.22271304,0.012810023,0.17959176,0.012810023,0.14855148,0.25264964,0.012810023,0.14525393,0.012810023,5.4671764e-05,5.4671764e-05,5.4671764e-05,0.8205937,0.17918757,5.4671764e-05,0.004297353,0.12046911,0.068398036,0.004297353,0.7309563,0.004297353,0.004297353,0.004297353,0.004297353,0.054392543
218774,0.31889716,0.010268505,0.07057201,0.010268505,0.026025632,0.4712318,0.010268505,0.072199434,0.010268505,1.2847264e-06,1.2847264e-06,1.2847264e-06,0.8214483,0.17854661,1.2847264e-06,0.0043047518,0.120364256,0.06834724,0.0043047518,0.7309841,0.0043047518,0.0043047518,0.0043047518,0.0043047518,0.054476097
218775,0.21444197,0.013742936,0.19127822,0.013742936,0.16463876,0.22052062,0.013742936,0.15414867,0.013742936,0.00020377891,0.00020377891,0.00020377891,0.8185749,0.18061003,0.00020377891,0.004226364,0.123411946,0.070640974,0.004226364,0.726457,0.004226364,0.004226364,0.004226364,0.004226364,0.05413197
218776,0.2159759,0.0136009,0.19819833,0.0136009,0.15884182,0.22955969,0.0136009,0.14302057,0.0136009,0.00032332548,0.00032332548,0.00032332548,0.820567,0.17813976,0.00032332548,0.0019433094,0.14083874,0.07196612,0.0019433094,0.7479647,0.0019433094,0.0019433094,0.0019433094,0.0019433094,0.027570475
218777,0.25426194,0.012171428,0.18282102,0.012171428,0.079515114,0.3418352,0.012171428,0.092880994,0.012171428,0.0034182142,0.0034182142,0.0034182142,0.7692197,0.21710747,0.0034182142,0.001251543,0.13597529,0.06833487,0.001251543,0.768554,0.001251543,0.001251543,0.001251543,0.001251543,0.019626759
218778,0.2264757,0.0123427985,0.1846067,0.0123427985,0.13635027,0.27511957,0.0123427985,0.12807652,0.0123427985,0.0005216028,0.0005216028,0.0005216028,0.8146568,0.18325679,0.0005216028,0.0012649172,0.13606076,0.06865529,0.0012649172,0.7675986,0.0012649172,0.0012649172,0.0012649172,0.0012649172,0.020096019
218779,0.24507105,0.011636129,0.085393704,0.011636129,0.0650821,0.3920604,0.011636129,0.16584814,0.011636129,7.847249e-06,7.847249e-06,7.847249e-06,0.81876904,0.18119965,7.847249e-06,0.004617929,0.101517074,0.055344097,0.004617929,0.7504297,0.004617929,0.004617929,0.004617929,0.004617929,0.06500156
218780,0.2230462,0.012726054,0.16284278,0.012726054,0.16204329,0.23543394,0.012726054,0.16572952,0.012726054,0.00018162464,0.00018162464,0.00018162464,0.8104272,0.18884625,0.00018162464,0.0046764715,0.09770885,0.052582256,0.0046764715,0.75481015,0.0046764715,0.0046764715,0.0046764715,0.0046764715,0.066839926
