district_code,subdistrict_code,village_code,village_name,num_households,centre_lat,centre_long,ne_lat,ne_long,sw_lat,sw_long
205,01058,218768,Adauri,1470,,,,,,
205,01058,218769,Barahi Jagdish,1113,,,,,,
205,01058,218770,Barahi Mohan,1536,,,,,,
205,01058,218771,Chhapra Jurawan,347,,,,,,
205,01058,218772,Chiraiya,950,,,,,,
205,01058,218773,Bakhar Chandiha,2054,,,,,,
205,01058,218774,Asogi Chhapra Dhani,862,,,,,,
205,01058,218775,Chak Sonaul,161,,,,,,
205,01058,218776,Bedaul Baz,433,,,,,,
205,01058,218777,Madan Chhapra,242,,,,,,
205,01058,218778,Bedaul Adam,514,,,,,,
205,01058,218779,Basant Jagjiwan,1288,,,,,,
205,01058,218780,Basant Patti,931,,,,,,
205,01058,218781,Purnahia Chandandih,689,,,,,,
205,01058,218782,Sonaul Sultan,466,,,,,,
205,01058,218783,Hathsar,736,,,,,,
205,01058,218784,Kolhua Thikaha,1068,,,,,,
205,01058,218785,Pursauni Gope,590,,,,,,
205,01058,218786,Kashipur,434,,,,,,
205,01058,218787,Bairia,1073,,,,,,
205,01058,218788,Bakatpur Chaki,157,,,,,,
205,01058,218789,Pakri,524,,,,,,
205,01058,218790,Asopur,538,,,,,,
205,01058,218791,Kataiya,582,,,,,,
205,01058,218792,Khaira Pahari,1908,,,,,,
205,01058,218793,Dosti  Mahamadpur,934,,,,,,
205,01059,218795,Mohanpur,664,,,,,,
205,01059,218796,Shankarpur Bindi,604,,,,,,
205,01059,218797,Chatauna urf Gopinathpur,732,,,,,,
205,01059,218798,Narayanpur,751,,,,,,
205,01059,218800,Masaura,1568,,,,,,
205,01059,218801,Piprarhi,554,,,,,,
205,01059,218802,Sengahi Indarwa,917,,,,,,
205,01059,218803,Indarwa Khurd,397,,,,,,
205,01059,218804,Belwa Narkatia Nizamat,1128,,,,,,
205,01059,218805,Belwa Narkatia Bandobasti,390,,,,,,
205,01059,218806,Amwa Kalan,6046,,,,,,
205,01059,218807,Basahia Shekh,2826,,,,,,
205,01059,218808,Bakatpur Banbira,424,,,,,,
205,01059,218809,Kuanwan,1152,,,,,,
205,01059,218811,Minapur Balha,2373,,,,,,
205,01059,218812,Dhankaul,2111,,,,,,
205,01059,218813,Harpur,753,,,,,,
205,01059,218814,Dharampur Dekuli,1492,,,,,,
205,01059,218815,Parsauni,1343,,,,,,
205,01059,218817,Kamrauli Jangali,1306,,,,,,
205,01059,218818,Harkarwa,422,,,,,,
205,01060,218819,Kursahar,2826,,,,,,
205,01060,218821,Mohari,970,,,,,,
205,01060,218822,Garahia,1123,,,,,,
205,01060,218823,Bisahi,744,,,,,,
205,01060,218824,Mali Pokhar Bhinda,1415,,,,,,
205,01060,218826,Parsauni Taiyab,352,,,,,,
205,01060,218827,Garhwa,449,,,,,,
205,01060,218828,Dharampur Rajwan Bandobasti,224,,,,,,
205,01060,218829,Dharampur Rajwan Mal,221,,,,,,
205,01060,218830,Kothia Dharampur Dharamaghat,457,,,,,,
205,01060,218831,Sisaula,805,,,,,,
205,01060,218832,Chamanpur,2302,,,,,,
205,01060,218833,Chak Bishunpur,378,,,,,,
205,01060,218834,Mahuaria,452,,,,,,
205,01060,218835,Sundarpur Kharauna,476,,,,,,
205,01060,218836,Chiknauta,551,,,,,,
205,01060,218837,Harnahi,1020,,,,,,
205,01060,218838,Azrakbe Pota,113,,,,,,
205,01060,218839,Pota,357,,,,,,
205,01060,218840,Basahia Ram,311,,,,,,
205,01060,218841,Fatehpur,894,,,,,,
205,01060,218842,Khairwa Darap,558,,,,,,
205,01060,218843,Bishunpur Kishundeo,582,,,,,,
205,01060,218844,Bhagwanpur Bheli,177,,,,,,
205,01060,218845,Madhopur Anant,743,,,,,,
205,01060,218846,Sugia Katesri Jagir,591,,,,,,
205,01060,218847,Sugia Karesri,2282,,,,,,
205,01060,218848,Pardesia urf Madhubani,618,,,,,,
