village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
218971,0.22909474,0.012474108,0.1924166,0.012474108,0.110556856,0.30419943,0.012474108,0.113836,0.012474108,0.0034486125,0.0034486125,0.0034486125,0.7916343,0.19457123,0.0034486125,0.0012318385,0.13579836,0.06826997,0.0012318385,0.7691491,0.0012318385,0.0012318385,0.0012318385,0.0012318385,0.019391483
218972,0.22917032,0.012373523,0.1910829,0.012373523,0.11606593,0.29870245,0.012373523,0.115484245,0.012373523,0.0031350339,0.0031350339,0.0031350339,0.80383676,0.18362318,0.0031350339,0.0012461428,0.1358476,0.06845699,0.0012461428,0.7684739,0.0012461428,0.0012461428,0.0012461428,0.0012461428,0.01974465
218973,0.2156804,0.013858511,0.23354125,0.013858511,0.11356512,0.27565688,0.013858511,0.10612219,0.013858511,0.0033755691,0.0033755691,0.0033755691,0.8056126,0.18088517,0.0033755691,0.0012423054,0.13587804,0.06837576,0.0012423054,0.7686619,0.0012423054,0.0012423054,0.0012423054,0.0012423054,0.01963034
218974,0.22351307,0.013043561,0.2141394,0.013043561,0.11144997,0.2913732,0.013043561,0.10735021,0.013043561,0.0034089638,0.0034089638,0.0034089638,0.80279183,0.18357232,0.0034089638,0.0012388027,0.13582309,0.06845502,0.0012388027,0.76854485,0.0012388027,0.0012388027,0.0012388027,0.0012388027,0.019744424
218975,0.23076761,0.011858177,0.16599512,0.011858177,0.1333725,0.28816113,0.011858177,0.13427089,0.011858177,0.0024395601,0.0024395601,0.0024395601,0.7960917,0.1941501,0.0024395601,0.0017430637,0.13948654,0.070931494,0.0017430637,0.7540467,0.0017430637,0.0017430637,0.0017430637,0.0017430637,0.025076952
218976,0.2149583,0.0137583455,0.20598233,0.0137583455,0.1498008,0.23735553,0.0137583455,0.13686961,0.0137583455,0.0032546865,0.0032546865,0.0032546865,0.8113699,0.1756113,0.0032546865,0.0012623714,0.13589317,0.06877274,0.0012623714,0.76742744,0.0012623714,0.0012623714,0.0012623714,0.0012623714,0.02033232
218977,0.2238806,0.012629995,0.18361484,0.012629995,0.14880545,0.25492364,0.012629995,0.13825548,0.012629995,0.0036890192,0.0036890192,0.0036890192,0.76112336,0.22412054,0.0036890192,0.0012634421,0.13586494,0.06881485,0.0012634421,0.76734644,0.0012634421,0.0012634421,0.0012634421,0.0012634421,0.020393163
218978,0.26782194,0.011394467,0.088502124,0.011394467,0.048519555,0.4220911,0.011394467,0.1274874,0.011394467,7.017087e-06,7.017087e-06,7.017087e-06,0.8203216,0.17965029,7.017087e-06,0.0047483053,0.10204295,0.053787623,0.0047483053,0.76290935,0.0047483053,0.0047483053,0.0047483053,0.0047483053,0.052770324
218979,0.2413776,0.013588028,0.23552142,0.013588028,0.07313316,0.3194646,0.013588028,0.07615114,0.013588028,0.0035165455,0.0035165455,0.0035165455,0.7066738,0.27926004,0.0035165455,0.0011686479,0.13640401,0.06574049,0.0011686479,0.7748861,0.0011686479,0.0011686479,0.0011686479,0.0011686479,0.01595773
218980,0.2813672,0.011358274,0.11381365,0.011358274,0.051022433,0.406025,0.011358274,0.10233859,0.011358274,3.4689874e-05,3.4689874e-05,3.4689874e-05,0.7846779,0.21518329,3.4689874e-05,0.0013229639,0.13675217,0.06867277,0.0013229639,0.7663548,0.0013229639,0.0013229639,0.0013229639,0.0013229639,0.020282546
218984,0.28577584,0.011118124,0.11338067,0.011118124,0.053347867,0.40344712,0.011118124,0.099575914,0.011118124,0.0009861729,0.0009861729,0.0009861729,0.7836384,0.21241686,0.0009861729,0.0012974864,0.13624294,0.06892625,0.0012974864,0.76645976,0.0012974864,0.0012974864,0.0012974864,0.0012974864,0.020586308
218985,0.28130698,0.012336853,0.16977668,0.012336853,0.049183242,0.3749669,0.012336853,0.07541868,0.012336853,4.954482e-05,4.954482e-05,4.954482e-05,0.81741714,0.18238467,4.954482e-05,0.0021916754,0.14311936,0.07188611,0.0021916754,0.74405617,0.0021916754,0.0021916754,0.0021916754,0.0021916754,0.027788501
218986,0.21810263,0.013347679,0.193239,0.013347679,0.14990185,0.24274705,0.013347679,0.1426187,0.013347679,0.00016555896,0.00016555896,0.00016555896,0.8105319,0.18880591,0.00016555896,0.004366932,0.11830449,0.066181034,0.004366932,0.7368773,0.004366932,0.004366932,0.004366932,0.004366932,0.052435514
218987,0.34427628,0.0101124095,0.08300119,0.0101124095,0.026550934,0.44905078,0.0101124095,0.05667111,0.0101124095,0.0020598958,0.0020598958,0.0020598958,0.8136495,0.17811093,0.0020598958,0.0020211318,0.14191589,0.07174472,0.0020211318,0.74745953,0.0020211318,0.0020211318,0.0020211318,0.0020211318,0.026753094
218988,0.21503264,0.013734989,0.20287637,0.013734989,0.15064973,0.23673579,0.013734989,0.13976546,0.013734989,0.0005229884,0.0005229884,0.0005229884,0.8125143,0.18539384,0.0005229884,0.003716439,0.14087917,0.077312306,0.003716439,0.7153899,0.003716439,0.003716439,0.003716439,0.003716439,0.044119827
218989,0.2853728,0.0112896245,0.120923705,0.0112896245,0.05209373,0.40035665,0.0112896245,0.09609457,0.0112896245,1.0819188e-05,1.0819188e-05,1.0819188e-05,0.82160103,0.17835581,1.0819188e-05,0.0023971223,0.14304456,0.073395304,0.0023971223,0.7379391,0.0023971223,0.0023971223,0.0023971223,0.0023971223,0.03123813
218990,0.24881501,0.011595054,0.111145236,0.011595054,0.079202265,0.3698516,0.011595054,0.14460568,0.011595054,3.946008e-05,3.946008e-05,3.946008e-05,0.8199543,0.17988779,3.946008e-05,0.004716769,0.09682802,0.051662076,0.004716769,0.7580646,0.004716769,0.004716769,0.004716769,0.004716769,0.06514461
218991,0.21663749,0.01350777,0.19343694,0.01350777,0.15599483,0.23365687,0.01350777,0.14624272,0.01350777,9.49882e-05,9.49882e-05,9.49882e-05,0.8105509,0.18906909,9.49882e-05,0.001883537,0.1405006,0.071980916,0.001883537,0.74891436,0.001883537,0.001883537,0.001883537,0.001883537,0.027302712
218992,0.22207117,0.012760178,0.16668925,0.012760178,0.1675053,0.22878405,0.012760178,0.1639096,0.012760178,0.00048598964,0.00048598964,0.00048598964,0.8075609,0.19049506,0.00048598964,0.0041391216,0.12758698,0.07299432,0.0041391216,0.7226158,0.0041391216,0.0041391216,0.0041391216,0.0041391216,0.051968046
218994,0.22746855,0.012268664,0.16668175,0.012268664,0.14153971,0.270649,0.012268664,0.14458643,0.012268664,5.296549e-05,5.296549e-05,5.296549e-05,0.8169853,0.18280277,5.296549e-05,0.0029167517,0.14288856,0.075692244,0.0029167517,0.72551477,0.0029167517,0.0029167517,0.0029167517,0.0029167517,0.03840399
218996,0.23256136,0.011726182,0.14562304,0.011726182,0.14989105,0.26679525,0.011726182,0.15822452,0.011726182,3.9373153e-06,3.9373153e-06,3.9373153e-06,0.8254291,0.1745552,3.9373153e-06,0.0015785533,0.13833734,0.07065655,0.0015785533,0.7574058,0.0015785533,0.0015785533,0.0015785533,0.0015785533,0.024129074
218997,0.2383566,0.011795389,0.16361462,0.011795389,0.10698885,0.32234263,0.011795389,0.12151579,0.011795389,1.5200228e-05,1.5200228e-05,1.5200228e-05,0.8008648,0.1990744,1.5200228e-05,0.0020796813,0.14152822,0.072696954,0.0020796813,0.7440768,0.0020796813,0.0020796813,0.0020796813,0.0020796813,0.029219916
218998,0.2173218,0.013896987,0.24052957,0.013896987,0.11440478,0.2723568,0.013896987,0.09979916,0.013896987,0.0027158274,0.0027158274,0.0027158274,0.81140554,0.17773122,0.0027158274,0.0011767638,0.1355628,0.06747881,0.0011767638,0.77179396,0.0011767638,0.0011767638,0.0011767638,0.0011767638,0.01810388
218999,0.23909852,0.011389522,0.1408928,0.011389522,0.11378278,0.3233051,0.011389522,0.1373627,0.011389522,0.00028421043,0.00028421043,0.00028421043,0.8191923,0.17967092,0.00028421043,0.0012735585,0.13610695,0.06866422,0.0012735585,0.7675525,0.0012735585,0.0012735585,0.0012735585,0.0012735585,0.020034846
219000,0.2379482,0.0119762905,0.17083316,0.0119762905,0.10266094,0.3241244,0.0119762905,0.116528206,0.0119762905,0.003306381,0.003306381,0.003306381,0.8050172,0.18175726,0.003306381,0.0012493371,0.13589138,0.06843577,0.0012493371,0.7684724,0.0012493371,0.0012493371,0.0012493371,0.0012493371,0.019704374
