village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
231281,0.26458195,0.011036808,0.090499416,0.011036808,0.0662129,0.39840904,0.011036808,0.13614956,0.011036808,4.5616624e-05,4.5616624e-05,4.5616624e-05,0.81450593,0.18531157,4.5616624e-05,0.0044341255,0.114381544,0.063622765,0.0044341255,0.740583,0.0044341255,0.0044341255,0.0044341255,0.0044341255,0.05480807
231283,0.23848107,0.011528247,0.1518684,0.011528247,0.112877265,0.32079625,0.011528247,0.12986402,0.011528247,1.01035885e-05,1.01035885e-05,1.01035885e-05,0.7911638,0.20879576,1.01035885e-05,0.0012160464,0.13582328,0.0677963,0.0012160464,0.7703015,0.0012160464,0.0012160464,0.0012160464,0.0012160464,0.018782549
231284,0.27870083,0.011688204,0.13541728,0.011688204,0.053064957,0.39192915,0.011688204,0.09413485,0.011688204,0.00030988554,0.00030988554,0.00030988554,0.79338837,0.20537215,0.00030988554,0.0012549252,0.13651612,0.06784518,0.0012549252,0.7693631,0.0012549252,0.0012549252,0.0012549252,0.0012549252,0.018746048
231285,0.30670726,0.0112302825,0.13261646,0.0112302825,0.043719154,0.39799047,0.0112302825,0.074045435,0.0112302825,0.0010312782,0.0010312782,0.0010312782,0.7814544,0.21442051,0.0010312782,0.0012537028,0.13657221,0.06762754,0.0012537028,0.76992947,0.0012537028,0.0012537028,0.0012537028,0.0012537028,0.018348744
231286,0.3374781,0.010335063,0.08811239,0.010335063,0.028102947,0.44447482,0.010335063,0.060491562,0.010335063,0.00023154622,0.00023154622,0.00023154622,0.772621,0.22645281,0.00023154622,0.0013125595,0.13700572,0.06770491,0.0013125595,0.7686611,0.0013125595,0.0013125595,0.0013125595,0.0013125595,0.018753067
231287,0.24719802,0.012757985,0.20661215,0.012757985,0.077515125,0.33196533,0.012757985,0.08567749,0.012757985,0.0005927598,0.0005927598,0.0005927598,0.7597593,0.2378697,0.0005927598,0.0013168948,0.13731685,0.06792141,0.0013168948,0.7679003,0.0013168948,0.0013168948,0.0013168948,0.0013168948,0.018960014
231289,0.38416517,0.009381349,0.094523095,0.009381349,0.033807855,0.41196975,0.009381349,0.03800879,0.009381349,0.00153584,0.00153584,0.00153584,0.80164766,0.19220902,0.00153584,0.0015700089,0.13983032,0.06693979,0.0015700089,0.7655854,0.0015700089,0.0015700089,0.0015700089,0.0015700089,0.018224303
231290,0.23850825,0.011451453,0.13457274,0.011451453,0.11231079,0.3255019,0.011451453,0.14330062,0.011451453,6.3928255e-06,6.3928255e-06,6.3928255e-06,0.812756,0.18721843,6.3928255e-06,0.0016068555,0.1388945,0.07023504,0.0016068555,0.7578473,0.0016068555,0.0016068555,0.0016068555,0.0016068555,0.023382168
231291,0.37056184,0.009430916,0.078623086,0.009430916,0.026073406,0.4432593,0.009430916,0.043758772,0.009430916,0.00028664357,0.00028664357,0.00028664357,0.8207008,0.1781525,0.00028664357,0.0031276073,0.14276686,0.07037929,0.0031276073,0.7386259,0.0031276073,0.0031276073,0.0031276073,0.0031276073,0.029462444
231292,0.3986742,0.009040687,0.08205771,0.009040687,0.02804594,0.42266706,0.009040687,0.032392375,0.009040687,5.291052e-05,5.291052e-05,5.291052e-05,0.80405474,0.19573368,5.291052e-05,0.0017836752,0.14097807,0.06889248,0.0017836752,0.7585805,0.0017836752,0.0017836752,0.0017836752,0.0017836752,0.020846987
231293,0.27081582,0.011499185,0.123871006,0.011499185,0.061331585,0.38850737,0.011499185,0.109477535,0.011499185,2.3190943e-05,2.3190943e-05,2.3190943e-05,0.79706,0.20284721,2.3190943e-05,0.0013510211,0.13710919,0.06874142,0.0013510211,0.76570314,0.0013510211,0.0013510211,0.0013510211,0.0013510211,0.020340128
231294,0.2656527,0.011646328,0.15103433,0.011646328,0.074028336,0.36219573,0.011646328,0.10050355,0.011646328,1.3389988e-05,1.3389988e-05,1.3389988e-05,0.80357647,0.19636996,1.3389988e-05,0.0012853872,0.13640423,0.06837873,0.0012853872,0.7677741,0.0012853872,0.0012853872,0.0012853872,0.0012853872,0.019730583
231295,0.2601163,0.012033558,0.15471795,0.012033558,0.06907747,0.36634585,0.012033558,0.10160811,0.012033558,4.3914046e-05,4.3914046e-05,4.3914046e-05,0.7925038,0.20732059,4.3914046e-05,0.0012250844,0.13600105,0.06780059,0.0012250844,0.77015644,0.0012250844,0.0012250844,0.0012250844,0.0012250844,0.018691305
