village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
220920,0.2680066,0.011096531,0.12697166,0.011096531,0.08047594,0.36527085,0.011096531,0.11488886,0.011096531,0.0008216966,0.0008216966,0.0008216966,0.7788379,0.2178753,0.0008216966,0.0027987123,0.1426605,0.07511243,0.0027987123,0.72848815,0.0027987123,0.0027987123,0.0027987123,0.0027987123,0.03694682
220921,0.21967272,0.012814092,0.14098892,0.012814092,0.1914006,0.18981732,0.012814092,0.20686406,0.012814092,0.0023547958,0.0023547958,0.0023547958,0.8041184,0.1864625,0.0023547958,0.0052729393,0.06714632,0.031192038,0.0052729393,0.79445696,0.0052729393,0.0052729393,0.0052729393,0.0052729393,0.07556689
220922,0.24922734,0.012356262,0.1869651,0.012356262,0.07983773,0.3407786,0.012356262,0.09376616,0.012356262,0.00029391504,0.00029391504,0.00029391504,0.7447087,0.2541156,0.00029391504,0.0015284873,0.13921158,0.06817355,0.0015284873,0.76330084,0.0015284873,0.0015284873,0.0015284873,0.0015284873,0.020143071
220923,0.26273176,0.012375074,0.18006787,0.012375074,0.06412035,0.35857463,0.012375074,0.08500507,0.012375074,4.035723e-05,4.035723e-05,4.035723e-05,0.8011274,0.19871111,4.035723e-05,0.0013145353,0.13684839,0.068618864,0.0013145353,0.7665961,0.0013145353,0.0013145353,0.0013145353,0.0013145353,0.020049198
220925,0.34028137,0.010007851,0.10396807,0.010007851,0.040926512,0.4154113,0.010007851,0.05938129,0.010007851,0.0025461058,0.0025461058,0.0025461058,0.6724371,0.3173785,0.0025461058,0.0031137706,0.13605006,0.06284935,0.0031137706,0.75854903,0.0031137706,0.0031137706,0.0031137706,0.0031137706,0.023869015
220926,0.23417589,0.013419398,0.23340188,0.013419398,0.083614804,0.3115042,0.013419398,0.08362563,0.013419398,0.00115337,0.00115337,0.00115337,0.8233204,0.17206615,0.00115337,0.0014517342,0.13812818,0.06895124,0.0014517342,0.7634891,0.0014517342,0.0014517342,0.0014517342,0.0014517342,0.020721227
220927,0.22561282,0.0127643645,0.21028794,0.0127643645,0.12252288,0.28147763,0.0127643645,0.10904134,0.0127643645,0.0012728983,0.0012728983,0.0012728983,0.81627446,0.17863393,0.0012728983,0.0012388468,0.13596758,0.06807154,0.0012388468,0.7695602,0.0012388468,0.0012388468,0.0012388468,0.0012388468,0.018967662
220928,0.219081,0.013106086,0.173022,0.013106086,0.1721594,0.21901478,0.013106086,0.16429844,0.013106086,1.6912234e-06,1.6912234e-06,1.6912234e-06,0.8159744,0.1840189,1.6912234e-06,0.0011970453,0.13546796,0.06826526,0.0011970453,0.7697231,0.0011970453,0.0011970453,0.0011970453,0.0011970453,0.019361202
220929,0.22240487,0.01272459,0.15864953,0.01272459,0.17599466,0.21696502,0.01272459,0.17508753,0.01272459,0.0037955493,0.0037955493,0.0037955493,0.7406417,0.2441761,0.0037955493,0.0012540173,0.13573872,0.068845086,0.0012540173,0.7674751,0.0012540173,0.0012540173,0.0012540173,0.0012540173,0.020416843
220930,0.21738939,0.01332256,0.17827535,0.01332256,0.17224306,0.21672232,0.01332256,0.16207957,0.01332256,0.0035492498,0.0035492498,0.0035492498,0.76734316,0.21845983,0.0035492498,0.0012400714,0.1357565,0.068607874,0.0012400714,0.7682091,0.0012400714,0.0012400714,0.0012400714,0.0012400714,0.019986214
