village_code,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,1_0,1_1,1_2,1_3,1_4,1_5,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9
234576,0.22924891,0.012307299,0.18611464,0.012307299,0.117835335,0.2984393,0.012307299,0.11913265,0.012307299,0.0009247037,0.0009247037,0.0009247037,0.7755486,0.22075263,0.0009247037,0.0018392497,0.1403776,0.071511626,0.0018392497,0.7507844,0.0018392497,0.0018392497,0.0018392497,0.0018392497,0.02629091
234577,0.22131205,0.012849848,0.16814028,0.012849848,0.17182842,0.22239621,0.012849848,0.16492361,0.012849848,0.002776371,0.002776371,0.002776371,0.7622097,0.22668481,0.002776371,0.0013439949,0.13663886,0.06921104,0.0013439949,0.7648598,0.0013439949,0.0013439949,0.0013439949,0.0013439949,0.02122644
234578,0.21832207,0.014431776,0.25915202,0.014431776,0.08757053,0.29248244,0.014431776,0.08474581,0.014431776,0.00020446157,0.00020446157,0.00020446157,0.8133347,0.18584749,0.00020446157,0.0012521932,0.13641778,0.06792898,0.0012521932,0.7692195,0.0012521932,0.0012521932,0.0012521932,0.0012521932,0.018920423
234579,0.22126913,0.012876761,0.17492127,0.012876761,0.16624372,0.22966143,0.012876761,0.15639736,0.012876761,0.0036959543,0.0036959543,0.0036959543,0.72493553,0.2602807,0.0036959543,0.0012538168,0.13579999,0.06879876,0.0012538168,0.76755214,0.0012538168,0.0012538168,0.0012538168,0.0012538168,0.020326253
234580,0.21893257,0.013200091,0.18548799,0.013200091,0.16182986,0.23104848,0.013200091,0.14990065,0.013200091,0.0036944675,0.0036944675,0.0036944675,0.7249608,0.26026136,0.0036944675,0.0012542882,0.13585961,0.068691,0.0012542882,0.7677566,0.0012542882,0.0012542882,0.0012542882,0.0012542882,0.020166919
234581,0.22926952,0.012028192,0.1543889,0.012028192,0.15839016,0.25080523,0.012028192,0.1590334,0.012028192,7.695543e-07,7.695543e-07,7.695543e-07,0.82080907,0.17918777,7.695543e-07,0.0012591383,0.1357921,0.06886165,0.0012591383,0.7673348,0.0012591383,0.0012591383,0.0012591383,0.0012591383,0.020456659
234582,0.22015639,0.013000541,0.17485668,0.013000541,0.16941312,0.22414939,0.013000541,0.1594222,0.013000541,0.0037182972,0.0037182972,0.0037182972,0.7276061,0.25752074,0.0037182972,0.001255789,0.1357618,0.068843596,0.001255789,0.76743805,0.001255789,0.001255789,0.001255789,0.001255789,0.020421688
234584,0.216251,0.01350596,0.1885245,0.01350596,0.16685425,0.22150749,0.01350596,0.15283896,0.01350596,0.0038196284,0.0038196284,0.0038196284,0.746732,0.2379895,0.0038196284,0.0012497241,0.13580455,0.06871563,0.0012497241,0.7677891,0.0012497241,0.0012497241,0.0012497241,0.0012497241,0.020192318
234586,0.22398642,0.012624984,0.18492304,0.012624984,0.1471633,0.2568629,0.012624984,0.13656443,0.012624984,0.0037378084,0.0037378084,0.0037378084,0.7572507,0.22779807,0.0037378084,0.0014943009,0.13782777,0.070128515,0.0014943009,0.7600576,0.0014943009,0.0014943009,0.0014943009,0.0014943009,0.02302035
234587,0.26755124,0.011099401,0.13894348,0.011099401,0.08511531,0.35548404,0.011099401,0.10850831,0.011099401,0.0009173706,0.0009173706,0.0009173706,0.7821707,0.21415971,0.0009173706,0.002001226,0.14099103,0.07218915,0.002001226,0.7465865,0.002001226,0.002001226,0.002001226,0.002001226,0.02822581
234589,0.23635936,0.011867283,0.16829008,0.011867283,0.111528724,0.3144221,0.011867283,0.12193067,0.011867283,0.0005345817,0.0005345817,0.0005345817,0.81691575,0.18094596,0.0005345817,0.0041488954,0.12756363,0.07299628,0.0041488954,0.72277814,0.0041488954,0.0041488954,0.0041488954,0.0041488954,0.051768765
234596,0.2184289,0.014763797,0.25970817,0.014763797,0.07474244,0.30508453,0.014763797,0.08298079,0.014763797,0.0021584502,0.0021584502,0.0021584502,0.8178358,0.1735305,0.0021584502,0.0024877824,0.14357895,0.07394748,0.0024877824,0.73527354,0.0024877824,0.0024877824,0.0024877824,0.0024877824,0.032273203
234598,0.21893178,0.013151531,0.17816894,0.013151531,0.16922876,0.22265862,0.013151531,0.15840577,0.013151531,0.0038212447,0.0038212447,0.0038212447,0.74743176,0.23728324,0.0038212447,0.0012449996,0.13573365,0.06871965,0.0012449996,0.76788896,0.0012449996,0.0012449996,0.0012449996,0.0012449996,0.020187538
234600,0.3870914,0.009218314,0.081125535,0.009218314,0.026781993,0.43145183,0.009218314,0.036676005,0.009218314,1.9972973e-05,1.9972973e-05,1.9972973e-05,0.8074619,0.19245833,1.9972973e-05,0.0018479985,0.14102736,0.07088468,0.0018479985,0.75232923,0.0018479985,0.0018479985,0.0018479985,0.0018479985,0.024670552
234610,0.21774872,0.014297809,0.25801164,0.014297809,0.09479118,0.2861952,0.014297809,0.086062044,0.014297809,0.0035597747,0.0035597747,0.0035597747,0.71055764,0.27520323,0.0035597747,0.0011226648,0.13556202,0.06642947,0.0011226648,0.774819,0.0011226648,0.0011226648,0.0011226648,0.0011226648,0.016453404
234611,0.27526948,0.011174709,0.098721616,0.011174709,0.054443914,0.4099985,0.011174709,0.11686762,0.011174709,1.0348277e-06,1.0348277e-06,1.0348277e-06,0.8215546,0.17844118,1.0348277e-06,0.0019234029,0.14060308,0.07208279,0.0019234029,0.748021,0.0019234029,0.0019234029,0.0019234029,0.0019234029,0.027752694
234612,0.23637637,0.011360701,0.16422492,0.011360701,0.13539185,0.29226476,0.011360701,0.12629934,0.011360701,0.0008123225,0.0008123225,0.0008123225,0.73729384,0.2594569,0.0008123225,0.0048084217,0.09807814,0.050988227,0.0048084217,0.7678826,0.0048084217,0.0048084217,0.0048084217,0.0048084217,0.054200493
234613,0.21605432,0.01352962,0.18862998,0.01352962,0.16787963,0.22008365,0.01352962,0.153234,0.01352962,0.0037731037,0.0037731037,0.0037731037,0.7361235,0.24878405,0.0037731037,0.0012379927,0.13575545,0.068564534,0.0012379927,0.768324,0.0012379927,0.0012379927,0.0012379927,0.0012379927,0.019928137
234614,0.21951655,0.013094688,0.1802635,0.013094688,0.16593532,0.2275297,0.013094688,0.15437618,0.013094688,0.0037612717,0.0037612717,0.0037612717,0.73386973,0.25108516,0.0037612717,0.0012503903,0.1357605,0.06876793,0.0012503903,0.7676901,0.0012503903,0.0012503903,0.0012503903,0.0012503903,0.020279186
234616,0.22250095,0.012714063,0.16879344,0.012714063,0.16882753,0.22838525,0.012714063,0.16063654,0.012714063,0.003631158,0.003631158,0.003631158,0.7175265,0.2679488,0.003631158,0.0012558751,0.13575403,0.068856984,0.0012558751,0.7674142,0.0012558751,0.0012558751,0.0012558751,0.0012558751,0.020439431
234617,0.3050318,0.010648491,0.0763829,0.010648491,0.030471474,0.46093118,0.010648491,0.08458873,0.010648491,3.1655266e-06,3.1655266e-06,3.1655266e-06,0.82225263,0.17773475,3.1655266e-06,0.0040627248,0.13071643,0.07526105,0.0040627248,0.7170924,0.0040627248,0.0040627248,0.0040627248,0.0040627248,0.052553788
234618,0.22024052,0.013062719,0.18602015,0.013062719,0.15404734,0.24186555,0.013062719,0.14557564,0.013062719,0.0029562807,0.0029562807,0.0029562807,0.7589867,0.22918813,0.0029562807,0.0018944638,0.14052431,0.071893826,0.0018944638,0.74888676,0.0018944638,0.0018944638,0.0018944638,0.0018944638,0.027328154
234619,0.22121224,0.013135027,0.21193229,0.013135027,0.117980525,0.2831268,0.013135027,0.11320812,0.013135027,0.00077379576,0.00077379576,0.00077379576,0.8090829,0.1878219,0.00077379576,0.0030214814,0.14332286,0.07566591,0.0030214814,0.724445,0.0030214814,0.0030214814,0.0030214814,0.0030214814,0.038437307
234620,0.20957959,0.014668567,0.255226,0.014668567,0.10903815,0.26752013,0.014668567,0.09996183,0.014668567,0.0034298128,0.0034298128,0.0034298128,0.7894493,0.1968314,0.0034298128,0.0018575239,0.14142926,0.07099685,0.0018575239,0.7514046,0.0018575239,0.0018575239,0.0018575239,0.0018575239,0.02502422
234622,0.2117085,0.014286089,0.23693043,0.014286089,0.123255275,0.25860515,0.014286089,0.11235626,0.014286089,0.0032727122,0.0032727122,0.0032727122,0.8180623,0.16884685,0.0032727122,0.0013289615,0.13671154,0.06880213,0.0013289615,0.7660226,0.0013289615,0.0013289615,0.0013289615,0.0013289615,0.02049008
234625,0.22260475,0.012845045,0.19799353,0.012845045,0.12892027,0.27577305,0.012845045,0.123328224,0.012845045,0.00075612037,0.00075612037,0.00075612037,0.80776584,0.18920965,0.00075612037,0.0014340432,0.13743407,0.06968334,0.0014340432,0.7621865,0.0014340432,0.0014340432,0.0014340432,0.0014340432,0.022091841
234626,0.3162885,0.010607786,0.10877482,0.010607786,0.042355195,0.41520053,0.010607786,0.074949704,0.010607786,1.2000867e-05,1.2000867e-05,1.2000867e-05,0.8106279,0.18932413,1.2000867e-05,0.0015568038,0.13848178,0.07001785,0.0015568038,0.7592598,0.0015568038,0.0015568038,0.0015568038,0.0015568038,0.022899743
234627,0.22196834,0.013169961,0.21840209,0.013169961,0.114974506,0.2846239,0.013169961,0.10735121,0.013169961,0.003528502,0.003528502,0.003528502,0.7837109,0.2021751,0.003528502,0.0012955619,0.13662834,0.068309814,0.0012955619,0.7677668,0.0012955619,0.0012955619,0.0012955619,0.0012955619,0.019521773
234628,0.22652493,0.013893744,0.24248822,0.013893744,0.08224259,0.307883,0.013893744,0.08528628,0.013893744,0.0033655583,0.0033655583,0.0033655583,0.80191845,0.18461932,0.0033655583,0.0012728057,0.13642782,0.068224385,0.0012728057,0.7683593,0.0012728057,0.0012728057,0.0012728057,0.0012728057,0.019351678
234629,0.22008593,0.013275184,0.21694008,0.013275184,0.11775024,0.28059202,0.013275184,0.11153106,0.013275184,0.00260564,0.00260564,0.00260564,0.7941265,0.19545089,0.00260564,0.0015574106,0.13869114,0.06982027,0.0015574106,0.7595996,0.0015574106,0.0015574106,0.0015574106,0.0015574106,0.022544563
234630,0.39778468,0.009042371,0.0808243,0.009042371,0.027260868,0.42541087,0.009042371,0.032549653,0.009042371,4.257474e-05,4.257474e-05,4.257474e-05,0.81453514,0.1852947,4.257474e-05,0.0013210509,0.1374226,0.06715194,0.0013210509,0.769964,0.0013210509,0.0013210509,0.0013210509,0.0013210509,0.01753502
234631,0.27899665,0.0125488145,0.18599331,0.0125488145,0.05121629,0.3631793,0.0125488145,0.07041917,0.0125488145,0.0012626703,0.0012626703,0.0012626703,0.81533265,0.17961667,0.0012626703,0.0012562296,0.1370156,0.06719933,0.0012562296,0.77060765,0.0012562296,0.0012562296,0.0012562296,0.0012562296,0.017639996
