District,MSE_0,MSE_1,MSE_2,R2_0,R2_1,R2_2
pashchim,0.007594371362618416,0.004513864875661039,0.0010728489079606747,-0.006846339259490408,0.03952766305790745,-1.0428463051326156
purba,0.012005520008020814,0.007600696564360352,0.001042215972552343,-0.57711004739577,-0.5998102587738889,-0.35881740933259465
sheohar,0.018124526475514602,0.009404719747596681,0.0016596933791416183,-20.207344889831944,-13.911596014191066,-22.77048619827702
sitamarhi,0.021436868435046323,0.01290983186914523,0.001604401116123392,-2.830478884214,-2.431422870696908,-4.464269767661493
madhubani,0.03213168402854262,0.02125914607464297,0.0016903950160149371,-4.431540360230674,-3.509579172019899,-4.087860076805379
supaul,0.019656902875640703,0.010213926853471262,0.002185159543996505,-12.9494514019595,-7.091627930639813,-24.376982647530305
araria,0.01126632465228384,0.004978369578552535,0.001575779773528011,-6.964220980546943,-4.140578305753032,-28.548333114743098
kishanganj,0.0665916975647154,0.03944370256708779,0.003606993072625405,-91.15469539945902,-63.84116739738094,-124.38675389736291
purnia,0.055292123273748835,0.027677670817932876,0.005507737131460094,-11.056530565914263,-6.428088566995732,-36.392883848501334
katihar,0.0212482815981537,0.013117745189212963,0.0014489896646110428,-10.420308498243504,-7.3322286241483,-8.172818598503751
madhepura,0.06116244276084664,0.032652844516747805,0.005565160761598554,-18.735069871961137,-13.116882117413542,-32.86765278453522
saharsa,0.05936609130102168,0.03856750421067093,0.0024995371346070877,-25.516124178589948,-19.330670852060432,-7.231408422972146
darbhanga,0.0075201101622484855,0.005368689380084588,0.0005126483352125685,-2.312233721463055,-2.861577613480253,-1.878463153228954
muzaffarpur,0.016355385389171834,0.012374603575204748,0.0005075784331831104,-1.8242125975741015,-1.2003177583253133,0.01995204982269705
gopalganj,0.02296423545645349,0.010625961578219222,0.002830025197398555,-2.6124824596095197,-3.4448229580335017,-1.3173145137809037
siwan,0.0385842936258933,0.0190594124631831,0.004412068220666927,-12.421704718803205,-11.233599854132885,-4.285831374801471
saran,0.027957826895880028,0.017310054311708477,0.0018486521465768617,-8.739366655731683,-6.246383546008954,-5.031887071800996
vaishali,0.010544251133130957,0.007380134133898505,0.0006084367679940654,-1.4136705710870214,-1.2966219944213613,-0.594232472315896
samastipur,0.018289533311700412,0.01303017248097108,0.0007555651418443539,-2.299071727595355,-2.210106355407513,-0.5927444190121953
begusarai,0.016184213051830543,0.010015676657078516,0.001182231714538885,-3.3838106887896897,-3.0306189351685733,-3.159644577281565
khagaria,0.004325141566527393,0.003079779770142271,0.0007120433508560143,-1.2066796065418037,-1.1887794656712023,-1.2638872143025188
bhagalpur,0.018294130796920403,0.011998207885992311,0.0018516970188909414,-3.3239617352970097,-2.8115886335770672,-1.1468282976706337
banka,0.03244429296185747,0.01673852955256321,0.0030454936963387304,-6.952933431417596,-6.534839803196704,-6.073019440994623
munger,0.017101188475483996,0.013401495035400267,0.002055602182600192,-4.461549345082309,-2.204812935759501,-0.8829402784541509
lakhisarai,0.027532664564237384,0.013702408313054628,0.003038242155619432,-1.7881784335235014,-1.1173776836890252,-6.14953289964463
sheikhpura,0.007099081967024167,0.004472757654001717,0.0003419195287916049,-2.5651941665667413,-4.4739713410393245,0.08235320595941542
nalanda,0.013782132216363843,0.00875267553259261,0.0008711796938819158,-1.8572203335432413,-1.3693299862974424,-2.019545946274834
patna,0.024612362988865214,0.02097798030000357,0.000867097410387115,-1.0918853969910027,-0.9257594069285353,-1.0083843058100563
bhojpur,0.015401295433660632,0.0070624574236182415,0.0018438559333854953,-6.422678079797567,-4.15697415443155,-6.491328342584434
buxar,0.023714063106232194,0.016207549380797392,0.002221206232374945,-1.7087189641900977,-1.282802857885743,-1.203570384766615
kaimur,0.0244771598412854,0.012453842975319008,0.0023783669307855877,-2.5449472306369083,-3.842796902252834,-0.9678580751465251
rohtas,0.013837323582663751,0.006052214007357284,0.002194050485444936,-2.4858727751592333,-2.2020415348770492,-1.4231184066404423
aurangabad,0.016624755123125487,0.00939699217522712,0.0011201848504322155,-6.239810418088797,-5.40081363303324,-3.0610484986996154
gaya,0.02087932654128205,0.012996611949899766,0.0016902358372557441,-2.0325393763837343,-1.7056259937304934,-1.7972741939745998
nawada,0.00991735089079698,0.005153214764869471,0.0012982614275101312,-4.970311899056644,-3.618992254246713,-7.250378290733671
jamui,0.015680893374740035,0.007752666097515901,0.0024052422394315806,-3.371605124796088,-1.8631353134427644,-14.824159903522352
jehanabad,0.004209458422510711,0.0020324005797900295,0.0010192797008154876,-9.056118630712954,-6.682867115381637,-7.369872861636761
arwal,0.013087754325926435,0.008001583591794679,0.0013793011843083497,-11.918083055837831,-4.562239142151792,-15.929757270084806
