,MSE,,,R2 ,,
District,0_0,0_1,0_2,0_0,0_1,0_2
pashchim,0.192254065,0.170128107,0.309541912,-0.006846339,0.039527663,-1.042846305
purba,0.320590264,0.283405681,0.305914098,-0.577110047,-0.599810259,-0.358817409
sheohar,0.42606072,0.296373887,0.475723441,-20.20734489,-13.91159601,-22.7704862
sitamarhi,0.411747681,0.313412965,0.324992274,-2.830478884,-2.431422871,-4.464269768
madhubani,0.68596369,0.621663161,0.349621718,-4.43154036,-3.509579172,-4.087860077
supaul,0.428858107,0.289813214,0.655307324,-12.9494514,-7.091627931,-24.37698265
araria,0.388023067,0.250998851,0.753231859,-6.964220981,-4.140578306,-28.54833311
kishanganj,1.606493638,1.196837549,1.61760883,-91.1546954,-63.8411674,-124.3867539
purnia,1.2495303,0.812013192,1.580176,-11.05653057,-6.428088567,-36.39288385
katihar,0.484371781,0.408290245,0.431472983,-10.4203085,-7.332228624,-8.172818599
madhepura,1.461878316,1.088756816,1.299561838,-18.73506987,-13.11688212,-32.86765278
saharsa,1.284340567,1.027005906,0.795182821,-25.51612418,-19.33067085,-7.231408423
darbhanga,0.193545114,0.192187071,0.175265864,-2.312233721,-2.861577613,-1.878463153
muzaffarpur,0.360820869,0.361703933,0.13590653,-1.824212598,-1.200317758,0.01995205
gopalganj,0.485851302,0.31762875,0.436077787,-2.61248246,-3.444822958,-1.317314514
siwan,0.864348408,0.616931883,0.708770815,-12.42170472,-11.23359985,-4.285831375
saran,0.579561546,0.484606669,0.31440426,-8.739366656,-6.246383546,-5.031887072
vaishali,0.253451584,0.257343316,0.136720109,-1.413670571,-1.296621994,-0.594232472
samastipur,0.450643522,0.439645301,0.184994336,-2.299071728,-2.210106355,-0.592744419
begusarai,0.385766527,0.339333303,0.246361214,-3.383810689,-3.030618935,-3.159644577
khagaria,0.1012008,0.105573496,0.235614619,-1.206679607,-1.188779466,-1.263887214
bhagalpur,0.437311269,0.406492494,0.403711005,-3.323961735,-2.811588634,-1.146828298
banka,0.900486524,0.657060698,0.90185488,-6.952933431,-6.534839803,-6.073019441
munger,0.379730322,0.436081338,0.387415912,-4.461549345,-2.204812936,-0.882940278
lakhisarai,0.653260434,0.486361704,0.535938711,-1.788178434,-1.117377684,-6.1495329
sheikhpura,0.165585455,0.145424744,0.082553194,-2.565194167,-4.473971341,0.082353206
nalanda,0.314050118,0.279937296,0.164106252,-1.857220334,-1.369329986,-2.019545946
patna,0.530448201,0.583259807,0.244380519,-1.091885397,-0.925759407,-1.008384306
bhojpur,0.382158326,0.263790944,0.369243909,-6.42267808,-4.156974154,-6.491328343
buxar,0.510472275,0.458205652,0.339738953,-1.708718964,-1.282802858,-1.203570385
kaimur,0.55052335,0.388921187,0.443703958,-2.544947231,-3.842796902,-0.967858075
rohtas,0.323919476,0.218701883,0.341537827,-2.485872775,-2.202041535,-1.423118407
aurangabad,0.309788545,0.229819201,0.143249536,-6.239810418,-5.400813633,-3.061048499
gaya,0.447724481,0.372699629,0.344659663,-2.032539376,-1.705625994,-1.797274194
nawada,0.231467259,0.186889959,0.206785791,-4.970311899,-3.618992254,-7.250378291
jamui,0.364378367,0.25525461,0.4807807,-3.371605125,-1.863135313,-14.8241599
jehanabad,0.096693812,0.074976917,0.157011016,-9.056118631,-6.682867115,-7.369872862
arwal,0.265662902,0.227203592,0.189949866,-11.91808306,-4.562239142,-15.92975727
