District,MSE_0,MSE_1,MSE_2,R2_0,R2_1,R2_2
pashchim,0.009335705726948532,0.006653515678818784,0.0006005816605167643,-0.23770891450601295,-0.415753003013867,-0.14358696458873088
purba,0.011042686262837172,0.006534171355339201,0.001481292000415339,-0.45062699855770827,-0.37532583735473235,-0.9312747179840202
sheohar,0.0010039449579808991,0.0008150383596214998,0.0004119194134264301,-0.1747069366513896,-0.2922790982528256,-4.89959859737431
sitamarhi,0.019817105012413513,0.01581590120384541,0.00040869588068546855,-2.541049035511205,-3.2038537497352566,-0.39193654414389023
madhubani,0.004813704660795608,0.005334006160721676,0.0013624089617068219,0.1862912904248506,-0.13147174403712603,-3.1006664707823264
supaul,0.018183137246749567,0.013566169507179336,0.0014269591951052588,-11.903598850916406,-9.747325457767467,-15.571750484951266
araria,0.013667505757379897,0.012612964649164452,0.00034179289618283833,-8.661627856836658,-12.023929104431089,-5.409150899336496
kishanganj,0.1256715438778154,0.024699787142857144,0.13769669691256395,-172.9139152472411,-39.6037701477355,-4785.630165521384
purnia,0.018639878575494605,0.013579120293803494,0.0027480416314114155,-3.0644535330600657,-2.6443423605901084,-17.656881961062723
katihar,0.023434906118637244,0.010277514606235732,0.004675862691838934,-11.595553022295542,-5.52814947629864,-28.600514973489005
madhepura,0.011967261899485163,0.004684880804608151,0.0035717691479781664,-2.8614342250173532,-1.025425687457806,-20.736557578885225
saharsa,0.00958180934349608,0.00290104042226682,0.00331010893605361,-3.279757026943476,-0.5292692426104775,-9.90076166500727
darbhanga,0.007312539857460679,0.0014989776897758667,0.003505355852611819,-2.220809347583009,-0.07818096375947015,-18.682181658728638
muzaffarpur,0.012449122054390544,0.008140328048633176,0.003368000995506961,-1.1496874881361419,-0.4474248209365257,-5.503039246844711
gopalganj,0.019616278182307628,0.009336677949856164,0.00281009446391899,-2.0858184236433144,-2.905517651066145,-1.3009945962038625
siwan,0.04646991117696735,0.022117058647884043,0.005094949055563888,-15.16474911199903,-13.196200747072494,-5.103949491253296
saran,0.014320590748338063,0.011195585106910993,0.0012015582720046908,-3.9887097643235183,-3.6867272768629205,-2.9205124773425304
vaishali,0.010554469871674946,0.004829586589698864,0.0018573364542227796,-1.416009729002159,-0.5029177769165736,-3.866612675463596
samastipur,0.011902842206225556,0.010211215147972241,0.0006124380290494475,-1.1470383924704204,-1.5156295276067047,-0.2910299836996453
begusarai,0.010542346204674487,0.008191728664045616,0.00034143906528584424,-1.8556006911776368,-2.2966056908127466,-0.20134246013041968
khagaria,0.010276535824023946,0.009508218476217427,0.00030537550945527157,-4.243070470633643,-5.757429072566071,0.02908199256999222
bhagalpur,0.01707723336964736,0.012922752469945568,0.0015666930308435012,-3.0363384549279973,-3.1052977992221846,-0.8163991722537269
banka,0.005780700917488942,0.0026247922326227816,0.0008874511607404676,-0.4169989661285607,-0.18154876910672968,-1.0610646216068957
munger,0.010355169017799783,0.009313110534015854,0.0010722043779238114,-2.30709568217775,-1.2271229465616584,0.017856262745421403
lakhisarai,0.008506188535042411,0.00649746007943013,0.0003500878692462642,0.13859512690623454,-0.0040262017107230985,0.17617997159533416
sheikhpura,0.007651224183150285,0.0035362557329426986,0.0011463451273646332,-2.8424827254525082,-3.3278362107089725,-2.076571656225415
nalanda,0.008945210481564962,0.00608591239490445,0.0007338733997400372,-0.8544617679262587,-0.6474430792655259,-1.5436364791628434
patna,0.01337688129953255,0.013740797529007918,0.001737692416655079,-0.13694498412987866,-0.2613926470406147,-3.0248697967822586
bhojpur,0.01707612761977141,0.008892965375161271,0.001568453592964805,-7.229866034131165,-5.493602700186747,-5.372407215910777
buxar,0.026481221635280407,0.018581760997545292,0.0018405638823404352,-2.0247953257556293,-1.6172061002635854,-0.8259502441877786
kaimur,0.013417688019266892,0.007239508975934708,0.0014249193781930706,-0.943239995729519,-1.8151528577940925,-0.1789766618911952
rohtas,0.0,0.0,0.0,1.0,1.0,1.0
aurangabad,0.023544302879095504,0.013039998641388483,0.0017654144045881844,-9.253160904223146,-7.882267806774776,-5.4002236011040905
gaya,0.017868744486523133,0.012773370386050609,0.0008081081980624785,-1.5952786913305235,-1.6591517140982557,-0.3373874571548663
nawada,0.006771509566942372,0.00534898942930692,0.0001658235777651237,-3.0764942762696847,-3.7944713871520594,-0.05379950223814767
jamui,0.004484452173147664,0.003995892149667129,0.00027688746649718574,-0.25020007684098466,-0.47572200047239477,-0.8216508396959288
jehanabad,0.003434335412401985,0.0008458686327298002,0.0012784250060105683,-7.204400865461926,-2.1975469634062,-9.497859179266293
arwal,0.02821115228342113,0.014055695603501223,0.002691682048816644,-26.845419406764904,-8.770708430283369,-32.03812412628441
