District,MSE_0,MSE_1,MSE_2,R2_0,R2_1,R2_2
pashchim,0.008643065737232013,0.003919836057171855,0.001053187885099856,-9.236641848492832,-11.96413071539811,-5.832756426855524
purba,0.0057807886621954775,0.003412021858198685,0.0007198815551947732,-2.4749013075561703,-6.4095594095396615,-0.8399023028902937
sheohar,0.018990288787489464,0.012229529471726217,0.000891073477917486,-19.344230561532584,-32.33088699658315,-5.374854755387317
sitamarhi,0.06244561970715954,0.04197952392095994,0.002149779787231536,-170.83475782219668,-296.360841684401,-39.313389326531485
madhubani,0.029431131583947813,0.01939678653215536,0.0017605116193950435,-9.92320300154031,-19.87758563055592,-2.4303675488966023
supaul,0.040276191985912306,0.025397817085909515,0.0021735039803003004,-2.177945777106963,-2.945626108149141,-1.0123572812582062
araria,0.031221911823905744,0.0203413011615914,0.0012811540354935175,-15.137378082864767,-21.58334135908362,-4.397383489097376
kishanganj,0.2520172456096608,0.1214619613493735,0.13406276819768145,-1.05912780412218,0.0,-0.09537092463844599
purnia,0.07607795142794029,0.05114527757231059,0.003047603489913164,-4.931851720440871,-7.468203483574653,-1.2094999168597829
katihar,0.04323886470047014,0.026833613238621927,0.003678499112377489,-1.2315621421847887,-1.540018367805942,-1.5241839424935009
madhepura,0.037311556392910415,0.02549920570598754,0.0017782398897133952,-2.9557019717880064,-5.646574516091922,-0.34713005373773065
saharsa,0.035759110920131135,0.029850511023420033,0.0015377444003261205,-13.358332807123322,-44.17357170400016,-1.540797323928456
darbhanga,0.013764705788939333,0.005672354544589511,0.002858308009503129,-4.185689969447925,-8.450900537245206,-2.84676718116064
muzaffarpur,0.022009666750350987,0.011983888282637361,0.003907474241693997,-10.9890505898511,-10.208327198644248,-11.818376366909444
gopalganj,0.01554534600818254,0.009885192433874741,0.000946074099416152,-4.431165980271231,-8.342529997194411,-0.7957745233790632
siwan,0.007080976573286057,0.003259978910924317,0.0008717121988233691,-2.2263659177839616,-2.572700814919328,-2.0120642133907882
saran,0.011696347531606251,0.00907374403677093,0.0009329385896915266,-4.87344732843314,-21.083588578243027,-0.5080613231352795
vaishali,0.007342367765653895,0.0044096613297748555,0.001585192092217258,-2.678521930705109,-10.53783885447867,-1.492635012165266
samastipur,0.005399720544060234,0.0022876090910093237,0.0009785087763458885,-1.080229385835155,-1.8748707601626373,-0.8228284635105962
begusarai,0.011273076653226077,0.006470309856928399,0.0009072975303220168,-25.851035668310608,-33.05352714576726,-16.01684953958541
khagaria,0.010397913879568585,0.0068686206497539865,0.0005792409988786947,-54.27987056044718,-60.76708561716102,-41.46359918834792
bhagalpur,0.008706444391861017,0.0060213390501612785,0.0005948535875875737,-0.558035522906104,-0.9391481537743362,0.025371967798271333
banka,0.024948468804309468,0.014063267115262424,0.001672775320408794,-45.748845106545495,-72.72398153054648,-10.97322570006275
munger,0.040985807794043205,0.02429462428557923,0.002595021069968693,-7.460787797791886,-11.667792644229305,-2.6096981637584067
lakhisarai,0.01216395393208494,0.004505526667049215,0.0019065914298241192,-16.378017167964423,-16.210359012696816,-16.699348538531147
sheikhpura,0.0014666804767171128,0.0012333896189993176,0.0005270517630695247,0.6574806575412357,0.25219009911232626,0.15844044331123652
nalanda,0.016388152181891873,0.00946443389405977,0.0014712933161222079,-4.833887153187878,-5.939542268174954,-2.9832797241770024
patna,0.011069789410016087,0.004385293317321343,0.0019966142463960393,-1.3268205250130558,-1.0725517171924381,-1.6977546848716787
bhojpur,0.003242355696320546,0.001295315318542657,0.000542774502852932,-0.7457183267952379,-0.6660508039899706,-1.2798292597297158
buxar,0.028135089157376936,0.02048072268863206,0.0009867374885415775,-16.883051327295227,-34.44107734115056,-2.795835919276834
kaimur,0.015065849065040387,0.008696103003347281,0.0012742259824663881,-9.878618361263724,-17.76192657577831,-3.8934975095076423
rohtas,0.013837323582663751,0.006052214007357284,0.002194050485444936,-2.4858727751592333,-2.2020415348770492,-1.4231184066404423
aurangabad,0.04439702187085311,0.025935531723765757,0.002613870363859726,-37.32489406302636,-48.35255117447179,-19.796448290972254
gaya,0.03368939022342887,0.019814157813603323,0.0021086079943924097,-152.13466174546312,-175.39706303370414,-92.10761878460605
nawada,0.008744562361948174,0.00437717187003528,0.0009726935071642434,-5.79233458309949,-7.105216378841044,-4.685716624233899
jamui,0.01937680512839583,0.01014965396157053,0.0016727453876574168,-20.639300880766655,-26.04789501887708,-11.989204414199246
jehanabad,0.007540246027581896,0.0027887375828424,0.001197316944487101,-12.328033544499009,-14.009434075895516,-9.729286220393186
arwal,0.04631166672981948,0.022054057387050283,0.004646488159632396,-251.62078901291423,-243.65105330185008,-281.52492925147345
